Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,-1.0048107,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
1.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,0.5656666516125437,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
2.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,2.1342306184856383,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
3.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,3.698970147044405,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
4.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,5.257978843202944,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
5.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,6.809357295011865,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
6.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,8.351215386799169,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
7.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,9.881674601985047,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
8.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,11.398870311764963,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
9.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,12.900954046872632,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
10.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,14.386095749655093,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
11.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,15.852486003716042,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
12.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,17.298338238411006,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
13.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,18.721890905508484,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
14.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,20.121409625365086,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
15.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,21.495189299999996,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
16.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,22.84155619049422,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
17.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,24.158869956183604,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
18.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,25.44552565316129,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
19.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,26.699955689654622,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
20.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,27.920631735894265,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
21.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,29.10606658614862,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
22.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,30.254815970654874,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
23.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,31.365480315239296,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
24.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,32.43670644648274,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
25.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,33.46718924035401,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
26.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,34.455673212302486,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
27.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,35.400954046872634,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
28.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,36.30188006497688,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
29.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,37.15735362703917,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
30.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,37.96633247029974,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
31.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,38.72783097865171,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
32.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,39.440921383462516,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
33.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,40.10473489391704,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
34.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,40.71846275550543,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
35.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,41.281357235365874,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
36.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,41.79273253328191,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
37.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,42.25196561722435,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
38.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,42.65849698241984,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
39.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.011831333021256,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
40.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.31153818554936,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
41.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.55725239337067,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
42.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.748674591572296,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
43.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.88557156169209,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
44.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.967776515859306,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
45.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.9951893,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
46.0,0.0,0.0,78.1528091430664,0.0,0.0,0.0,1.5167185,2.603943,-1.6905233,9.732557,-11.649945,-2.961529,0.6239143,-7.2306666,-9.147425,12.383621,-10.753038,6.5527606,43.967776515859306,-1.5743585,7.6885557,-0.14834416,14.468168,-29.187767,61.89945,21.321045,8.357161,9.434583,-5.9140105,-15.589025,36.87949,62.65345,-6.9954395,3.3820848,-5.302172
