Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3019665479660034,-1.6911247968673706,78.85445404052734,0.3407753938230069,-0.005190962297378321,84.16219412991633,2.5669343,1.7637733,5.358147,6.961912,-11.110406,-5.299729,-0.2281334,-2.8238175,0.5358867,9.327775,-8.260742,3.8053527,2.2528183,-1.434464,7.8822737,5.0567403,10.488693,-20.59075,57.96908,7.493412,-9.644393,30.42834,-4.1544347,-12.659243,31.491238,59.776173,-4.1022277,0.076248005,-6.713005
1,0.31785252690315247,-1.6772196292877197,78.84806060791016,0.34982021748868075,0.021031813908667152,84.18080388199036,2.5383747,1.757282,5.3389735,6.96042,-11.106301,-5.302397,-0.23388416,-2.829452,0.5210066,9.294801,-8.252486,3.8250377,2.3037224,-1.4447944,7.895372,4.9855804,10.538752,-20.429922,57.84065,7.023066,-9.440008,29.870901,-4.1987386,-12.631877,31.688076,59.66,-4.0678287,0.08105921,-6.9251957
2,0.3269166946411133,-1.6672571897506714,78.84284973144531,0.3592642606186707,0.04750571047167273,84.19776371613085,2.5088336,1.7506918,5.320981,6.960536,-11.103028,-5.3047357,-0.2411071,-2.8350296,0.50783676,9.263366,-8.244532,3.8485959,2.3479896,-1.4549578,7.903174,4.9109807,10.581495,-20.26288,57.725838,6.5576057,-9.244386,29.331919,-4.255507,-12.592952,31.901613,59.563377,-4.030072,0.08459191,-7.1555333
3,0.33725303411483765,-1.6597243547439575,78.84268188476562,0.3683908211148878,0.07353360251947873,84.21800493824622,2.4800897,1.744077,5.300629,6.959411,-11.098966,-5.3077474,-0.2501208,-2.8408928,0.49140632,9.238877,-8.241356,3.8644025,2.368943,-1.4753729,7.9095907,4.853991,10.6347685,-20.063303,57.596245,6.101587,-9.021585,28.760986,-4.339448,-12.53033,32.12642,59.498432,-3.9936771,0.08790311,-7.3588376
4,0.3438260853290558,-1.6708403825759888,78.84708404541016,0.3762232972262543,0.09833732121484871,84.24594834363292,2.4515057,1.738069,5.274737,6.9588075,-11.094835,-5.312337,-0.26235533,-2.8472757,0.46674463,9.2295,-8.248676,3.860937,2.3937964,-1.4958229,7.916908,4.7821994,10.683844,-19.857092,57.479816,5.6568356,-8.736931,28.120073,-4.4216285,-12.461996,32.300404,59.44122,-3.9771054,0.09278355,-7.483691
5,0.35398751497268677,-1.6705586910247803,78.85225677490234,0.3808774838771814,0.12176712373874948,84.28484512362216,2.422513,1.7349621,5.2410927,6.958552,-11.088476,-5.317209,-0.28072378,-2.8523157,0.4298135,9.243496,-8.272271,3.8199244,2.4181783,-1.5123335,7.927569,4.6926465,10.723854,-19.62585,57.370293,5.2150664,-8.363831,27.383278,-4.495983,-12.398419,32.406986,59.376305,-3.9837627,0.102279834,-7.4952006
6,0.3610737919807434,-1.66487717628479,78.85684204101562,0.3831332859952017,0.14422163674168076,84.33171589291639,2.393555,1.7337912,5.202052,6.95796,-11.080393,-5.322463,-0.3038778,-2.8565342,0.38425598,9.274605,-8.307561,3.752602,2.4356194,-1.5277387,7.940385,4.5967226,10.7601185,-19.368841,57.260437,4.7808485,-7.9252796,26.578392,-4.5723453,-12.333511,32.474346,59.313572,-4.0045347,0.11476756,-7.426792
7,0.36936816573143005,-1.6567673683166504,78.85931396484375,0.3869801857030079,0.16574372573281113,84.38145733184707,2.3653982,1.7301677,5.160336,6.9578457,-11.074547,-5.3307047,-0.32646757,-2.863621,0.33644366,9.309404,-8.345592,3.6917615,2.4588075,-1.5401149,7.954373,4.4876394,10.788643,-19.12571,57.172447,4.378292,-7.462841,25.745676,-4.6411486,-12.278846,32.523266,59.25012,-4.0342646,0.12693417,-7.328461
8,0.37863215804100037,-1.6479442119598389,78.85965728759766,0.39524867688133636,0.18623007051216414,84.42966423370908,2.3434548,1.7198449,5.1187034,6.9499884,-11.070236,-5.344796,-0.33032528,-2.8764791,0.29182437,9.307119,-8.362106,3.6699462,2.4728422,-1.5590122,7.966615,4.3875875,10.821057,-18.901608,57.103306,4.0348015,-7.018964,24.917702,-4.725361,-12.215547,32.604866,59.219883,-4.065367,0.13397813,-7.255063
9,0.3864205479621887,-1.6370383501052856,78.85687255859375,0.4111164293164659,0.20670773412687266,84.47485402785493,2.3169332,1.7000654,5.0773554,6.9558916,-11.082423,-5.3686805,-0.3181644,-2.8988004,0.25335708,9.26999,-8.356099,3.7115655,2.4934268,-1.5821121,7.9756575,4.286068,10.853079,-18.719854,57.068523,3.7464516,-6.607093,24.088223,-4.8111873,-12.155134,32.710136,59.214977,-4.099687,0.13173546,-7.2111254
