Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.053237706422805786,3.5148215293884277,77.02140045166016,-2.903287980752234,-17.365591149789363,-84.85445315116685,11.139272,14.378642,10.9429035,25.007381,-17.65422,-7.770634,10.557792,-6.470799,-9.962216,23.884647,-15.036245,3.9967277,-3.1346922,1.4736341,6.749419,-23.849789,22.871616,-29.339308,68.802216,-27.443392,21.176062,0.242522,-23.755796,-20.44576,26.747425,69.98939,32.615894,19.64854,2.9889176
1,-0.07592663913965225,3.478407144546509,76.98580932617188,-2.920264120962306,-17.502082257015516,-84.75489900537384,11.211331,14.405592,10.835199,25.19209,-17.78998,-7.804189,10.672747,-6.4843082,-10.035983,24.111494,-15.19327,3.9723768,-3.1022239,1.4179183,6.7359276,-23.834648,22.881071,-29.294577,68.7345,-27.364195,21.253448,0.3176603,-23.695326,-20.44999,26.73909,69.929054,32.68381,19.635103,2.9117703
2,-0.09744878113269806,3.4393932819366455,76.95037078857422,-2.9349745840573176,-17.638414580826876,-84.6541334838156,11.282537,14.431948,10.726112,25.376669,-17.925613,-7.837944,10.785873,-6.498513,-10.11023,24.342394,-15.350682,3.944887,-3.0770366,1.3634188,6.7251897,-23.815332,22.889332,-29.228296,68.66251,-27.266191,21.33251,0.39386916,-23.636305,-20.455046,26.735182,69.863914,32.75481,19.621546,2.829311
3,-0.11945915222167969,3.3995754718780518,76.91580963134766,-2.9523706895047037,-17.775386781005253,-84.55562540488992,11.355978,14.459877,10.619972,25.56072,-18.061148,-7.871393,10.903821,-6.5112624,-10.183425,24.56351,-15.506612,3.923543,-3.0555143,1.3144237,6.715723,-23.78705,22.89569,-29.155361,68.588196,-27.171457,21.407791,0.46314692,-23.585735,-20.460161,26.734879,69.806274,32.81386,19.60966,2.7578077
4,-0.14332960546016693,3.3637537956237793,76.88101196289062,-2.9690880869056864,-17.913954726146745,-84.46489093265026,11.438103,14.490425,10.522931,25.737244,-18.193426,-7.9038963,11.033795,-6.519992,-10.253783,24.758743,-15.657634,3.9175751,-3.0361545,1.2740527,6.709347,-23.749079,22.900764,-29.078207,68.5177,-27.093164,21.473352,0.5136401,-23.541693,-20.465067,26.730043,69.75353,32.839653,19.601473,2.7140205
5,-0.1614862084388733,3.3307948112487793,76.84613037109375,-2.987914214289459,-18.05688216614706,-84.38271250771338,11.532641,14.525426,10.436047,25.906712,-18.322388,-7.934649,11.184496,-6.521401,-10.3217945,24.914547,-15.801608,3.936064,-3.0164702,1.2450331,6.706559,-23.695896,22.904404,-29.004137,68.44552,-27.045673,21.527939,0.5371521,-23.504044,-20.468971,26.713915,69.70771,32.813873,19.595985,2.711626
6,-0.18476733565330505,3.291557788848877,76.81260681152344,-3.0090043661498345,-18.20245121061933,-84.3072905740748,11.635402,14.563361,10.356872,26.07231,-18.449759,-7.9641623,11.348288,-6.517968,-10.387691,25.044626,-15.941491,3.9719434,-2.9958067,1.2217027,6.7069826,-23.636278,22.907328,-28.928999,68.37715,-27.016605,21.574665,0.5400873,-23.469383,-20.472748,26.688595,69.6648,32.7518,19.592123,2.7395363
7,-0.2027188390493393,3.248802661895752,76.78246307373047,-3.0295604542269023,-18.3465060678198,-84.23580274054527,11.741345,14.601313,10.283534,26.23009,-18.573868,-7.9939394,11.514113,-6.5134935,-10.45208,25.164421,-16.078037,4.010172,-2.9723866,1.2016226,6.7093196,-23.56869,22.908508,-28.851301,68.30643,-26.982338,21.615622,0.5407112,-23.437681,-20.475574,26.656977,69.62425,32.67847,19.593716,2.7727559
8,-0.2179233431816101,3.206197500228882,76.75194549560547,-3.0481667926931366,-18.484155684033027,-84.16622660535161,11.843523,14.636635,10.214512,26.38025,-18.694849,-8.02557,11.667535,-6.513409,-10.514433,25.294485,-16.21402,4.0357966,-2.94157,1.1772156,6.7085195,-23.514357,22.907486,-28.790411,68.254654,-26.937983,21.650837,0.55378264,-23.40524,-20.476442,26.629017,69.58555,32.630924,19.602745,2.7873018
9,-0.23185592889785767,3.168675422668457,76.71959686279297,-3.0661476447996265,-18.61270217452409,-84.09927668588661,11.940633,14.670392,10.150703,26.520231,-18.813444,-8.061669,11.805743,-6.5172215,-10.57594,25.43714,-16.348911,4.040716,-2.9150236,1.1567503,6.710375,-23.442305,22.903643,-28.68498,68.191696,-26.82183,21.68125,0.5868456,-23.380583,-20.47826,26.603521,69.548935,32.60202,19.618519,2.7744572
