Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.08976674824953079,3.894747018814087,45.63703155517578,1.470144331928088,-25.19817371822385,-91.20629336146628,-50.275078,43.84786,11.260921,120.058014,-27.9877,6.0101695,-44.148453,-56.128876,-22.507572,126.75035,-30.626808,-12.1761875,0.59737927,-2.522189,29.793802,-101.518135,35.01205,-80.86749,-14.818085,-7.3400335,-1.9250592,6.213326,-117.06472,-23.995564,79.725784,-5.630123,31.13127,-5.3133082,-15.904279
1,0.07972323894500732,3.8665480613708496,45.64485168457031,1.5123423501556488,-25.180020586960694,-91.24992920550045,-50.25002,43.852554,11.255506,120.072655,-27.958517,5.961826,-44.12903,-56.116642,-22.518047,126.76415,-30.726858,-12.219195,0.64981115,-2.5986977,29.793802,-101.52827,34.904152,-80.960175,-14.735157,-7.301348,-1.8918029,6.2114067,-116.997215,-23.656746,79.66287,-5.312696,31.152914,-5.3383756,-15.937343
2,0.06567838042974472,3.8356337547302246,45.64995574951172,1.556560466282805,-25.158630156883458,-91.2933394481823,-50.227135,43.858303,11.254069,120.08823,-27.930182,5.917281,-44.116158,-56.10726,-22.52575,126.77979,-30.826107,-12.263624,0.702628,-2.6800547,29.793802,-101.51761,34.826435,-81.04464,-14.68342,-7.258165,-1.8524275,6.2131696,-116.9123,-23.36058,79.58952,-5.037571,31.185692,-5.3605843,-15.95437
3,0.05096788704395294,3.805297613143921,45.655517578125,1.5969723272802547,-25.14023766353407,-91.33703922911664,-50.203133,43.86174,11.245593,120.102776,-27.899698,5.865672,-44.093697,-56.093395,-22.538937,126.79158,-30.92624,-12.305235,0.75938994,-2.7636225,29.793802,-101.54368,34.775146,-81.15675,-14.654868,-7.2277637,-1.826058,6.2109556,-116.844315,-23.101519,79.52162,-4.798598,31.19628,-5.3870807,-16.003942
4,0.03761449083685875,3.7732884883880615,45.66416549682617,1.6327433834868956,-25.13120160050823,-91.3818761611892,-50.17545,43.85991,11.2186,120.1111,-27.863348,5.7963405,-44.042347,-56.069027,-22.568571,126.79594,-31.030743,-12.340796,0.82267994,-2.8500345,29.793802,-101.664635,34.74873,-81.3371,-14.636473,-7.2282968,-1.8321222,6.1986046,-116.82774,-22.877045,79.47297,-4.5941405,31.151457,-5.424408,-16.133688
5,0.022232530638575554,3.743102788925171,45.67597579956055,1.6618521516395788,-25.12971407055926,-91.42695475061575,-50.14953,43.850216,11.1678095,120.11391,-27.815395,5.7031784,-43.962173,-56.0328,-22.615454,126.79113,-31.14047,-12.367521,0.89257365,-2.9404356,29.793802,-101.88698,34.745934,-81.62251,-14.635688,-7.260938,-1.8853804,6.1723485,-116.84706,-22.684502,79.45518,-4.429952,31.025839,-5.485131,-16.37984
6,0.005953117739409208,3.7153334617614746,45.690120697021484,1.6861992870898983,-25.133689015931306,-91.472076416407,-50.12431,43.834633,11.10019,120.114006,-27.75974,5.5929356,-43.861042,-55.98819,-22.674902,126.78049,-31.254343,-12.388229,0.9672721,-3.0347967,29.793802,-102.18307,34.76445,-81.98398,-14.652282,-7.317182,-1.9722915,6.136498,-116.89349,-22.521456,79.45985,-4.301039,30.842173,-5.5611625,-16.709114
7,-0.009451562538743019,3.6884329319000244,45.70697021484375,1.7060976420154912,-25.148964454327366,-91.51903267705055,-50.08667,43.8169,11.023322,120.10761,-27.706053,5.4740973,-43.735096,-55.935123,-22.745672,126.76231,-31.3684,-12.405316,1.047791,-3.1302183,29.793802,-102.56217,34.802185,-82.361565,-14.665037,-7.4018946,-2.0696926,6.09648,-117.0061,-22.38771,79.46246,-4.190365,30.640818,-5.6285663,-17.064714
8,-0.02389400824904442,3.666987180709839,45.72446823120117,1.7211438598987627,-25.181028589330058,-91.57062187991461,-50.022793,43.800617,10.944999,120.094475,-27.66436,5.355009,-43.580143,-55.873882,-22.826092,126.73877,-31.479914,-12.421258,1.1355196,-3.2236648,29.793802,-103.032745,34.857384,-82.69499,-14.654859,-7.519383,-2.1543617,6.057646,-117.22422,-22.28485,79.4397,-4.0823283,30.461918,-5.664076,-17.389812
9,-0.0374990738928318,3.6486241817474365,45.74578857421875,1.7337836179028367,-25.23948622058952,-91.62746230435376,-49.92522,43.78315,10.862649,120.07466,-27.632956,5.2350426,-43.389614,-55.805332,-22.915627,126.70851,-31.58569,-12.439052,1.2316602,-3.31057,29.793802,-103.597984,34.928352,-82.99553,-14.622456,-7.6534367,-2.2228224,6.0208488,-117.545784,-22.214197,79.39183,-3.992648,30.28624,-5.656783,-17.72428
10,-0.051533523947000504,3.632572650909424,45.76780319213867,1.739461305087653,-25.318678629439013,-91.68770329545032,-49.80282,43.76396,10.773062,120.0491,-27.607815,5.1105537,-43.166542,-55.72927,-23.016283,126.67134,-31.688887,-12.457331,1.3355597,-3.3934572,29.793802,-104.25321,35.013603,-83.28645,-14.573576,-7.807068,-2.2865016,5.98325,-117.95411,-22.176064,79.331024,-3.924274,30.102646,-5.620579,-18.079853
11,-0.06577913463115692,3.611417531967163,45.793006896972656,1.7426633597771466,-25.40190491735915,-91.7519155032827,-49.66455,43.74926,10.684934,120.01583,-27.59626,4.9856606,-42.92443,-55.643047,-23.126589,126.62838,-31.793085,-12.469621,1.4485166,-3.4771566,29.793802,-104.99587,35.104767,-83.52282,-14.494554,-8.013338,-2.3447597,5.9436703,-118.4641,-22.171366,79.249954,-3.839965,29.963879,-5.5713515,-18.359327
12,-0.07894601672887802,3.5835347175598145,45.82482147216797,1.7416803150055722,-25.47200653271343,-91.81895736321407,-49.519497,43.7448,10.606947,119.97526,-27.605387,4.8646054,-42.67717,-55.54544,-23.246658,126.57617,-31.90145,-12.470803,1.5655166,-3.572592,29.793802,-105.8227,35.217964,-83.66645,-14.386022,-8.306418,-2.396971,5.903751,-119.09355,-22.199402,79.13745,-3.7070725,29.92165,-5.5248084,-18.46293
13,-0.0940597876906395,3.5508103370666504,45.86458206176758,1.7398943512096217,-25.527292439707047,-91.88975535200169,-49.360775,43.74906,10.54478,119.92445,-27.641504,4.7453537,-42.410927,-55.422226,-23.378359,126.50691,-32.046272,-12.439125,1.6916646,-3.6786604,29.793802,-106.73931,35.34511,-83.6715,-14.238708,-8.731827,-2.433574,5.844565,-119.8554,-22.259935,78.97009,-3.5149612,30.007679,-5.462643,-18.327223
14,-0.11114029586315155,3.5164947509765625,45.90803527832031,1.7348485272822565,-25.57624254721871,-91.96433795316797,-49.187244,43.760323,10.492463,119.86364,-27.69902,4.6268973,-42.124798,-55.279003,-23.52034,126.42467,-32.215378,-12.384436,1.8264312,-3.7922447,29.793802,-107.74507,35.486336,-83.57273,-14.057605,-9.25947,-2.4577734,5.772232,-120.73744,-22.352308,78.76028,-3.2819004,30.187347,-5.383608,-18.017136
15,-0.13094526529312134,3.4750401973724365,45.95430374145508,1.7245052532706318,-25.616358915729375,-92.0410197035649,-49.013252,43.782818,10.443109,119.797745,-27.767904,4.514509,-41.848858,-55.14322,-23.669724,126.34575,-32.346016,-12.347986,1.965182,-3.909384,29.793802,-108.8257,35.64157,-83.43642,-13.848376,-9.807267,-2.4884117,5.718707,-121.72109,-22.476015,78.56622,-3.009843,30.415743,-5.3314915,-17.63012
16,-0.14628614485263824,3.426300287246704,46.00560760498047,1.701647325495448,-25.645602968468427,-92.11741650698778,-48.856186,43.821575,10.387776,119.72909,-27.836689,4.41334,-41.614727,-55.04206,-23.823292,126.28409,-32.374233,-12.370925,2.1036355,-4.025911,29.793802,-109.96763,35.810402,-83.32856,-13.618078,-10.29463,-2.5450096,5.715495,-122.78689,-22.630457,78.44514,-2.7025893,30.649178,-5.3511786,-17.263285
17,-0.1630052626132965,3.3747310638427734,46.061405181884766,1.6646398158197013,-25.653805596261744,-92.19770149494566,-48.724827,43.8874,10.326085,119.660675,-27.910368,4.326315,-41.396427,-54.945,-24.001083,126.22884,-32.35325,-12.445613,2.2478652,-4.138652,29.793802,-111.18842,35.992332,-83.245705,-13.360997,-10.767347,-2.6441302,5.7987375,-123.96264,-22.815823,78.39251,-2.3337536,30.890062,-5.45257,-16.88527
18,-0.1763371229171753,3.3263697624206543,46.11717987060547,1.6154909004032545,-25.64710712766316,-92.28142851818447,-48.607853,43.97429,10.26125,119.58957,-27.99215,4.249805,-41.187805,-54.850292,-24.197166,126.17638,-32.293884,-12.555852,2.3987005,-4.248142,29.793802,-112.49235,36.13442,-83.15818,-13.02499,-11.245447,-2.7727206,5.940503,-125.25539,-22.975103,78.38665,-1.854397,31.156927,-5.611567,-16.460138
19,-0.18886153399944305,3.281428575515747,46.178932189941406,1.5598940373431016,-25.642105665349277,-92.3603379291091,-48.491596,44.06147,10.19567,119.51395,-28.07,4.180257,-41.04883,-54.829052,-24.373842,126.159,-32.06994,-12.731473,2.5416362,-4.367404,29.793802,-113.83494,36.338543,-83.103035,-12.7236595,-11.611621,-2.9065468,6.0820713,-126.58989,-23.218908,78.45454,-1.437526,31.436401,-5.825416,-16.085861
20,-0.20026248693466187,3.238189935684204,46.245643615722656,1.5002726602519532,-25.637704743605937,-92.42511717505155,-48.38798,44.128918,10.12851,119.43483,-28.128883,4.1175737,-41.058456,-54.956127,-24.498596,126.20828,-31.553577,-13.008571,2.6538975,-4.504631,29.71491,-115.11767,36.554825,-83.105705,-12.423209,-11.74052,-3.0225437,6.161209,-127.849754,-23.492804,78.61282,-1.1034224,31.70202,-6.095081,-15.85373
21,-0.20445911586284637,3.201019763946533,46.317447662353516,1.434385893034793,-25.607149618396196,-92.47026185755547,-48.33298,44.17343,10.055337,119.34974,-28.159725,4.0672708,-41.23435,-55.24164,-24.58124,126.32901,-30.720058,-13.388095,2.7144186,-4.672871,29.444574,-116.273254,36.766495,-83.19428,-12.106626,-11.536765,-3.105639,6.159922,-128.96475,-23.77661,78.87371,-0.84823793,31.973698,-6.4610076,-15.797902
22,-0.20464050769805908,3.1670920848846436,46.38990020751953,1.3642039492761633,-25.59954584488978,-92.50080889316692,-48.25597,44.1991,9.981159,119.25665,-28.179605,4.0204525,-41.4855,-55.653973,-24.629358,126.50448,-29.640594,-13.848862,2.7534626,-4.856368,29.189241,-117.47199,36.975533,-83.349754,-11.767761,-11.093912,-3.1635342,6.1104994,-130.1196,-24.071651,79.2406,-0.61576855,32.264256,-6.9016237,-15.862407
