Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.06813482940196991,2.2717642784118652,78.44046783447266,-0.061650451610451705,-2.0230730030422412,-90.7311607862112,2.9232457,4.1434336,7.745789,7.735996,-9.369211,-4.7326784,3.0141072,-3.8042057,-9.07712,7.5438547,-7.9680557,5.137877,-2.4602408,0.8143875,6.196449,4.8354144,17.72485,-25.551502,54.58474,-3.0143595,1.6225951,-3.7530298,-1.004684,-14.874322,32.091045,56.89934,-1.1181731,5.2732706,0.97109586
1,0.06861976534128189,2.280924081802368,78.4403076171875,-0.060638373015122184,-2.049734039675299,-90.74118128014781,2.9482267,4.1399345,7.756611,7.740139,-9.369003,-4.7343125,3.0273874,-3.80885,-9.065944,7.56214,-7.972712,5.1332717,-2.4579809,0.79588896,6.173757,4.8417444,17.739027,-25.565897,54.594704,-3.0107152,1.6120723,-3.752291,-1.0100682,-14.880263,32.119915,56.889187,-1.1376836,5.279607,1.0222931
2,0.07215292006731033,2.2845869064331055,78.43962097167969,-0.05774377409931059,-2.0760831391346932,-90.75091299707992,2.9730783,4.1360292,7.767355,7.7445145,-9.369106,-4.736354,3.0405135,-3.8141427,-9.055024,7.580865,-7.9779363,5.128527,-2.4641528,0.7763105,6.150625,4.87004,17.76433,-25.578949,54.580196,-3.0158293,1.6035274,-3.7532704,-1.0112555,-14.892959,32.168915,56.868393,-1.1439489,5.288425,1.0737672
3,0.0767436996102333,2.2929604053497314,78.43898010253906,-0.056579082428329854,-2.1023363102857897,-90.76102504555402,2.997505,4.1329274,7.778065,7.7483916,-9.368453,-4.737585,3.0545726,-3.818147,-9.043879,7.595905,-7.980498,5.1240754,-2.4667773,0.7582318,6.1268964,4.884939,17.781466,-25.589458,54.581512,-3.0147467,1.5935206,-3.7499106,-1.0159546,-14.902927,32.206276,56.854,-1.1570524,5.294412,1.1205909
4,0.08093530684709549,2.30342173576355,78.43910217285156,-0.056385512309864105,-2.12784855295799,-90.77192667947432,3.0182936,4.1318016,7.7884474,7.7551537,-9.368417,-4.736893,3.0659852,-3.8204725,-9.031966,7.61101,-7.981037,5.120488,-2.4733121,0.7396933,6.101886,4.9076796,17.80258,-25.594416,54.57055,-3.018082,1.5840913,-3.7353358,-1.017753,-14.9168,32.245564,56.830063,-1.1641319,5.296011,1.1502886
5,0.08507635444402695,2.3152389526367188,78.43983459472656,-0.05973070235309661,-2.151262701552423,-90.78366140010232,3.0330446,4.1343565,7.797732,7.766547,-9.369278,-4.733557,3.0747747,-3.819253,-9.019164,7.6230807,-7.9775186,5.1176395,-2.4781501,0.7245238,6.0705705,4.9288526,17.814817,-25.598852,54.558388,-3.0209715,1.5792339,-3.6976674,-1.023477,-14.925827,32.277466,56.81102,-1.1766598,5.2935314,1.1590428
6,0.09036467969417572,2.3251984119415283,78.44136810302734,-0.06289708472965967,-2.172778952163059,-90.79617674322157,3.0451617,4.1389265,7.806574,7.7773795,-9.369134,-4.7282543,3.0808728,-3.8156106,-9.005628,7.6339993,-7.9716654,5.1153746,-2.5045934,0.7063469,6.042912,4.998981,17.85993,-25.581423,54.480522,-3.036444,1.5782773,-3.6533058,-1.0195425,-14.960806,32.34534,56.75259,-1.1662723,5.288728,1.1542414
7,0.09784506261348724,2.336233377456665,78.4446029663086,-0.06690534256805711,-2.195705613171979,-90.80900284934809,3.055929,4.143576,7.815743,7.7912655,-9.369849,-4.7220078,3.087021,-3.8123417,-8.991831,7.644604,-7.9644184,5.113979,-2.514504,0.6897871,6.0145082,5.0325484,17.883062,-25.574604,54.445923,-3.0445576,1.5730046,-3.6030672,-1.017357,-14.979931,32.37563,56.709858,-1.167326,5.279673,1.137948
8,0.09850110858678818,2.3509647846221924,78.44465637207031,-0.06859500193287385,-2.222208502909731,-90.82154215147179,3.0703733,4.145172,7.8261747,7.8026447,-9.369003,-4.7155724,3.0948963,-3.8122451,-8.978662,7.6563797,-7.9573894,5.113808,-2.5348306,0.6702541,6.005936,5.099337,17.920448,-25.539534,54.363243,-3.041039,1.5680493,-3.5621705,-1.0025169,-15.013177,32.39529,56.629223,-1.1604451,5.274188,1.110694
9,0.10180650651454926,2.371514320373535,78.44479370117188,-0.06648611341137947,-2.2560189842533367,-90.833606409741,3.0917807,4.142019,7.8382993,7.8136106,-9.368729,-4.7089424,3.1080432,-3.8175347,-8.966433,7.6716175,-7.953241,5.1156583,-2.5470958,0.6481795,6.0080123,5.1484017,17.944483,-25.49716,54.30171,-3.0121953,1.5570154,-3.5372727,-0.98356396,-15.036551,32.378372,56.544006,-1.1502413,5.2650194,1.0720518
