Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.436577558517456,-0.883940577507019,62.063934326171875,28.16246274570451,-5.55019334031211,6.817281073486263,9.06167,-4.0431166,1.1881595,30.296307,-28.463917,-15.000033,-36.377117,-27.59237,-10.162429,132.68144,-32.813778,-15.000033,-11.200977,-12.358725,25.056189,-51.97827,29.417084,-17.811653,-11.029868,13.416327,-13.5018425,13.103832,33.52564,-25.909573,13.525346,7.8832912,2.067497,-11.041703,-16.644413
1,0.016271434724330902,-0.7416194081306458,62.13652038574219,27.066282797785632,-5.315244685718758,7.202989210686383,12.123056,-2.720152,-0.017735526,27.385572,-27.159819,-15.000033,-41.08903,-27.472504,-12.058233,129.22948,-31.395462,-15.000033,-13.379526,-11.778255,23.950846,-57.60793,29.218912,-16.457897,-10.019164,13.184584,-12.801296,12.909989,36.669796,-26.308815,13.980377,7.1778812,1.7514743,-11.30718,-16.624887
2,2.5160093307495117,-0.6398140788078308,62.24297332763672,25.973507485685182,-5.080393960355449,7.589042574261821,15.235752,-1.3734746,-1.1577839,24.424583,-26.034245,-15.000033,-45.65219,-27.36259,-13.910184,125.79216,-30.15135,-15.000033,-15.652281,-11.073069,22.93457,-63.413097,28.820337,-14.986098,-8.928611,13.11185,-12.132486,12.694076,39.91318,-26.959717,14.514812,6.301562,1.5412508,-11.572596,-16.636923
3,5.072984218597412,-0.5811765789985657,62.378684997558594,24.934610141797585,-4.719309181174855,7.941969304274671,18.227709,-0.014868235,-2.090786,21.424644,-24.522593,-15.000033,-49.914433,-27.1796,-15.786231,122.00285,-28.918829,-15.000033,-17.891153,-10.254592,21.894667,-68.98265,28.34591,-13.580531,-7.8046246,13.057671,-11.490906,12.496104,43.17003,-27.744999,14.899523,5.3953104,1.3785462,-11.802979,-16.630814
4,7.698019027709961,-0.5761150121688843,62.531681060791016,24.009869068080018,-4.107779307498465,8.222144470100176,20.92164,1.3230071,-2.6778517,18.41981,-22.058582,-15.000033,-53.688248,-26.82562,-17.71153,117.49231,-27.587742,-15.000033,-19.978823,-9.330354,20.69448,-73.886185,27.934103,-12.431381,-6.7111316,12.848133,-10.867124,12.35296,46.390182,-28.55571,14.893558,4.5740433,1.221613,-11.962665,-16.555666
5,10.367903709411621,-0.6293731927871704,62.68670654296875,23.197113111094037,-3.1432250082279163,8.449614902757244,23.221697,2.656398,-2.9311852,15.433851,-18.462584,-15.000033,-57.073326,-26.223608,-19.59924,112.093636,-26.129532,-15.000033,-21.92789,-8.293196,19.208067,-78.1486,27.71257,-11.601173,-5.6585755,12.302405,-10.239372,12.320708,49.549747,-29.314743,14.4409895,3.9289112,1.0213792,-12.039836,-16.407969
6,13.092029571533203,-0.7279194593429565,62.8518180847168,22.511311694662805,-1.9519491147648604,8.632212392548732,25.24006,3.9345086,-2.9660976,12.529,-14.075078,-15.000033,-60.125973,-25.429136,-21.316921,106.02739,-24.637491,-15.000033,-23.808365,-7.224108,17.535234,-81.90884,27.715523,-11.011641,-4.6978197,11.474159,-9.60276,12.384621,52.61469,-29.990622,13.688737,3.461094,0.7758199,-12.060045,-16.204832
7,15.854628562927246,-0.8603602647781372,63.01469039916992,22.037969378941792,-0.7571757187745103,8.705718452823481,27.12056,5.004229,-2.816044,9.79222,-9.097395,-15.000033,-62.617096,-24.508791,-22.785868,99.49503,-23.161112,-15.000033,-25.583189,-6.264152,15.8482275,-84.97029,27.884136,-10.666251,-3.8466458,10.552637,-8.974557,12.45877,55.545334,-30.56141,12.702088,3.133039,0.5374688,-12.042239,-15.926076
8,18.637287139892578,-1.0153290033340454,63.17183303833008,21.838822784202875,0.23102698598058646,8.613381599689847,28.942726,5.7207355,-2.5111506,7.4020243,-3.744399,-15.000033,-64.345375,-23.518227,-23.967241,92.675095,-21.707914,-15.000033,-27.18853,-5.532289,14.301624,-87.164444,28.095764,-10.567763,-3.075792,9.752976,-8.373031,12.442569,58.329914,-31.004864,11.529609,2.888728,0.36015832,-12.004883,-15.55119
9,21.442176818847656,-1.1899977922439575,63.3313102722168,21.93253678933813,1.046015791877474,8.347543941346833,29.89144,6.0037804,-1.9142708,6.8832498,1.6127169,-15.000033,-65.31294,-22.398159,-24.937197,85.34913,-20.178192,-15.000033,-28.562908,-5.012245,12.833709,-88.497345,28.262386,-10.772398,-2.2375312,9.1321745,-7.8350034,12.326421,61.078506,-31.279106,10.0462265,2.6870098,0.20883934,-11.9605055,-15.026328
