Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.526052951812744,2.4365017414093018,78.2300796508789,1.1290645488919155,-4.702640080659904,-81.72226839303552,7.0138545,1.585303,4.1174855,8.513514,-10.924807,-3.3339748,11.579189,-6.0932264,-19.911545,7.076523,-12.746733,5.743013,-0.46761304,-0.720657,9.558029,0.1765066,15.961513,-36.149548,54.207138,-1.7543714,5.896898,3.1070814,-3.6096652,-11.938065,34.897747,58.32353,-7.5750346,6.1342716,0.03823461
1,-2.54526424407959,2.445844888687134,78.23432922363281,1.1505328240657036,-4.578602762998823,-81.63931601916366,6.8467474,1.557674,4.044545,8.485567,-10.854576,-3.3346634,11.4398155,-6.1123705,-19.983927,7.075714,-12.741058,5.744924,-0.49119633,-0.7450392,9.527867,0.07748558,15.981658,-36.22861,54.2456,-1.6688324,5.9065022,3.087076,-3.673436,-11.940006,34.977142,58.346367,-7.464617,6.131749,0.081908494
2,-2.5639283657073975,2.461637258529663,78.23872375488281,1.1706693008649225,-4.455901257057343,-81.55937550791312,6.6834435,1.5305015,3.9753492,8.456772,-10.785368,-3.3377013,11.302061,-6.131593,-20.053839,7.0752735,-12.7363,5.746646,-0.51450413,-0.7700911,9.49221,-0.014722939,16.007908,-36.319866,54.281216,-1.5898468,5.917028,3.0693188,-3.72852,-11.94255,35.058186,58.366947,-7.338769,6.12877,0.11976986
3,-2.5857582092285156,2.479938507080078,78.24603271484375,1.191884971090463,-4.329924561414442,-81.47336053244246,6.5124116,1.5027077,3.898764,8.429097,-10.713669,-3.336248,11.161041,-6.150405,-20.128645,7.073376,-12.729246,5.7485714,-0.5342821,-0.79654574,9.462024,-0.11081427,16.039736,-36.409313,54.309025,-1.517811,5.926598,3.052535,-3.7905865,-11.946331,35.148155,58.38425,-7.2287993,6.1282625,0.1632947
4,-2.6027143001556396,2.5093820095062256,78.25575256347656,1.211377375954318,-4.195793026962732,-81.37201726757647,6.3196826,1.4735425,3.8036473,8.411573,-10.640545,-3.323363,11.01034,-6.1689095,-20.215601,7.072397,-12.718757,5.7508545,-0.5478332,-0.8241623,9.443012,-0.2310581,16.066698,-36.4871,54.345318,-1.4559314,5.9303594,3.0370085,-3.8745613,-11.951303,35.260597,58.40215,-7.1615944,6.1327696,0.2222782
5,-2.6228322982788086,2.529447555541992,78.26654052734375,1.2325923012167284,-4.0520719838906585,-81.24825948394721,6.100468,1.4389703,3.6809404,8.404565,-10.565073,-3.294343,10.850922,-6.1896887,-20.320292,7.0710425,-12.705307,5.7550993,-0.569489,-0.8564757,9.430338,-0.3515724,16.097652,-36.557594,54.367226,-1.425966,5.9335527,3.0356684,-3.9774559,-11.959635,35.425568,58.414875,-7.123769,6.146849,0.29360157
6,-2.6399242877960205,2.557521104812622,78.28025817871094,1.254924868648423,-3.901918461438016,-81.10909572365566,5.863511,1.3998827,3.5392544,8.404364,-10.487573,-3.2542753,10.686154,-6.2127595,-20.437233,7.0680933,-12.688817,5.760499,-0.5886641,-0.89471734,9.427414,-0.49452227,16.124117,-36.616985,54.402977,-1.4065601,5.931432,3.0360837,-4.096532,-11.969463,35.60684,58.42629,-7.123203,6.16458,0.3811463
7,-2.6585702896118164,2.5894229412078857,78.29471588134766,1.2760979371755024,-3.744462671109486,-80.96488989184648,5.613353,1.3613744,3.392648,8.405724,-10.404183,-3.2112398,10.510646,-6.2344127,-20.558533,7.0663443,-12.668547,5.7644563,-0.613347,-0.92886674,9.430264,-0.62896615,16.15811,-36.658592,54.409225,-1.3941993,5.9273796,3.0373194,-4.2384534,-11.985295,35.839108,58.438084,-7.136242,6.188755,0.46922645
8,-2.6866044998168945,2.6310269832611084,78.31072998046875,1.2925229644447043,-3.5794501795272047,-80.82636398736909,5.3560605,1.3294748,3.255338,8.402229,-10.310836,-3.1731012,10.321144,-6.250312,-20.676477,7.063554,-12.640164,5.7643437,-0.63857204,-0.9499256,9.442409,-0.7435172,16.206018,-36.669746,54.35862,-1.3689489,5.922289,3.0300252,-4.4131293,-12.012665,36.120667,58.45537,-7.1631556,6.2188053,0.55188996
9,-2.706509828567505,2.662642240524292,78.3245620727539,1.301205640689862,-3.405004903493866,-80.69882133741801,5.093206,1.3023582,3.1350412,8.390013,-10.20401,-3.1448774,10.114909,-6.2622695,-20.786665,7.060562,-12.601983,5.758905,-0.5920063,-0.9564686,9.459882,-0.92050976,16.22652,-36.719448,54.340393,-1.3327802,5.916317,3.010497,-4.5992627,-12.028597,36.3559,58.49705,-7.256053,6.251348,0.62546885
10,-2.7258172035217285,2.704883098602295,78.34068298339844,1.3117102775087273,-3.2212173819097276,-80.57590367689674,4.8225656,1.2752033,3.0235083,8.36957,-10.08525,-3.1215897,9.893871,-6.274568,-20.893875,7.056741,-12.555534,5.7499776,-0.5996302,-0.95420706,9.4704,-1.0334723,16.262653,-36.705112,54.25018,-1.3006537,5.9102917,2.9870248,-4.827511,-12.063119,36.746998,58.551712,-7.3174067,6.2955008,0.6749973
11,-2.7455549240112305,2.755260705947876,78.35527038574219,1.3155488147771566,-3.032630055705018,-80.45128188259366,4.5413423,1.2541718,2.9107013,8.352726,-9.961674,-3.0964541,9.664056,-6.2806525,-21.003756,7.053255,-12.506617,5.738576,-0.5932614,-0.94112486,9.499554,-1.1529889,16.305098,-36.675495,54.121864,-1.2539396,5.898536,2.9626088,-5.0788,-12.107033,37.137295,58.594757,-7.403935,6.342056,0.7422472
12,-2.7664849758148193,2.8024492263793945,78.36634826660156,1.3093418026723076,-2.842640908891827,-80.31806280695011,4.2443175,1.2457691,2.786069,8.352445,-9.840946,-3.0631044,9.431129,-6.2737103,-21.122587,7.0492797,-12.459904,5.7259297,-0.5628591,-0.91437656,9.543511,-1.2933844,16.347376,-36.666508,53.967407,-1.2067353,5.875354,2.9559295,-5.3505073,-12.150168,37.500374,58.624146,-7.495163,6.388086,0.84367687
13,-2.7854413986206055,2.8583309650421143,78.37258911132812,1.276401534384911,-2.6487226221424853,-80.16922709640171,3.7567532,1.2746933,2.6376517,8.734128,-9.920345,-3.0207505,9.19405,-6.234911,-21.257599,7.0429482,-12.417136,5.7089643,-0.5536491,-0.8563803,9.605772,-1.4137394,16.413921,-36.643784,53.734474,-1.1596017,5.843169,2.9701517,-5.6493716,-12.211314,37.89552,58.626236,-7.5704694,6.435464,0.9922421
14,-2.8047702312469482,2.9085659980773926,78.37174224853516,1.2010627602212904,-2.446784699927233,-80.00643045012227,2.9492826,1.3608387,2.4623666,9.764853,-10.337158,-2.9762614,8.948164,-6.148116,-21.408356,7.0332766,-12.375209,5.6854625,-0.5369507,-0.7535544,9.6818075,-1.5330368,16.5039,-36.634357,53.440037,-1.1172142,5.804754,2.998022,-5.963181,-12.285449,38.28886,58.603676,-7.65138,6.483578,1.1774336
15,-2.823091983795166,2.9718146324157715,78.3678207397461,1.1029725226585,-2.241583177210953,-79.83888082354217,2.1053977,1.4711908,2.2749097,10.853329,-10.77424,-2.931994,8.696748,-6.034349,-21.56576,7.023162,-12.332658,5.6609416,-0.50520235,-0.62577343,9.771453,-1.6474844,16.60772,-36.61797,53.09544,-1.0656855,5.7553287,3.0311277,-6.298106,-12.362414,38.66657,58.557613,-7.734848,6.533537,1.3740941
16,-2.844918727874756,3.0406334400177,78.35865783691406,0.9679275007442388,-2.030443591096848,-79.6679506346005,1.1913689,1.624712,2.0706499,12.06244,-11.251515,-2.8952484,8.438424,-5.8763194,-21.729792,7.0102005,-12.286346,5.636678,-0.4657462,-0.45769128,9.868883,-1.7433739,16.719313,-36.564693,52.699543,-0.98786193,5.6909456,3.059426,-6.662277,-12.436596,39.024746,58.4843,-7.812549,6.5868597,1.5584692
17,-2.8654391765594482,3.119828939437866,78.34628295898438,0.7923144138618388,-1.810937114466005,-79.49246073155793,0.19579947,1.8243243,1.8484203,13.413607,-11.787189,-2.858824,8.169533,-5.667709,-21.901556,6.9943905,-12.233043,5.6115813,-0.43067303,-0.24555524,9.976955,-1.8038567,16.851574,-36.449062,52.214615,-0.85945034,5.6133046,3.0719695,-7.0631337,-12.5143585,39.380733,58.389767,-7.879819,6.6454496,1.7338841
18,-2.891080617904663,3.1947779655456543,78.3303451538086,0.5842617451958637,-1.5849898755176717,-79.31255704908897,-0.8676672,2.057258,1.6095955,14.88456,-12.37181,-2.8242412,7.8912883,-5.4193635,-22.080793,6.9776454,-12.175206,5.5854607,-0.39477676,0.0022197345,10.096406,-1.840204,17.001545,-36.29058,51.65448,-0.695142,5.523662,3.0769987,-7.495585,-12.591074,39.733753,58.276283,-7.940914,6.7081594,1.9097323
19,-2.9172492027282715,3.272939920425415,78.30335235595703,0.34767568256746256,-1.3561781472353631,-79.13119674922729,-1.9762673,2.3192828,1.3541143,16.435839,-12.968595,-2.8106327,7.6118784,-5.1374903,-22.265772,6.9589977,-12.118972,5.5609055,-0.35468215,0.27968636,10.225981,-1.8519987,17.169176,-36.107426,51.05157,-0.5361802,5.4191165,3.0888343,-7.9510345,-12.667189,40.067924,58.120132,-7.9981503,6.7726927,2.072177
20,-2.947411060333252,3.346298933029175,78.26689147949219,0.08679892146253405,-1.12844461282888,-78.95146712024335,-3.1057143,2.6062424,1.0818436,18.023045,-13.539612,-2.8401034,7.3360333,-4.8301363,-22.454288,6.939482,-12.069483,5.540991,-0.30353358,0.5819692,10.364915,-1.8425508,17.352152,-35.9214,50.441048,-0.42426223,5.296611,3.1222007,-8.415021,-12.742294,40.362186,57.889374,-8.055473,6.8373528,2.207775
21,-2.971848487854004,3.4322619438171387,78.22160339355469,-0.22054098920692208,-0.8980277268734634,-78.77451549338457,-4.2667193,2.942394,0.79080796,19.662287,-14.113807,-2.9267018,7.0572057,-4.472935,-22.647377,6.919107,-12.028586,5.514894,-0.23831943,0.931614,10.507659,-1.8170987,17.55077,-35.747902,49.816593,-0.37522793,5.1508484,3.193063,-8.884942,-12.81667,40.59443,57.584583,-8.088059,6.906248,2.3102598
22,-2.985659122467041,3.5088815689086914,78.17086029052734,-0.564540517885613,-0.6644029338594393,-78.59874354264511,-5.4648314,3.318316,0.4814431,21.36722,-14.6995945,-3.058364,6.7737665,-4.0720973,-22.845722,6.89707,-11.9923725,5.4855895,-0.1616244,1.3225474,10.656226,-1.7741269,17.7651,-35.574734,49.16609,-0.36547342,4.9851,3.2897456,-9.366214,-12.890741,40.778362,57.217907,-8.103843,6.979134,2.3881767
