Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.04168154299259186,3.491964101791382,51.404579162597656,-1.361037153331528,-14.856306706978303,-88.35209032865266,-62.264908,15.585797,5.641923,97.45486,-18.672056,1.8713508,-61.13741,-16.418123,-8.500383,95.56802,-14.842397,-4.0490646,-2.8705726,-0.38508832,27.252876,-1.1238335,11.033758,-34.24013,19.322525,44.755844,13.659801,26.553637,-12.544446,-8.557034,47.07239,29.611904,-59.715904,17.800322,-26.965647
1,-0.03873037174344063,3.4852757453918457,51.410614013671875,-1.3743903316113126,-14.788499131639039,-88.32684508442125,-62.342644,15.584749,5.6515775,97.4461,-18.640337,1.9014168,-61.15164,-16.41149,-8.50144,95.5324,-14.951367,-4.000719,-2.929591,-0.34831184,27.401823,-1.1780832,11.061426,-34.45521,19.22185,44.776714,13.854476,26.715364,-12.6007805,-8.545855,47.173595,29.540016,-59.813717,17.856737,-27.057241
2,-0.030790606513619423,3.472592353820801,51.41946792602539,-1.387507942020997,-14.723506911412366,-88.30079637046576,-62.41684,15.584818,5.6640897,97.43779,-18.609787,1.9337517,-61.162674,-16.405931,-8.501075,95.497185,-15.062028,-3.9497094,-2.9669619,-0.31472948,27.560934,-1.2137363,11.139838,-34.704254,19.068836,44.772514,14.055132,26.876165,-12.638094,-8.557068,47.25149,29.428175,-59.91012,17.90747,-27.143034
3,-0.02521742507815361,3.4653496742248535,51.42747116088867,-1.4011123388872713,-14.652326080423675,-88.27613009973705,-62.498543,15.5825205,5.6718388,97.4286,-18.57672,1.9615991,-61.181087,-16.399012,-8.502779,95.46142,-15.169316,-3.9043853,-3.0073338,-0.2845011,27.729311,-1.2286992,11.239346,-34.940426,18.879292,44.780907,14.254681,27.040443,-12.660528,-8.592339,47.33539,29.277325,-60.01221,17.963196,-27.233824
4,-0.026316864416003227,3.4577198028564453,51.43412780761719,-1.4164706230912714,-14.565697216076293,-88.25499130395393,-62.59943,15.573975,5.6672153,97.41746,-18.536402,1.9779476,-61.219063,-16.389091,-8.509132,95.42531,-15.26848,-3.8726974,-3.0428984,-0.25548518,27.905567,-1.2243704,11.35587,-35.166348,18.657335,44.820908,14.458519,27.22131,-12.6620035,-8.646373,47.41922,29.090689,-60.13481,18.03192,-27.340864
5,-0.03473592549562454,3.4463517665863037,51.441986083984375,-1.4337006060437782,-14.45874882866598,-88.23546846274085,-62.728516,15.552348,5.643288,97.40446,-18.481308,1.9804666,-61.28359,-16.37613,-8.521027,95.389595,-15.353414,-3.866946,-3.075193,-0.22454505,28.086653,-1.1998911,11.486405,-35.375935,18.402107,44.903828,14.6664505,27.422071,-12.639516,-8.715122,47.49631,28.869356,-60.29025,18.112186,-27.463533
6,-0.027206115424633026,3.441499948501587,51.450096130371094,-1.4510247273482029,-14.337242354093554,-88.21763267040184,-62.878513,15.521196,5.604967,97.39032,-18.415012,1.9721262,-61.36709,-16.36052,-8.53668,95.353935,-15.427981,-3.8787363,-3.1050653,-0.19258301,28.271683,-1.1601021,11.628487,-35.573967,18.121033,45.01725,14.877657,27.636797,-12.600318,-8.795649,47.569283,28.622416,-60.46816,18.201284,-27.59743
7,-0.0283176489174366,3.433727502822876,51.46147155761719,-1.4680779420721437,-14.207809531313016,-88.20541993368218,-63.033127,15.494169,5.565518,97.37386,-18.353691,1.95769,-61.45868,-16.34227,-8.556245,95.31656,-15.503381,-3.8880496,-3.129088,-0.16497184,28.46437,-1.1100615,11.780685,-35.76946,17.825264,45.147034,15.094071,27.862768,-12.551553,-8.884853,47.649513,28.357107,-60.650883,18.30505,-27.748543
8,-0.03741363808512688,3.4218673706054688,51.47675704956055,-1.4805945764356885,-14.07722937250734,-88.2030972103143,-63.177628,15.48494,5.537308,97.35524,-18.31332,1.941349,-61.547974,-16.321062,-8.57989,95.27633,-15.590671,-3.8748255,-3.144092,-0.14743213,28.668854,-1.0536274,11.9422245,-35.971394,17.524399,45.279343,15.317231,28.096945,-12.503321,-8.979905,47.749935,28.083914,-60.81805,18.42883,-27.923504
9,-0.04486323893070221,3.4105372428894043,51.49018859863281,-1.4880117471834442,-13.95083932298457,-88.21613875311262,-63.306602,15.505307,5.521972,97.337944,-18.294176,1.9233122,-61.630337,-16.286436,-8.606559,95.23331,-15.687332,-3.8298242,-3.1454945,-0.14098175,28.887877,-0.990276,12.113845,-36.181572,17.221045,45.40801,15.545057,28.34029,-12.455002,-9.077284,47.87579,27.80246,-60.967953,18.580778,-28.12765
