Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3397539556026459,1.8841488361358643,77.83360290527344,-0.2957756849456872,-1.489569536431548,-91.27442326415388,-4.7029605,7.844592,14.091777,18.389996,-12.253761,-5.3312893,-6.5924487,-6.1206956,-9.300674,17.83797,-9.8440075,3.4997342,1.2890117,-0.21482626,9.560061,-5.633065,23.632683,-46.920055,53.05208,25.472095,-9.470811,-0.24556445,-13.654633,-23.964464,59.68212,53.888283,-7.9191813,-2.0745978,-3.7423506
1,0.36842823028564453,1.8773773908615112,77.83515167236328,-0.2994926483027231,-1.4940657624785225,-91.30306616946909,-4.679275,7.8355603,14.132919,18.390104,-12.278421,-5.324509,-6.578674,-6.131616,-9.27091,17.818855,-9.832119,3.5206423,1.2731922,-0.22028151,9.567679,-5.5985484,23.661846,-46.897827,53.00547,25.742458,-9.452349,-0.38410956,-13.617857,-23.987238,59.64037,53.871834,-7.835229,-2.061903,-3.694945
2,0.39577269554138184,1.8640797138214111,77.83523559570312,-0.30127480060989853,-1.4991987911637328,-91.33002747527769,-4.6561103,7.8274236,14.172513,18.392118,-12.304136,-5.318597,-6.563402,-6.1420994,-9.243201,17.79983,-9.821151,3.5401788,1.260025,-0.22528937,9.579653,-5.5624504,23.699623,-46.877068,52.947994,26.039598,-9.432233,-0.53729546,-13.575165,-24.023201,59.59005,53.83804,-7.7464533,-2.0478258,-3.6404402
3,0.42148223519325256,1.8547608852386475,77.8341064453125,-0.30397265903416726,-1.5026551017573921,-91.36001928827933,-4.6341395,7.8176856,14.214513,18.394236,-12.329707,-5.3109055,-6.553082,-6.153693,-9.21153,17.784227,-9.81037,3.5624785,1.2420697,-0.2287747,9.577884,-5.5410194,23.708006,-46.865913,52.934616,26.27301,-9.418957,-0.6571024,-13.547495,-24.032778,59.567352,53.848293,-7.6554823,-2.0382378,-3.6028097
4,0.4491625726222992,1.8479000329971313,77.83297729492188,-0.30087480739644756,-1.5031597852208671,-91.39880369352218,-4.6133404,7.8038316,14.264001,18.396137,-12.35449,-5.2989764,-6.5519342,-6.1682024,-9.168617,17.774038,-9.798156,3.5917594,1.2433156,-0.24125476,9.586532,-5.5111732,23.740952,-46.84407,52.88156,26.388954,-9.414156,-0.7187102,-13.499827,-24.0761,59.517372,53.80963,-7.6115685,-2.0276134,-3.5878918
5,0.48098036646842957,1.8379034996032715,77.83280944824219,-0.2918666455032291,-1.4975789019448889,-91.45040363623048,-4.5967503,7.784543,14.324011,18.398952,-12.378265,-5.281702,-6.5663466,-6.1861696,-9.109314,17.770363,-9.782105,3.6333103,1.2511958,-0.25994208,9.581003,-5.4944353,23.759926,-46.833305,52.858696,26.280321,-9.429369,-0.67478096,-13.478434,-24.10546,59.520786,53.810795,-7.579543,-2.0180647,-3.6238754
6,0.5081205368041992,1.8268122673034668,77.83078002929688,-0.27958567997272743,-1.4881903058678012,-91.51102919526264,-4.5831137,7.7618427,14.391408,18.40324,-12.40166,-5.2606635,-6.5910525,-6.206313,-9.03859,17.771637,-9.763763,3.6833658,1.2713052,-0.28472123,9.567887,-5.493728,23.762058,-46.82854,52.863243,26.024485,-9.458384,-0.55901045,-13.464968,-24.109411,59.526463,53.84659,-7.586879,-2.009777,-3.6915877
7,0.5393250584602356,1.8188371658325195,77.82970428466797,-0.2651949361170937,-1.4779960979663376,-91.5733725612435,-4.568641,7.735847,14.460524,18.405102,-12.424236,-5.2367477,-6.6202507,-6.2293887,-8.964947,17.77958,-9.7488,3.7331614,1.2784312,-0.30951583,9.55025,-5.479933,23.773542,-46.8207,52.85624,25.733044,-9.4878845,-0.42270306,-13.451585,-24.13108,59.560505,53.86905,-7.5782347,-2.010703,-3.7707765
8,0.5736076235771179,1.813725233078003,77.82819366455078,-0.2530488304626814,-1.4712738547953352,-91.62851425800845,-4.5518765,7.710877,14.522844,18.407358,-12.44876,-5.2115407,-6.642869,-6.2523794,-8.900111,17.788935,-9.740114,3.7731445,1.2791387,-0.33082968,9.536367,-5.4655743,23.78454,-46.813675,52.847477,25.546219,-9.503506,-0.3212752,-13.445164,-24.15313,59.584183,53.90095,-7.5309405,-2.0360913,-3.8283677
9,0.6065835952758789,1.805893898010254,77.82713317871094,-0.24722430594932937,-1.4698532189242977,-91.67254026546972,-4.5318727,7.6870046,14.575097,18.410988,-12.476868,-5.1847324,-6.65784,-6.276226,-8.848378,17.80607,-9.74397,3.7968662,1.2596716,-0.346041,9.520517,-5.446984,23.791553,-46.808445,52.846405,25.50379,-9.499482,-0.26052976,-13.423226,-24.168306,59.578472,53.935303,-7.4651327,-2.0984867,-3.8595524
