Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.004139365162700415,2.538675308227539,77.94068145751953,1.020855204132786,-4.7135980820616465,-91.69324585790608,8.159286,6.7738914,18.59832,6.9510894,-9.452301,-7.6257,1.8125739,-8.519976,-9.209838,18.201075,-15.283095,6.889908,-1.4288771,-0.6058064,7.876741,4.487146,20.013033,-36.88197,54.255512,-20.565668,-1.5678929,-4.6308384,1.9419384,-15.138997,26.428587,54.783855,18.681278,10.432469,3.128378
1,0.0036355438642203808,2.5401034355163574,77.94152069091797,1.0319270174928201,-4.607083055045616,-91.67741783896493,8.024288,6.7566714,18.578337,6.957102,-9.4301815,-7.623569,1.6672902,-8.538458,-9.205332,18.24624,-15.289711,6.8968024,-1.4063745,-0.6158695,7.827604,4.4756484,20.027832,-36.87838,54.23693,-20.60896,-1.5612404,-4.631247,1.9322509,-15.139998,26.439178,54.7755,18.72068,10.440544,3.1051455
2,0.0051048812456429005,2.5434353351593018,77.94344329833984,1.0429085271587866,-4.49910190125632,-91.6619845322123,7.8874764,6.7399006,18.558767,6.9650183,-9.409368,-7.6221366,1.518785,-8.556524,-9.199456,18.29481,-15.297868,6.9036016,-1.3967612,-0.62615067,7.7767982,4.486571,20.050415,-36.861263,54.19054,-20.65357,-1.5497863,-4.6316915,1.9121927,-15.142965,26.470621,54.772163,18.773,10.445463,3.0763803
3,0.0036349159199744463,2.547581672668457,77.94605255126953,1.05500082229364,-4.390233044563413,-91.64450300263802,7.7480083,6.7225623,18.537134,6.9727917,-9.387097,-7.6189637,1.3696303,-8.575926,-9.196673,18.34297,-15.305925,6.910452,-1.390149,-0.6363694,7.728818,4.4954195,20.072546,-36.84174,54.14819,-20.697523,-1.5422347,-4.631698,1.8902326,-15.147415,26.50263,54.76735,18.822046,10.455857,3.0538242
4,0.0038957546930760145,2.5535595417022705,77.94763946533203,1.0668437119297822,-4.275577712871084,-91.62066071845517,7.5969176,6.7044826,18.509254,6.9834886,-9.363527,-7.6113405,1.2132753,-8.59887,-9.2022505,18.393682,-15.315643,6.9173927,-1.381253,-0.6451806,7.6840463,4.4862432,20.085648,-36.835083,54.123734,-20.74927,-1.5435053,-4.6293197,1.8634036,-15.151461,26.527601,54.762054,18.8669,10.479775,3.045669
5,0.004834897816181183,2.5597434043884277,77.95032501220703,1.081701252463829,-4.159117463992704,-91.59039894291062,7.4396167,6.682253,18.474709,6.9949374,-9.338882,-7.597909,1.0519725,-8.629484,-9.217373,18.452686,-15.331308,6.9252176,-1.3743834,-0.6559423,7.64861,4.470052,20.093563,-36.83402,54.103928,-20.813812,-1.5568335,-4.622122,1.8273022,-15.155286,26.55125,54.754818,18.9117,10.525337,3.0557277
6,0.004434984643012285,2.5692384243011475,77.95365142822266,1.0983180028758368,-4.040849107581564,-91.55536974943841,7.2750587,6.658311,18.435,7.010834,-9.3150835,-7.580358,0.8864895,-8.665198,-9.239434,18.517778,-15.351319,6.933504,-1.3743999,-0.66767216,7.619184,4.453932,20.103146,-36.834045,54.081802,-20.890488,-1.5787969,-4.611987,1.7790536,-15.161555,26.585863,54.74958,18.96406,10.585676,3.0780602
7,0.0028326997999101877,2.5809011459350586,77.9575424194336,1.1136378231251398,-3.912920490285486,-91.51484163420804,7.0570893,6.6489553,18.385847,7.1139417,-9.33289,-7.5604043,0.712121,-8.700019,-9.267159,18.578243,-15.367279,6.9410872,-1.3726716,-0.67736065,7.588339,4.430885,20.106907,-36.839264,54.064034,-20.958048,-1.6008695,-4.601931,1.7343063,-15.164925,26.605843,54.7394,19.001425,10.648506,3.1078675
8,0.0020275928545743227,2.598501443862915,77.95927429199219,1.1212580755259987,-3.763949148323882,-91.46661318921208,6.780639,6.658062,18.326723,7.285234,-9.37869,-7.5399327,0.5196089,-8.7256155,-9.301155,18.624378,-15.370804,6.946279,-1.3842378,-0.6779616,7.5433674,4.4085584,20.116362,-36.852688,54.040348,-21.020485,-1.6164385,-4.5966454,1.6749825,-15.175529,26.644405,54.74217,19.043919,10.698275,3.1385922
9,0.013524811714887619,2.617794990539551,77.96022033691406,1.1229129010082999,-3.591258650655453,-91.41089490892841,6.4481287,6.683053,18.259161,7.5119767,-9.443405,-7.518156,0.3075073,-8.741262,-9.339543,18.651522,-15.357835,6.9496803,-1.400228,-0.670423,7.4830728,4.3884344,20.12497,-36.873653,54.007206,-21.04842,-1.6192197,-4.5928774,1.6229025,-15.187906,26.66906,54.74046,19.060146,10.733177,3.1695397
