Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.16497837007045746,1.878333330154419,78.48871612548828,-0.3082652005387213,1.4537964541164639,-92.24178069709642,3.8021634,10.384189,29.978498,6.8839197,-9.268462,-7.006464,0.673702,-8.579503,-19.940039,7.4521494,-6.7368574,6.7712235,-1.7600238,0.34282437,7.3048954,1.030597,14.639276,-34.24834,53.24388,6.99331,-1.5381378,0.8370342,-4.530171,-12.194075,34.4745,55.940094,-0.09681098,-4.350741,-0.9491209
1,0.16603057086467743,1.874407172203064,78.48869323730469,-0.30683927981679865,1.4614999452569806,-92.2343694354501,3.7927325,10.3804,29.97148,6.883286,-9.2665615,-7.012355,0.67546284,-8.58148,-19.951006,7.43829,-6.7342925,6.777876,-1.8309243,0.34944457,7.286245,1.0609529,14.666513,-34.206783,53.23146,6.9906507,-1.5259877,0.865447,-4.437964,-12.182944,34.14363,55.84382,0.19347577,-4.333197,-0.84354997
2,0.16538532078266144,1.8731696605682373,78.48763275146484,-0.30518912237668533,1.4699187763054398,-92.22853698521376,3.7826529,10.377004,29.965767,6.8821373,-9.263625,-7.0190625,0.6729891,-8.584099,-19.960363,7.4301004,-6.734567,6.7847943,-1.8700967,0.352604,7.268676,1.0677713,14.69817,-34.203312,53.233253,6.975344,-1.5123123,0.8990633,-4.338646,-12.168633,33.793716,55.744946,0.47045258,-4.308996,-0.7395048
3,0.16739489138126373,1.8681414127349854,78.48616027832031,-0.303699530617073,1.4768827988001338,-92.21964421991798,3.774215,10.372852,29.957485,6.8808675,-9.261702,-7.0242105,0.6753713,-8.586793,-19.972378,7.418574,-6.7333536,6.791204,-1.8791823,0.34699804,7.254957,1.0679232,14.754116,-34.23362,53.222374,6.9555674,-1.4995226,0.92480266,-4.207509,-12.144294,33.3526,55.62429,0.7342031,-4.299947,-0.62040037
4,0.16873177886009216,1.8664438724517822,78.48369598388672,-0.3024200558103527,1.480579635057711,-92.20304863210421,3.7681673,10.367835,29.942219,6.8808827,-9.262458,-7.0254245,0.6828556,-8.592021,-19.990063,7.41326,-6.7357554,6.796758,-1.9401096,0.34725335,7.2381105,1.0968521,14.793749,-34.19557,53.2067,6.9724092,-1.4970759,0.93024224,-4.0547905,-12.127001,32.860832,55.482254,1.0201044,-4.323536,-0.47890508
5,0.17440716922283173,1.8561439514160156,78.48356628417969,-0.3013921507006432,1.4792132929413144,-92.17656245242455,3.7668602,10.36168,29.918255,6.8813186,-9.266619,-7.020524,0.69892514,-8.599994,-20.01506,7.4142356,-6.741878,6.799623,-1.9719387,0.3425022,7.2276034,1.1157365,14.84986,-34.18593,53.187508,7.0158095,-1.5074308,0.9061633,-3.822111,-12.106575,32.182304,55.26573,1.2724113,-4.383871,-0.31039327
6,0.1767016351222992,1.8489327430725098,78.4832992553711,-0.30064691096023327,1.4743535567597317,-92.14303141573569,3.7688146,10.354568,29.887978,6.882755,-9.273994,-7.0112123,0.72049797,-8.610284,-20.045195,7.4206877,-6.7510157,6.8007927,-2.0286398,0.34209618,7.2180734,1.1500822,14.899214,-34.141624,53.16449,7.093032,-1.5291562,0.85973287,-3.5540946,-12.090485,31.432854,55.00862,1.5222257,-4.4689784,-0.12724465
7,0.17925742268562317,1.8390800952911377,78.48391723632812,-0.2995304069471874,1.4684591694936275,-92.10514999416606,3.7711902,10.34615,29.853912,6.883569,-9.280811,-7.001131,0.7462795,-8.6214485,-20.078863,7.4251103,-6.759809,6.803227,-2.0969357,0.34158063,7.206765,1.1892902,14.941794,-34.075623,53.140263,7.1715913,-1.5504752,0.8108696,-3.2636096,-12.079522,30.617882,54.743614,1.8091731,-4.5822263,0.09186623
8,0.18105950951576233,1.8335927724838257,78.48522186279297,-0.2973316161801624,1.464048610979681,-92.06584862346283,3.7716558,10.336017,29.81833,6.883332,-9.284928,-6.9939513,0.7723108,-8.633145,-20.114185,7.424457,-6.7664375,6.810079,-2.1609316,0.33598292,7.192111,1.225461,14.983023,-34.002964,53.11097,7.2182026,-1.559164,0.77892154,-2.9612904,-12.075142,29.740364,54.500183,2.1736748,-4.726612,0.36913794
9,0.18224509060382843,1.8295851945877075,78.4859619140625,-0.2930042330036538,1.462469023217721,-92.02501644170856,3.7671702,10.323405,29.781464,6.88394,-9.285817,-6.9898324,0.7955324,-8.647143,-20.149914,7.4206953,-6.771468,6.824604,-2.1880019,0.32112825,7.1789074,1.2412534,15.036698,-33.95894,53.070267,7.2084746,-1.5473877,0.76990646,-2.6164382,-12.080309,28.741749,54.246,2.6169312,-4.909988,0.7280079
10,0.18384762108325958,1.8233884572982788,78.48555755615234,-0.2871476385077372,1.462200085711211,-91.98154543223085,3.7606738,10.308171,29.742292,6.8835797,-9.28415,-6.987063,0.82002324,-8.662341,-20.18762,7.411518,-6.7737494,6.8442936,-2.249626,0.3054792,7.1620464,1.2779998,15.082648,-33.860397,53.012955,7.1830297,-1.5252149,0.77079505,-2.2678099,-12.092061,27.71382,54.00491,3.1437914,-5.1254754,1.1440619
11,0.19132079184055328,1.810583233833313,78.4858627319336,-0.2813654001799073,1.4614207788447549,-91.9362532418941,3.754545,10.292927,29.701113,6.882332,-9.281566,-6.986558,0.84540296,-8.677933,-20.228031,7.403557,-6.7781024,6.8639455,-2.3093147,0.28706247,7.143156,1.3159728,15.127401,-33.7574,52.952347,7.146535,-1.5001433,0.7783769,-1.9084866,-12.115176,26.641947,53.787083,3.7289946,-5.35528,1.5967901
12,0.19651232659816742,1.8008880615234375,78.48611450195312,-0.27673384524705325,1.4583075674308488,-91.89007634339451,3.7502697,10.279985,29.658104,6.8830814,-9.281473,-6.9891777,0.8720896,-8.693482,-20.271807,7.40174,-6.788446,6.8784432,-2.3650258,0.26585546,7.123103,1.3603965,15.1753645,-33.658115,52.88641,7.113659,-1.4807339,0.7871746,-1.5520309,-12.161047,25.561247,53.613274,4.3649473,-5.5811567,2.06095
13,0.19373083114624023,1.7913446426391602,78.48532104492188,-0.2744450798902814,1.4535724021102012,-91.84209961174784,3.747716,10.270752,29.611355,6.8833013,-9.282318,-6.9979696,0.90509796,-8.705887,-20.323519,7.3961954,-6.800979,6.885075,-2.4635231,0.24416935,7.0933156,1.4397593,15.214022,-33.50252,52.810623,7.094016,-1.4695345,0.7971496,-1.2312685,-12.217797,24.54163,53.522713,5.096017,-5.8066187,2.515334
14,0.1962609589099884,1.781252384185791,78.48309326171875,-0.2735153344892749,1.447787868569092,-91.79221047084786,3.7458587,10.263653,29.561405,6.882696,-9.282882,-7.0114884,0.93787444,-8.718501,-20.380419,7.398143,-6.8205366,6.887166,-2.5241735,0.22500765,7.0702887,1.50879,15.264144,-33.383762,52.719334,7.0563927,-1.459711,0.8113468,-0.8616964,-12.315831,23.45679,53.416676,5.8953424,-6.0338526,2.9957845
15,0.20045098662376404,1.7699775695800781,78.48257446289062,-0.2724738110519113,1.4390134499313438,-91.7426703698597,3.748373,10.256186,29.512651,6.881555,-9.284627,-7.02397,0.97417563,-8.730857,-20.436382,7.3998003,-6.840858,6.8880258,-2.6075945,0.2030991,7.0469494,1.5972193,15.313186,-33.24155,52.6205,7.036745,-1.4542377,0.8237285,-0.5126782,-12.440986,22.382452,53.359554,6.716045,-6.2511992,3.5033023
16,0.20371302962303162,1.7606818675994873,78.48291015625,-0.2700953394536447,1.4252286176748497,-91.6957871102413,3.7573974,10.246274,29.46901,6.8816504,-9.2890415,-7.0297456,1.0105674,-8.745646,-20.484058,7.408914,-6.863363,6.8911414,-2.6899297,0.17510106,7.0291195,1.6815308,15.362647,-33.11591,52.53275,7.0442657,-1.4535276,0.83129936,-0.18020177,-12.601234,21.281303,53.341557,7.485412,-6.4457493,4.056102
17,0.20838233828544617,1.7539530992507935,78.48175048828125,-0.26576434855255576,1.4045278062215438,-91.64947693455171,3.774224,10.233297,29.430147,6.883131,-9.295816,-7.024884,1.0528374,-8.761735,-20.522573,7.4175396,-6.884491,6.8958807,-2.7699738,0.14184158,7.0203543,1.7620909,15.412736,-33.011826,52.455593,7.104688,-1.461614,0.8298742,0.14767581,-12.801177,20.132069,53.35077,8.19442,-6.620065,4.6919904
18,0.2109486162662506,1.7451908588409424,78.48103332519531,-0.25990359338395097,1.3784659970595963,-91.60346088652264,3.7986279,10.217196,29.394709,6.883706,-9.304469,-7.0131083,1.0973788,-8.779875,-20.554888,7.432386,-6.9088554,6.900995,-2.8477685,0.10610636,7.0190372,1.8416253,15.463095,-32.923138,52.382393,7.201623,-1.4767947,0.82257026,0.47984877,-13.041285,18.94353,53.38143,8.876714,-6.777135,5.3926325
