Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.11595754325389862,1.744397759437561,78.14459991455078,0.38477477820978484,2.6929384962590714,-88.14596708629907,-4.020298,4.2828007,11.891747,10.945064,-10.330554,-3.0232103,-2.0555701,-8.256054,-17.161999,16.477356,-15.166168,5.253395,-3.4550176,-1.5686984,4.6119456,-1.7588348,19.297308,-37.104702,63.323772,4.865998,2.8105116,12.478221,2.7143297,-13.167016,18.135931,62.48591,-3.6437285,-4.7539325,-2.5797844
1,-0.11599661409854889,1.746110200881958,78.14424133300781,0.3842484504581162,2.6732051383225146,-88.14518825789389,-4.0041304,4.283329,11.889793,10.942966,-10.33094,-3.0253258,-2.031453,-8.253379,-17.168198,16.460093,-15.165075,5.2550707,-3.4573002,-1.5806397,4.6302633,-1.7533687,19.302853,-37.101612,63.329033,4.8730054,2.7895799,12.472353,2.70504,-13.1673975,18.127855,62.507217,-3.6453528,-4.763121,-2.591328
2,-0.11748500168323517,1.7587251663208008,78.14299774169922,0.3839081823812778,2.651034833382441,-88.14393576424584,-3.9852943,4.283329,11.887384,10.942149,-10.333608,-3.02786,-2.0032942,-8.251178,-17.175385,16.441673,-15.165869,5.2571983,-3.4586172,-1.5916932,4.6526723,-1.7470758,19.309484,-37.097496,63.330917,4.8829045,2.7671535,12.465556,2.6957035,-13.168953,18.112926,62.527317,-3.647401,-4.7739716,-2.6025589
3,-0.11720642447471619,1.770520567893982,78.14058685302734,0.3830643578665591,2.633778757581209,-88.14347823582101,-3.9720938,4.284295,11.8858385,10.939967,-10.3326025,-3.0294807,-1.9836875,-8.248401,-17.18056,16.426853,-15.163658,5.2584596,-3.457115,-1.6027954,4.671048,-1.7439936,19.31575,-37.09563,63.334846,4.8900485,2.7476482,12.459387,2.688251,-13.1715555,18.099947,62.5452,-3.6531556,-4.782043,-2.6111448
4,-0.11883056908845901,1.7798399925231934,78.14095306396484,0.3812403537940702,2.6287099906088427,-88.14484356849941,-3.974362,4.2873545,11.886766,10.938684,-10.325321,-3.028638,-1.9855782,-8.245036,-17.18052,16.422691,-15.15475,5.2576284,-3.4475086,-1.6145815,4.682429,-1.7409738,19.327545,-37.09736,63.329327,4.89259,2.7377253,12.4543085,2.6839373,-13.179395,18.090055,62.557167,-3.6690524,-4.783415,-2.6126986
5,-0.12073145806789398,1.793865442276001,78.14383697509766,0.37713031163604216,2.6431642595054567,-88.14851849943601,-4.0008597,4.2945523,11.89131,10.938559,-10.308354,-3.0241508,-2.021539,-8.24019,-17.172863,16.436491,-15.1353445,5.2540994,-3.4328434,-1.6274934,4.674001,-1.7464285,19.335852,-37.104248,63.33457,4.8843436,2.740311,12.453374,2.6771512,-13.18792,18.100758,62.574226,-3.6979961,-4.77251,-2.6091392
6,-0.12146028131246567,1.8082728385925293,78.15070343017578,0.37139761291553103,2.671348502941874,-88.15391223108158,-4.0434,4.3043613,11.898416,10.937258,-10.283627,-3.0170078,-2.0809996,-8.234063,-17.160133,16.46134,-15.10757,5.2486835,-3.4140055,-1.6408575,4.6519575,-1.7498269,19.34389,-37.111923,63.336655,4.871422,2.7542396,12.456372,2.6712961,-13.199913,18.12579,62.5911,-3.7348616,-4.7520647,-2.6023011
7,-0.12766669690608978,1.8180135488510132,78.15413665771484,0.36594435649045,2.701793418376181,-88.16015898545166,-4.089843,4.3138704,11.905892,10.936689,-10.257401,-3.0093086,-2.1455455,-8.22845,-17.145641,16.488962,-15.080151,5.242038,-3.4018402,-1.6509485,4.6308346,-1.7449563,19.356565,-37.11557,63.325264,4.852949,2.7691488,12.458425,2.668512,-13.223482,18.165644,62.596924,-3.759644,-4.731745,-2.5898666
8,-0.1274470090866089,1.8325660228729248,78.15752410888672,0.3631054761707425,2.722454032324122,-88.1668398950667,-4.1265655,4.319813,11.911903,10.938257,-10.23632,-3.0031085,-2.1956134,-8.225327,-17.132524,16.509043,-15.060818,5.234931,-3.3888488,-1.6642778,4.6206,-1.7525843,19.36309,-37.121803,63.32863,4.838337,2.774835,12.45739,2.660696,-13.237459,18.18777,62.60982,-3.7763097,-4.7235155,-2.5758438
9,-0.12529587745666504,1.8489656448364258,78.15929412841797,0.3648675339714541,2.7301322803709165,-88.17458816296168,-4.1502542,4.3194695,11.915046,10.941441,-10.222251,-2.9991267,-2.2273862,-8.226238,-17.120079,16.519857,-15.054291,5.2260656,-3.3798807,-1.6795202,4.6250324,-1.7620325,19.368376,-37.127354,63.333153,4.829003,2.767603,12.452759,2.652124,-13.249806,18.199944,62.620686,-3.7715065,-4.7295766,-2.557718
