Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.16492246091365814,2.847412347793579,46.785850524902344,-2.453513626665266,-23.120987662937715,-88.18816018899946,-62.574234,14.189141,-9.091799,100.32903,-16.044767,-6.3334985,-59.39588,-17.962421,-0.7919517,100.15853,-18.103485,3.958278,-2.9842062,1.6505812,24.399126,-93.491,19.918318,-77.771774,-15.541668,21.709799,-1.0956951,15.220285,-100.08688,-26.43706,74.42099,-17.516775,-11.402552,-4.089743,0.017288093
1,0.16463658213615417,2.840360164642334,46.76567459106445,-2.4584313069443064,-23.119121849234393,-88.18056154659845,-62.583584,14.181867,-9.096982,100.34075,-16.041553,-6.321531,-59.39589,-17.95992,-0.78255385,100.16424,-18.11951,3.9640563,-2.9947658,1.7022141,24.397419,-92.95553,19.568417,-78.6389,-15.082225,25.373306,0.76749015,18.969564,-99.31391,-26.152817,74.23214,-17.442818,-12.665063,-4.356583,0.44586572
2,0.16702181100845337,2.8408055305480957,46.76795196533203,-2.462755729105288,-23.117488349613392,-88.17388265735553,-62.592846,14.174835,-9.102072,100.35292,-16.037947,-6.3081474,-59.395725,-17.956266,-0.7718301,100.170074,-18.136782,3.9692976,-2.999182,1.7477578,24.386683,-92.40144,19.231482,-79.58815,-14.592346,29.102253,3.0100462,22.820793,-98.4846,-25.882969,74.01688,-17.371391,-13.995093,-4.649293,0.8964246
3,0.16962558031082153,2.840430498123169,46.770172119140625,-2.4678292929846655,-23.11673862723363,-88.16626414702971,-62.600872,14.167212,-9.107085,100.364426,-16.035273,-6.29765,-59.39462,-17.954975,-0.76337934,100.175705,-18.15172,3.9757974,-2.9877484,1.7821031,24.364641,-91.837524,18.917437,-80.47034,-14.1347685,32.377354,5.2264867,26.138094,-97.73859,-25.633406,73.81471,-17.268328,-15.186522,-4.9184947,1.295307
4,0.17263290286064148,2.839324951171875,46.771793365478516,-2.4739633440248068,-23.117615225057293,-88.15730808031235,-62.60532,14.158357,-9.111283,100.37282,-16.034672,-6.294609,-59.39134,-17.959595,-0.76003706,100.18061,-18.161072,3.9856722,-2.9802396,1.8037131,24.343143,-91.44791,18.627802,-81.0828,-13.726756,34.58739,6.872328,28.365112,-97.22712,-25.409702,73.675514,-17.137058,-16.03223,-5.111239,1.5755877
5,0.17608901858329773,2.8376991748809814,46.772430419921875,-2.4807536359046316,-23.120947118594046,-88.1460457276756,-62.605053,14.146211,-9.115194,100.37674,-16.036757,-6.305119,-59.384502,-17.973736,-0.7646316,100.18453,-18.162518,4.001622,-2.9818454,1.8107898,24.329828,-91.29232,18.365717,-81.30096,-13.417361,35.460594,7.5272727,29.195051,-97.046555,-25.218468,73.62689,-16.97711,-16.395117,-5.1887155,1.6947666
6,0.1796603500843048,2.83634352684021,46.77225112915039,-2.4878255359149763,-23.125985751948825,-88.1329366259539,-62.60119,14.131869,-9.118719,100.37721,-16.04082,-6.3250284,-59.375187,-17.994587,-0.7750524,100.18758,-18.15844,4.0216713,-2.9901721,1.8093286,24.324717,-91.302536,18.132868,-81.2326,-13.196509,35.422226,7.4398055,29.067924,-97.09903,-25.060347,73.64469,-16.81237,-16.413822,-5.1814384,1.6987293
7,0.18283160030841827,2.8345303535461426,46.7718391418457,-2.4951515590090203,-23.13086028664729,-88.12032115756433,-62.59687,14.118915,-9.121003,100.37692,-16.045834,-6.3437533,-59.36617,-18.016472,-0.7866096,100.18994,-18.151682,4.041435,-2.9996068,1.8048228,24.323097,-91.37798,17.927431,-81.049614,-13.025801,35.010403,7.0528946,28.561262,-97.24037,-24.931068,73.691444,-16.661896,-16.292654,-5.139975,1.6554099
8,0.1855706125497818,2.831289529800415,46.77239227294922,-2.499543683429438,-23.13379281281354,-88.1118662517614,-62.594505,14.110995,-9.121083,100.37821,-16.05077,-6.3506107,-59.360058,-18.033493,-0.7950355,100.192406,-18.145775,4.0563073,-3.0028856,1.8021425,24.319702,-91.403,17.745646,-80.92799,-12.870727,34.774624,6.8115997,28.250788,-97.326225,-24.823118,73.72705,-16.541414,-16.236292,-5.1154976,1.6330372
9,0.18852686882019043,2.8291516304016113,46.77304458618164,-2.5022357301837403,-23.133706698731995,-88.10582802493296,-62.59623,14.108354,-9.117801,100.38185,-16.05507,-6.336908,-59.35815,-18.046354,-0.79966307,100.19503,-18.139324,4.0654035,-3.0019135,1.80216,24.313286,-91.37193,17.582266,-80.89942,-12.716547,34.796753,6.787459,28.243053,-97.341774,-24.730986,73.74704,-16.44955,-16.28642,-5.1150756,1.6409304
10,0.19140765070915222,2.8279361724853516,46.77340316772461,-2.504579774722504,-23.131813270409122,-88.10174115444165,-62.60019,14.109219,-9.1120825,100.38659,-16.059694,-6.3104014,-59.358418,-18.0574,-0.802755,100.19726,-18.131552,4.071247,-2.9983861,1.8013268,24.30591,-91.3339,17.434193,-80.87817,-12.576519,34.808754,6.7602296,28.245777,-97.35702,-24.653118,73.76716,-16.372904,-16.33767,-5.113976,1.6465111
11,0.19372186064720154,2.826645851135254,46.773956298828125,-2.50503450190949,-23.12954631026775,-88.10166573223164,-62.603016,14.114441,-9.105248,100.39099,-16.064571,-6.2845583,-59.360016,-18.063423,-0.80370927,100.199005,-18.125282,4.0737348,-2.990914,1.7986628,24.298166,-91.28135,17.298153,-80.85418,-12.452399,34.81659,6.729149,28.245182,-97.355705,-24.586636,73.78587,-16.313482,-16.376366,-5.1155653,1.6559236
12,0.1953674554824829,2.8249871730804443,46.77471923828125,-2.5029019475476435,-23.128261936798776,-88.10810698496579,-62.601864,14.124634,-9.098909,100.395096,-16.070635,-6.2730365,-59.36151,-18.061253,-0.80173355,100.19952,-18.123148,4.0731616,-2.9765172,1.7923737,24.290262,-91.19704,17.171656,-80.82079,-12.343815,34.83538,6.6935854,28.227503,-97.3195,-24.528706,73.797195,-16.271425,-16.389704,-5.1233964,1.6755182
