Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.49202707409858704,2.8662328720092773,77.6169204711914,0.0968051412316467,-3.3803594047664096,-88.38986436900254,3.0549612,5.5885253,-0.047328535,15.227669,-15.033478,-10.32816,3.0455427,-7.575591,-5.2357907,14.057081,-13.461705,9.696128,-2.995443,-1.3438972,10.233305,-2.0828538,17.298407,-25.54835,64.31878,1.5233492,1.8086225,-0.3592929,0.3136344,-15.683717,20.970985,60.64495,0.69055134,1.8689909,6.2728486
1,0.5270398855209351,2.889784336090088,77.61117553710938,0.14700627066761737,-3.3269803011333794,-88.41689928838922,2.9372497,5.503744,-0.004851381,15.31342,-15.053295,-10.249706,2.8003273,-7.674787,-5.176295,14.373903,-13.573115,9.740748,-3.0510972,-1.4386028,10.247989,-2.1476586,17.314022,-25.565853,64.3472,1.6048629,1.8282152,-0.3278645,0.28915602,-15.688763,20.940496,60.51738,0.66943806,1.8931164,6.28854
2,0.5599287152290344,2.908482551574707,77.6064224243164,0.1954249764795263,-3.2755397145762064,-88.44054224495454,2.8237648,5.419452,0.033302378,15.394414,-15.070997,-10.171291,2.5679817,-7.772047,-5.1219683,14.6723385,-13.679486,9.785063,-3.085801,-1.5344336,10.27145,-2.2158165,17.34966,-25.606852,64.35902,1.6810976,1.8501152,-0.29713255,0.28883228,-15.699563,20.877129,60.363575,0.64222634,1.916912,6.3150964
3,0.5892608761787415,2.9372968673706055,77.5990982055664,0.2460053364583821,-3.219923715159823,-88.47086685204388,2.7025852,5.333658,0.080598645,15.48302,-15.091949,-10.092844,2.3164792,-7.8723826,-5.057383,14.993788,-13.79201,9.830958,-3.1162243,-1.6380001,10.298064,-2.2743921,17.404985,-25.653488,64.34928,1.7438402,1.8704927,-0.2787727,0.2944145,-15.713846,20.814371,60.193626,0.6148438,1.9412105,6.335373
4,0.6253867149353027,2.9819843769073486,77.59005737304688,0.3028257133713362,-3.1539956900939083,-88.51772766303031,2.5629878,5.243605,0.15080631,15.589141,-15.12052,-10.014088,2.0148003,-7.980571,-4.967176,15.376993,-13.921791,9.880681,-3.1545727,-1.7500007,10.312121,-2.3433993,17.441593,-25.689724,64.36873,1.7962608,1.882467,-0.27626926,0.2797711,-15.72199,20.778881,60.042194,0.5858711,1.9657633,6.3279033
5,0.6637924909591675,3.014517068862915,77.58021545410156,0.36717667280967115,-3.074789864269838,-88.57891987873998,2.3970585,5.1487236,0.24230762,15.721311,-15.159652,-9.935065,1.6611288,-8.097177,-4.853053,15.821296,-14.070215,9.937306,-3.1808584,-1.8767889,10.321133,-2.4160407,17.493189,-25.740065,64.38694,1.8191392,1.8836048,-0.3087415,0.27204812,-15.731993,20.745907,59.877186,0.557879,1.992968,6.2869225
6,0.7020179033279419,3.052015542984009,77.56863403320312,0.4348909698313892,-2.9859992126515285,-88.65058282373833,2.2119663,5.050321,0.34957567,15.872894,-15.206775,-9.855888,1.2692974,-8.219389,-4.721172,16.310923,-14.232274,9.999172,-3.2047648,-2.0150378,10.326425,-2.4853141,17.556665,-25.792027,64.3996,1.8233941,1.8770972,-0.36656216,0.263285,-15.741314,20.722712,59.70639,0.53187734,2.021997,6.221567
7,0.7435358762741089,3.0964064598083496,77.55237579345703,0.5085777987794798,-2.891442704493677,-88.74078742846655,2.0194502,4.9491153,0.480313,16.03032,-15.257358,-9.776611,0.8358475,-8.346387,-4.563023,16.853674,-14.40649,10.061689,-3.2275224,-2.1637974,10.3314,-2.5547054,17.623466,-25.846474,64.40893,1.8159009,1.870564,-0.42752966,0.24633884,-15.748341,20.709057,59.530567,0.49449632,2.04877,6.151136
8,0.7854713201522827,3.142406702041626,77.5331802368164,0.5890464883742556,-2.794676106784689,-88.85743767909233,1.8330818,4.8453717,0.64237165,16.176548,-15.305409,-9.697217,0.35864836,-8.477444,-4.370361,17.454065,-14.587574,10.120959,-3.246361,-2.324173,10.3431425,-2.621512,17.695892,-25.907492,64.40218,1.8021057,1.8725951,-0.47197005,0.22053857,-15.7541,20.69897,59.33937,0.4315364,2.0696018,6.0971007
9,0.8299943804740906,3.1919333934783936,77.51260375976562,0.6744878385227181,-2.689910451579732,-88.99709108670679,1.6357678,4.740555,0.83429205,16.330704,-15.356672,-9.6169195,-0.16903423,-8.610855,-4.1455708,18.115849,-14.78065,10.175805,-3.2645938,-2.4928095,10.355656,-2.6895428,17.771816,-25.983402,64.37895,1.7802211,1.8881845,-0.49191397,0.18590444,-15.758644,20.688004,59.13234,0.32959902,2.08468,6.072
