Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.18772460520267487,2.007814645767212,78.16585540771484,-0.3570072003130517,1.4448461084978557,-89.77560881114377,-3.106281,3.2475905,6.7954707,12.776874,-12.452389,-2.1325085,-4.223008,-6.3898373,-8.867897,14.941726,-11.71755,5.37879,-3.8692033,-1.0553874,2.6263044,-0.7494625,14.850653,-34.509422,61.227253,5.555119,0.81738746,2.8823762,-1.8461618,-12.72509,31.21235,63.239883,-2.3816383,-4.308892,-0.5886009
1,0.1826999932527542,2.0028350353240967,78.16582489013672,-0.3613610995534636,1.4218479953010663,-89.74485308348197,-3.0871866,3.2513885,6.7630196,12.789542,-12.461007,-2.147963,-4.1907806,-6.3879023,-8.8922825,14.960773,-11.737256,5.3647604,-3.9305692,-1.0711694,2.6300566,-0.6777758,14.864713,-34.46824,61.165924,5.59156,0.8127615,2.873247,-1.7967051,-12.723172,30.931433,63.21783,-1.737334,-4.4296556,-0.46138486
2,0.17789913713932037,1.994922399520874,78.16602325439453,-0.3657623260968905,1.398444035381935,-89.71582903386386,-3.0662205,3.2551377,6.732375,12.799882,-12.468782,-2.1638196,-4.1594477,-6.3859034,-8.914528,14.981566,-11.757453,5.3504124,-3.9568224,-1.0921421,2.6340737,-0.6341406,14.875777,-34.46912,61.12984,5.6215925,0.80604416,2.8673637,-1.7393907,-12.7156515,30.65638,63.194927,-1.1543576,-4.533815,-0.3292229
3,0.17153911292552948,1.9900656938552856,78.16622161865234,-0.3701150368768132,1.3755940706470262,-89.68342343646053,-3.0475323,3.2586331,6.698251,12.811996,-12.47687,-2.1788821,-4.1264763,-6.384112,-8.94097,14.999618,-11.777296,5.336697,-4.0011973,-1.1102055,2.6358883,-0.57908326,14.881638,-34.447727,61.083145,5.6526585,0.8033823,2.8583047,-1.6778992,-12.701777,30.296364,63.176693,-0.47319448,-4.669723,-0.20044854
4,0.1659013032913208,1.981526255607605,78.16661071777344,-0.3744065360468064,1.3539438949221725,-89.64254258692253,-3.03467,3.2614372,6.655473,12.829327,-12.486161,-2.192066,-4.09178,-6.383503,-8.977909,15.016513,-11.799163,5.3245316,-4.0420227,-1.1288285,2.6401355,-0.5241709,14.8850155,-34.424973,61.016365,5.6747217,0.8123217,2.8403502,-1.5757409,-12.666828,29.646715,63.146652,0.42334914,-4.8883963,-0.07391406
5,0.15878355503082275,1.9742823839187622,78.16567993164062,-0.3782097152580219,1.3332984619287178,-89.59424857955806,-3.027387,3.2629783,6.605353,12.851589,-12.496527,-2.2026496,-4.0537014,-6.384138,-9.024982,15.027777,-11.821373,5.3160152,-4.1170764,-1.1416351,2.6459208,-0.44377768,14.882186,-34.350418,60.929,5.671607,0.8201622,2.808442,-1.4516026,-12.613091,28.753492,63.130123,1.5194335,-5.2190905,0.08652669
6,0.14940592646598816,1.9658221006393433,78.16441345214844,-0.38134434700027586,1.3132449862283015,-89.54053306749297,-3.0242703,3.2634888,6.5498643,12.877271,-12.507392,-2.2114093,-4.014215,-6.38629,-9.079378,15.0372,-11.8449335,5.31016,-4.1856093,-1.1568974,2.6513777,-0.3698035,14.873522,-34.278675,60.84582,5.6412306,0.82864785,2.7686849,-1.3022281,-12.528969,27.638092,63.128498,2.7487805,-5.6294637,0.27561584
7,0.1393384486436844,1.9621851444244385,78.1633529663086,-0.38533372015743866,1.2948516150186344,-89.47750483945501,-3.0259538,3.263963,6.484512,12.906169,-12.518821,-2.219252,-3.9726367,-6.388434,-9.144064,15.045263,-11.869557,5.3028646,-4.2779527,-1.1687238,2.653109,-0.27455255,14.861562,-34.179768,60.71505,5.6470695,0.86323696,2.7253015,-1.1360756,-12.419588,26.306498,63.111546,4.246386,-6.07205,0.42335933
8,0.12617403268814087,1.9600026607513428,78.16183471679688,-0.39125473980451647,1.278968348922993,-89.40147378601672,-3.03492,3.2654152,6.404904,12.941289,-12.531961,-2.227116,-3.9278216,-6.389839,-9.222039,15.051677,-11.894307,5.2902822,-4.388012,-1.1779888,2.6477706,-0.1561041,14.849823,-34.068604,60.501476,5.741587,0.9499984,2.6842382,-0.94640386,-12.281889,24.713552,63.045456,6.1308203,-6.5047226,0.46216574
9,0.11567657440900803,1.949813961982727,78.16182708740234,-0.40020376543816266,1.2655843232965047,-89.30963053151733,-3.0522263,3.2686017,6.3074713,12.985192,-12.548177,-2.2335918,-3.8772707,-6.389624,-9.316075,15.054265,-11.918161,5.2685676,-4.519662,-1.1792434,2.6385934,0.00085249374,14.838436,-33.92409,60.189415,5.9528127,1.1050034,2.6509483,-0.7281279,-12.105268,22.757473,62.98596,8.475367,-6.9586363,0.43793458
