Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.22461672127246857,1.0473291873931885,77.18557739257812,0.8435504906835303,-5.166105791711167,-99.40433336893896,4.528626,8.536371,15.482615,22.086483,-17.458683,-7.010041,-2.4930813,-4.430106,0.029082524,24.141195,-18.688923,6.211202,-1.6798924,2.1088269,9.34956,-3.6242185,14.601274,-46.786495,59.235428,1.3012013,-8.430624,-2.995794,-14.129828,-11.39867,61.526226,68.912,24.373253,2.5621152,3.6346517
1,0.27070555090904236,1.0436280965805054,77.18316650390625,0.7622333322365729,-5.052351892323114,-99.47468520565687,4.2973065,8.643765,15.545643,22.375935,-17.587046,-6.9816146,-2.5856426,-4.3564696,0.091450095,24.023905,-18.596785,6.242237,-1.6212034,2.2243493,9.259327,-3.623746,14.604987,-46.763317,59.177536,1.309239,-8.432755,-2.953076,-14.16,-11.394694,61.554653,68.93784,24.264471,2.5512314,3.658953
2,0.3202219307422638,1.0342923402786255,77.18086242675781,0.6811467114535357,-4.938768297585888,-99.5461523100333,4.0684547,8.753338,15.608828,22.662764,-17.714071,-6.9569597,-2.6775136,-4.2797046,0.15343854,23.906588,-18.50367,6.2722373,-1.6088347,2.3466663,9.171623,-3.5959954,14.608435,-46.680683,59.102695,1.3363806,-8.436843,-2.9140046,-14.216621,-11.38855,61.658485,68.9752,24.191427,2.5414162,3.6835217
3,0.38186684250831604,1.0153274536132812,77.17867279052734,0.5986811340107521,-4.8241252018726355,-99.61563388489454,3.8355818,8.860824,15.669587,22.95292,-17.84196,-6.9257293,-2.7661316,-4.2057667,0.21339257,23.779196,-18.406908,6.3045473,-1.6118354,2.4711142,9.085442,-3.562242,14.604933,-46.575012,59.028812,1.365914,-8.440468,-2.874186,-14.274932,-11.385631,61.78022,69.00548,24.117624,2.5311797,3.705259
4,0.45010441541671753,0.9955407977104187,77.17750549316406,0.5127191501481605,-4.705919898807472,-99.67836990745471,3.5776472,8.971486,15.72397,23.281202,-17.98607,-6.882041,-2.8595922,-4.135891,0.2693345,23.652868,-18.31443,6.339721,-1.6165919,2.6021557,9.00424,-3.5254958,14.59283,-46.463898,58.950443,1.3899812,-8.44024,-2.8268209,-14.334766,-11.38896,61.895786,69.02457,24.033533,2.5199132,3.7237597
5,0.5160461664199829,0.9980416893959045,77.17405700683594,0.41967192827197825,-4.5843894863716015,-99.73239220556638,3.298611,9.090007,15.766809,23.638374,-18.144735,-6.8216906,-2.9421074,-4.0637393,0.3163046,23.496807,-18.212763,6.3739686,-1.6237129,2.7423203,8.930655,-3.4848328,14.569496,-46.331165,58.87044,1.4196178,-8.434525,-2.773391,-14.410383,-11.3996725,62.042225,69.031,23.974634,2.506863,3.7363336
6,0.582374095916748,0.9903879165649414,77.16986846923828,0.3193244157562982,-4.460487528425912,-99.7802666681214,3.0024571,9.214833,15.80144,24.020521,-18.31527,-6.7503147,-3.0185246,-3.9898791,0.357279,23.323154,-18.10631,6.4075613,-1.6539403,2.8944883,8.860175,-3.4347992,14.5263605,-46.16019,58.795254,1.4572476,-8.426142,-2.7162685,-14.484891,-11.422499,62.205883,69.01924,23.903843,2.4936407,3.7440667
7,0.6623265147209167,0.9688604474067688,77.16548156738281,0.2255077500661009,-4.3327539009134926,-99.82596478458689,2.6922448,9.328321,15.835866,24.418064,-18.487844,-6.667123,-3.105693,-3.9301221,0.39816895,23.159101,-18.00526,6.4520497,-1.6664776,3.0454655,8.795529,-3.3996625,14.4758,-46.01396,58.723484,1.4771789,-8.417013,-2.6518457,-14.576323,-11.452008,62.38315,69.00829,23.8673,2.4791408,3.7516403
8,0.7490100860595703,0.9509226083755493,77.15733337402344,0.15049835629118744,-4.19952252386729,-99.87370081386248,2.3721976,9.4135685,15.878411,24.818995,-18.651173,-6.57148,-3.2193553,-3.9005604,0.44435078,23.0298,-17.918633,6.5189934,-1.6942897,3.1986797,8.732952,-3.3780746,14.395858,-45.870068,58.668583,1.4724448,-8.413343,-2.5804942,-14.665614,-11.503719,62.56669,68.98545,23.821787,2.466009,3.7604733
9,0.8429822325706482,0.9397188425064087,77.1468276977539,0.09272933595868603,-4.059459697140107,-99.92555185861117,2.0420105,9.471618,15.93668,25.22148,-18.809122,-6.466893,-3.3641772,-3.9005487,0.49787584,22.94067,-17.851795,6.6109433,-1.7019747,3.3512974,8.673186,-3.3823195,14.302627,-45.776604,58.618546,1.412001,-8.41159,-2.5036604,-14.76324,-11.571755,62.752087,68.96151,23.804775,2.4520175,3.7724562
10,0.9438065886497498,0.9287880659103394,77.13777160644531,0.04832253476233544,-3.9134474000646735,-99.97878520000675,1.7017009,9.509264,16.004725,25.627699,-18.96331,-6.3522773,-3.528042,-3.9240673,0.5552611,22.871738,-17.795265,6.7221227,-1.7002405,3.5034754,8.6186695,-3.3995862,14.204444,-45.71107,58.562878,1.3124555,-8.410422,-2.4220421,-14.87814,-11.651655,62.958534,68.93895,23.823853,2.4369237,3.7861938
11,1.048344373703003,0.934868335723877,77.12482452392578,0.022775337027207857,-3.764501074310308,-100.03088765604517,1.3449243,9.52074,16.070328,26.053062,-19.110271,-6.221599,-3.718758,-3.9773107,0.61704105,22.844412,-17.75505,6.8506155,-1.7011079,3.6464767,8.56856,-3.4264653,14.098518,-45.656654,58.51322,1.2091329,-8.414461,-2.3296208,-14.980578,-11.746535,63.13324,68.89953,23.802818,2.423456,3.800416
12,1.1697556972503662,0.9392200708389282,77.1111831665039,0.0195434930567413,-3.615305069088901,-100.07909915930468,0.9690058,9.498952,16.121822,26.505798,-19.242779,-6.068606,-3.9379911,-4.0670657,0.6835076,22.868248,-17.73091,6.994842,-1.6970093,3.7680833,8.529683,-3.4668088,13.995266,-45.616047,58.469776,1.1343915,-8.4270935,-2.219656,-15.100745,-11.847141,63.306942,68.86408,23.783073,2.4116046,3.8162365
13,1.2941645383834839,0.9428057670593262,77.09749603271484,0.04230207625787284,-3.4690563795654445,-100.12142006822978,0.57734144,9.441861,16.172186,26.98827,-19.357676,-5.879329,-4.1816916,-4.197823,0.7538549,22.944502,-17.725115,7.1564035,-1.6931878,3.863418,8.506686,-3.52454,13.886197,-45.577587,58.442005,1.1001285,-8.4416685,-2.0924218,-15.234398,-11.959711,63.47813,68.81996,23.74261,2.4021194,3.8347766
14,1.4266221523284912,0.9616759419441223,77.0822525024414,0.08902186771431374,-3.3235793612496156,-100.15967824014344,0.17171383,9.352627,16.223316,27.49127,-19.458284,-5.6616077,-4.449255,-4.365398,0.82845247,23.067198,-17.737411,7.3358474,-1.6916661,3.9385514,8.493963,-3.5880392,13.776207,-45.540775,58.416447,1.0914202,-8.458144,-1.9516233,-15.366164,-12.079311,63.619976,68.768196,23.654902,2.3939757,3.8551302
15,1.5643501281738281,0.9610591530799866,77.0688705444336,0.15403114941497295,-3.1728736472737853,-100.19642631760792,-0.26059845,9.234238,16.245855,28.022491,-19.54907,-5.4423814,-4.7500215,-4.562136,0.90975374,23.239428,-17.764633,7.5305095,-1.6865265,4.0014954,8.485231,-3.6685038,13.668439,-45.53053,58.400784,1.0871015,-8.492626,-1.7927903,-15.512127,-12.20538,63.762928,68.722404,23.588549,2.3876858,3.8750534
16,1.7146002054214478,0.9755586385726929,77.05000305175781,0.2318018777179893,-3.0115295504174995,-100.23439709999701,-0.7276366,9.087407,16.211678,28.57878,-19.633183,-5.248999,-5.0942454,-4.780432,1.0005256,23.4657,-17.804354,7.7376237,-1.6801845,4.0598526,8.469074,-3.764206,13.56792,-45.560455,58.396633,1.0717771,-8.560924,-1.6126348,-15.649559,-12.337732,63.873096,68.67794,23.530424,2.384531,3.8908474
