Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.8874972462654114,0.5049576759338379,78.42833709716797,-0.22211685144760568,2.8237776469942357,-8.853677373900112,0.56521887,2.8502376,14.352499,9.254737,-12.749912,-2.6733527,-6.532449,-5.6443515,-13.270339,18.514038,-13.800308,2.5252492,4.5866933,-0.01022313,4.3347726,7.1799417,14.337048,-25.182356,54.290375,4.086965,3.9781098,7.7395687,-4.8370986,-15.245511,34.399742,60.121902,-10.977984,3.9595275,0.2767212
1,-0.8530032634735107,0.4599340856075287,78.42096710205078,-0.18155284111061812,2.87418848312662,-8.87088758065823,0.6422578,2.8236253,14.386686,9.066504,-12.690708,-2.7488165,-6.564263,-5.6515803,-13.223372,18.542372,-13.910961,2.5373952,4.595608,-0.045587443,4.3137727,7.189913,14.361074,-25.168674,54.296574,4.1208405,3.963285,7.713198,-4.8024306,-15.257418,34.37286,60.068703,-10.982744,3.9655104,0.3389473
2,-0.8101787567138672,0.41164126992225647,78.41531372070312,-0.1409855643351339,2.9237793788143196,-8.886868037530961,0.719731,2.7958825,14.420976,8.877661,-12.629945,-2.8255584,-6.595747,-5.6602464,-13.177669,18.570938,-14.021564,2.550651,4.607784,-0.08206715,4.2965527,7.2007737,14.395081,-25.158218,54.2954,4.1550364,3.9470115,7.6824093,-4.7583055,-15.277657,34.340332,60.001835,-10.987014,3.9725847,0.4045013
3,-0.7701960206031799,0.3567191958427429,78.4053726196289,-0.10161965188388662,2.975216764095815,-8.90486171192264,0.7972936,2.77082,14.454734,8.687454,-12.570457,-2.9003973,-6.627685,-5.6646724,-13.130317,18.597692,-14.131502,2.561647,4.621741,-0.11862674,4.2818413,7.217209,14.435909,-25.148643,54.281918,4.1822305,3.9339778,7.654694,-4.7098403,-15.306766,34.30642,59.919403,-10.991631,3.9773974,0.46908158
4,-0.7331756353378296,0.2997322380542755,78.39415740966797,-0.06488852185323694,3.030972843288519,-8.92792536313446,0.87601244,2.7517083,14.487248,8.492563,-12.513949,-2.9698956,-6.6573124,-5.658092,-13.078883,18.612911,-14.237875,2.5669367,4.633195,-0.15125163,4.2639656,7.23012,14.467989,-25.137558,54.275055,4.1949034,3.9276147,7.6404004,-4.6748877,-15.335609,34.280327,59.840904,-10.996235,3.9759562,0.5266498
5,-0.6907072067260742,0.2395031452178955,78.38526916503906,-0.031182362955873365,3.0920482667851608,-8.957110182063653,0.9580745,2.7380035,14.516053,8.287086,-12.460078,-3.03025,-6.6903563,-5.6403093,-13.022098,18.62678,-14.342179,2.5668314,4.644986,-0.18150061,4.2485404,7.248198,14.507015,-25.129936,54.253284,4.1796293,3.9318745,7.640935,-4.6379366,-15.380946,34.257313,59.738853,-10.998766,3.9634864,0.57495695
6,-0.6406309008598328,0.17332176864147186,78.37772369384766,0.0006385320064497975,3.1560614396386124,-8.990711960679313,1.043978,2.727802,14.542307,8.072215,-12.40697,-3.0841851,-6.723469,-5.6142797,-12.961351,18.636238,-14.444076,2.5628893,4.656412,-0.20808624,4.2342024,7.2655272,14.544659,-25.124762,54.228443,4.145313,3.9432964,7.653412,-4.6026196,-15.43707,34.239872,59.624065,-10.997139,3.943384,0.6163149
7,-0.5878630876541138,0.1025724932551384,78.3686752319336,0.029736022429127578,3.2245114324442348,-9.027708456114805,1.1249554,2.7249424,14.570896,7.864894,-12.359716,-3.1384125,-6.7560334,-5.579755,-12.898092,18.63826,-14.54399,2.5533247,4.667718,-0.23144712,4.217969,7.2808795,14.575222,-25.114851,54.20658,4.111646,3.956803,7.6709304,-4.575344,-15.49582,34.223797,59.50527,-11.000631,3.924384,0.6593917
8,-0.5320367217063904,0.024990268051624298,78.3609848022461,0.05611772019684212,3.298263036835098,-9.06712150221489,1.1953123,2.7319393,14.606731,7.674824,-12.319135,-3.19963,-6.788396,-5.537623,-12.8331995,18.6331,-14.643877,2.5365198,4.679308,-0.25368917,4.1969304,7.294143,14.595084,-25.093393,54.19284,4.097946,3.9672952,7.6866713,-4.565376,-15.544332,34.205402,59.395603,-11.018183,3.9152286,0.7122581
9,-0.4760233759880066,-0.04818668216466904,78.35132598876953,0.08008863941761456,3.380451392900518,-9.109646917166842,1.2573661,2.7471714,14.655046,7.4913974,-12.280364,-3.2716866,-6.8251815,-5.48887,-12.764107,18.62303,-14.743925,2.510049,4.69848,-0.2731353,4.1837287,7.31771,14.622039,-25.056772,54.150272,4.1107235,3.9743583,7.6929245,-4.533105,-15.632929,34.172237,59.21997,-11.046353,3.9200604,0.7952795
