Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.03370412811636925,2.757582902908325,78.64797973632812,0.26249368854591754,-2.8991354952347166,-89.7733421011237,4.214642,5.217793,12.588051,8.166713,-8.71747,-5.6530223,2.7364259,-5.074118,-14.209369,10.410527,-11.392416,3.7938347,-2.622714,-0.56566936,8.419366,-6.555626,16.626331,-44.008183,64.9127,13.800918,-0.20988442,3.1938903,-5.3819385,-12.949466,38.095768,67.63822,-4.827697,-4.694481,-0.81085694
1,0.028634659945964813,2.7944304943084717,78.658935546875,0.31297278186122435,-2.8083519289566254,-89.72046006784431,4.0595684,5.1467285,12.554287,8.145501,-8.591854,-5.6069474,2.43416,-5.1883264,-14.256156,10.776709,-11.467895,3.7664866,-2.6420977,-0.6290984,8.421526,-6.659711,16.640316,-44.022675,64.90259,13.811174,-0.21154763,3.2071736,-5.4362717,-12.946733,38.077114,67.63307,-4.8073225,-4.716927,-0.85216695
2,0.0255427323281765,2.8407633304595947,78.66690826416016,0.3612724754714825,-2.725703484246971,-89.67080169185063,3.9172802,5.078731,12.523237,8.124778,-8.471894,-5.5653605,2.1497617,-5.297897,-14.29974,11.128407,-11.540344,3.7367148,-2.6494799,-0.6943961,8.427573,-6.7644067,16.656336,-44.049614,64.895355,13.8194475,-0.21444252,3.2152135,-5.4817753,-12.94164,38.045784,67.624695,-4.785926,-4.742656,-0.8934209
3,0.024853216484189034,2.8916261196136475,78.67803955078125,0.41502344753976284,-2.6270952819806666,-89.61443377151188,3.7515204,5.002489,12.486813,8.101212,-8.33999,-5.514218,1.835365,-5.4181056,-14.347967,11.497991,-11.613181,3.7101834,-2.6629853,-0.76173127,8.427378,-6.8863664,16.669233,-44.079964,64.894424,13.818871,-0.21684596,3.2325246,-5.5358896,-12.936621,38.014557,67.61825,-4.7749815,-4.762995,-0.9337147
4,0.02210291475057602,2.949545383453369,78.69132232666016,0.4815297079193608,-2.4886199450234243,-89.54143023711596,3.526942,4.9060845,12.437141,8.070543,-8.178554,-5.439525,1.4433899,-5.564358,-14.408285,11.91778,-11.690133,3.692029,-2.673988,-0.83842075,8.413376,-7.030954,16.679647,-44.095802,64.88621,13.837938,-0.21815263,3.2712288,-5.601222,-12.932007,37.96396,67.60737,-4.793015,-4.7709055,-0.9702202
5,0.01886184699833393,3.0178985595703125,78.7044906616211,0.5641188510606028,-2.3030024298000553,-89.45505674794349,3.2337081,4.7856026,12.3787565,8.036924,-7.9860854,-5.329382,0.96015817,-5.741235,-14.475607,12.39574,-11.770767,3.6852942,-2.6708796,-0.9324373,8.38737,-7.218847,16.699762,-44.125965,64.87493,13.8688965,-0.2161765,3.3366554,-5.6819634,-12.922287,37.86115,67.59287,-4.8804545,-4.757661,-0.99537367
6,0.014773339033126831,3.1028292179107666,78.7197265625,0.6591636022415674,-2.083701392071671,-89.35850214931419,2.8918362,4.6471486,12.313808,7.999762,-7.7706213,-5.1940856,0.4122772,-5.940484,-14.546966,12.912796,-11.852497,3.6853304,-2.6790662,-1.0344564,8.344252,-7.4193387,16.717733,-44.140755,64.860245,13.916532,-0.21179965,3.4229803,-5.7778645,-12.91374,37.76061,67.58004,-4.9993873,-4.7279763,-1.0151109
7,0.0129076037555933,3.1989998817443848,78.73668670654297,0.7612535085128229,-1.8382121608944946,-89.24014465013367,2.5102248,4.493554,12.2286215,7.949208,-7.528248,-5.0533175,-0.17913792,-6.157224,-14.635761,13.448191,-11.929805,3.6866238,-2.6739717,-1.1411464,8.307599,-7.6471825,16.737421,-44.144646,64.829926,13.971908,-0.20941952,3.518843,-5.931012,-12.9059,37.69343,67.5979,-5.0425487,-4.701793,-1.0369431
8,0.01398600172251463,3.3077166080474854,78.75214385986328,0.8545971371309645,-1.5725143562028332,-89.08694541722603,2.0330474,4.351849,12.102167,8.011051,-7.326325,-4.927883,-0.7974992,-6.377922,-14.757339,13.987935,-12.000784,3.6823986,-2.7315924,-1.2278221,8.257194,-7.8626223,16.74968,-44.080486,64.782425,14.001823,-0.21593465,3.6139655,-5.973934,-12.900966,37.510235,67.52149,-5.2262344,-4.6881304,-1.0716234
9,0.018115777522325516,3.4269771575927734,78.7533187866211,0.9137466347487148,-1.279677394116148,-88.89231675209773,1.2436341,4.294956,11.907973,8.632414,-7.3968663,-4.8258514,-1.4716973,-6.581843,-14.922287,14.580489,-12.088662,3.6683795,-2.7510273,-1.2783264,8.237747,-8.148567,16.761606,-44.036373,64.72784,13.990289,-0.23778784,3.7024124,-6.1387057,-12.901395,37.407597,67.51771,-5.171945,-4.7076926,-1.1199489
10,0.02872561663389206,3.554185152053833,78.75233459472656,0.9739006630441706,-0.9635161611338982,-88.6693260137342,0.37348944,4.236008,11.6817465,9.331061,-7.486843,-4.732096,-2.189737,-6.8001003,-15.111788,15.202828,-12.179529,3.6503441,-2.7973733,-1.3213136,8.215398,-8.444641,16.770935,-43.95428,64.66066,13.951939,-0.27098876,3.7922535,-6.28562,-12.906154,37.2846,67.48598,-5.1108007,-4.7420206,-1.1800011
11,0.0443083830177784,3.699650287628174,78.74172973632812,1.022890835038477,-0.6362969078097523,-88.4174484391507,-0.55452317,4.1817484,11.421041,10.089323,-7.5955663,-4.645884,-2.9238398,-7.020628,-15.3276,15.828565,-12.266049,3.6302986,-2.8520482,-1.3430873,8.2108345,-8.753048,16.779005,-43.830177,64.56128,13.931152,-0.30090514,3.885719,-6.416575,-12.921544,37.11368,67.423676,-5.090528,-4.780131,-1.240934
12,0.05434606969356537,3.866072416305542,78.73905944824219,1.0496165779786728,-0.30912452954564035,-88.13579236913999,-1.5330946,4.142788,11.121227,10.921385,-7.7345777,-4.5664597,-3.6365914,-7.2274795,-15.574182,16.40784,-12.333872,3.610673,-2.9054637,-1.3306457,8.229528,-9.082215,16.778755,-43.690712,64.4334,13.936979,-0.3122643,3.9924536,-6.6029925,-12.944663,36.99814,67.4005,-5.02945,-4.812309,-1.3005946
13,0.07197219878435135,4.033149242401123,78.7295913696289,1.0598722848902091,0.02273956117586155,-87.81939731540086,-2.579506,4.11081,10.7613735,11.844167,-7.9054575,-4.480383,-4.345027,-7.4322424,-15.8544035,16.96679,-12.390241,3.5922143,-2.9801452,-1.281963,8.267895,-9.410562,16.768654,-43.48567,64.2608,14.018453,-0.29509643,4.1099167,-6.7662888,-12.981661,36.830887,67.34514,-5.0739503,-4.827868,-1.3557597
14,0.104063481092453,4.21415376663208,78.71185302734375,1.0574241799523196,0.36285415115999914,-87.47073153531844,-3.6901991,4.0795436,10.350302,12.845166,-8.1019125,-4.391494,-5.0580316,-7.63988,-16.165205,17.514704,-12.437742,3.5750666,-3.062585,-1.1956354,8.331854,-9.77061,16.734669,-43.2453,64.07011,14.13671,-0.26093903,4.236846,-6.920137,-13.065985,36.647938,67.24571,-5.1462197,-4.8337274,-1.4048294
15,0.13698545098304749,4.39577579498291,78.689208984375,1.03163489480729,0.698577693692631,-87.09999244020528,-4.8286138,4.062571,9.927738,13.892672,-8.322898,-4.3259587,-5.7454123,-7.8296967,-16.500551,18.017384,-12.468313,3.560251,-3.1396744,-1.0713236,8.418031,-10.142311,16.682043,-42.97671,63.854935,14.271941,-0.22383495,4.3745604,-7.0691204,-13.170383,36.45918,67.131996,-5.2313633,-4.842413,-1.4487946
16,0.18031424283981323,4.593271732330322,78.66119384765625,0.9718933609499055,1.0173563668034897,-86.71750318160353,-5.9606967,4.0760603,9.532565,14.9592285,-8.568649,-4.311252,-6.376875,-7.9800196,-16.854877,18.441442,-12.473095,3.547913,-3.2046607,-0.90032285,8.538274,-10.533268,16.613625,-42.69778,63.61936,14.379543,-0.20108831,4.522402,-7.2369504,-13.295248,36.30405,67.02259,-5.2818155,-4.8655343,-1.4831285
17,0.22555163502693176,4.8068976402282715,78.6274642944336,0.8739303279348838,1.3203119599307045,-86.31279439072068,-7.1202893,4.109494,9.101647,16.084402,-8.839098,-4.306257,-6.947269,-8.087909,-17.240019,18.774202,-12.448246,3.5368052,-3.2630658,-0.67421883,8.703644,-10.941692,16.529087,-42.387173,63.349846,14.47372,-0.19594626,4.6777043,-7.416255,-13.445206,36.15971,66.90246,-5.308173,-4.9098306,-1.5080788
18,0.2740110158920288,5.027067184448242,78.58877563476562,0.7447647169762466,1.6138183229899428,-85.88496500482636,-8.316186,4.157328,8.637288,17.27425,-9.135092,-4.3149343,-7.476642,-8.164875,-17.654978,19.045101,-12.400613,3.5265203,-3.3173048,-0.3992116,8.907426,-11.370377,16.428362,-42.04738,63.050648,14.564008,-0.20007034,4.841242,-7.6055417,-13.622003,36.02635,66.76911,-5.315654,-4.9678817,-1.5246454
19,0.32235080003738403,5.243844032287598,78.54436492919922,0.5896954838636272,1.8932633330383728,-85.45821618108378,-9.461043,4.2460036,8.278649,18.415527,-9.453637,-4.43128,-7.953878,-8.206345,-18.0785,19.23996,-12.331914,3.5188117,-3.3571856,-0.09045801,9.127567,-11.7993965,16.312569,-41.69208,62.731464,14.643856,-0.21172087,5.017254,-7.795946,-13.82453,35.929157,66.6328,-5.3083897,-5.029246,-1.5294126
20,0.3833940923213959,5.458133220672607,78.49639129638672,0.41669106864198086,2.1537578130484647,-85.05681605905446,-10.4839945,4.408834,8.164745,19.429646,-9.800902,-4.746613,-8.378883,-8.213328,-18.486881,19.367092,-12.247028,3.516608,-3.3715029,0.23387764,9.341387,-12.196065,16.182852,-41.317356,62.39224,14.726737,-0.2286501,5.209401,-7.97784,-14.048765,35.892956,66.503334,-5.2899323,-5.082891,-1.5192133
21,0.44265300035476685,5.679812431335449,78.44493103027344,0.2040154984810373,2.389686443416544,-84.67525652405179,-11.351801,4.654888,8.309328,20.224058,-10.167961,-5.422339,-8.72523,-8.157146,-18.894707,19.38554,-12.136943,3.5196383,-3.362602,0.59628594,9.559289,-12.563148,16.04038,-40.9077,62.02693,14.809077,-0.2558375,5.4115963,-8.154268,-14.293711,35.91806,66.379425,-5.271098,-5.127334,-1.4943277
22,0.4942171275615692,5.890312194824219,78.38790130615234,-0.04065176460730632,2.6058789230607977,-84.30438490107151,-12.12024,4.9717474,8.652238,20.892574,-10.569653,-6.361837,-9.00471,-8.05132,-19.306501,19.308348,-12.002414,3.5284429,-3.33525,0.9922461,9.787277,-12.910497,15.886119,-40.464336,61.63342,14.891528,-0.29240617,5.623995,-8.335944,-14.559302,36.003757,66.26182,-5.235457,-5.167005,-1.4564683
