Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.3288450241088867,-1.4227612018585205,78.16651916503906,0.727873386115272,-2.0784103075860703,85.61674760880827,3.0003333,-1.4902768,-6.51343,9.294873,-9.260311,-3.219272,3.6471531,-3.2798276,-7.777066,9.980814,-12.6112175,1.3898537,-3.1836572,-1.6331208,9.148253,-7.917221,11.69108,-51.728313,64.310646,23.388273,2.3160617,-2.797259,-0.9282275,-9.529908,32.289585,58.70598,-23.260534,-5.9656644,4.146344
1,-0.33048975467681885,-1.42060124874115,78.1628646850586,0.759960883455344,-2.0370000653018847,85.65026009674358,2.9692366,-1.5343175,-6.54621,9.258334,-9.258223,-3.2111974,3.6295943,-3.328214,-7.8177032,9.965626,-12.677492,1.4027617,-3.2268765,-1.6720374,9.180413,-7.9512415,11.684727,-51.731277,64.36289,23.284153,2.2822673,-2.7205274,-0.94151187,-9.517749,32.20998,58.69776,-23.122942,-5.9821534,4.168767
2,-0.33448755741119385,-1.4265450239181519,78.16120910644531,0.791432816240928,-1.997345417932761,85.68323585290419,2.9371393,-1.5787113,-6.577275,9.226218,-9.2532,-3.1990879,3.6159225,-3.377171,-7.861417,9.944948,-12.7394285,1.4195462,-3.2634814,-1.7126374,9.215274,-7.985125,11.682571,-51.7461,64.4101,23.187317,2.2517064,-2.6416612,-0.9466932,-9.505127,32.115047,58.680748,-22.995295,-5.9988112,4.193776
3,-0.3385292887687683,-1.4268364906311035,78.16140747070312,0.8221020899300981,-1.9549179741014169,85.71687674463297,2.9062915,-1.6206938,-6.6113267,9.188078,-9.255581,-3.1949582,3.5997417,-3.4235456,-7.900621,9.924535,-12.803972,1.4292742,-3.2799716,-1.7515159,9.252258,-8.030134,11.683435,-51.77001,64.457146,23.072216,2.2166102,-2.5705113,-0.9535651,-9.489118,32.003075,58.668262,-22.866846,-6.017729,4.217511
4,-0.33920469880104065,-1.4158991575241089,78.1640853881836,0.8518132808010754,-1.9049280950374967,85.75226422178807,2.8820033,-1.659122,-6.6528835,9.126641,-9.272793,-3.2104654,3.5683112,-3.4670255,-7.9292045,9.920864,-12.883171,1.423267,-3.2910757,-1.7842466,9.285801,-8.080193,11.686286,-51.769913,64.502045,22.92015,2.1689367,-2.5156424,-0.97296613,-9.478899,31.913612,58.666706,-22.71176,-6.036498,4.233334
5,-0.3389713168144226,-1.4066720008850098,78.164794921875,0.8756808182664181,-1.8525346113023873,85.78628877512058,2.8686118,-1.6896602,-6.702909,9.047057,-9.310257,-3.2514737,3.5334487,-3.499394,-7.935082,9.917784,-12.964673,1.3892394,-3.276588,-1.8078859,9.324355,-8.1458645,11.691424,-51.746315,64.547844,22.730461,2.1067326,-2.4978046,-0.992184,-9.470211,31.804932,58.661808,-22.513035,-6.0621095,4.231813
6,-0.3309210240840912,-1.3991243839263916,78.16106414794922,0.9169354315592286,-1.7920327946017773,85.81387450313805,2.8704991,-1.7351896,-6.751039,8.923817,-9.345851,-3.3074145,3.3457608,-3.5671866,-7.908762,10.219618,-13.207522,1.3402284,-3.2442183,-1.8446908,9.356975,-8.217515,11.698263,-51.69955,64.59301,22.515463,2.0342042,-2.5052886,-1.0110759,-9.465132,31.695038,58.65327,-22.277935,-6.0911126,4.2178655
7,-0.3281879127025604,-1.3897722959518433,78.15799713134766,0.9581938455345046,-1.7205087232129004,85.84851647816967,2.868654,-1.7779287,-6.8063807,8.786183,-9.3950815,-3.3746195,3.1806052,-3.6297553,-7.8921485,10.454053,-13.426492,1.2911172,-3.2028034,-1.8748027,9.390423,-8.301217,11.708053,-51.650784,64.63383,22.271101,1.9510576,-2.5061574,-1.0530163,-9.465308,31.602743,58.66886,-22.068516,-6.117793,4.2164493
8,-0.32733097672462463,-1.383811593055725,78.16070556640625,1.00188544867179,-1.627608680361836,85.89702846136414,2.8518066,-1.8216938,-6.8687053,8.630941,-9.45608,-3.445992,3.0290403,-3.696267,-7.9074802,10.622403,-13.631424,1.2621027,-3.1599543,-1.8993374,9.414141,-8.395833,11.715814,-51.620953,64.67313,21.991562,1.8578122,-2.4654298,-1.1386775,-9.4718895,31.570557,58.73881,-21.930273,-6.1335526,4.248562
9,-0.3238641619682312,-1.3700287342071533,78.16592407226562,1.05692482387386,-1.5111658545591249,85.96666004260256,2.8259857,-1.8702995,-6.9359536,8.441341,-9.532562,-3.531444,2.886716,-3.7759748,-7.9691153,10.736642,-13.833381,1.2595575,-3.1229315,-1.9262196,9.429009,-8.505344,11.726686,-51.6285,64.709816,21.656698,1.7453152,-2.3626535,-1.2556127,-9.490055,31.60698,58.838573,-21.895449,-6.136678,4.293358
10,-0.31549352407455444,-1.357636570930481,78.17628479003906,1.1189790951817717,-1.376189317345159,86.05178889644408,2.7943149,-1.9215106,-7.0084944,8.222836,-9.623232,-3.6304626,2.7524536,-3.8635585,-8.061801,10.80533,-14.031192,1.2727993,-3.0883393,-1.9529507,9.434082,-8.625688,11.738359,-51.661446,64.74635,21.271334,1.616399,-2.2183583,-1.3944677,-9.520291,31.702877,58.960785,-21.924822,-6.129822,4.345848
11,-0.30784472823143005,-1.352232813835144,78.19021606445312,1.1751927023874165,-1.2236504236572172,86.13960113422486,2.7441525,-1.9701481,-7.0892572,8.001998,-9.71649,-3.722187,2.6240773,-3.9441628,-8.1639185,10.822762,-14.214764,1.2961915,-3.045529,-1.955358,9.443663,-8.749927,11.753425,-51.670532,64.75633,20.887209,1.4862866,-2.0682945,-1.5793871,-9.582687,31.836706,59.128925,-21.98079,-6.1168814,4.4660254
12,-0.3035178780555725,-1.3482160568237305,78.20736694335938,1.2124285354084137,-1.054189227315627,86.21747630796142,2.6607254,-2.0104918,-7.1812415,7.8103695,-9.802878,-3.7871819,2.4946713,-4.001559,-8.253922,10.792734,-14.377372,1.3239748,-2.9728725,-1.9139086,9.467273,-8.88018,11.763122,-51.61591,64.73552,20.55785,1.3710692,-1.9471778,-1.8453318,-9.672397,31.967087,59.394188,-22.038006,-6.102829,4.711218
13,-0.3021724820137024,-1.3434468507766724,78.22390747070312,1.2309786284267281,-0.8555092480349591,86.29541842719914,2.534087,-2.0341415,-7.2950454,7.6235375,-9.863258,-3.8602924,2.3590927,-4.035277,-8.334797,10.695841,-14.514339,1.3433049,-2.8666558,-1.8350638,9.493475,-9.028277,11.762232,-51.48253,64.70138,20.281803,1.2685502,-1.8677211,-2.1981707,-9.777698,32.114624,59.79086,-22.08179,-6.1178927,5.0820155
14,-0.29817813634872437,-1.3318209648132324,78.2396469116211,1.2433601735782147,-0.6315389600884055,86.37476119878471,2.3723192,-2.0485106,-7.4249387,7.437491,-9.908361,-3.9338958,2.2214787,-4.0596285,-8.413298,10.538552,-14.629556,1.361796,-2.742731,-1.7276319,9.523071,-9.189919,11.748958,-51.283234,64.65326,20.039743,1.1718576,-1.8098933,-2.6160626,-9.918464,32.298927,60.272877,-22.12428,-6.1497293,5.555058
15,-0.29880717396736145,-1.3138177394866943,78.25983428955078,1.2530720653386647,-0.40772794149788055,86.43022421239617,2.1870399,-2.0696678,-7.551926,7.314081,-9.975464,-3.9254012,2.1117032,-4.0761824,-8.475985,10.316516,-14.714091,1.4039438,-2.5906196,-1.590898,9.573026,-9.350695,11.722917,-51.05656,64.57645,19.841003,1.092597,-1.7568622,-3.109535,-10.07879,32.45699,60.821095,-22.191456,-6.140626,6.1426144
16,-0.3069259226322174,-1.299346923828125,78.27404022216797,1.2561847736259308,-0.2090894362403235,86.43734474556615,1.9905732,-2.1121716,-7.659295,7.314551,-10.105128,-3.7566278,2.0614767,-4.0799303,-8.511554,10.020981,-14.758776,1.4935995,-2.4105523,-1.4126006,9.662244,-9.489392,11.6835165,-50.823265,64.4481,19.703796,1.0418571,-1.6921003,-3.6843107,-10.260016,32.53923,61.402378,-22.305235,-6.0328712,6.859204
17,-0.31893184781074524,-1.2790380716323853,78.29569244384766,1.249064863598036,-0.03922694605530617,86.39657702986982,1.7598248,-2.1974282,-7.768043,7.4962063,-10.3174095,-3.3504596,2.0707068,-4.072567,-8.52476,9.6606,-14.76582,1.6465204,-2.2054298,-1.1792281,9.794242,-9.603614,11.627564,-50.592045,64.26392,19.63704,1.0323864,-1.6052516,-4.350803,-10.463587,32.51702,62.042736,-22.46853,-5.80484,7.7720804
18,-0.35051020979881287,-1.2535361051559448,78.29338073730469,1.176475491835953,0.11697374868475628,86.32545300458762,1.0157182,-2.3129053,-7.881981,8.829844,-11.135409,-2.7669086,2.1098247,-3.9950287,-8.533889,9.265025,-14.755689,1.841685,-1.9807436,-0.8384813,9.956213,-9.704841,11.552341,-50.35202,64.03786,19.629866,1.0554107,-1.5070393,-5.101162,-10.690122,32.424423,62.74705,-22.675022,-5.492565,8.854849
19,-0.38422003388404846,-1.2142455577850342,78.28302764892578,1.0763469378467376,0.2583539443639966,86.21066564316553,0.23317133,-2.404669,-7.964741,10.304462,-12.057156,-2.1317787,2.1785526,-3.884674,-8.515457,8.833919,-14.724142,2.0576887,-1.7240926,-0.45142415,10.143103,-9.797592,11.461262,-50.10214,63.778515,19.664068,1.088715,-1.4121304,-5.91602,-10.93853,32.30342,63.451103,-22.931541,-5.1249747,9.980851
20,-0.4142681062221527,-1.1636183261871338,78.26766204833984,0.971522088546735,0.3833912990749744,86.04039487156305,-0.3984796,-2.441632,-7.97022,11.530533,-12.902701,-1.581545,2.2699928,-3.7602656,-8.449245,8.383501,-14.675467,2.2720735,-1.4248264,-0.05995421,10.352546,-9.883399,11.362577,-49.839825,63.48791,19.721828,1.1101524,-1.3357593,-6.776538,-11.20698,32.194324,64.0905,-23.243143,-4.72966,11.023175
21,-0.44619008898735046,-1.1133737564086914,78.24710083007812,0.8611769202440177,0.470195010437821,85.78792548208305,-0.82354045,-2.423922,-7.873521,12.473064,-13.66758,-1.1074824,2.4071221,-3.6202042,-8.3105545,7.910249,-14.609869,2.4907503,-1.0677131,0.3410484,10.604524,-9.952004,11.262098,-49.55402,63.148335,19.8348,1.1256094,-1.3044686,-7.699805,-11.49793,32.114357,64.674095,-23.618767,-4.2779245,12.022144
22,-0.47761034965515137,-1.061232328414917,78.22830963134766,0.7417851555274337,0.5257808153840313,85.46652024779716,-1.1078218,-2.370204,-7.700834,13.246305,-14.390694,-0.6576059,2.5925071,-3.462903,-8.115011,7.3942447,-14.518537,2.722139,-0.6658168,0.7631597,10.893883,-10.002871,11.162825,-49.247482,62.755043,19.998503,1.1429069,-1.3035334,-8.692303,-11.811761,32.04528,65.22734,-24.053896,-3.7692413,13.023256
23,-0.49802306294441223,-0.9911112785339355,78.20386505126953,0.6300700077858283,0.5923318496626085,85.12268778256934,-1.3213738,-2.2898428,-7.4732466,13.856601,-15.038896,-0.30128092,2.612752,-3.3326225,-7.8901,7.2008367,-14.588327,2.9476597,-0.24670295,1.1729662,11.18151,-10.046228,11.070886,-48.934063,62.325542,20.149971,1.1434969,-1.286644,-9.713292,-12.139787,31.964975,65.7062,-24.53285,-3.269407,13.905825
24,-0.5152173042297363,-0.9272722601890564,78.18280792236328,0.5321938450928373,0.7105633796122989,84.80571604888208,-1.5345856,-2.1812239,-7.215884,14.313998,-15.58124,-0.108102754,2.4892523,-3.2272897,-7.683986,7.1982303,-14.744327,3.1484003,0.16103189,1.5447291,11.431714,-10.090332,10.994521,-48.627808,61.875057,20.226702,1.1091576,-1.2073169,-10.728568,-12.4677725,31.851793,66.080734,-25.03186,-2.845617,14.544953
25,-0.5283316373825073,-0.8641044497489929,78.16285705566406,0.4502884379016477,0.8933784625840523,84.50937085575464,-1.7438409,-2.0329533,-6.9036956,14.580146,-16.002724,-0.12457874,2.2970223,-3.1354868,-7.4971986,7.1903796,-14.877313,3.3168252,0.56802464,1.8657792,11.635131,-10.143281,10.94092,-48.342873,61.404476,20.199657,1.0286615,-1.0436244,-11.7547035,-12.790358,31.714773,66.3648,-25.596931,-2.4994497,14.936974
26,-0.5353461503982544,-0.7920957207679749,78.14398956298828,0.3787420650171617,1.117677937909286,84.21439228329943,-1.9181638,-1.849868,-6.5302744,14.668887,-16.323385,-0.30479684,2.058177,-3.052459,-7.3126493,7.1821527,-14.994229,3.4637108,0.98340064,2.1479895,11.812443,-10.190143,10.913562,-48.064747,60.89673,20.110744,0.9140261,-0.8244711,-12.808273,-13.107502,31.559225,66.57927,-26.216381,-2.1971345,15.135673
27,-0.5371755361557007,-0.7280168533325195,78.12802124023438,0.3162669701472532,1.3705360684805468,83.95026936268488,-2.0832813,-1.6565357,-6.148655,14.658173,-16.560799,-0.5788908,1.7950411,-2.9797182,-7.154719,7.174034,-15.105507,3.5973353,1.3737353,2.3969047,11.970316,-10.214089,10.9156685,-47.779587,60.349487,19.982721,0.78199935,-0.57963973,-13.845323,-13.411407,31.343948,66.6946,-26.79949,-1.9417051,15.102802
28,-0.5307223796844482,-0.6548188924789429,78.11494445800781,0.2618410797662428,1.6391971006208856,83.74648609175601,-2.2673664,-1.4767966,-5.8127294,14.628683,-16.732311,-0.8773007,1.5291967,-2.9185386,-7.0477304,7.1654835,-15.219623,3.7260218,1.7072587,2.6170502,12.11452,-10.197827,10.949891,-47.473125,59.761086,19.840666,0.64975417,-0.33860385,-14.831826,-13.690235,31.036812,66.69447,-27.245895,-1.7370054,14.79793
29,-0.518621563911438,-0.5790374279022217,78.1039810180664,0.21980020809756406,1.9280649236700866,83.61906283643937,-2.4756525,-1.3126715,-5.528142,14.569409,-16.822527,-1.2032574,1.2571588,-2.8744912,-7.0084434,7.1584897,-15.338534,3.8534906,1.9719083,2.7985818,12.246276,-10.137818,11.020035,-47.123814,59.116768,19.693092,0.5201144,-0.09570011,-15.778993,-13.935341,30.617561,66.6049,-27.577494,-1.5952435,14.143783
30,-0.5034242868423462,-0.49059629440307617,78.09461975097656,0.18991927549381843,2.241313694301501,83.549485993804,-2.6948614,-1.1523029,-5.269213,14.451345,-16.8315,-1.5872502,0.97151273,-2.8463156,-7.0199513,7.15017,-15.455715,3.9748292,2.1831577,2.9382944,12.361692,-10.038802,11.128856,-46.742184,58.41871,19.525555,0.38474637,0.15953739,-16.708563,-14.14584,30.11156,66.43996,-27.82891,-1.5046468,13.181268
31,-0.48150140047073364,-0.3991461396217346,78.08421325683594,0.1655104049739807,2.565958963880864,83.51543372856608,-2.9139585,-0.99778587,-5.0436726,14.301723,-16.794277,-2.0002632,0.6845448,-2.824274,-7.056937,7.144445,-15.576072,4.08614,2.3499224,3.0532842,12.458426,-9.894979,11.275386,-46.357254,57.69066,19.33133,0.24439566,0.4049987,-17.598318,-14.321444,29.543844,66.17087,-27.934204,-1.4455882,12.043621
32,-0.4542084336280823,-0.3050180673599243,78.07152557373047,0.1394374732289022,2.8891534424795258,83.49425796526828,-3.1233275,-0.85480475,-4.858765,14.149279,-16.74462,-2.4128015,0.41074574,-2.799668,-7.0939226,7.1385827,-15.699915,4.1837654,2.482163,3.1591337,12.533511,-9.706963,11.456089,-46.004704,56.963295,19.097244,0.09947234,0.619321,-18.428774,-14.46356,28.944471,65.76868,-27.822598,-1.4015045,10.864534
