Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.28190797567367554,-2.3539180755615234,75.57363891601562,8.74349234529799,-2.7154404399249406,63.72506799050398,-30.480722,13.588614,16.887072,47.292915,-12.141957,-0.5763845,13.434739,-0.99726874,-6.2629366,38.802753,-17.272942,-9.618916,4.398982,-0.44510815,9.470302,36.178402,30.106089,-19.658936,-3.3607981,9.208666,-11.801703,16.683243,-19.059948,-15.760285,18.361273,-33.34714,-2.0093114,-5.244836,-0.14217836
1,0.1743113249540329,-0.7669386267662048,75.94464111328125,8.320188992679604,-2.822771793957265,63.28679234911892,-28.16094,12.010429,15.709256,40.303596,-11.081514,-2.33398,13.461821,-1.4317875,-6.971239,40.931873,-14.68988,-7.861753,4.7398467,-0.08036357,9.261207,37.108288,30.047762,-19.382019,-4.060707,8.994863,-11.798379,16.707464,-17.994036,-15.79446,18.497118,-33.90513,-2.0900774,-5.334493,-0.20154934
2,0.6575421094894409,0.829038679599762,76.24981689453125,7.822604012434548,-2.958774029462426,62.83275496069968,-25.577023,10.578065,14.367531,32.79561,-9.900101,-4.1171103,13.615656,-1.6654798,-7.5454693,42.85564,-11.934437,-5.913075,5.0015645,0.3920054,9.063022,38.124046,29.849062,-19.003828,-4.7496295,8.844341,-11.813153,16.68818,-16.994678,-15.881412,18.755796,-34.5218,-2.1446345,-5.4284754,-0.30501607
3,1.150113821029663,2.39553165435791,76.47357177734375,7.309704251919838,-3.099201460427382,62.35212245436288,-22.947851,9.490829,13.091872,25.597757,-8.860129,-5.4219074,13.604251,-1.9323313,-8.175631,45.15462,-9.531378,-4.317403,5.2675886,0.89911485,8.892125,39.03457,29.573153,-18.666803,-5.420348,8.671797,-11.820348,16.6799,-16.003325,-15.976891,19.009819,-34.969677,-2.223304,-5.5106406,-0.39428705
4,1.6514618396759033,3.9077415466308594,76.61021423339844,6.874832400675715,-3.2105559723227,61.85143275186138,-20.621231,8.799969,12.157705,19.738161,-8.2632065,-5.8449364,13.140157,-2.5895736,-9.104613,48.43923,-8.003572,-3.6807063,5.4756417,1.3186927,8.797485,39.800747,29.235466,-18.306307,-6.1848674,8.379154,-11.812274,16.669947,-15.018707,-16.063065,19.276217,-35.050014,-2.356796,-5.567078,-0.46673477
5,2.126786947250366,5.379409313201904,76.66213989257812,6.625750516684631,-3.234976525283856,61.35863219015609,-18.890728,8.390906,11.751749,15.747212,-8.434529,-5.0128098,12.080595,-4.0279675,-10.54367,53.122746,-7.600216,-4.4221163,5.600393,1.513932,8.758002,40.453312,28.840971,-17.856045,-7.113642,7.9571495,-11.793904,16.619308,-14.02819,-16.116993,19.550314,-34.713272,-2.5248282,-5.5935874,-0.51561767
6,2.5689282417297363,6.83342981338501,76.65483093261719,6.5695240167157065,-3.1915228942244296,60.89227486807484,-17.635748,8.03141,11.737781,13.1371,-9.2081995,-3.3582778,10.661149,-6.239773,-12.295272,58.818165,-8.090528,-6.259178,5.634259,1.48077,8.756016,41.022186,28.396267,-17.335466,-8.153853,7.4429398,-11.767867,16.541197,-13.056202,-16.126982,19.84469,-34.045933,-2.7256951,-5.5998297,-0.54476655
7,2.9878883361816406,8.262227058410645,76.59445190429688,6.666480202585232,-3.154298333925894,60.45263429266208,-16.635345,7.5801053,11.909535,11.509894,-10.173026,-1.6783895,9.148442,-8.981565,-14.000728,64.94677,-9.274201,-8.720237,5.5566235,1.2854189,8.831002,41.4383,27.91563,-16.84811,-9.200744,6.8219643,-11.719867,16.513294,-12.146782,-16.093206,20.180685,-33.050922,-3.0202863,-5.5926166,-0.5609499
8,3.3754892349243164,9.674809455871582,76.47273254394531,6.828329502402119,-3.2002132345471876,60.025980179251626,-15.646457,7.0169997,12.063783,10.448577,-10.837065,-0.7169069,7.7480655,-11.832722,-15.351642,70.950424,-10.86195,-11.242343,5.365315,1.0483832,9.020466,41.634968,27.419641,-16.50192,-10.151807,6.0792336,-11.637167,16.61417,-11.33375,-16.028095,20.57265,-31.740755,-3.4678376,-5.578114,-0.57117915
9,3.7495617866516113,11.082929611206055,76.26545715332031,7.029367519899351,-3.335557515846388,59.57615969266284,-14.579104,6.3872404,12.222841,9.912275,-11.031741,-0.70904446,6.4744654,-14.72403,-16.366928,76.88468,-13.049474,-13.841133,5.0834937,0.8029419,9.329366,41.642597,26.9202,-16.333282,-11.049861,5.088005,-11.501554,16.910736,-10.590032,-15.941557,21.037909,-30.110044,-4.1337895,-5.5134063,-0.58330226
10,4.119287967681885,12.502890586853027,75.97364807128906,7.344739967788392,-3.5205579068768476,59.127752678566004,-13.602663,5.681784,12.467063,10.172897,-11.05503,-1.1817946,5.1422734,-17.520842,-16.58844,82.97623,-15.887082,-15.000033,4.717981,0.47833884,9.73107,41.47951,26.422144,-16.286026,-11.926153,3.8911176,-11.33138,17.34955,-9.886477,-15.835725,21.553547,-28.176426,-4.9683003,-5.4113474,-0.5942967
11,4.4622721672058105,13.94664192199707,75.59368133544922,8.13587134680437,-3.919610151479828,58.874765446727096,-12.274632,4.311622,12.736333,10.31053,-10.582619,-1.726263,3.913366,-20.389046,-15.9744215,89.03672,-18.875462,-15.000033,4.084432,-0.30207574,10.384724,41.110035,25.941767,-16.315577,-12.710139,2.730547,-11.163631,17.824297,-9.261221,-15.719391,22.074818,-25.980307,-5.8538485,-5.357108,-0.59499335
12,4.751692295074463,15.36451530456543,75.2348861694336,9.027530206419422,-4.3498775626322415,58.73590808798422,-11.477475,2.9538271,12.843506,11.52518,-10.321514,-2.1651263,2.5603878,-23.02368,-14.979347,94.744484,-21.327856,-15.000033,3.3393874,-1.1995401,11.07948,40.408363,25.495993,-16.409014,-13.247193,1.8431013,-11.032783,18.2311,-8.726479,-15.602235,22.539236,-23.56877,-6.677881,-5.445032,-0.5855015
