Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.7213906049728394,2.6173384189605713,78.40081787109375,0.5035357640283892,-0.6212803322156638,-86.64967664714865,0.88051,5.4935555,7.1564236,11.416855,-11.020883,-4.669996,4.8751354,-7.174327,-21.874012,9.215733,-13.033835,6.136432,-0.5488373,0.7695182,8.019073,-10.190426,24.889502,-71.6086,54.301685,4.6057487,-3.7763724,5.5263515,-10.259539,-21.718939,71.74852,59.128864,9.384065,2.1563263,-14.026185
1,-0.7502175569534302,2.6221323013305664,78.391357421875,0.43457689011219713,-0.5690858965869889,-86.60504009187731,0.6675709,5.615156,7.065931,11.699246,-11.17052,-4.729266,4.796548,-7.0701118,-21.916533,9.266537,-13.064162,6.0578594,-0.51810026,0.828488,8.049838,-10.197165,24.952589,-71.52431,54.199894,4.5183935,-3.762472,5.58868,-10.267784,-21.73228,71.76689,59.093475,9.370492,2.151224,-14.042497
2,-0.78413325548172,2.6271402835845947,78.38092041015625,0.3677300591938908,-0.5189123094331538,-86.56017504690442,0.4617038,5.733087,6.975744,11.97282,-11.317983,-4.7871,4.722829,-6.967835,-21.958702,9.313453,-13.093644,5.982265,-0.49995017,0.88603336,8.07706,-10.197021,25.015331,-71.43565,54.10143,4.426977,-3.7481596,5.6520896,-10.246966,-21.7348,71.74293,59.05901,9.2976265,2.145284,-14.062412
3,-0.8233108520507812,2.635467529296875,78.36961364746094,0.2968492091754471,-0.46493299010449163,-86.51615795464406,0.24253996,5.857041,6.8844323,12.262937,-11.469372,-4.8484592,4.6407185,-6.861618,-22.001225,9.366898,-13.124189,5.9004674,-0.4682858,0.94486207,8.1057,-10.204234,25.072697,-71.345314,54.013206,4.344643,-3.7374742,5.7129145,-10.259418,-21.729511,71.76315,59.045254,9.283502,2.1396375,-14.07533
4,-0.8663775324821472,2.6500394344329834,78.3570556640625,0.22145998689629517,-0.4017188744622765,-86.47400371183409,-0.0088181235,5.997201,6.7905455,12.592479,-11.629311,-4.918473,4.539354,-6.7436824,-22.045315,9.432151,-13.154722,5.8030767,-0.4286354,1.0084128,8.134105,-10.198418,25.143167,-71.21335,53.917843,4.296918,-3.734266,5.765693,-10.274714,-21.71333,71.78568,59.03865,9.270496,2.1392732,-14.072444
5,-0.9114126563072205,2.66792893409729,78.34540557861328,0.13844762180201708,-0.32309445412519566,-86.43996010998094,-0.29507563,6.151971,6.700603,12.954691,-11.794376,-4.999993,4.398052,-6.619889,-22.084303,9.533421,-13.192749,5.684882,-0.34890223,1.0779963,8.157224,-10.210887,25.183222,-71.07141,53.86037,4.298457,-3.7410254,5.80772,-10.2974415,-21.699232,71.811646,59.037064,9.293519,2.149519,-14.048538
6,-0.9643954038619995,2.6792306900024414,78.33531188964844,0.05360409957022045,-0.23385599475034566,-86.41155101766202,-0.6056582,6.3169146,6.6130447,13.339761,-11.962781,-5.0900564,4.2286134,-6.4920707,-22.120075,9.66144,-13.237137,5.5516696,-0.29043183,1.1498415,8.179909,-10.185181,25.263985,-70.84801,53.760155,4.356519,-3.752078,5.8384943,-10.332194,-21.662882,71.854324,59.053772,9.304828,2.167384,-14.009591
7,-1.0219416618347168,2.69101881980896,78.32508850097656,-0.04100885576878385,-0.144045448240679,-86.37689405401395,-0.9433191,6.4979777,6.5139008,13.7730875,-12.145702,-5.185249,4.068571,-6.346231,-22.165949,9.768474,-13.271777,5.4107714,-0.21408086,1.2253981,8.2062025,-10.16238,25.348839,-70.624565,53.669376,4.401313,-3.7698011,5.8690095,-10.368767,-21.617903,71.898186,59.0766,9.326804,2.1819448,-13.962458
8,-1.080996036529541,2.708743095397949,78.31269836425781,-0.14926093097615048,-0.06372527585745151,-86.32427856660291,-1.3075771,6.7006345,6.3894324,14.27321,-12.350601,-5.2822437,3.9545507,-6.168936,-22.235294,9.809147,-13.281844,5.2697325,-0.13877496,1.3081161,8.24297,-10.141949,25.43932,-70.40834,53.59678,4.377668,-3.796239,5.906531,-10.409779,-21.564732,71.957756,59.101738,9.353558,2.1833942,-13.913913
9,-1.1485991477966309,2.723928928375244,78.29792785644531,-0.27175050836796594,0.006122363191809768,-86.25229705013435,-1.6968913,6.925632,6.2399273,14.841107,-12.581329,-5.3798003,3.8920076,-5.957509,-22.330227,9.775788,-13.26349,5.1287208,-0.06255606,1.3968953,8.289629,-10.122299,25.529266,-70.19676,53.54941,4.2770524,-3.833747,5.954538,-10.441026,-21.507528,72.01646,59.120262,9.361893,2.1625311,-13.858959
