Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.016874544322490692,-1.95937979221344,79.00700378417969,-0.4582418058711476,9.294878892301735,91.1286207838089,-23.07733,9.07827,7.449003,65.34922,-15.838585,1.8487799,3.7450264,2.2236087,-2.2565603,22.365042,-4.911149,3.7465677,5.558283,2.8379252,8.250393,28.827122,29.846777,-21.484583,-26.372068,11.619509,7.98051,-2.5937843,4.134979,-19.807098,10.549407,-26.540565,-2.561571,-1.6972147,-11.721572
1,-0.04987991601228714,-0.7927654981613159,79.40982818603516,-0.13669688045043984,9.372523246134632,91.45820130947386,-23.254917,7.7277284,7.6097474,61.636124,-15.178708,1.113871,4.8210015,1.9091763,-2.1276944,21.23625,-1.9989244,4.637011,6.0008535,2.3149881,7.9291224,29.834377,29.900097,-21.211498,-26.783464,11.53349,8.056232,-2.3557231,4.246765,-20.054174,10.65788,-26.993502,-2.4339116,-1.9584681,-11.826338
2,-0.08026690781116486,0.3738991320133209,79.78282928466797,0.18529299502210317,9.44167914602182,91.78216029420699,-23.412743,6.403769,7.748502,57.888744,-14.519554,0.41360927,5.921789,1.6070892,-1.9488041,20.07414,0.96029305,5.5512524,6.4429464,1.8363626,7.636722,30.897936,29.933449,-20.919018,-27.258488,11.451497,8.133919,-2.1223931,4.4196944,-20.456413,10.769369,-27.565046,-2.2209942,-2.217432,-12.005417
3,-0.10036319494247437,1.5445842742919922,80.1124267578125,0.4537761113738823,9.501384064601972,92.12077747451205,-23.50263,5.144922,7.8090606,54.051792,-13.856251,-0.3109226,6.9689927,1.3886268,-1.7399589,19.046144,3.7729638,6.470341,6.839502,1.4391105,7.365784,31.916868,29.945484,-20.642595,-27.727993,11.325743,8.189886,-1.8844508,4.659393,-20.950352,10.878524,-28.190256,-1.9977598,-2.474185,-12.167104
4,-0.10472404211759567,2.722349166870117,80.40495300292969,0.6258640026232639,9.553976970390517,92.49066035956899,-23.476118,3.98873,7.7401075,50.066963,-13.182266,-1.1114594,7.883395,1.3149225,-1.5277874,18.309872,6.2532687,7.368353,7.1303496,1.1513234,7.112559,32.836044,29.94491,-20.382908,-28.169687,11.101899,8.197273,-1.6356684,4.959263,-21.49647,11.003089,-28.814613,-1.8271511,-2.7268634,-12.232502
5,-0.11138182878494263,3.891895294189453,80.64657592773438,0.6843698119600966,9.616390719485386,92.90593150192791,-23.304811,2.9382415,7.498836,45.773346,-12.476741,-2.0264142,8.670322,1.3911005,-1.3968638,17.820969,8.41189,8.25815,7.292559,0.9740444,6.853001,33.670685,29.94341,-20.123127,-28.590363,10.712461,8.132018,-1.3568772,5.301522,-22.076418,11.154808,-29.425915,-1.7192645,-2.9547703,-12.1392765
6,-0.11522302031517029,5.05979061126709,80.82943725585938,0.657253409226361,9.684199256490675,93.34793255655286,-22.997242,1.9949304,7.121235,41.205868,-11.733716,-3.00319,9.375814,1.5846986,-1.3135325,17.490791,10.354445,9.13714,7.367775,0.8809566,6.5907407,34.449184,29.946547,-19.859266,-29.000923,10.204501,8.013763,-1.057339,5.672059,-22.678158,11.324647,-30.025646,-1.6577818,-3.1656458,-11.9326
7,-0.10915080457925797,6.219422817230225,80.95680236816406,0.5694979720097345,9.729754809562104,93.78136028737035,-22.55946,1.1806127,6.687071,36.591583,-10.96281,-3.9611304,9.969674,1.8837012,-1.1352146,17.431103,12.032168,9.950663,7.3951497,0.8543307,6.365542,35.143726,29.953823,-19.610945,-29.40148,9.695838,7.8821898,-0.7735268,6.077986,-23.28028,11.500506,-30.587458,-1.6589395,-3.4001567,-11.7003565
8,-0.08819647133350372,7.36455774307251,81.03622436523438,0.4470596797710688,9.724637805963582,94.17338958642573,-22.013144,0.5020972,6.2810445,32.18169,-10.17805,-4.834089,10.425214,2.2740557,-0.7238623,17.750116,13.3901,10.643408,7.4110255,0.8770578,6.215865,35.719593,29.961258,-19.400602,-29.781727,9.304897,7.7791805,-0.54116184,6.5236235,-23.857521,11.66997,-31.078428,-1.7424226,-3.6992905,-11.528097
9,-0.07277918606996536,8.499277114868164,81.06083679199219,0.2567879288731088,9.651859726074765,94.52800506527007,-21.34854,-0.03748374,5.85087,27.941282,-9.365515,-5.6563835,10.752512,2.7948182,-0.05848703,18.480028,14.348454,11.113597,7.4145994,0.98088545,6.158676,36.171555,29.9684,-19.227667,-30.145117,9.069027,7.7228827,-0.3703765,6.996901,-24.396158,11.842081,-31.471615,-1.9902964,-4.130685,-11.45287
10,-0.05784892290830612,9.629937171936035,81.03968048095703,-0.026738671146425946,9.526037365690467,94.8553238364923,-20.560179,-0.42305562,5.375728,23.770023,-8.519309,-6.458518,10.966549,3.4442616,0.77481127,19.570953,14.95955,11.398894,7.3925056,1.1816318,6.1698647,36.518482,29.977613,-19.081215,-30.492893,8.925138,7.6907744,-0.2415777,7.488181,-24.895082,12.02217,-31.775455,-2.3753982,-4.6535826,-11.419569
11,-0.04823344573378563,10.737590789794922,80.9566650390625,-0.3529980669314662,9.367482613490127,95.13786674714302,-19.712448,-0.66224873,4.996484,19.879927,-7.6850295,-7.183478,11.061878,4.150737,1.7512066,20.972797,15.374426,11.668346,7.3558726,1.4325575,6.225446,36.756844,29.987995,-18.971704,-30.80429,8.841168,7.6637363,-0.14602257,8.009883,-25.34733,12.193157,-32.009544,-2.7524948,-5.1472836,-11.375838
12,-0.03897346183657646,11.831070899963379,80.81843566894531,-0.6546246726145178,9.200476729923622,95.36400468152547,-18.886032,-0.798986,4.861284,16.502733,-6.9183493,-7.7780414,11.020266,4.84133,2.844908,22.646296,15.734511,12.109451,7.3113003,1.6668966,6.298159,36.8779,29.99739,-18.912235,-31.056534,8.787115,7.622366,-0.07502965,8.5737505,-25.743494,12.336452,-32.193424,-2.9768472,-5.4917636,-11.263525
13,-0.03312615677714348,12.911346435546875,80.63025665283203,-0.9047110028668471,9.054929736887239,95.53331783886985,-18.096954,-0.88545245,5.0458174,13.608137,-6.1661677,-8.382088,10.79712,5.606151,4.2560964,24.609957,16.110338,12.862913,7.255146,1.8573326,6.358927,36.86941,30.006027,-18.90691,-31.230608,8.777762,7.5394425,-0.03891974,9.181109,-26.073946,12.442648,-32.326153,-3.0002859,-5.6466413,-11.024295
14,-0.03340071439743042,13.984062194824219,80.40026092529297,-1.1185190771250955,8.91607607078865,95.66649984127714,-17.333204,-0.9482471,5.4687567,11.132317,-5.427987,-8.98642,10.397185,6.4589763,5.908461,26.925552,16.375875,13.83517,7.1715746,2.0159805,6.4243674,36.73289,30.015242,-18.951317,-31.336319,8.822689,7.4327636,-0.037597593,9.821568,-26.33545,12.525835,-32.39095,-2.9067123,-5.67914,-10.698642
15,-0.03909842669963837,15.054154396057129,80.13587951660156,-1.2450193322314271,8.75157620304591,95.7909492270138,-16.675251,-1.0340873,6.055289,9.325709,-4.865535,-9.304306,9.850126,7.165559,7.3597093,29.62871,16.372915,14.862564,7.0394387,2.092163,6.5306344,36.46871,30.024223,-19.042353,-31.373394,8.87937,7.3497653,-0.047636863,10.482114,-26.529222,12.607752,-32.37362,-2.748594,-5.6312037,-10.378356
