Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.12304511666297913,-1.9457814693450928,78.66987609863281,-0.9765367761610463,-0.39832112275749276,86.8703358892049,4.6839085,9.733342,17.556082,8.467345,-8.579285,-7.652224,1.2882208,-3.6622944,-9.395472,8.428029,-9.054768,3.220456,-1.9557734,0.95907694,7.4716544,-3.0637732,18.083296,-46.286327,58.73564,6.449417,0.29259247,11.711723,-9.356561,-16.983366,54.216084,58.819714,-4.671802,2.184297,-5.4132295
1,-0.11574965715408325,-1.9215117692947388,78.66656494140625,-0.9814296089092212,-0.404823229924588,86.8855785140338,4.7157454,9.740796,17.540741,8.448263,-8.602863,-7.6850367,1.3225746,-3.6518364,-9.417868,8.417534,-9.074031,3.216655,-1.9696237,0.95644563,7.469514,-2.9358919,18.124035,-46.330334,58.75186,7.299857,-0.14339559,11.532274,-9.352673,-16.985138,54.24024,58.792515,-4.6601667,2.1871572,-5.445645
2,-0.10927698016166687,-1.8995299339294434,78.66521453857422,-0.9870244613406999,-0.4126905564328131,86.90067104817639,4.750881,9.747939,17.525892,8.426205,-8.627572,-7.718201,1.3591373,-3.641012,-9.440658,8.405632,-9.093111,3.21262,-1.9823618,0.9556534,7.469514,-2.8291879,18.138796,-46.3709,58.816845,8.205941,-0.6142188,11.3507185,-9.352004,-16.98466,54.25949,58.77059,-4.652376,2.190366,-5.47736
3,-0.09970418363809586,-1.881303310394287,78.66141510009766,-0.9921260279431056,-0.4179750287039028,86.91598212465658,4.7821326,9.754784,17.51075,8.404665,-8.647297,-7.7505894,1.3927852,-3.6308045,-9.462557,8.393735,-9.11112,3.2091053,-1.992244,0.9549387,7.4587207,-2.717196,18.157614,-46.422157,58.85589,9.002562,-1.0311009,11.194164,-9.343318,-16.982977,54.284477,58.75004,-4.6376634,2.1917498,-5.5096507
4,-0.09086468070745468,-1.864160418510437,78.65937805175781,-0.9962211926034519,-0.4193295799577396,86.93225169827356,4.8037076,9.761607,17.493723,8.388888,-8.656714,-7.7812405,1.4222108,-3.6217914,-9.482843,8.382094,-9.127342,3.2067177,-1.9997224,0.9477794,7.45144,-2.635553,18.183428,-46.462387,58.870716,9.558509,-1.3210977,11.074358,-9.334565,-16.978418,54.29771,58.723396,-4.631185,2.1860461,-5.532096
5,-0.07943275570869446,-1.849534034729004,78.65555572509766,-0.9999895183368436,-0.414953397163641,86.9520074804077,4.812397,9.767862,17.471151,8.376905,-8.645351,-7.8143525,1.44535,-3.614626,-9.502262,8.372238,-9.1414585,3.20489,-2.0084722,0.9410427,7.4444156,-2.5900128,18.19799,-46.484074,58.850307,9.787062,-1.4203962,11.000803,-9.323314,-16.974213,54.299118,58.69191,-4.6380486,2.1694643,-5.54643
6,-0.06803834438323975,-1.8313156366348267,78.65156555175781,-1.0035901009731314,-0.4065792881258095,86.97419178906264,4.8133307,9.773021,17.445005,8.364808,-8.617801,-7.848924,1.4644892,-3.6089258,-9.520968,8.362612,-9.1534195,3.203483,-2.0178478,0.93175805,7.4379005,-2.5759473,18.204218,-46.492035,58.814754,9.782595,-1.3872249,10.958118,-9.3119545,-16.971287,54.296803,58.655148,-4.648515,2.1451159,-5.5544605
7,-0.0633549839258194,-1.8088268041610718,78.6488037109375,-1.006343507255356,-0.39607069023104635,86.99360992853035,4.810642,9.778437,17.422808,8.357004,-8.592967,-7.8761435,1.4800841,-3.603726,-9.536732,8.353611,-9.165155,3.2041204,-2.024256,0.92175406,7.42776,-2.567141,18.209087,-46.497673,58.767643,9.673654,-1.305653,10.933862,-9.296918,-16.967768,54.2895,58.617275,-4.660622,2.1210814,-5.5534487
8,-0.05830783769488335,-1.7936633825302124,78.64745330810547,-1.0077007344069295,-0.3854263629771583,87.00525725978682,4.8101144,9.784962,17.412125,8.355823,-8.589177,-7.887035,1.4943113,-3.5977976,-9.54723,8.341494,-9.175812,3.2084284,-2.0174463,0.9101993,7.413108,-2.547547,18.219145,-46.5135,58.722855,9.59317,-1.2624807,10.9137125,-9.277561,-16.95766,54.2673,58.58389,-4.672533,2.1048744,-5.538246
9,-0.05328046903014183,-1.7813153266906738,78.64706420898438,-1.0044916461844196,-0.3737341920832096,87.00466736470602,4.8132625,9.7916765,17.420732,8.363278,-8.618462,-7.8697495,1.505849,-3.591955,-9.549133,8.323565,-9.184764,3.2228298,-2.0080721,0.89964706,7.391498,-2.505235,18.22557,-46.520252,58.68768,9.566064,-1.2926345,10.903104,-9.256877,-16.947554,54.242947,58.549084,-4.677646,2.1009376,-5.4984446
10,-0.03716297447681427,-1.7595919370651245,78.64524841308594,-0.9998285958000793,-0.3605694614946941,86.99528706127043,4.817367,9.798336,17.442837,8.376631,-8.6679,-7.8322587,1.5138215,-3.5865722,-9.544258,8.302733,-9.192453,3.2444952,-1.9940557,0.8897265,7.3643055,-2.4526455,18.229424,-46.522243,58.65208,9.523468,-1.3453803,10.906068,-9.233677,-16.937397,54.21216,58.51475,-4.6819167,2.1034238,-5.4393606
11,-0.03017616458237171,-1.7353869676589966,78.64451599121094,-0.9949602592198146,-0.3480706855811369,86.98491292913273,4.822538,9.806628,17.465862,8.390809,-8.719078,-7.795092,1.5210851,-3.5795429,-9.538996,8.284387,-9.200884,3.2610548,-1.980347,0.8823719,7.3380475,-2.40068,18.231049,-46.52275,58.61901,9.475119,-1.3829514,10.908294,-9.209382,-16.928698,54.185005,58.478565,-4.6831675,2.1097913,-5.381406
12,-0.02110249362885952,-1.714793086051941,78.64290618896484,-0.9959965219195221,-0.3388595919446945,86.98118385884239,4.828701,9.818352,17.47718,8.399597,-8.75198,-7.778919,1.5295476,-3.5694964,-9.539466,8.276011,-9.212999,3.2602642,-1.9719285,0.87799543,7.322299,-2.3633387,18.231276,-46.524097,58.590534,9.430211,-1.3673487,10.895087,-9.190063,-16.922195,54.171062,58.442215,-4.679349,2.116697,-5.345441
13,-0.013515136204659939,-1.7006016969680786,78.64043426513672,-1.0056712417465015,-0.33453273235048686,86.98449185154226,4.834894,9.838527,17.473934,8.40719,-8.762747,-7.792384,1.5395292,-3.5525494,-9.545763,8.282815,-9.230988,3.230993,-1.9551797,0.87829435,7.3073955,-2.3345866,18.230583,-46.544262,58.567345,9.393305,-1.2821374,10.868548,-9.1645155,-16.901102,54.14891,58.42435,-4.6905103,2.1228204,-5.338301
14,-0.0020218410063534975,-1.686781883239746,78.64032745361328,-1.0192654942992785,-0.33383407712703855,86.991523055244,4.8439565,9.863247,17.463121,8.410532,-8.759199,-7.8232026,1.5490993,-3.531753,-9.555038,8.303076,-9.254638,3.18266,-1.9513093,0.8840145,7.3109326,-2.3175342,18.229725,-46.549305,58.554176,9.362802,-1.1676575,10.834495,-9.150707,-16.89693,54.150574,58.39387,-4.6890063,2.1283252,-5.3486495
15,0.004332983400672674,-1.669291615486145,78.63961029052734,-1.0350976253221715,-0.33347479219369414,87.0034528879119,4.850441,9.887752,17.445114,8.413359,-8.749976,-7.8617487,1.5599867,-3.510947,-9.569252,8.322097,-9.276745,3.1327913,-1.9488897,0.8910105,7.3057876,-2.2980773,18.226498,-46.56422,58.522724,9.325245,-0.9926317,10.783133,-9.125076,-16.883665,54.159096,58.364136,-4.688583,2.1416996,-5.369046
16,0.011424355208873749,-1.653241515159607,78.64136505126953,-1.0464132537093298,-0.32720084796568827,87.02236114118607,4.851585,9.9024315,17.421139,8.406604,-8.737092,-7.8974733,1.5679078,-3.4973955,-9.590326,8.33188,-9.293406,3.0995052,-1.9494379,0.8962261,7.2969503,-2.2921617,18.222624,-46.578407,58.49865,9.282182,-0.8099568,10.7125435,-9.1074505,-16.872295,54.166786,58.34881,-4.686311,2.1517653,-5.3818297
17,0.018169036135077477,-1.6352921724319458,78.64066314697266,-1.0532501643651495,-0.3138578000408621,87.05567188176614,4.842858,9.904847,17.381851,8.3869,-8.715111,-7.9365835,1.5742033,-3.4924664,-9.6272335,8.325868,-9.300304,3.086631,-1.9565564,0.8973546,7.2869883,-2.3168738,18.21024,-46.590893,58.477978,9.218851,-0.55376065,10.586281,-9.099892,-16.845156,54.165054,58.348637,-4.688992,2.1651917,-5.38205
18,0.023063145577907562,-1.621335506439209,78.63995361328125,-1.0595187191534063,-0.29606561324873465,87.10028791097288,4.8276787,9.899377,17.329782,8.357586,-8.684434,-7.98147,1.5795288,-3.4930115,-9.676096,8.311259,-9.301697,3.084958,-1.971804,0.8976584,7.281523,-2.3577676,18.198399,-46.5924,58.446064,9.148801,-0.2340246,10.417565,-9.092729,-16.825583,54.15576,58.339314,-4.699601,2.1835427,-5.3759494
19,0.01588648371398449,-1.613566517829895,78.63933563232422,-1.0616109882414004,-0.27751447719286765,87.14127125386305,4.8129673,9.8909,17.283627,8.330275,-8.659267,-8.01704,1.5851038,-3.4962995,-9.719934,8.292734,-9.301413,3.0924585,-1.9809958,0.8954675,7.2696824,-2.4040122,18.173372,-46.599056,58.440727,9.098469,0.028294874,10.273429,-9.090126,-16.791159,54.14701,58.352726,-4.710789,2.1961472,-5.369009
