Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.14490067958831787,-2.264697313308716,73.17965698242188,-1.6143936374639627,0.2178110193544334,90.43461731476437,4.443919,7.53893,4.267728,84.89376,0.039016344,0.052586067,-26.757822,2.7139816,-1.1120168,45.032913,-18.948908,0.8909152,-5.393089,0.7969229,13.882297,-27.235964,18.524677,-37.9203,-27.17939,-2.4679623,-14.089946,12.722694,11.438375,-33.484024,31.38614,-45.236137,-13.205562,28.415987,-0.9777652
1,-0.050537340342998505,-0.7075002789497375,72.7655029296875,-2.4338977508662816,-0.12278979142194059,89.69455014287917,2.545293,8.889141,4.2735925,88.4375,-1.942971,0.1342196,-25.54823,4.0277843,-1.1591724,46.197952,-20.740019,0.5512551,-4.233745,1.7245759,14.376525,-24.835249,18.468845,-37.830917,-25.38753,-1.0806297,-13.72295,13.750305,6.525122,-33.804092,32.184193,-44.910503,-13.005285,28.708271,-1.1995187
2,0.07855680584907532,0.9050707221031189,72.43040466308594,-3.2974433007896256,-0.49288224081460763,88.92399004812461,0.7227085,10.245628,4.2376966,92.09901,-3.99172,0.16843688,-24.362726,5.424478,-1.1827471,47.42316,-22.546974,0.18813272,-3.1594827,2.760933,14.870709,-22.378393,18.390123,-37.640762,-23.564228,0.36121276,-13.347261,14.825494,1.4935166,-34.17824,33.183487,-44.64538,-12.664368,29.02468,-1.542564
3,0.10954981297254562,2.5035157203674316,72.17803955078125,-4.047954121402769,-0.83149362860802,88.23674378488637,-1.1448807,11.470868,4.191832,95.52286,-5.977743,0.21340409,-23.130888,6.662519,-1.145135,48.524345,-24.315454,-0.13104002,-2.1769738,3.7291427,15.282458,-19.803438,18.310484,-37.400093,-21.996593,1.6526251,-12.942384,15.739475,-3.4211159,-34.539333,34.163933,-44.476917,-12.409616,29.297985,-1.8621317
4,0.05269017815589905,4.091831684112549,72.0067138671875,-4.53791809214793,-1.0716340771266522,87.74301036741817,-3.2023783,12.456644,4.155313,98.35055,-7.754629,0.34505975,-21.778013,7.5055547,-1.0251029,49.30676,-25.986526,-0.34173962,-1.3477889,4.445298,15.528991,-17.003563,18.271729,-37.09102,-20.97474,2.5838764,-12.500836,16.270723,-8.081773,-34.835827,34.99884,-44.35129,-12.466332,29.47345,-2.0279005
5,0.015034912154078484,5.708761692047119,71.88362121582031,-4.678506484761147,-1.1897781917710888,87.49320445487626,-5.5475187,13.127928,4.10721,100.52232,-9.275393,0.60114115,-20.290752,7.817343,-0.8161929,49.77777,-27.619287,-0.40410548,-0.74385667,4.7810626,15.604425,-13.825651,18.31273,-36.621693,-20.670713,3.254337,-11.952427,16.281431,-12.580328,-35.04501,35.701786,-44.14823,-13.02412,29.521296,-1.948902
6,0.027554703876376152,7.36710262298584,71.80976867675781,-4.569560819407612,-1.2184697740674346,87.41813267908039,-8.107301,13.578564,4.0579643,102.21622,-10.601967,0.9578432,-18.700861,7.7516274,-0.56355304,50.014812,-29.219814,-0.3691327,-0.32195833,4.831376,15.574068,-10.326588,18.450989,-36.022522,-20.944557,3.7227623,-11.336127,15.922702,-17.0195,-35.16004,36.332294,-43.850483,-13.934431,29.475506,-1.6920775
7,0.07178749144077301,9.046177864074707,71.78106689453125,-4.350434281947415,-1.1754355933086402,87.44539950744753,-10.777211,13.963025,4.055835,103.43023,-11.745744,1.388915,-17.007313,7.509105,-0.32227436,49.939087,-30.654396,-0.30673736,0.026536414,4.749643,15.456794,-6.7095914,18.695372,-35.44479,-21.604992,3.7290013,-10.807025,15.414143,-21.237011,-35.169327,36.86552,-43.572598,-14.962036,29.379257,-1.3597662
8,0.12231408804655075,10.741816520690918,71.80450439453125,-4.159312596781543,-1.0784288106301363,87.50189740146982,-13.44858,14.439253,4.145512,104.16139,-12.723868,1.8687712,-15.212442,7.288457,-0.12976664,49.475327,-31.788015,-0.27947408,0.43246284,4.6927123,15.2590275,-3.206536,19.047146,-35.05082,-22.433598,3.0115492,-10.511698,14.980447,-25.054064,-35.062767,37.265266,-43.424095,-15.873266,29.27743,-1.0473696
9,0.16787713766098022,12.421928405761719,71.87179565429688,-4.021933936356101,-0.9232536489028921,87.61429924391325,-16.18141,15.0495615,4.314626,104.4235,-13.50075,2.4286041,-13.297816,7.098832,-0.026271382,48.57182,-32.6558,-0.2939368,0.8982993,4.678738,14.966938,0.1545615,19.51204,-34.87407,-23.414104,1.2102302,-10.583536,14.639278,-28.48524,-34.82771,37.460426,-43.35314,-16.576244,29.173086,-0.7403288
10,0.2058655321598053,14.102596282958984,71.99748992919922,-3.8638505444711626,-0.7067339235956019,87.80457268673518,-18.98937,15.695193,4.5717278,104.20027,-14.081949,3.0614312,-11.267478,6.843635,0.022912297,47.283695,-33.307404,-0.31417418,1.3738824,4.6271415,14.580463,3.4870677,20.096306,-34.800053,-24.648466,-1.4433907,-10.894159,14.273907,-31.583612,-34.463894,37.523335,-43.319157,-17.259335,29.042553,-0.3934849
11,0.23436911404132843,15.789823532104492,72.1800537109375,-3.6815845919389387,-0.4468271034931202,87.99193026820312,-21.692827,16.328423,4.982776,103.448875,-14.550884,3.678539,-9.162434,6.556222,0.105059296,45.701653,-33.63557,-0.33126256,1.8912776,4.5462055,14.116377,6.786499,20.796774,-34.752426,-26.07598,-4.317479,-11.206797,13.914585,-34.44922,-33.99423,37.5781,-43.3005,-17.898445,28.898296,-0.05616583
12,0.2546069324016571,17.50704574584961,72.4160385131836,-3.46979614435779,-0.1592276766153507,88.0967218333957,-24.109772,16.906607,5.6093974,102.13022,-14.991509,4.185716,-7.0234303,6.2642293,0.30692592,43.91255,-33.53084,-0.33512443,2.492726,4.4461327,13.59408,10.025137,21.59986,-34.68058,-27.618177,-6.7731733,-11.299607,13.6180105,-37.116013,-33.455284,37.7339,-43.329044,-18.50158,28.754433,0.21877524
13,0.25728878378868103,19.25307846069336,72.70713806152344,-3.2354212206692123,0.1790645324882385,88.0859360553743,-26.214684,17.474047,6.532019,100.20165,-15.490197,4.542475,-4.8438063,5.9919024,0.68847895,41.846146,-32.981983,-0.36680043,3.2108905,4.343295,12.98182,13.1955185,22.500885,-34.61095,-29.27672,-8.755685,-11.108274,13.418241,-39.55527,-32.88071,37.961716,-43.470287,-19.025621,28.614979,0.40466118
14,0.2466791272163391,21.03173065185547,73.05423736572266,-2.9762416911749274,0.5697867354393626,88.00869578202433,-28.064472,18.010597,7.7220373,97.687675,-15.990092,4.770844,-2.6157138,5.702862,1.187186,39.498432,-32.05034,-0.40777126,4.0325317,4.225941,12.290947,16.29667,23.500793,-34.562454,-31.073114,-10.563071,-10.761297,13.29121,-41.707092,-32.27716,38.21126,-43.739685,-19.507627,28.476456,0.52025366
15,0.2248091697692871,22.858732223510742,73.446044921875,-2.6791964399936474,0.9668098712951122,87.90940962954653,-29.61453,18.387257,9.059179,94.650185,-16.354801,4.8743567,-0.3835756,5.339652,1.7029285,37.06204,-30.739265,-0.3619531,4.8719797,4.057592,11.583983,19.364084,24.58199,-34.438076,-32.979137,-12.084435,-10.338823,13.215054,-43.637142,-31.66478,38.50344,-44.086143,-19.933363,28.34066,0.6055597
16,0.1987563669681549,24.715747833251953,73.87085723876953,-2.332556402906395,1.3230899624030308,87.83235829196992,-30.833727,18.487041,10.412424,91.14848,-16.448189,4.874694,1.8114423,4.856508,2.137756,34.720848,-29.04489,-0.13871305,5.6574645,3.8136218,10.926365,22.41187,25.713263,-34.15452,-34.947937,-13.209241,-9.920381,13.158217,-45.393013,-31.062466,38.872948,-44.454422,-20.31617,28.210052,0.69378823
17,0.15386909246444702,26.593107223510742,74.32585906982422,-1.9085454072732642,1.61135346296441,87.77635307314527,-31.67736,18.285723,11.827163,87.14324,-16.209482,4.823528,4.0443354,4.2179837,2.5139585,32.401386,-26.931683,0.36689124,6.3979645,3.478662,10.3435755,25.429884,26.872171,-33.71058,-36.954243,-13.800004,-9.513589,13.133845,-46.985302,-30.487852,39.34357,-44.85786,-20.652964,28.0967,0.7805412
18,0.09588344395160675,28.49416732788086,74.80171203613281,-1.427004207859399,1.861328663935302,87.72517285746343,-32.175014,17.83285,13.32995,82.61346,-15.724063,4.690132,6.297437,3.478266,2.8743849,30.056812,-24.412588,1.0690715,7.128664,3.0814116,9.79591,28.395475,28.04854,-33.159363,-38.991493,-13.949973,-9.084206,13.141032,-48.371414,-29.950953,39.884026,-45.329716,-20.937391,27.996216,0.84974384
19,0.014781675301492214,30.407024383544922,75.28109741210938,-0.9499554865604329,2.1089541212411107,87.69887325054903,-32.42109,17.139439,14.745558,77.63047,-15.071256,4.39058,8.39707,2.7347784,3.1565204,27.914846,-21.555038,1.7660213,7.81997,2.668266,9.247054,31.303524,29.223516,-32.499027,-41.034237,-13.890612,-8.648821,13.126965,-49.51599,-29.457003,40.443436,-45.844193,-21.179682,27.889664,0.9215394
20,-0.08823300153017044,32.34819793701172,75.76297760009766,-0.5418969624384244,2.3885580519414114,87.71640800819854,-32.509953,16.228418,15.896878,72.24488,-14.320052,3.847916,10.172172,2.0816326,3.2917006,26.215681,-18.432013,2.2600524,8.441084,2.2862306,8.657507,34.15179,30.372572,-31.722412,-43.05651,-13.848432,-8.223318,13.04234,-50.391094,-29.007326,40.976357,-46.368694,-21.392479,27.756891,1.0162516
21,-0.19118519127368927,34.305580139160156,76.24090576171875,-0.1767200033984063,2.7229911218921665,87.7918970206968,-32.41021,15.03246,16.789999,66.259865,-13.433172,3.0180109,11.528832,1.4995512,3.2301717,25.096018,-14.907466,2.3376675,8.982226,1.914766,7.9958124,36.94112,31.475239,-30.801447,-45.03503,-13.810664,-7.770391,12.874027,-51.00131,-28.610518,41.502037,-46.89873,-21.541784,27.592617,1.1392897
22,-0.2933080792427063,36.284629821777344,76.70038604736328,0.15509762244304184,3.0836225698505633,87.91114708089464,-32.066864,13.579824,17.469114,59.652424,-12.366092,1.969016,12.565314,0.9588047,3.0084012,24.440603,-11.004207,2.158095,9.462486,1.5525672,7.2863812,39.662453,32.52035,-29.754433,-46.965714,-13.673357,-7.2959204,12.6460705,-51.35977,-28.274107,42.039,-47.446796,-21.63558,27.40801,1.280515
23,-0.3925517797470093,38.27814865112305,77.1323013305664,0.37410308593908853,3.4303243385050854,88.04591931166209,-31.533352,12.0535755,17.827534,52.724346,-11.180423,0.80063677,13.4347315,0.53833884,2.7091303,24.050594,-7.013161,2.0905313,9.893512,1.2753886,6.565711,42.296207,33.498627,-28.636915,-48.850105,-13.530672,-6.879944,12.369952,-51.461777,-27.996283,42.540134,-47.987656,-21.741678,27.206541,1.4405674
24,-0.4994659721851349,40.27730941772461,77.52640533447266,0.4005851104945034,3.724818629749575,88.16725654284181,-30.872856,10.642473,17.771671,45.786484,-9.937985,-0.38618693,14.316854,0.33345246,2.4577558,23.672756,-3.1968775,2.5070841,10.288959,1.1578299,5.8686976,44.82223,34.40431,-27.510769,-50.690907,-13.471421,-6.60129,12.058637,-51.30563,-27.768608,42.958786,-48.49131,-21.92994,26.990889,1.6200314
