Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1527639627456665,0.5551872253417969,78.78528594970703,0.4333184378364884,0.6105843479321933,-89.48262755415602,2.021339,6.4644327,11.516492,6.8068295,-7.878995,-7.779882,1.5916027,-8.940057,-10.307402,6.844954,-7.678576,9.529242,-2.7651534,-1.206354,8.861445,-0.81829923,21.15842,-45.299,55.438587,-0.015249962,4.1807704,8.420446,-2.670142,-21.218397,46.055767,51.292557,-1.6383052,4.307474,-7.307225
1,0.16446170210838318,0.5079936385154724,78.78040313720703,0.4371631275959549,0.6613766752138515,-89.40165209872876,1.981461,6.434559,11.433729,6.808228,-7.909985,-7.7565923,1.6030145,-8.972012,-10.39955,6.844665,-7.72344,9.5690565,-2.7674098,-1.237937,8.853383,-0.7925502,21.179781,-45.37337,55.421005,-0.09690117,4.1502542,8.397391,-2.6829398,-21.248034,45.826736,51.168682,-1.6375412,4.086822,-7.332267
2,0.17611245810985565,0.45795151591300964,78.7770004272461,0.4415637676312949,0.7124354090857715,-89.32427585588745,1.9429035,6.40389,11.354856,6.8090353,-7.9413223,-7.7333684,1.6134616,-9.005386,-10.488174,6.84445,-7.7694616,9.609538,-2.7605205,-1.2707105,8.840962,-0.7776247,21.189182,-45.45933,55.42303,-0.18641905,4.1165857,8.378597,-2.6931617,-21.273176,45.596344,51.051723,-1.6427151,3.8700907,-7.353523
3,0.19396540522575378,0.4094507098197937,78.77125549316406,0.4405329940936718,0.7632167062070766,-89.23956171830264,1.8927505,6.379,11.266448,6.8301764,-7.981968,-7.710159,1.6262342,-9.034593,-10.584591,6.8438225,-7.813169,9.648676,-2.759171,-1.2969737,8.830099,-0.7706026,21.191128,-45.546463,55.432858,-0.26612067,4.08725,8.354556,-2.7070572,-21.295088,45.35748,50.939987,-1.638421,3.6445005,-7.3827014
4,0.20916347205638885,0.36628976464271545,78.76451110839844,0.42797881545033467,0.8130182161264641,-89.13680648441766,1.8271292,6.365102,11.155849,6.87375,-8.031098,-7.6866374,1.644144,-9.053754,-10.700139,6.843238,-7.8515387,9.68452,-2.7515495,-1.3081893,8.828592,-0.7939191,21.18777,-45.66238,55.45298,-0.3316201,4.069734,8.317085,-2.7083845,-21.323978,45.068924,50.812897,-1.6161193,3.39712,-7.428395
5,0.2246963381767273,0.32221388816833496,78.75627899169922,0.4093056694086466,0.8596037815822483,-89.01427218062987,1.7566643,6.3547425,11.023293,6.9225507,-8.08131,-7.661186,1.6715502,-9.069964,-10.834908,6.8418145,-7.884513,9.71912,-2.753269,-1.3108153,8.837274,-0.8366919,21.17851,-45.787758,55.47976,-0.34753093,4.0725975,8.256482,-2.7089682,-21.35711,44.743397,50.685856,-1.5526577,3.1054368,-7.4951215
6,0.24577011168003082,0.27791523933410645,78.74666595458984,0.3858867709098534,0.9041040876292572,-88.87749408895725,1.5594562,6.3712044,10.860478,7.2391386,-8.270025,-7.634337,1.705115,-9.0839615,-10.983931,6.8408804,-7.914132,9.752734,-2.7674034,-1.3075659,8.852416,-0.88774747,21.165829,-45.91172,55.508343,-0.32602206,4.0897756,8.179233,-2.7166586,-21.38864,44.399757,50.56643,-1.4579109,2.7824376,-7.577385
7,0.2645190954208374,0.24165481328964233,78.73644256591797,0.34732925211806154,0.9507602542181933,-88.72686270620862,1.2395475,6.421131,10.666955,7.8008003,-8.584297,-7.6082106,1.738696,-9.083793,-11.148856,6.8394012,-7.9378877,9.780643,-2.7810342,-1.2860929,8.873386,-0.96075016,21.149513,-46.055088,55.541557,-0.33030415,4.1061907,8.101232,-2.7184808,-21.426868,44.029137,50.42671,-1.3686169,2.469264,-7.671108
8,0.29430243372917175,0.1985521912574768,78.725341796875,0.28332131898200547,1.0039686852855985,-88.56297410225243,0.83760804,6.5039163,10.445626,8.504008,-8.961355,-7.5843363,1.7663319,-9.05783,-11.33202,6.836482,-7.9537215,9.797969,-2.8103964,-1.2349949,8.897739,-1.0435212,21.134472,-46.200546,55.566006,-0.41385826,4.10677,8.037013,-2.7331576,-21.469542,43.665764,50.26329,-1.3068807,2.2072053,-7.7758636
9,0.3220977485179901,0.16188623011112213,78.71121978759766,0.19403510623992337,1.0697735696770523,-88.38573925772802,0.34150186,6.623068,10.194588,9.359351,-9.410626,-7.563814,1.7804824,-9.005151,-11.534388,6.8330464,-7.959803,9.79953,-2.848804,-1.1550432,8.924684,-1.1442537,21.121399,-46.367012,55.598072,-0.60803014,4.0756598,8.012515,-2.7576203,-21.520775,43.297676,50.061165,-1.2844818,2.0140896,-7.892774
10,0.34978747367858887,0.1355721801519394,78.69339752197266,0.08315605131672921,1.1444857353298323,-88.19501544024634,-0.23328283,6.772476,9.9147,10.3449335,-9.922091,-7.5439997,1.7864295,-8.930344,-11.754745,6.8289156,-7.957613,9.788925,-2.900062,-1.0510567,8.95538,-1.2540401,21.11164,-46.54194,55.629135,-0.8729221,4.0252004,8.011857,-2.791912,-21.578632,42.924107,49.831768,-1.286111,1.8659117,-8.0227375
11,0.39060503244400024,0.10742440074682236,78.67367553710938,-0.05259924900172681,1.218171191024236,-87.99106817184564,-0.87398124,6.9504704,9.605907,11.455347,-10.483282,-7.521094,1.7963415,-8.831196,-11.99121,6.8223357,-7.9504027,9.7748785,-2.9593306,-0.91677654,8.993864,-1.3750134,21.107246,-46.71848,55.63049,-1.1790476,3.9823873,7.988595,-2.8246303,-21.64731,42.548244,49.577534,-1.29929,1.741202,-8.160845
12,0.4286400079727173,0.09024163335561752,78.647705078125,-0.21755916352686114,1.2810234615290772,-87.7743944006415,-1.5669647,7.1547766,9.26828,12.685824,-11.083577,-7.4918737,1.81998,-8.705562,-12.241245,6.8153653,-7.9430346,9.766089,-3.023725,-0.7457218,9.044208,-1.5050397,21.111105,-46.883686,55.569656,-1.4927678,3.9749668,7.8964515,-2.8452353,-21.735067,42.174717,49.300514,-1.3123413,1.6185678,-8.301931
13,0.4785640239715576,0.07283256202936172,78.61788940429688,-0.42365823952294646,1.340919911553919,-87.5390964906279,-2.3506548,7.400728,8.887125,14.093812,-11.74566,-7.456577,1.8507551,-8.5390625,-12.510258,6.8070445,-7.9381742,9.762619,-3.0960987,-0.5241305,9.101252,-1.6443,21.123104,-47.03931,55.44939,-1.8298528,4.028007,7.696927,-2.8547525,-21.848228,41.79865,48.992126,-1.3499712,1.5078827,-8.430465
14,0.5326959490776062,0.05779888108372688,78.58132934570312,-0.666073455546658,1.4002941919202994,-87.28706087736076,-3.2129655,7.682955,8.464582,15.647597,-12.461678,-7.415849,1.8862085,-8.33582,-12.796881,6.7965465,-7.9327383,9.760221,-3.1765618,-0.25729886,9.166683,-1.7927992,21.143274,-47.19026,55.279854,-2.1990445,4.1223164,7.423863,-2.8527648,-21.98891,41.417694,48.64277,-1.4070208,1.4161662,-8.553097
15,0.5980185866355896,0.04787139594554901,78.53916931152344,-0.9253309252913003,1.4410632561357086,-87.02998786993028,-4.0792007,7.9731517,8.027707,17.23922,-13.182303,-7.3648143,1.9427458,-8.120075,-13.0895,6.78527,-7.9221873,9.76087,-3.2595665,0.03262808,9.25445,-1.9464077,21.176825,-47.32909,55.037766,-2.5582922,4.2190413,7.138981,-2.825629,-22.160698,41.03874,48.253593,-1.4312704,1.3178517,-8.698449
16,0.6672341823577881,0.04472637176513672,78.49411010742188,-1.1830174522376111,1.4448246158784386,-86.77876108826929,-4.8674035,8.2436,7.6055884,18.748829,-13.855303,-7.3012133,2.037155,-7.914366,-13.376515,6.7744703,-7.9017806,9.76629,-3.3403413,0.32431477,9.379491,-2.098307,21.23325,-47.44689,54.694458,-2.8659441,4.278594,6.9032526,-2.7611616,-22.36773,40.670803,47.82348,-1.3674352,1.1870327,-8.894922
17,0.7435084581375122,0.06038316711783409,78.44287872314453,-1.4512098813394139,1.4122981349573256,-86.5308000781923,-5.6070094,8.508108,7.191019,20.232708,-14.4932375,-7.225456,2.1690178,-7.707961,-13.660816,6.763776,-7.8851824,9.771511,-3.4207723,0.63157326,9.545948,-2.233924,21.318768,-47.521152,54.23931,-3.130493,4.285804,6.708732,-2.660269,-22.614334,40.300632,47.332005,-1.1703446,1.0252675,-9.148182
18,0.8300347924232483,0.06800464540719986,78.38462829589844,-1.728704214272579,1.3509575144286752,-86.28218637109077,-6.3351555,8.769807,6.774083,21.751331,-15.129019,-7.142263,2.3072424,-7.505029,-13.941786,6.804777,-7.897722,9.777774,-3.5040567,0.95273256,9.748627,-2.3554688,21.436338,-47.560085,53.67555,-3.3678563,4.263865,6.5300455,-2.5243943,-22.902735,39.924496,46.776184,-0.880184,0.842938,-9.442841
19,0.9212318658828735,0.06972522288560867,78.32198333740234,-1.9835332443624916,1.252315325410722,-86.04075257388469,-6.9723406,8.991724,6.3817077,23.17369,-15.729076,-7.0560865,2.4496858,-7.338448,-14.208657,6.920883,-7.9220543,9.7940645,-3.5868258,1.2500334,9.988228,-2.481775,21.592533,-47.602497,52.993145,-3.5505388,4.2298017,6.4013553,-2.3433068,-23.232483,39.567642,46.184628,-0.5662952,0.6271046,-9.775609
20,1.0170214176177979,0.07046201080083847,78.26016998291016,-2.1773606983048364,1.108897760050788,-85.81597734436355,-7.4270816,9.129159,6.048026,24.342857,-16.24668,-6.967972,2.5183296,-7.2704654,-14.438259,7.2953367,-8.027784,9.829525,-3.6631365,1.4779584,10.262957,-2.628817,21.796835,-47.686314,52.178642,-3.6493182,4.20042,6.3562913,-2.104566,-23.599756,39.254765,45.585587,-0.29952526,0.36545604,-10.143778
21,1.1158736944198608,0.07617029547691345,78.19951629638672,-2.2881189623765277,0.9091496162037818,-85.61037169298272,-7.6715026,9.159489,5.789967,25.235859,-16.67486,-6.875023,2.1398904,-7.434318,-14.588583,8.777679,-8.711536,9.88489,-3.7234972,1.6111606,10.575383,-2.7880263,22.057892,-47.827877,51.242138,-3.7370734,4.1353536,6.415931,-1.8045772,-24.005545,39.005814,44.97623,-0.10744314,0.035513286,-10.570947
22,1.2096015214920044,0.08412503451108932,78.13981628417969,-2.3352623679047917,0.6604439100792915,-85.42014337274026,-7.748682,9.104684,5.593554,25.918121,-17.030233,-6.7766576,1.7046722,-7.7148075,-14.709873,10.50226,-9.512483,9.952057,-3.7714608,1.6717054,10.924902,-2.9490721,22.380215,-48.00406,50.17168,-3.8043242,4.0413594,6.5571375,-1.4478863,-24.450226,38.799404,44.342766,0.048923127,-0.34999698,-11.05065
