Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.37562280893325806,-1.7868939638137817,78.77558135986328,-1.2636555174617343,4.554542752971123,87.49239103954118,0.18256162,5.814425,11.302602,7.235722,-12.8852,-4.367139,-0.31216297,-2.7668204,-20.568722,6.92185,-11.132418,2.9331892,-0.97094846,1.9958395,1.42743,9.502059,3.3134894,-100.283875,41.329056,3.051177,-8.8992815,6.976105,14.414526,-2.1021528,104.192444,53.624313,-17.404982,-5.1756144,-8.412285
1,-0.37466347217559814,-1.7964991331100464,78.77735900878906,-1.2684432176793874,4.598489442339509,87.46156729497054,0.13271159,5.823535,11.336912,7.233265,-12.875923,-4.359783,-0.37971443,-2.7596822,-20.547606,6.9217234,-11.109648,2.913128,-0.9598521,2.016984,1.4172906,9.499599,3.3098686,-100.29233,41.35415,2.915921,-8.964461,7.0235763,14.406685,-2.0959246,104.196625,53.643353,-17.37216,-5.1798544,-8.41187
2,-0.37512508034706116,-1.8105648756027222,78.78170013427734,-1.2729629350260983,4.641731433990138,87.43047710370676,0.08388893,5.8328104,11.371798,7.23097,-12.867194,-4.3504996,-0.44593322,-2.7524345,-20.526915,6.920677,-11.086343,2.894421,-0.9498812,2.0391428,1.4062862,9.49861,3.3078558,-100.29956,41.37882,2.7749953,-9.0341425,7.07433,14.399018,-2.0922453,104.201065,53.659557,-17.337917,-5.183545,-8.410667
3,-0.37712082266807556,-1.8219705820083618,78.78618621826172,-1.2784480419830342,4.686350618610146,87.39996385378245,0.033130314,5.8432145,11.405317,7.2283907,-12.857673,-4.3450375,-0.5139695,-2.743462,-20.50582,6.919766,-11.063051,2.8735182,-0.93722504,2.0605645,1.3960824,9.494319,3.304563,-100.31504,41.40225,2.6417065,-9.095125,7.1218843,14.39061,-2.0862508,104.20965,53.67813,-17.30258,-5.187411,-8.414063
4,-0.37767553329467773,-1.8293513059616089,78.79154968261719,-1.2841533610485012,4.733001549497048,87.37129672625146,-0.021222789,5.8561935,11.434717,7.2261605,-12.846795,-4.349186,-0.5844143,-2.730782,-20.483936,6.9191623,-11.039848,2.8468065,-0.9242104,2.0786073,1.3849051,9.4936285,3.3010952,-100.32535,41.416653,2.549972,-9.129911,7.1476927,14.385165,-2.079877,104.21522,53.696297,-17.282423,-5.193499,-8.41757
5,-0.3744046986103058,-1.8430153131484985,78.7971420288086,-1.2909148804606088,4.781518003068363,87.34270611930147,-0.07738534,5.873654,11.461801,7.221239,-12.834768,-4.370509,-0.6578906,-2.7115593,-20.45812,6.9188447,-11.017112,2.8120399,-0.9071865,2.0941162,1.3742443,9.494227,3.296897,-100.33062,41.41677,2.5149794,-9.124483,7.139199,14.380822,-2.0722866,104.22062,53.71779,-17.279734,-5.2053895,-8.427618
6,-0.3649897873401642,-1.8565880060195923,78.802490234375,-1.2984298656545177,4.831240857874244,87.31449646378333,-0.13595729,5.894042,11.486756,7.217127,-12.823147,-4.4039574,-0.733556,-2.6886885,-20.42962,6.9201345,-10.995826,2.7712698,-0.8883917,2.1067827,1.3632634,9.497116,3.2940705,-100.3302,41.405056,2.522526,-9.090387,7.1055117,14.377556,-2.0673172,104.22446,53.735313,-17.291937,-5.22079,-8.440413
7,-0.35378170013427734,-1.8645110130310059,78.8026123046875,-1.3001323557344584,4.882874606757424,87.29034383941237,-0.19911031,5.9116488,11.506506,7.2148547,-12.808657,-4.437446,-0.8243874,-2.6740959,-20.403381,6.952618,-10.991369,2.7266703,-0.87580776,2.1140146,1.3539706,9.498678,3.2906523,-100.324326,41.3925,2.5417054,-9.053418,7.0702395,14.373854,-2.0614727,104.228485,53.756134,-17.307684,-5.2361856,-8.450059
8,-0.34091201424598694,-1.8750669956207275,78.80177307128906,-1.2986910966855394,4.9376072952398875,87.27347672541077,-0.26870906,5.9245315,11.517608,7.2135587,-12.787217,-4.456763,-0.9181761,-2.6656482,-20.385555,6.985919,-10.9859915,2.6816046,-0.87382066,2.116101,1.3445796,9.499918,3.2871275,-100.31537,41.38821,2.5438743,-9.040426,7.058229,14.370326,-2.0555613,104.22837,53.770077,-17.320496,-5.2452903,-8.447234
9,-0.3298419415950775,-1.8876327276229858,78.80136108398438,-1.289515039276631,4.997384857413441,87.26544640603548,-0.34823096,5.9296293,11.516554,7.212645,-12.752555,-4.4502954,-1.0174365,-2.6665077,-20.379217,7.0209575,-10.977222,2.6331959,-0.8874743,2.111982,1.3362739,9.49809,3.2833767,-100.30007,41.3983,2.5219553,-9.063803,7.078864,14.365388,-2.0493035,104.221695,53.778687,-17.332458,-5.244751,-8.423106
10,-0.30709680914878845,-1.9044451713562012,78.80059814453125,-1.2762214667322556,5.060944479102023,87.26422555494537,-0.4354216,5.9295206,11.506098,7.2120657,-12.708352,-4.4277377,-1.1214772,-2.6737773,-20.380816,7.0569987,-10.965523,2.5812347,-0.9123027,2.1029646,1.3306572,9.492712,3.2798765,-100.2766,41.416252,2.4935899,-9.108355,7.1156383,14.3576975,-2.0435698,104.20725,53.783257,-17.349098,-5.239363,-8.382208
11,-0.28796276450157166,-1.920670509338379,78.79999542236328,-1.2618986552846714,5.125708872875027,87.26748974976965,-0.52436686,5.92883,11.49246,7.2113895,-12.664644,-4.4080787,-1.2248679,-2.681354,-20.385853,7.092419,-10.955304,2.5324993,-0.9388979,2.0916219,1.3217777,9.490136,3.277858,-100.25997,41.433414,2.4570713,-9.156967,7.1629896,14.353877,-2.0403447,104.19368,53.78341,-17.358566,-5.23337,-8.344779
12,-0.2713242173194885,-1.935243844985962,78.8002700805664,-1.2478004258454223,5.188666836269655,87.27293786117575,-0.60824764,5.931165,11.481934,7.209042,-12.630444,-4.4101644,-1.320474,-2.683652,-20.389616,7.120706,-10.951934,2.493878,-0.9617433,2.0806537,1.3161618,9.487626,3.2746878,-100.24064,41.447037,2.4240427,-9.194627,7.1997924,14.350574,-2.0356922,104.17288,53.789448,-17.364103,-5.2368255,-8.320031
13,-0.25197291374206543,-1.9424073696136475,78.80200958251953,-1.2356625224325841,5.248134274285303,87.27921262505122,-0.6843414,5.936917,11.478953,7.2049193,-12.611112,-4.44737,-1.4069207,-2.6798599,-20.388245,7.142312,-10.955527,2.472006,-0.9769071,2.0701249,1.3067967,9.491702,3.271994,-100.23455,41.45237,2.3838167,-9.217986,7.2304754,14.355825,-2.0322592,104.15883,53.801136,-17.34657,-5.2519436,-8.324367
14,-0.2306925356388092,-1.950444221496582,78.8008804321289,-1.2234670753070753,5.306106805313771,87.28763344703425,-0.75679505,5.9439774,11.479366,7.2006097,-12.60157,-4.5067663,-1.4888055,-2.6731176,-20.384861,7.161193,-10.964717,2.461621,-0.98739535,2.0591924,1.2968495,9.498266,3.2693894,-100.2347,41.454586,2.3388789,-9.235757,7.2574053,14.365498,-2.0294516,104.14246,53.816376,-17.31744,-5.275891,-8.343641
15,-0.20769520103931427,-1.9621388912200928,78.79804992675781,-1.2123126592106326,5.364360382012719,87.300729335841,-0.82880104,5.9545636,11.475741,7.1950727,-12.593281,-4.5682497,-1.5657226,-2.662105,-20.386496,7.174974,-10.977445,2.4516203,-0.99928266,2.0481796,1.286676,9.506198,3.2673426,-100.23894,41.456455,2.2957108,-9.247509,7.2877526,14.376391,-2.0275555,104.126884,53.8316,-17.290659,-5.3000474,-8.366703
16,-0.17972837388515472,-1.970874547958374,78.79547119140625,-1.2048000998312434,5.424537583146655,87.32156824355643,-0.9059028,5.971032,11.460002,7.1914825,-12.579688,-4.6116996,-1.6383063,-2.645501,-20.400734,7.1832986,-10.992361,2.4309466,-1.011826,2.0394394,1.278671,9.512561,3.264002,-100.2503,41.463818,2.2621467,-9.253021,7.3266973,14.383544,-2.0244648,104.10078,53.842667,-17.285776,-5.316813,-8.377953
17,-0.14426858723163605,-1.97313392162323,78.79531860351562,-1.199289622382163,5.484788816043238,87.35272634750413,-0.9863921,5.9929643,11.42807,7.189536,-12.557472,-4.6249366,-1.7026219,-2.6240833,-20.432339,7.1854877,-11.009216,2.3931162,-1.0431043,2.0285292,1.2737558,9.52061,3.2622385,-100.25548,41.475388,2.2452376,-9.245695,7.3779035,14.3863325,-2.022615,104.0842,53.845634,-17.302599,-5.3224144,-8.376224
18,-0.09937851876020432,-1.974412441253662,78.79249572753906,-1.19551272064446,5.5470927884131465,87.3922327899693,-1.0715382,6.019186,11.38444,7.18913,-12.530762,-4.6207166,-1.763035,-2.5988352,-20.476803,7.1832824,-11.028435,2.345294,-1.0635282,2.0193403,1.2733225,9.522222,3.257643,-100.278625,41.49586,2.2375658,-9.229094,7.4363484,14.385397,-2.0168498,104.03144,53.84686,-17.35065,-5.32555,-8.357611
19,-0.05813559517264366,-1.9793806076049805,78.79108428955078,-1.1945803046843924,5.61188289368399,87.43523242428574,-1.1599649,6.0506945,11.335832,7.1890707,-12.50391,-4.617105,-1.8218143,-2.5676556,-20.525743,7.176167,-11.0511875,2.2971869,-1.095552,2.01109,1.270676,9.528229,3.2552333,-100.29202,41.513725,2.2332354,-9.213737,7.498311,14.3823595,-2.0128322,104.00398,53.848343,-17.395542,-5.3232203,-8.343673
20,-0.021190576255321503,-1.9820053577423096,78.79158020019531,-1.1977378833995247,5.682873047036818,87.47741233151932,-1.2550272,6.0891166,11.287868,7.1895437,-12.481091,-4.631952,-1.8861803,-2.5289767,-20.571718,7.165504,-11.078207,2.2583547,-1.1232194,2.009469,1.2633841,9.535069,3.2539546,-100.30182,41.52621,2.2235236,-9.21204,7.5571175,14.375979,-2.010038,103.99083,53.854595,-17.432903,-5.3187284,-8.337752
21,0.024341242387890816,-1.9836976528167725,78.79027557373047,-1.206916132674626,5.760592395374114,87.5201363937316,-1.358119,6.1367784,11.23949,7.1907587,-12.463933,-4.6731873,-1.9548478,-2.4793613,-20.61578,7.1484385,-11.110593,2.2308762,-1.1427082,2.018955,1.25176,9.542308,3.2530618,-100.3129,41.53511,2.1995337,-9.238295,7.619428,14.362979,-2.0069795,103.99018,53.871773,-17.460077,-5.311308,-8.342412
22,0.07310549169778824,-1.987106204032898,78.78837585449219,-1.2199170788687836,5.843717667796915,87.56490231381652,-1.4670268,6.191617,11.188606,7.192274,-12.450453,-4.7301598,-2.0250533,-2.4208498,-20.661074,7.1240363,-11.146508,2.2101443,-1.1613561,2.0348506,1.236266,9.552139,3.2521799,-100.32679,41.543137,2.1654863,-9.282279,7.6895676,14.345474,-2.0000691,104.01099,53.897644,-17.47679,-5.2992125,-8.3573
23,0.11904727667570114,-1.985253930091858,78.7889633178711,-1.2327138724675812,5.931765854551401,87.607276829336,-1.5801169,6.2489457,11.139543,7.193269,-12.43784,-4.7929845,-2.1000516,-2.359347,-20.703102,7.098331,-11.184923,2.1955857,-1.1812346,2.0488217,1.2167729,9.563037,3.2519124,-100.33125,41.545925,2.1384737,-9.319362,7.748893,14.329656,-1.9890646,104.049255,53.929554,-17.489296,-5.2860656,-8.376037
24,0.172182098031044,-1.9857125282287598,78.78919982910156,-1.2419382309084068,6.023902025689776,87.64315544205817,-1.6966139,6.3039403,11.096302,7.194889,-12.42444,-4.85161,-2.1841886,-2.3012002,-20.737635,7.0802255,-11.226772,2.1864607,-1.1876138,2.0567725,1.1954904,9.567265,3.2521012,-100.33551,41.540184,2.1305788,-9.325538,7.781028,14.3189535,-1.981559,104.07381,53.950188,-17.512697,-5.2761345,-8.388459
25,0.22333213686943054,-1.988853931427002,78.78923797607422,-1.244580731234169,6.119986070525743,87.67247132270654,-1.8139663,6.355029,11.058012,7.1930075,-12.409053,-4.904935,-2.2733593,-2.2459016,-20.763292,7.0614944,-11.26777,2.1813645,-1.1839697,2.055946,1.1692656,9.564571,3.2520883,-100.343414,41.522953,2.145432,-9.284927,7.7839847,14.319979,-1.9709438,104.09977,53.9719,-17.54351,-5.2684464,-8.404207
26,0.28379154205322266,-1.991165280342102,78.78752899169922,-1.2446202289704573,6.219993800346987,87.6968036173379,-1.9341059,6.405506,11.023243,7.1901994,-12.393414,-4.9578414,-2.368406,-2.1907027,-20.782232,7.0452375,-11.308938,2.180894,-1.1632653,2.0515733,1.1404243,9.554468,3.2515953,-100.35585,41.497326,2.178552,-9.213782,7.7603292,14.326521,-1.9651008,104.1092,53.98286,-17.590734,-5.2616262,-8.416548
27,0.3496387004852295,-1.9840061664581299,78.78302001953125,-1.242055076108366,6.3249522457715255,87.71585603680109,-2.0595512,6.4554977,10.994563,7.188404,-12.375961,-5.008889,-2.4719872,-2.1366658,-20.796473,7.0321517,-11.3529825,2.187268,-1.1344237,2.0444326,1.1102829,9.543407,3.2509062,-100.36953,41.468746,2.2161949,-9.135051,7.7264686,14.333399,-1.961256,104.11633,53.987137,-17.631317,-5.257791,-8.423368
28,0.410587340593338,-1.985945224761963,78.77848052978516,-1.2362920892640101,6.435900224483654,87.72923536726604,-2.1922708,6.5058393,10.974413,7.1896567,-12.355196,-5.056871,-2.586266,-2.0845556,-20.807886,7.0233083,-11.40198,2.202608,-1.1020647,2.036037,1.0817198,9.535759,3.2495918,-100.383995,41.443542,2.2451298,-9.071621,7.6973195,14.33525,-1.9544238,104.12704,53.99043,-17.647131,-5.258656,-8.420115
29,0.47989967465400696,-1.9871814250946045,78.77141571044922,-1.2274050887991972,6.555500832452166,87.73796001192082,-2.3366282,6.555708,10.964297,7.1948075,-12.328499,-5.0987096,-2.716149,-2.0373557,-20.819672,7.021146,-11.457404,2.2296436,-1.0708902,2.0270038,1.0535657,9.532069,3.2490492,-100.387024,41.41939,2.2718928,-9.028887,7.6694174,14.327234,-1.9516654,104.140076,53.98321,-17.6358,-5.26724,-8.399528
30,0.5464257001876831,-1.9872506856918335,78.76827239990234,-1.2154685381717407,6.682390328574607,87.74199430881406,-2.4900188,6.605367,10.962624,7.202814,-12.2976055,-5.1359496,-2.8580077,-1.9933375,-20.829874,7.023379,-11.51823,2.26635,-1.0399827,2.0157847,1.0252512,9.529526,3.248728,-100.38456,41.39486,2.2973382,-8.994562,7.64057,14.313288,-1.9492315,104.16274,53.973106,-17.60002,-5.2809057,-8.3694935
31,0.6172718405723572,-1.9968341588974,78.76130676269531,-1.2022558984722327,6.811218680063508,87.73930713051682,-2.644798,6.656782,10.966953,7.2130885,-12.267308,-5.174663,-3.0057864,-1.9486537,-20.832838,7.029173,-11.582163,2.307822,-1.0264359,1.9984983,1.0019749,9.534963,3.2488713,-100.354416,41.37219,2.3210359,-8.965732,7.6087203,14.294763,-1.943829,104.21553,53.962402,-17.542938,-5.2956367,-8.337326
32,0.6921154856681824,-2.0030791759490967,78.75442504882812,-1.1898884903669145,6.93679875316578,87.72683245558991,-2.79362,6.712339,10.97568,7.2255697,-12.242171,-5.2207766,-3.1530206,-1.8982458,-20.821968,7.037973,-11.648148,2.3492486,-0.9927378,1.9815094,0.9870976,9.543107,3.2494266,-100.33537,41.353397,2.330509,-8.940063,7.5738716,14.280211,-1.9419836,104.238525,53.943928,-17.496777,-5.3094773,-8.298824
33,0.7771120667457581,-2.005720615386963,78.7465591430664,-1.1772995977315934,7.059792152706774,87.70051850463226,-2.9359086,6.772435,10.991746,7.2398677,-12.223772,-5.2726574,-3.3017714,-1.8411653,-20.791208,7.0508666,-11.714923,2.3939106,-0.9482872,1.9613235,0.98015046,9.560213,3.2504377,-100.31348,41.338703,2.329089,-8.917486,7.5361357,14.269419,-1.9409964,104.253975,53.918198,-17.452034,-5.319696,-8.257607
34,0.8562564849853516,-2.008406639099121,78.73779296875,-1.1628955402775807,7.182259812796245,87.66269031049914,-3.0748832,6.8350883,11.015513,7.2563176,-12.209435,-5.328051,-3.4531062,-1.7802813,-20.74483,7.0648437,-11.784406,2.442971,-0.9276809,1.9316549,0.98499465,9.5858135,3.255286,-100.239204,41.322617,2.3328493,-8.898889,7.485221,14.251196,-1.9399898,104.300026,53.888706,-17.396704,-5.3288856,-8.211702
35,0.9329403638839722,-2.006635904312134,78.72669982910156,-1.1512159475930375,7.301157041328712,87.62185649031277,-3.2102296,6.9019895,11.038993,7.275733,-12.198208,-5.392519,-3.6018045,-1.7147046,-20.69459,7.0828648,-11.857482,2.4878857,-0.8836355,1.9065176,0.99431765,9.6113405,3.2584493,-100.20079,41.31384,2.311446,-8.883422,7.442074,14.239739,-1.9399527,104.31449,53.856926,-17.346527,-5.3389897,-8.164508
36,1.0220319032669067,-2.010540008544922,78.71466064453125,-1.1423832077886913,7.413032593241374,87.58736679860404,-3.3406467,6.9739814,11.053977,7.2980175,-12.188472,-5.471646,-3.739259,-1.6436111,-20.652946,7.1011443,-11.933422,2.5202777,-0.84801286,1.8866873,1.0116745,9.6358,3.2604887,-100.17194,41.310482,2.2686524,-8.86926,7.403313,14.229763,-1.9399927,104.32244,53.83349,-17.297237,-5.3531103,-8.120043
37,1.111533522605896,-2.010897159576416,78.70079040527344,-1.1375183597424008,7.522529489734255,87.56260663934327,-3.5546165,7.0661826,11.044223,7.494775,-12.27332,-5.5813913,-3.8712413,-1.5675672,-20.62559,7.120072,-12.011127,2.5372672,-0.847527,1.8687938,1.0416634,9.657454,3.267828,-100.105545,41.306206,2.208521,-8.850764,7.3506246,14.20943,-1.9407996,104.34607,53.82093,-17.24327,-5.374126,-8.078398
38,1.20972740650177,-2.003300666809082,78.68601989746094,-1.1350450944569963,7.630165585189899,87.54251437249711,-3.8082728,7.1695476,11.020525,7.775515,-12.404754,-5.714133,-3.9996908,-1.4868096,-20.605291,7.1406407,-12.091334,2.5435748,-0.83459836,1.8575631,1.0714935,9.682117,3.2719307,-100.07828,41.311073,2.1131608,-8.830439,7.306229,14.197871,-1.9411694,104.34967,53.814205,-17.18644,-5.397679,-8.043003
39,1.3029252290725708,-2.0121045112609863,78.67103576660156,-1.1357622006180892,7.724504944299485,87.52269609475239,-4.0705204,7.2837005,10.9949465,8.113853,-12.564315,-5.8405237,-4.1111546,-1.4006157,-20.583504,7.1620617,-12.175591,2.5420547,-0.8367371,1.8478686,1.1198579,9.699885,3.2768986,-100.038635,41.318394,2.0156503,-8.819021,7.2677383,14.180938,-1.9414824,104.35213,53.813065,-17.137959,-5.424103,-8.002767
40,1.3950833082199097,-2.0034682750701904,78.65245056152344,-1.1392380047545934,7.795474196604565,87.49810832982136,-4.3387957,7.413824,10.976362,8.540836,-12.762691,-5.93089,-4.193139,-1.3073115,-20.551062,7.1827154,-12.264422,2.5354326,-0.8429177,1.8398252,1.1871169,9.710994,3.282688,-100.00626,41.333916,1.9239291,-8.827973,7.2572436,14.169028,-1.941764,104.350746,53.819977,-17.105265,-5.4499693,-7.9571023
41,1.4923757314682007,-1.9880082607269287,78.63507080078125,-1.1413962549752574,7.837699038215007,87.4630579232591,-4.5992665,7.558729,10.974688,9.047885,-12.991519,-5.9663477,-4.2409635,-1.2093799,-20.498774,7.20524,-12.359756,2.5260744,-0.84728056,1.8293941,1.2762069,9.709981,3.2867389,-99.99301,41.362,1.8520193,-8.878347,7.2906504,14.164973,-1.9417951,104.34148,53.834225,-17.09065,-5.473606,-7.896403
42,1.5860750675201416,-1.9716851711273193,78.61759948730469,-1.1460240184187787,7.857733447520849,87.42166806926414,-4.8555136,7.7177925,10.982083,9.618557,-13.245908,-5.965816,-4.260516,-1.10516,-20.433647,7.226234,-12.458797,2.5118275,-0.85173076,1.8193781,1.384815,9.698726,3.290056,-99.99293,41.399734,1.7895395,-8.958415,7.354685,14.165469,-1.9414741,104.32128,53.85609,-17.091328,-5.497055,-7.8245773
43,1.693392038345337,-1.9595149755477905,78.59481048583984,-1.1587149167999204,7.862929677241448,87.38419660009542,-5.129933,7.896049,10.980211,10.269101,-13.539969,-5.956105,-4.2589836,-0.99005264,-20.371899,7.2465987,-12.562722,2.4888208,-0.860233,1.8203481,1.5070959,9.687218,3.2915993,-100.00137,41.442417,1.7085955,-9.02926,7.4269695,14.166582,-1.9406718,104.29439,53.883823,-17.10354,-5.5221424,-7.760456
44,1.80087411403656,-1.9352238178253174,78.57182312011719,-1.1860032233035946,7.8605841527533915,87.36121000870847,-5.4417677,8.09686,10.9513,11.009688,-13.884738,-5.9644265,-4.2434454,-0.8593652,-20.329739,7.265886,-12.671601,2.4532692,-0.8819302,1.8409342,1.6369247,9.687896,3.291743,-100.00737,41.485752,1.5828011,-9.052671,7.4850903,14.165084,-1.9398739,104.27083,53.92041,-17.121502,-5.5507827,-7.7244473
