Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.8677476048469543,1.7271896600723267,75.55595397949219,6.9796198692852425,1.3232058882265296,-133.67599806119787,19.286905,-7.164723,3.3461027,6.891146,-11.326669,-4.8856206,-24.850609,-8.728866,-17.894403,6.523992,-0.63453656,2.5943058,-9.751127,-6.760642,7.252425,-5.3716416,24.410421,-30.579172,50.463356,1.1865646,4.0897074,11.25775,8.192648,-9.207851,23.55861,61.507496,-2.9814649,4.885262,-9.205842
1,0.2898171544075012,1.2250187397003174,75.53578186035156,6.75523918726287,1.3882579668546484,-134.10910280189142,19.849958,-6.85594,3.591758,6.9490666,-10.583915,-5.294554,-24.422033,-8.049267,-17.416824,6.6051755,0.19249797,2.0366166,-9.563148,-6.4417787,7.2160425,-5.148321,24.447615,-30.487719,50.06962,1.3089252,4.039733,11.227528,8.034648,-9.188696,23.546135,61.28648,-3.0441463,4.9245744,-9.18302
2,-0.3056541383266449,0.7323480844497681,75.510498046875,6.539503758709737,1.4342450294156568,-134.52678495545229,20.436104,-6.5720606,3.8247354,7.015704,-9.909234,-5.7110987,-23.971584,-7.3860955,-16.950924,6.694469,0.999724,1.5406646,-9.396155,-6.1322474,7.1867895,-4.936609,24.473389,-30.388344,49.679817,1.4455615,3.9865568,11.202134,7.8751197,-9.167482,23.53964,61.068466,-3.1245785,4.971879,-9.151168
3,-0.9111047983169556,0.21223822236061096,75.49210357666016,6.315204872653311,1.4807899352008838,-134.93068203438372,20.999336,-6.276061,4.050567,7.0979853,-9.121331,-6.1250877,-24.090601,-6.879359,-16.414572,7.9863057,1.2372626,0.98173046,-9.244034,-5.8171206,7.154579,-4.7122636,24.498182,-30.288162,49.31999,1.5675771,3.9365115,11.1663475,7.702596,-9.137467,23.535213,60.875053,-3.168906,5.002975,-9.143976
4,-1.5369017124176025,-0.28120145201683044,75.50562286376953,6.055768723630986,1.5485502484460618,-135.31726211107323,20.577791,-5.8498755,4.363495,9.137345,-9.059998,-6.5330396,-24.712837,-6.4570856,-15.834905,10.226474,1.1196536,0.22327684,-9.075923,-5.4664254,7.104927,-4.5065966,24.50547,-30.246344,49.075207,1.6318322,3.8914847,11.1118355,7.550445,-9.116296,23.510551,60.68519,-3.1155305,4.996176,-9.191531
5,-2.1787893772125244,-0.7469287514686584,75.55228424072266,5.718292491871296,1.6579158476054041,-135.66914131041148,19.858124,-5.2812467,4.6775236,11.648002,-8.931164,-6.947099,-25.331194,-5.916368,-15.285052,12.186566,1.470327,-0.8537221,-8.923073,-5.055202,7.0232077,-4.2932725,24.520138,-30.235638,48.932007,1.6366013,3.8516464,11.02909,7.349872,-9.030218,23.447962,60.57497,-2.949626,4.943427,-9.3232975
6,-2.81685209274292,-1.2235816717147827,75.60394287109375,5.30384795453345,1.8012534757051522,-135.97406029336793,18.946058,-4.5859566,4.9579277,14.442747,-8.721041,-7.3747025,-25.934631,-5.2876906,-14.816037,13.92316,2.1601205,-2.1637564,-8.773999,-4.5668736,6.911284,-4.1221304,24.516693,-30.307219,48.90563,1.5754964,3.8147352,10.934655,7.169849,-8.935501,23.34343,60.466206,-2.690968,4.858979,-9.509309
7,-3.467348098754883,-1.709527850151062,75.65437316894531,4.847738295641098,1.9580007687672645,-136.24025197886547,17.89984,-3.8205228,5.170469,17.410295,-8.321244,-7.803242,-26.450142,-4.627486,-14.491625,15.463443,2.842252,-3.5545924,-8.644941,-4.035437,6.78078,-3.956525,24.489433,-30.399832,48.971878,1.5012506,3.7868083,10.822921,6.9800925,-8.834758,23.23611,60.414597,-2.4029634,4.7402997,-9.724461
8,-4.127539157867432,-2.1822257041931152,75.71873474121094,4.397165270138673,2.104818746682629,-136.48665672289616,16.788347,-3.0596235,5.2931695,20.42092,-7.614227,-8.218556,-26.802551,-3.9932213,-14.332871,16.837492,3.1611965,-4.87058,-8.533669,-3.5075507,6.6437426,-3.7718108,24.432667,-30.472618,49.1172,1.454952,3.7732222,10.6914625,6.762498,-8.739945,23.166271,60.463863,-2.1410198,4.585774,-9.943606
9,-4.786701202392578,-2.6560702323913574,75.8006591796875,3.948007229820816,2.2538767134883058,-136.71640569254987,15.589806,-2.3065836,5.3164086,23.48036,-6.516081,-8.603342,-27.016699,-3.3948398,-14.350086,18.132277,2.9284585,-6.1809125,-8.437101,-2.9729578,6.4820037,-3.5620232,24.332417,-30.522297,49.36459,1.4342964,3.7735934,10.541132,6.519101,-8.650396,23.152111,60.648052,-1.887857,4.351045,-10.198229
