Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.41293615102767944,-2.257046937942505,76.44956970214844,0.6254964430578013,-3.8951339468158026,76.96572058842742,-14.485234,7.688818,20.570545,7.0411663,6.438983,-4.104792,20.84113,2.0467978,4.900649,8.660214,-19.767494,0.9179904,-1.593807,0.6520817,3.9408371,24.14112,-3.7473109,-76.484116,52.13013,17.043428,3.554675,13.353651,23.065878,4.568639,73.85181,60.292862,-30.946455,5.1273685,10.02656
1,-0.5421828031539917,-1.5598171949386597,76.50225830078125,0.9584373841718088,-3.8195506406642243,76.71845309101117,-14.203693,7.289243,20.869188,7.4504876,6.9772263,-3.8570647,21.015799,1.3893067,4.9060583,9.224322,-19.636877,1.0789746,-1.5150808,0.37370712,3.6163664,24.21259,-3.7731812,-76.4544,52.093147,17.22116,3.708221,13.431466,23.029566,4.60258,74.011,60.332737,-31.17089,5.3999596,10.1029005
2,-0.6586143374443054,-0.8393756151199341,76.5572509765625,1.3006625372299325,-3.7478125506254334,76.45161515781251,-13.904109,6.894448,21.193195,7.841707,7.5827007,-3.6243463,21.215899,0.7255782,4.9113574,9.770616,-19.526535,1.2389085,-1.4357336,0.07752888,3.2984116,24.295088,-3.8044229,-76.40781,52.059483,17.397795,3.8650403,13.505899,23.000053,4.629083,74.20607,60.36162,-31.418533,5.715925,10.205921
3,-0.7384939789772034,-0.09539638459682465,76.61553192138672,1.6557972674100025,-3.6664411449723913,76.20641460902588,-13.579061,6.4592214,21.515427,8.171917,8.096845,-3.3440514,21.405499,0.05037308,4.9200954,10.318333,-19.362572,1.4232998,-1.3990806,-0.23757032,2.9680154,24.358814,-3.869976,-76.32674,52.057903,17.59288,4.0142193,13.583092,22.96173,4.664477,74.40911,60.41146,-31.597822,5.953507,10.253058
4,-0.8212515115737915,0.6599269509315491,76.68695068359375,2.025364639117982,-3.5624477059092023,76.02511823659938,-13.223312,5.938426,21.80735,8.402044,8.358289,-2.9546926,21.555017,-0.6409875,4.935507,10.872707,-19.06376,1.6599904,-1.380887,-0.5519917,2.6139922,24.374874,-3.9225514,-76.283295,52.046524,17.80588,4.1523027,13.671898,22.90636,4.6843004,74.493225,60.449097,-31.649967,5.988108,10.173748
5,-0.9389057755470276,1.4081616401672363,76.78082275390625,2.4427198374893733,-3.41533119337162,75.8977680278099,-12.838285,5.285842,22.087643,8.512402,8.27389,-2.3822622,21.624619,-1.3928312,4.982705,11.458184,-18.626272,1.9840972,-1.4004506,-0.8933337,2.2043695,24.337523,-3.9854898,-76.23792,52.043465,18.067122,4.2861204,13.78605,22.821335,4.7020335,74.48763,60.51121,-31.466516,5.7085614,9.865509
6,-1.0763001441955566,2.1552414894104004,76.88825225830078,2.948449897237351,-3.2027804462278064,75.76424829609473,-12.419381,4.4859805,22.4204,8.449215,7.981113,-1.6779741,21.309305,-2.2275345,5.101286,12.682133,-18.40904,2.385773,-1.3963897,-1.3051792,1.7199006,24.256744,-4.080942,-76.1971,52.076622,18.360546,4.415941,13.92102,22.716341,4.7258773,74.40905,60.59447,-31.123674,5.203874,9.399552
7,-1.1992957592010498,2.883051872253418,76.98289489746094,3.474199236426285,-2.9670411556888876,75.66795860574676,-11.9624605,3.6167383,22.728905,8.246063,7.606012,-0.97920936,20.788813,-3.0540216,5.242722,14.281312,-18.282598,2.809884,-1.4068329,-1.743786,1.2208399,24.14755,-4.1316094,-76.16709,52.067253,18.647316,4.525523,14.043886,22.61101,4.73838,74.27415,60.649612,-30.782087,4.6617565,8.943488
8,-1.314268946647644,3.617743492126465,77.06803894042969,3.916952141159709,-2.76990083330841,75.67569323193413,-11.475828,2.7926407,22.90704,7.993417,7.2524166,-0.42182416,20.35977,-3.751885,5.320397,15.784362,-18.011341,3.1921635,-1.4790801,-2.1233437,0.77961683,23.9995,-4.189178,-76.16437,52.076782,18.886696,4.5908146,14.127295,22.515747,4.7552724,74.063705,60.671543,-30.609962,4.2677493,8.6646805
9,-1.4000654220581055,4.283686637878418,77.14529418945312,4.240945116258917,-2.618209959666748,75.84073008733321,-10.971029,2.0340316,22.894257,7.679825,6.9452195,-0.06800584,20.014738,-4.2604594,5.2928066,17.22609,-17.605381,3.5008216,-1.6780125,-2.4263391,0.40484622,23.781921,-4.231892,-76.18585,52.09229,19.075687,4.594267,14.153171,22.429127,4.7731876,73.75851,60.642323,-30.670826,4.0816827,8.648247
