Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.04938419908285141,-1.8797460794448853,77.02432250976562,-1.698193007283166,0.6680558396208042,96.47493806233285,12.843134,-0.662547,3.4821074,7.493476,-24.197872,-0.5736079,-27.672598,-5.742558,-11.204129,18.941656,-9.554895,1.5540801,-2.266181,-0.34902126,4.636918,18.472836,-5.679266,-89.42172,61.47436,29.270624,-5.1311493,1.631981,20.381851,-2.3423994,70.58017,61.262497,-17.772596,-12.644954,8.12108
1,0.10101911425590515,-1.4664503335952759,76.93484497070312,-1.7240000306827445,0.6603703919589228,96.57853175691768,13.21727,-0.5358327,3.4040275,7.5033937,-24.470774,-0.67911345,-27.659609,-5.670953,-10.936779,18.045732,-9.214722,1.6728978,-2.3668652,-0.36902845,4.6464577,18.458204,-5.725518,-89.41747,61.507824,29.380709,-5.104863,1.5643303,20.414536,-2.3539057,70.48705,61.216633,-17.962498,-12.714504,8.215557
2,0.1523876041173935,-1.044294834136963,76.83646392822266,-1.74544735447916,0.6528147901607384,96.68819790973544,13.580011,-0.41322505,3.3213358,7.5298314,-24.754786,-0.78226745,-27.632694,-5.6052938,-10.676129,17.095776,-8.86553,1.7960285,-2.4710343,-0.39600712,4.6552744,18.446663,-5.7528434,-89.412575,61.5221,29.501013,-5.075839,1.4926727,20.451529,-2.3623226,70.383705,61.168983,-18.172314,-12.791389,8.317189
3,0.19380079209804535,-0.6145429611206055,76.73700714111328,-1.7665291400893195,0.63837040502162,96.79479086222979,13.956296,-0.28788087,3.2422218,7.554089,-25.032288,-0.88899684,-27.611845,-5.5383782,-10.40324,16.232033,-8.522998,1.9152575,-2.568678,-0.41943905,4.672004,18.430376,-5.770504,-89.41838,61.527336,29.599026,-5.0491524,1.427238,20.481562,-2.3689427,70.29378,61.12896,-18.343323,-12.854703,8.402901
4,0.24909821152687073,-0.1768840104341507,76.63371276855469,-1.7933054657951646,0.6104421969401163,96.88669126551403,14.3603525,-0.15022856,3.1780963,7.578993,-25.296972,-1.0055462,-27.623259,-5.461526,-10.097554,15.606039,-8.209094,2.021433,-2.6548498,-0.43089125,4.703776,18.401588,-5.777859,-89.43683,61.524086,29.643251,-5.0296702,1.3775982,20.493053,-2.3719234,70.25474,61.106926,-18.411602,-12.882704,8.448381
5,0.3098776340484619,0.27334797382354736,76.53134155273438,-1.8281003015593629,0.5647768808259384,96.9591930279379,14.799182,0.0017255585,3.135211,7.603152,-25.553225,-1.1336956,-27.676481,-5.372306,-9.744774,15.253743,-7.9234576,2.1355412,-2.6952927,-0.41550428,4.762813,18.350222,-5.78844,-89.50927,61.52854,29.604006,-5.018975,1.353162,20.485312,-2.3750772,70.23431,61.094425,-18.339357,-12.854957,8.438637
6,0.3610457181930542,0.7308666110038757,76.42640686035156,-1.86977704680692,0.5072611788269572,97.01732627093673,15.26149,0.16531971,3.108927,7.6286874,-25.80406,-1.2707206,-27.761244,-5.2726035,-9.358522,15.101807,-7.659998,2.2540178,-2.721637,-0.38607502,4.836512,18.287563,-5.7971025,-89.60149,61.53136,29.506905,-5.012789,1.3479053,20.46159,-2.3751905,70.26113,61.097645,-18.15311,-12.785792,8.384022
7,0.42073577642440796,1.20101797580719,76.32184600830078,-1.9210364622367877,0.44529886143703296,97.06156100649022,15.73967,0.34552974,3.09693,7.6545124,-26.036268,-1.4162035,-27.874212,-5.1573033,-8.959725,15.138016,-7.4308143,2.3309054,-2.738585,-0.34325874,4.911364,18.22045,-5.8031626,-89.69448,61.53436,29.391832,-5.0136595,1.3453538,20.426832,-2.372459,70.31435,61.115868,-17.947271,-12.7140465,8.320547
8,0.48134374618530273,1.6755309104919434,76.21329498291016,-1.9844759461921575,0.3862085995122752,97.09254269635582,16.225952,0.54639816,3.0967047,7.6814685,-26.238321,-1.5695732,-28.009716,-5.0211773,-8.569968,15.345877,-7.245257,2.3199697,-2.7484684,-0.28852975,4.9724574,18.157764,-5.806713,-89.77557,61.542862,29.294231,-5.0238414,1.3310039,20.389204,-2.3689063,70.37369,61.145386,-17.814651,-12.677181,8.283676
9,0.5511434078216553,2.170487403869629,76.11255645751953,-2.0641966119563793,0.3288524480409161,97.10890885428088,16.721455,0.7718823,3.1062303,7.7105393,-26.415312,-1.7269707,-28.182518,-4.8555665,-8.165024,15.755473,-7.106972,2.1866057,-2.745753,-0.21733797,5.0200076,18.100914,-5.809666,-89.851265,61.56112,29.212626,-5.047501,1.3015354,20.347815,-2.3644128,70.444466,61.190063,-17.77046,-12.68836,8.280926
10,0.6209812760353088,2.674755096435547,76.01358032226562,-2.1570375925537557,0.269804480302175,97.11168070268563,17.234169,1.0163234,3.1272254,7.734143,-26.566301,-1.8895425,-28.387575,-4.664463,-7.7458653,16.358517,-7.006464,1.9641986,-2.731122,-0.13221754,5.0574546,18.049656,-5.8129997,-89.93286,61.58991,29.123634,-5.0799932,1.2693062,20.303345,-2.3581855,70.54025,61.249527,-17.761055,-12.725156,8.290256
11,0.6956406235694885,3.186805248260498,75.91747283935547,-2.255612825763254,0.21183781181435551,97.10713905330017,17.749853,1.2728481,3.160835,7.773169,-26.691425,-2.0647116,-28.584845,-4.4624786,-7.373794,17.076437,-6.9319434,1.7076689,-2.7154717,-0.039178226,5.085272,18.000208,-5.816518,-90.00425,61.621315,29.050817,-5.1153965,1.2306992,20.257677,-2.3513618,70.63228,61.3128,-17.798212,-12.77447,8.313523
12,0.7664007544517517,3.7206151485443115,75.8215560913086,-2.352025225865613,0.1586340364572311,97.10045782835833,18.273222,1.5329603,3.2091067,7.8063636,-26.762789,-2.25962,-28.740335,-4.2663884,-7.1073647,17.839502,-6.877205,1.4710487,-2.705779,0.05470329,5.095217,17.958515,-5.820177,-90.067795,61.65166,29.002287,-5.14227,1.192318,20.219534,-2.3450646,70.70313,61.372448,-17.878958,-12.820823,8.343104
13,0.8477399945259094,4.2668890953063965,75.72663116455078,-2.4383603966878935,0.10224764915208663,97.10126873660424,18.810604,1.787438,3.265452,7.837495,-26.78416,-2.4794526,-28.820377,-4.10344,-7.0008745,18.632673,-6.863198,1.2959988,-2.7092094,0.14177786,5.09292,17.925316,-5.8243737,-90.1365,61.682396,28.983343,-5.1522737,1.1489326,20.194975,-2.3394196,70.75115,61.427357,-18.053057,-12.869622,8.385283
14,0.9231009483337402,4.826555252075195,75.63431549072266,-2.5199491724742265,0.04304465589955702,97.10522862869935,19.304293,2.0449002,3.327934,7.9904294,-26.82703,-2.719018,-28.84982,-3.9605157,-7.00971,19.490025,-6.8854012,1.1436535,-2.7134275,0.22898129,5.079996,17.899345,-5.831313,-90.21997,61.717693,28.984104,-5.1517725,1.1016457,20.179604,-2.3325622,70.77731,61.48365,-18.306488,-12.925605,8.439648
15,1.0058834552764893,5.396239280700684,75.54420471191406,-2.611067978861209,-0.0016644492925734315,97.09597216340994,19.68168,2.3248386,3.4063132,8.381097,-26.944738,-2.970331,-28.882782,-3.790462,-7.044841,20.413376,-6.898595,0.94819105,-2.7150216,0.32822743,5.0430207,17.879314,-5.836977,-90.27829,61.750145,28.999731,-5.1555667,1.0609276,20.165535,-2.3279235,70.786156,61.530174,-18.536768,-12.973594,8.494152
16,1.100402593612671,5.980640411376953,75.461181640625,-2.723920363250985,-0.015214677387646173,97.05648276093,20.018494,2.6364415,3.5156507,8.811371,-27.024021,-3.2251885,-28.974043,-3.545682,-7.0182524,21.405182,-6.8561554,0.6463933,-2.7002356,0.4496146,4.9663496,17.867928,-5.8408947,-90.30052,61.7786,29.01248,-5.1736073,1.0435735,20.146748,-2.3248813,70.78521,61.559414,-18.633966,-12.995123,8.531672
17,1.2093842029571533,6.581223011016846,75.3957290649414,-2.8755015627385885,0.006592302212269853,96.98481900905519,20.302774,3.0066812,3.667914,9.305639,-27.093939,-3.4802876,-29.138033,-3.194243,-6.925872,22.506056,-6.7882032,0.1710619,-2.652944,0.6165519,4.831826,17.884628,-5.848851,-90.308075,61.812294,28.993752,-5.215896,1.0690789,20.139053,-2.3174005,70.75317,61.574303,-18.506172,-12.976445,8.544744
