Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.1034693717956543,-0.8084717392921448,76.8046646118164,3.3196615998000625,1.353743594272466,134.45335288253446,-16.481852,-10.292987,4.7293386,21.949747,-6.593949,5.8288155,-8.491443,4.14332,-5.108904,63.632034,-5.156472,15.000033,8.193353,-4.6944723,8.312053,-1.6306608,21.955187,-42.78312,55.53387,-2.6092732,3.650388,0.3918155,-7.5738864,-16.118858,37.710754,51.89475,-0.05084559,1.1082513,-1.6962028
1,1.9354684352874756,-0.3432677686214447,76.89642333984375,3.5267092871152856,1.2257038941521683,134.68137181016888,-15.553129,-10.500559,4.4255357,21.142895,-6.5360217,5.751074,-9.313001,2.0240793,-5.8470364,65.32348,-6.2972507,15.000033,7.7605553,-4.8348217,8.437132,-2.2219791,21.988241,-42.802704,55.19099,-2.7686644,3.559628,0.7409943,-7.2463965,-16.147882,37.272118,52.10462,0.0955806,0.94477123,-1.996712
2,1.7742762565612793,0.10649297386407852,76.98519897460938,3.7539904889606497,1.0798081366713614,134.92668099657826,-14.584744,-10.738132,4.105633,20.295317,-6.4580054,5.682662,-10.089134,-0.1516952,-6.5511417,67.05853,-7.530556,15.000033,7.340887,-4.989585,8.578622,-2.8518414,22.004475,-42.876743,54.88824,-2.9320884,3.4653158,1.0958873,-6.8797073,-16.197712,36.803925,52.274685,0.23005997,0.7761318,-2.2881007
3,1.6051836013793945,0.5624610185623169,77.0758285522461,3.9837755893610036,0.9135956308518111,135.200088417694,-13.587764,-10.983547,3.7499368,19.428131,-6.363521,5.610929,-10.783651,-2.3381472,-7.179928,68.66464,-8.786459,15.000033,6.905928,-5.1381745,8.736168,-3.4869356,22.004333,-42.936543,54.58026,-3.1062334,3.3730664,1.4429326,-6.4978356,-16.265007,36.30979,52.430027,0.37176716,0.6198053,-2.585002
4,1.4239825010299683,1.0438870191574097,77.17658233642578,4.195785632062528,0.7280253726458676,135.5092206471959,-12.578339,-11.212711,3.3432622,18.565453,-6.2581363,5.5233,-11.373723,-4.4775605,-7.707045,69.97346,-9.99027,15.000033,6.4460373,-5.2601137,8.907088,-4.108753,21.989668,-42.93768,54.230896,-3.307503,3.2887068,1.7698482,-6.1157756,-16.34293,35.773125,52.593346,0.5342031,0.49264494,-2.900855
5,1.2657064199447632,1.5292067527770996,77.27583312988281,4.208852505808199,0.5885137371381256,135.7562832402444,-11.835609,-11.16146,2.9373689,18.172764,-6.3907123,5.3703494,-11.925033,-6.405078,-8.2581,70.87133,-11.01937,14.907268,6.056461,-5.18312,9.019847,-4.715639,21.9629,-42.855476,53.829903,-3.559735,3.2213695,2.0745595,-5.7324085,-16.425348,35.166683,52.772465,0.7148394,0.40722126,-3.2547224
6,1.152566909790039,2.001253604888916,77.36068725585938,4.105873020762512,0.4734626173423899,135.9696824641011,-11.239924,-10.93272,2.5273564,18.035664,-6.6487684,5.1614027,-12.403513,-8.454078,-9.386889,71.49743,-11.955474,12.722791,5.698659,-5.0098414,9.108951,-5.3109856,21.926777,-42.712643,53.392612,-3.8466325,3.1655607,2.3631058,-5.3474116,-16.508528,34.51058,52.96357,0.90870285,0.35081527,-3.6352642
7,1.0380644798278809,2.483294725418091,77.4486312866211,3.995874258418708,0.3620834375836217,136.20376227329024,-10.659125,-10.696049,2.1013436,17.908531,-6.905048,4.9425464,-12.832569,-10.397535,-10.408745,71.9157,-12.910926,10.664811,5.3304343,-4.828824,9.191801,-5.8984957,21.88472,-42.549683,52.929897,-4.129489,3.1039722,2.6360044,-4.9688134,-16.593946,33.84717,53.16171,1.122197,0.30225173,-4.0105968
8,0.9201774597167969,2.9724655151367188,77.53363037109375,3.8840590163271553,0.26795054310878913,136.46258910680677,-10.119663,-10.455303,1.6637253,17.810131,-7.169592,4.7123523,-13.235594,-12.204944,-11.30897,72.144035,-13.904869,8.762242,4.9513235,-4.6516213,9.25112,-6.480653,21.840487,-42.404583,52.450275,-4.367165,3.0193634,2.8938074,-4.6026196,-16.685545,33.2188,53.35726,1.3622473,0.24055247,-4.3488355
9,0.813365638256073,3.4489128589630127,77.6029281616211,3.7658288400572872,0.19744125953010305,136.74631641382067,-9.633315,-10.206122,1.214526,17.74946,-7.446959,4.4634256,-13.622135,-13.880149,-12.112334,72.17727,-14.975814,6.9856114,4.5606556,-4.475554,9.2788105,-7.0542355,21.7959,-42.278126,51.951527,-4.5617437,2.8941936,3.1366444,-4.2470374,-16.786306,32.631496,53.547314,1.6578715,0.1512739,-4.653142
