Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.09029843658208847,-2.9122207164764404,34.71797561645508,5.612435292249514,2.6691963367604257,63.243842457695266,-96.17461,36.481968,-15.525513,137.59483,-32.34362,-15.000033,-87.14912,-16.155485,37.591877,156.32552,-42.31745,15.000033,4.8283753,-2.5671175,29.793802,-18.230335,47.733788,-26.232588,38.622513,15.843303,-5.2186584,24.72833,-56.601833,-44.69532,43.761993,18.744793,3.458565,-4.496404,-11.568841
1,-0.49062013626098633,-2.405164957046509,34.451416015625,5.0134980104630635,2.537593935957226,62.25391233709537,-96.29734,37.149124,-16.498798,138.68576,-33.05997,-15.000033,-87.137955,-16.212282,37.178688,156.15242,-42.27645,15.000033,5.6642942,-2.5433118,29.793802,-16.684498,47.404427,-25.618269,39.17615,15.146892,-5.4292407,24.56684,-56.80034,-44.53469,43.436962,17.59679,4.1183953,-4.63922,-11.387386
2,-1.055956244468689,-1.9030483961105347,34.209388732910156,4.411673188845322,2.3774340211701266,61.247895260221895,-96.44037,37.82749,-17.51303,139.78705,-33.762558,-15.000033,-87.09242,-16.262995,36.74661,155.98938,-42.252823,15.000033,6.4971247,-2.446962,29.793802,-15.30742,46.86173,-25.1168,39.9568,14.528609,-5.659457,24.442238,-57.131214,-44.280884,43.210762,16.616692,4.784777,-4.7908216,-11.222105
3,-1.1729234457015991,-1.585775375366211,34.135948181152344,3.815859569409181,2.2182878732536753,60.28317895530032,-96.54207,38.509674,-18.455997,140.87086,-34.54668,-15.000033,-87.04403,-16.362148,36.324123,155.80426,-42.227375,15.000033,7.2952538,-2.299637,29.793802,-14.065266,46.171898,-24.650553,40.839573,13.946222,-5.858855,24.317188,-57.522335,-43.980564,43.029655,15.765975,5.383449,-4.924086,-11.042494
4,-1.0938178300857544,-1.3391237258911133,34.119476318359375,3.237164271528072,2.0935274381791404,59.41603890596786,-96.52721,39.18779,-19.209852,141.90149,-35.509254,-15.000033,-87.02692,-16.561457,35.94454,155.56395,-42.176117,15.000033,8.011464,-2.1239796,29.793802,-12.887684,45.37561,-24.092953,41.684406,13.37932,-5.979584,24.153538,-57.927902,-43.681618,42.876488,15.004705,5.8467436,-5.0099707,-10.821758
5,-1.5770765542984009,-0.8386184573173523,33.91305160522461,2.693176254039435,2.0318707064497334,58.64126591775048,-96.3196,39.908375,-19.690855,142.86852,-36.768627,-15.000033,-87.11388,-16.877174,35.645058,155.25856,-42.09649,15.000033,8.6453085,-1.9531378,29.793802,-11.707924,44.489815,-23.355238,42.418247,12.745632,-5.987715,23.904562,-58.32585,-43.41689,42.725197,14.267422,6.152042,-5.030694,-10.54151
6,-1.9476033449172974,-0.388944149017334,33.78605651855469,2.172577092780677,2.017859030520561,57.934671668643766,-95.96587,40.657722,-19.972015,143.78915,-38.24128,-15.000033,-87.27809,-17.273823,35.407005,154.90753,-41.993908,15.000033,9.217462,-1.7873013,29.793802,-10.527569,43.530125,-22.491917,43.056202,12.070901,-5.913987,23.597506,-58.711853,-43.198635,42.578365,13.523578,6.349315,-5.0026975,-10.219445
7,-2.1870665550231934,0.00741905951872468,33.733280181884766,1.641248448692682,2.014918525210588,57.32440832780856,-95.56877,41.337364,-20.172823,144.67648,-39.720787,-15.000033,-87.39803,-17.723745,35.178337,154.52095,-41.859745,15.000033,9.71466,-1.5897381,29.793802,-9.375617,42.525166,-21.597542,43.58509,11.495749,-5.806723,23.30743,-59.073475,-43.036724,42.464897,12.806901,6.4790483,-4.9486113,-9.884038
8,-2.38637375831604,0.39174434542655945,33.70539855957031,1.061534335061278,1.982026737928392,56.8383175723641,-95.242485,41.84757,-20.42379,145.54366,-40.998337,-15.000033,-87.34221,-18.201529,34.901608,154.1106,-41.68966,15.000033,10.129668,-1.3140084,29.793802,-8.248281,41.515812,-20.753628,43.965027,11.161199,-5.717693,23.107533,-59.39913,-42.94209,42.41482,12.1575165,6.5786724,-4.8908124,-9.56316
9,-2.804142475128174,0.8895928859710693,33.606407165527344,0.4043554395986358,1.9226529493846038,56.50553713905486,-95.046616,42.134583,-20.763939,146.40562,-42.037178,-15.000033,-87.06704,-18.739182,34.543327,153.6566,-41.50264,15.000033,10.420541,-0.9735638,29.793802,-7.2847543,40.49881,-19.980494,44.34188,11.174288,-5.6457577,22.991215,-59.665928,-42.91646,42.407288,11.53055,6.6479707,-4.8375764,-9.25953
