Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.7779719829559326,0.31040143966674805,77.65470886230469,-1.3241109532445634,-7.323920632507413,-4.2435996719488545,13.5694065,14.626185,22.857136,7.6803594,-10.600435,-14.098679,10.047267,-10.090358,-17.424925,9.842824,-8.688019,8.469427,-0.77557003,0.8275151,5.7543035,-8.003598,18.299711,-12.701963,58.47941,-10.788914,6.9286485,12.006211,-14.866709,-13.84737,23.275057,67.20421,5.544948,-1.7951856,-8.835766
1,-2.777557134628296,0.3200637996196747,77.6541519165039,-1.306948360594022,-7.427371472807717,-4.24898947083069,13.695992,14.599513,22.872484,7.6864953,-10.622061,-14.083775,10.160031,-10.123276,-17.416548,9.866996,-8.718803,8.489412,-0.75033504,0.7921486,5.7707243,-8.018506,18.316265,-12.667481,58.46369,-10.829036,6.9993176,11.898512,-14.84238,-13.844965,23.289206,67.17018,5.614951,-1.7278546,-8.825415
2,-2.774303674697876,0.33031660318374634,77.65121459960938,-1.289829659071298,-7.532350373678644,-4.253705100105168,13.82336,14.573298,22.887236,7.694671,-10.644525,-14.06899,10.275366,-10.155984,-17.409206,9.890825,-8.750131,8.510243,-0.71909,0.7617651,5.7817802,-8.045699,18.323776,-12.638157,58.465946,-10.873671,7.070105,11.787705,-14.822167,-13.843414,23.302364,67.150055,5.689926,-1.6601262,-8.814404
3,-2.764054536819458,0.3395064175128937,77.64700317382812,-1.274264125512477,-7.634309989111361,-4.2599937925253775,13.949051,14.547445,22.903168,7.699127,-10.665852,-14.053931,10.387648,-10.18634,-17.400635,9.910869,-8.777821,8.529273,-0.70089567,0.7349689,5.7953525,-8.064877,18.32921,-12.596392,58.464027,-10.901054,7.1351185,11.687812,-14.803763,-13.842258,23.323233,67.12328,5.7554226,-1.5945132,-8.807211
4,-2.751896619796753,0.34689614176750183,77.64173889160156,-1.2599873062877247,-7.726561016424886,-4.272471612239303,14.065078,14.52251,22.922403,7.701322,-10.687671,-14.038305,10.481963,-10.215652,-17.385332,9.936957,-8.804255,8.543448,-0.6989475,0.718909,5.8100305,-8.067397,18.33565,-12.5428915,58.45113,-10.898685,7.185431,11.621363,-14.79837,-13.840783,23.351347,67.099525,5.796555,-1.5377376,-8.8044405
5,-2.757014274597168,0.35821497440338135,77.63921356201172,-1.2504000430511066,-7.806160298491206,-4.293248596743315,14.165177,14.502656,22.945112,7.7074213,-10.714278,-14.0213785,10.554705,-10.239365,-17.36131,9.964185,-8.8243265,8.550101,-0.70437616,0.71977955,5.824366,-8.052013,18.339193,-12.4992,58.423897,-10.858067,7.2152596,11.604431,-14.803627,-13.83977,23.365652,67.08025,5.7943525,-1.4967533,-8.809842
6,-2.7539174556732178,0.3720221519470215,77.63574981689453,-1.2449325528089394,-7.874026639565818,-4.3199974666328185,14.248501,14.488731,22.969444,7.72098,-10.746083,-14.003703,10.609321,-10.257943,-17.331026,9.992109,-8.83967,8.551052,-0.702629,0.7323998,5.829108,-8.05011,18.339106,-12.485425,58.41762,-10.803021,7.228126,11.625674,-14.808512,-13.839556,23.361794,67.06764,5.763956,-1.4692816,-8.820108
7,-2.7447726726531982,0.38620251417160034,77.63117980957031,-1.2387046759962634,-7.942586834550932,-4.347689884915825,14.340916,14.470475,22.996946,7.7168984,-10.769916,-13.986314,10.662601,-10.277826,-17.29957,10.023856,-8.856622,8.551629,-0.7035391,0.7454935,5.845143,-8.033497,18.337523,-12.467186,58.389824,-10.726748,7.2374353,11.663289,-14.809299,-13.840292,23.34834,67.03707,5.716504,-1.4362469,-8.831552
8,-2.746523380279541,0.40015989542007446,77.62992095947266,-1.2323281391825154,-8.009691260238808,-4.3661803367547245,14.425981,14.454062,23.017069,7.7222943,-10.796686,-13.9702835,10.723653,-10.2969475,-17.278423,10.047594,-8.87259,8.555451,-0.70697683,0.753988,5.856825,-8.030021,18.334501,-12.456896,58.377644,-10.663991,7.2486105,11.697524,-14.815616,-13.842198,23.337795,67.01185,5.68836,-1.390479,-8.833264
9,-2.7449440956115723,0.41184961795806885,77.6279525756836,-1.2247653550916708,-8.072812485694243,-4.372073436679415,14.500202,14.4387045,23.027767,7.7365327,-10.825026,-13.95536,10.788809,-10.317595,-17.270346,10.069138,-8.89148,8.563916,-0.7149191,0.7544972,5.8623,-8.035123,18.333048,-12.456487,58.372105,-10.613074,7.262679,11.725884,-14.828711,-13.843558,23.336926,66.99375,5.6926937,-1.3275732,-8.820534
10,-2.7352137565612793,0.421541690826416,77.62413024902344,-1.214559997147308,-8.150855776995945,-4.370174658436151,14.601581,14.415515,23.037073,7.7268977,-10.842385,-13.941541,10.877285,-10.341667,-17.270365,10.088068,-8.913673,8.576276,-0.7295894,0.7459933,5.884749,-8.035538,18.331383,-12.459085,58.360966,-10.555664,7.277464,11.764374,-14.844326,-13.846109,23.341084,66.96361,5.713923,-1.2353383,-8.79635
11,-2.726472854614258,0.42815375328063965,77.61927795410156,-1.2052569563057676,-8.220172390885695,-4.366998812733559,14.688922,14.395376,23.044096,7.7252526,-10.861952,-13.929208,10.958485,-10.363925,-17.272585,10.103195,-8.933665,8.588859,-0.74752456,0.7411912,5.897015,-8.036126,18.327415,-12.465849,58.353218,-10.515793,7.29376,11.802237,-14.855911,-13.8545475,23.357729,66.92791,5.7409577,-1.1478372,-8.778187
