Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7402843236923218,2.4314348697662354,37.779930114746094,8.94463347873563,8.035139609717115,-81.70640423807798,-67.697914,29.685251,-10.524206,134.91782,-40.189896,-15.000033,-111.19882,-35.724007,36.44244,133.27782,-37.173824,14.810136,-32.64498,-14.5317545,29.793802,-70.64316,73.33618,-66.14004,52.05814,13.627678,-17.576782,6.4484897,6.6139483,-30.303034,34.941853,40.561035,-5.328797,-6.20154,-0.77301574
1,0.35349228978157043,2.181554079055786,37.827396392822266,9.4566199066973,7.771552312218341,-81.34914591831563,-67.02252,29.328568,-10.437934,134.27182,-39.701393,-15.000033,-110.905815,-35.86022,36.969166,133.91888,-37.721706,14.89079,-32.94074,-14.724239,29.793802,-70.14772,73.71777,-66.11807,51.848213,13.875546,-17.532528,6.620773,7.9514256,-30.34039,33.98842,38.885998,-5.0896516,-6.242456,-0.7861592
2,-0.03382239490747452,1.9240843057632446,37.876243591308594,9.974118306898115,7.512211680979536,-80.9945385660682,-66.34407,28.965683,-10.344577,133.62315,-39.217678,-15.000033,-110.62337,-35.991478,37.514088,134.55635,-38.2778,14.982875,-33.23468,-14.918659,29.793802,-69.65988,74.13518,-66.10754,51.59099,14.105616,-17.477335,6.7939863,9.368603,-30.396297,33.003048,37.11911,-4.846955,-6.278902,-0.7792414
3,-0.422488808631897,1.6607632637023926,37.925537109375,10.47610859038147,7.249410853978273,-80.65602824705597,-65.66613,28.621136,-10.275084,132.9816,-38.740578,-15.000033,-110.336685,-36.142735,38.02002,135.19585,-38.820732,15.000033,-33.52065,-15.096415,29.793802,-69.09993,74.58124,-66.03201,51.317398,14.332883,-17.439524,6.95806,10.810579,-30.463749,32.00187,35.283558,-4.606909,-6.3138566,-0.78296554
4,-0.8095069527626038,1.3931422233581543,37.97379684448242,10.940804899149626,6.977712481285386,-80.34562037208936,-64.99446,28.319374,-10.258282,132.35764,-38.272957,-15.000033,-109.99384,-36.302578,38.463287,135.84421,-39.335526,15.000033,-33.78439,-15.236033,29.793802,-68.40191,75.05372,-65.83349,51.048283,14.561609,-17.44741,7.1008615,12.253174,-30.54646,30.97645,33.37063,-4.3827047,-6.349361,-0.8216473
5,-1.1958874464035034,1.1200331449508667,38.021278381347656,11.359515018179188,6.697129074952671,-80.06280485513177,-64.33244,28.070194,-10.30078,131.75299,-37.828403,-15.000033,-109.583984,-36.473972,38.840843,136.50964,-39.818108,15.000033,-34.026108,-15.322789,29.793802,-67.537704,75.5538,-65.50321,50.770073,14.792777,-17.516932,7.2250447,13.708871,-30.651842,29.921188,31.370712,-4.148566,-6.386556,-0.8937099
6,-1.582332730293274,0.8394072651863098,38.06779479980469,11.744902235130972,6.411700608439563,-79.80108861512805,-63.676155,27.858889,-10.383341,131.1634,-37.402103,-15.000033,-109.1237,-36.65359,39.17192,137.18758,-40.279858,15.000033,-34.2551,-15.367549,29.793802,-66.522194,76.08259,-65.04315,50.47357,15.027589,-17.630156,7.336327,15.191535,-30.780754,28.837784,29.2826,-3.906027,-6.422492,-0.9883239
7,-1.9695963859558105,0.553681492805481,38.11503982543945,12.108575011962053,6.12230101249069,-79.5627411849153,-63.026386,27.676725,-10.497429,130.58633,-36.958538,-15.000033,-108.6127,-36.834072,39.459557,137.86287,-40.72754,15.000033,-34.471817,-15.386983,29.793802,-65.34783,76.6387,-64.40763,50.184452,15.268534,-17.765575,7.4271865,16.682217,-30.926609,27.728437,27.115269,-3.7081501,-6.4594665,-1.1151682
8,-2.356889009475708,0.26433154940605164,38.16370391845703,12.459049428895216,5.829988491908986,-79.35128383317898,-62.380512,27.514486,-10.6337,130.02223,-36.467216,-15.000033,-108.04804,-37.005566,39.704525,138.52618,-41.168465,15.000033,-34.67678,-15.398127,29.793802,-63.999653,77.22031,-63.54245,49.92716,15.520286,-17.901386,7.489877,18.154264,-31.079367,26.59806,24.883032,-3.609704,-6.496445,-1.2849915
9,-2.743361473083496,-0.029330668970942497,38.213890075683594,12.79673174902401,5.536583614444704,-79.16127760527765,-61.739067,27.373201,-10.790299,129.46239,-35.94163,-15.000033,-107.427826,-37.17023,39.903374,139.17429,-41.599857,15.000033,-34.87636,-15.398732,29.793802,-62.45442,77.827576,-62.42667,49.692757,15.817688,-18.04855,7.5142236,19.603136,-31.233736,25.437832,22.595592,-3.6025794,-6.546715,-1.5040894
