Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.15468540787696838,-2.8290905952453613,78.51969146728516,-0.10438416958419272,-7.55358190831703,89.29934775231918,10.275321,7.5597825,21.33193,9.821937,-10.813837,-3.8597662,9.700276,-8.004385,-18.535212,8.83731,-11.13581,6.7084894,-1.1825958,-1.5904877,10.850445,-0.15942422,21.206518,-39.61761,50.324,0.0427059,1.5436751,0.35727876,-1.475318,-17.50684,36.288956,49.631607,10.6841135,3.077433,-9.14276
1,-0.15744733810424805,-2.831667184829712,78.52107238769531,-0.10462509488455195,-7.550987321730088,89.29443977540332,10.269358,7.557631,21.332272,9.822138,-10.80805,-3.8592317,9.688651,-8.006694,-18.530312,8.841997,-11.1322975,6.706268,-1.1871297,-1.5896646,10.8410425,-0.15126695,21.225716,-39.611416,50.306103,0.04275849,1.5471516,0.35788685,-1.4621314,-17.50976,36.29205,49.64473,10.645054,3.071927,-9.140998
2,-0.15856024622917175,-2.8357245922088623,78.52133178710938,-0.10404029115704169,-7.548101620470799,89.28971432002274,10.262831,7.5559793,21.332087,9.823413,-10.802863,-3.858859,9.678081,-8.0083,-18.52613,8.84511,-11.128275,6.703772,-1.1931145,-1.5869055,10.829837,-0.14390402,21.239687,-39.605553,50.292282,0.043744102,1.5515108,0.35971323,-1.4477599,-17.51177,36.295486,49.658688,10.599859,3.066737,-9.140114
3,-0.1608401983976364,-2.840442419052124,78.5223159790039,-0.10480750543446314,-7.545993027977021,89.28471062475853,10.257363,7.5542536,21.332851,9.823461,-10.79728,-3.8582196,9.667789,-8.009995,-18.520964,8.848533,-11.1243515,6.7016864,-1.1972812,-1.5831616,10.819017,-0.14381294,21.244661,-39.60179,50.28969,0.044523362,1.5541173,0.36227256,-1.4350625,-17.51246,36.296745,49.67659,10.562626,3.0613132,-9.138698
4,-0.1648881435394287,-2.8483643531799316,78.52405548095703,-0.10382921415571644,-7.5442206112637775,89.27847874246011,10.250971,7.5534744,21.335815,9.8265505,-10.79448,-3.8569782,9.656893,-8.011358,-18.514044,8.852593,-11.12039,6.7005157,-1.2005824,-1.580049,10.809523,-0.13918968,21.254358,-39.59198,50.280575,0.047966,1.5563145,0.36337167,-1.421447,-17.513723,36.297123,49.691757,10.547337,3.0561578,-9.13598
5,-0.16554899513721466,-2.8537023067474365,78.5242919921875,-0.10404678569590234,-7.54515058214454,89.27119443952485,10.248312,7.5533376,21.341995,9.826981,-10.792073,-3.8548684,9.648475,-8.0116825,-18.505026,8.855805,-11.115833,6.7005157,-1.2049118,-1.5778373,10.809312,-0.12723157,21.274635,-39.5693,50.255455,0.05526097,1.5569586,0.3616194,-1.4085188,-17.516008,36.291725,49.70145,10.558639,3.0517724,-9.131443
6,-0.16615578532218933,-2.8629651069641113,78.52444458007812,-0.10313197776584805,-7.547875558544696,89.26296504922779,10.247467,7.5533853,21.350498,9.826666,-10.790495,-3.8521142,9.642318,-8.011366,-18.494665,8.857075,-11.110277,6.7013836,-1.2065114,-1.5758637,10.814606,-0.11415732,21.297136,-39.543236,50.22366,0.064017326,1.556676,0.35868448,-1.398549,-17.518047,36.28324,49.710495,10.593877,3.047723,-9.125812
7,-0.16827815771102905,-2.8706588745117188,78.52509307861328,-0.10307022292004792,-7.550062713914407,89.25439957068365,10.245807,7.55382,21.359884,9.827177,-10.789597,-3.849196,9.635272,-8.010916,-18.483456,8.858433,-11.104616,6.702827,-1.204914,-1.5697482,10.811768,-0.1137412,21.30163,-39.533386,50.217102,0.06477264,1.5563551,0.36253956,-1.3870376,-17.518265,36.276955,49.72796,10.638228,3.0434883,-9.121711
8,-0.16941052675247192,-2.8759961128234863,78.52528381347656,-0.102767783170809,-7.549813113923728,89.24578804052756,10.241774,7.5540934,21.368786,9.8281355,-10.788206,-3.8466868,9.626483,-8.010765,-18.472433,8.859001,-11.098857,6.7045484,-1.2060274,-1.5634303,10.8060055,-0.11386644,21.304777,-39.525784,50.212505,0.062886626,1.5576184,0.36806038,-1.376303,-17.518309,36.27123,49.744995,10.669438,3.0395505,-9.114977
9,-0.17603565752506256,-2.878652811050415,78.52528381347656,-0.10291407314639234,-7.5426464921732865,89.23618639786775,10.232099,7.5531754,21.378616,9.826512,-10.784103,-3.8449426,9.609165,-8.011758,-18.460066,8.861683,-11.093575,6.706618,-1.2097152,-1.5584263,10.792663,-0.10415464,21.315441,-39.507244,50.19409,0.067744195,1.5648047,0.36970308,-1.3613756,-17.518602,36.253487,49.758873,10.680494,3.0340993,-9.091417
10,-0.18033865094184875,-2.879885673522949,78.525390625,-0.10273085972209113,-7.533276391065156,89.22738505525533,10.220026,7.552484,21.387535,9.825486,-10.779841,-3.8436763,9.591654,-8.0123625,-18.448648,8.861887,-11.087697,6.7093053,-1.2169971,-1.5521531,10.773064,-0.100202896,21.32168,-39.503765,50.185516,0.058783386,1.5738685,0.37826118,-1.3517894,-17.518711,36.245914,49.779316,10.694521,3.0293198,-9.065525
11,-0.17911909520626068,-2.883334159851074,78.52483367919922,-0.10302602131558102,-7.523344753404113,89.21713868989194,10.208302,7.550953,21.397768,9.822913,-10.774615,-3.8420632,9.572244,-8.013765,-18.435648,8.863517,-11.082273,6.7119145,-1.2206095,-1.5456148,10.752734,-0.09213078,21.328526,-39.502865,50.17221,0.048543908,1.582795,0.3869502,-1.3384372,-17.51876,36.234585,49.79665,10.69867,3.0238986,-9.043595
12,-0.1819046139717102,-2.894912004470825,78.52685546875,-0.10238261363524544,-7.517357485045375,89.204083240377,10.200654,7.54957,21.410305,9.821968,-10.771113,-3.8396146,9.555005,-8.0153055,-18.420277,8.867126,-11.078479,6.713621,-1.2173555,-1.5405183,10.74079,-0.08375853,21.339169,-39.499992,50.158382,0.038896132,1.5863916,0.39344504,-1.3242706,-17.518747,36.220528,49.809696,10.692072,3.0172184,-9.039953
