Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.11492124944925308,3.6029741764068604,72.75553131103516,-1.2656514185447072,-19.16576888420425,-85.05998740401536,-10.320431,18.60851,9.912131,54.17367,-16.864075,-4.527356,3.5277328,-5.440145,-24.188812,46.25646,-32.796215,-4.520196,-1.3139126,-3.7166348,18.757534,-39.556416,31.961203,-40.754868,73.70727,-32.342415,2.3529184,-2.35331,-34.20419,-17.742607,33.463634,81.211105,52.942867,-3.7252517,-0.9163357
1,-0.07864763587713242,3.75888729095459,72.75455474853516,-1.3033845904666799,-19.044146859734585,-85.14080484015076,-9.817564,18.700523,9.736972,55.276413,-17.708193,-4.743504,3.1509063,-5.445295,-24.11748,46.367115,-32.663673,-4.491641,-1.4258307,-3.619014,18.731142,-39.55242,32.045116,-40.868847,73.64591,-32.511192,2.4052422,-2.4076464,-34.24255,-17.736202,33.35086,81.26828,52.88037,-3.7044723,-0.8628941
2,-0.03212844952940941,3.935614585876465,72.74034881591797,-1.340290052690711,-18.925980046906705,-85.21998576569074,-9.323122,18.781761,9.545994,56.404133,-18.54275,-4.9640746,2.781908,-5.449629,-24.04701,46.470715,-32.52946,-4.4619803,-1.5119926,-3.5293772,18.708221,-39.489006,32.1114,-40.785736,73.53566,-32.46392,2.4621122,-2.460364,-34.24656,-17.745338,33.214367,81.29951,52.82902,-3.6886635,-0.8097058
3,0.020941749215126038,4.122098922729492,72.72048950195312,-1.3772171392608323,-18.801009723274987,-85.30228232934897,-8.804201,18.876026,9.403456,57.48513,-19.405119,-5.176782,2.3981543,-5.4575777,-23.973804,46.5862,-32.397606,-4.431558,-1.610986,-3.426957,18.682396,-39.499493,32.17343,-40.893307,73.49081,-32.61749,2.51441,-2.516381,-34.277813,-17.763258,33.128777,81.33871,52.798103,-3.6595414,-0.75380194
4,0.07446121424436569,4.306044578552246,72.69690704345703,-1.4106361960965872,-18.658932804544957,-85.39261193398329,-8.224932,19.007206,9.3757515,58.441563,-20.333925,-5.3631973,1.9779441,-5.475027,-23.894196,46.7308,-32.27114,-4.399956,-1.6920693,-3.3340263,18.653687,-39.49313,32.239082,-40.91165,73.42949,-32.68923,2.5779133,-2.584872,-34.324776,-17.795115,33.034878,81.35698,52.742115,-3.597973,-0.6873566
5,0.13302913308143616,4.48630428314209,72.67189025878906,-1.4476847483724635,-18.492758763055317,-85.48596372486489,-7.588407,19.192198,9.473477,59.28244,-21.372004,-5.5271807,1.510232,-5.500036,-23.811146,46.911747,-32.15299,-4.3684754,-1.7820872,-3.2338502,18.6127,-39.524105,32.297096,-40.97613,73.41015,-32.83263,2.649139,-2.6682074,-34.43531,-17.834051,33.034492,81.39942,52.73507,-3.5010266,-0.6014106
6,0.19180269539356232,4.673919677734375,72.64228057861328,-1.4848958350660384,-18.30940585366536,-85.58209354820069,-6.908214,19.415554,9.662654,60.036964,-22.485949,-5.674923,1.0093126,-5.530527,-23.724754,47.116497,-32.039555,-4.336431,-1.8643041,-3.136471,18.559973,-39.536785,32.334194,-40.923416,73.39426,-32.867874,2.729205,-2.762144,-34.570114,-17.868374,33.016113,81.4488,52.691914,-3.378455,-0.5025646
7,0.2592274844646454,4.865611553192139,72.61221313476562,-1.515452324805083,-18.11977750663249,-85.69179318563124,-6.169181,19.654438,9.940027,60.667023,-23.600126,-5.7942348,0.48824963,-5.5719934,-23.628355,47.340485,-31.92823,-4.29927,-1.9584465,-3.030207,18.507053,-39.61793,32.38241,-41.078674,73.43909,-33.12956,2.8029668,-2.8601327,-34.75096,-17.911732,33.095974,81.50935,52.692528,-3.2355998,-0.40795395
8,0.32700055837631226,5.051638603210449,72.57744598388672,-1.529118198277196,-17.934865918143572,-85.82677200271101,-5.3558407,19.882479,10.301895,61.132374,-24.636408,-5.8732595,-0.03950638,-5.628791,-23.513016,47.577694,-31.81575,-4.254987,-2.001764,-2.9503312,18.46225,-39.5765,32.431087,-40.90762,73.3902,-33.052395,2.8813474,-2.9591317,-34.88968,-17.974606,33.11084,81.50465,52.62804,-3.0755408,-0.33267355
9,0.399553120136261,5.24003267288208,72.5434799194336,-1.5225137538796703,-17.753783296654902,-85.99951774757199,-4.4681883,20.096582,10.745814,61.446926,-25.595531,-5.8907943,-0.58311987,-5.701695,-23.373652,47.836506,-31.69976,-4.202383,-2.0323887,-2.870229,18.414715,-39.587025,32.46192,-40.87479,73.419266,-33.11153,2.9402366,-3.055087,-35.070118,-18.014788,33.154278,81.525085,52.51365,-2.8934038,-0.29219237
