Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.13638098537921906,1.9704773426055908,78.72331237792969,-0.9298027840503333,0.5879636349098574,-91.87491696579711,-1.5634474,2.3977146,-0.7902538,6.7172194,-5.257037,-5.345081,-2.7040215,-1.7094171,-6.8381176,10.216988,-9.260119,1.4020048,-1.0195321,1.2917422,4.174972,17.372704,5.2435355,-90.46102,38.44302,-9.751914,-1.8853383,-3.7400258,18.696829,-10.764089,91.076,23.91921,-1.5477127,-5.481372,9.794159
1,0.1384463608264923,1.9682811498641968,78.72017669677734,-0.9339936660972689,0.5684675611886677,-91.86220943687272,-1.5470629,2.3973274,-0.8049576,6.7160163,-5.2572846,-5.3624506,-2.67768,-1.7098323,-6.8516498,10.20683,-9.2561035,1.4066414,-1.1231045,1.2781625,4.079269,17.189846,5.239125,-90.34228,38.482594,-13.000929,-2.0045202,-4.6974683,18.484142,-10.829903,89.73515,24.37157,0.16772267,-6.521748,15.813612
2,0.14161649346351624,1.9760072231292725,78.71985626220703,-0.9381651852938054,0.548349779244067,-91.84956307897718,-1.5301771,2.3970084,-0.82000816,6.7146516,-5.2572308,-5.3809805,-2.648904,-1.7099032,-6.865123,10.193128,-9.250339,1.4111193,-1.1971877,1.2653588,3.988388,16.975386,5.221729,-90.254425,38.548153,-16.452637,-2.0731535,-5.711335,18.26085,-10.8786955,88.266304,24.883396,2.1013844,-7.419852,22.26502
3,0.14505071938037872,1.9833290576934814,78.72013092041016,-0.9411365726154872,0.5302757607597988,-91.83676707981735,-1.5154501,2.396451,-0.8344201,6.7134,-5.257189,-5.397366,-2.6233633,-1.7104523,-6.8788815,10.181139,-9.245148,1.4158456,-1.2507565,1.2511642,3.919929,16.769756,5.195186,-90.18598,38.62709,-19.538162,-2.0861385,-6.615242,18.053648,-10.918383,86.931404,25.36041,3.9160836,-8.031789,28.07709
4,0.14823979139328003,1.989940881729126,78.72089385986328,-0.944238919945297,0.5167338641209841,-91.8231874189778,-1.5056878,2.394741,-0.8470871,6.711865,-5.2562604,-5.4082966,-2.6037798,-1.7126305,-6.892659,10.170701,-9.240127,1.4213166,-1.2820263,1.2403157,3.8836122,16.618649,5.1648383,-90.144966,38.70254,-21.689312,-2.0728652,-7.240211,17.903097,-10.952665,85.98298,25.699186,5.2161427,-8.346198,32.13461
5,0.15069179236888885,1.9956437349319458,78.72168731689453,-0.9441407844974771,0.5092015995478673,-91.80838167029184,-1.5038627,2.3911684,-0.8570544,6.712175,-5.2555246,-5.4105215,-2.5952914,-1.7179037,-6.9070635,10.168187,-9.238174,1.4284766,-1.2946718,1.2375458,3.8815827,16.558847,5.13662,-90.13392,38.758602,-22.52964,-2.0740955,-7.4769726,17.84091,-10.98093,85.59772,25.828257,5.7346306,-8.444632,33.719254
6,0.15230901539325714,2.000446319580078,78.7225341796875,-0.9420411517741386,0.5057357026158126,-91.79253801628273,-1.5056489,2.3860617,-0.8649849,6.710577,-5.253309,-5.406556,-2.5931897,-1.7255679,-6.9217997,10.168761,-9.237045,1.4370155,-1.2929435,1.2423165,3.9033787,16.564531,5.134564,-90.13847,38.772755,-22.434013,-2.09304,-7.4437966,17.842003,-10.98287,85.60651,25.825344,5.6882877,-8.437935,33.565998
7,0.15362870693206787,2.0044000148773193,78.72331237792969,-0.9408177075203661,0.5043550635329037,-91.77694756578809,-1.5111144,2.381247,-0.8728319,6.7125072,-5.2527156,-5.4018307,-2.594955,-1.7330403,-6.9361796,10.173069,-9.237639,1.4448632,-1.2999287,1.2463804,3.9288151,16.60542,5.1190796,-90.15025,38.794273,-21.97273,-2.1237884,-7.2919984,17.869183,-10.99669,85.81287,25.749449,5.4242606,-8.390048,32.69359
8,0.15467743575572968,2.0078835487365723,78.72372436523438,-0.9410592516913314,0.5022681442616329,-91.76288443629043,-1.5143179,2.378094,-0.8821131,6.7126007,-5.2513356,-5.4018283,-2.5934484,-1.7378334,-6.949316,10.173546,-9.236581,1.4503932,-1.3063583,1.2499517,3.9508655,16.628086,5.109858,-90.15217,38.80966,-21.701588,-2.142498,-7.2027626,17.882492,-11.004378,85.926025,25.708727,5.267999,-8.359267,32.175247
9,0.15509288012981415,2.010739803314209,78.72358703613281,-0.9421821581080456,0.49939711522517505,-91.75023896164144,-1.5141187,2.3776627,-0.89414567,6.708966,-5.2480245,-5.40918,-2.588218,-1.7388284,-6.9611506,10.170067,-9.23337,1.4532843,-1.327998,1.2493885,3.9638493,16.632793,5.1021314,-90.13499,38.8237,-21.718773,-2.149847,-7.198442,17.872557,-11.010387,85.93761,25.717993,5.2832327,-8.361583,32.17033
