Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.6705539226531982,-2.0494320392608643,76.41757202148438,0.46869633504067876,-5.362835342993178,132.2164654243531,-17.111668,21.80606,15.222792,79.63675,-6.5094194,10.225564,4.9288554,7.727659,-23.320097,10.93013,-17.413843,-10.021311,-0.25316948,2.5263162,12.029966,1.9536754,17.57982,-24.029238,59.440468,25.241364,-5.8510127,-4.930724,-6.164645,-12.627531,24.229107,61.127773,-24.054693,0.28906727,3.431031
1,1.2437752485275269,-1.5622737407684326,76.47278594970703,0.7357424208272815,-5.362674594645725,131.48622941614795,-17.874605,21.291948,15.681654,77.65912,-6.87214,10.025837,5.645773,7.6220775,-22.557255,10.596981,-17.596437,-9.6621685,0.24138185,2.2318988,12.229876,2.3480957,17.55185,-23.980167,59.502323,24.925941,-5.7726936,-5.3127255,-7.4316645,-12.65492,24.233133,60.148323,-24.201223,0.25530162,3.3564727
2,0.8167910575866699,-1.0830903053283691,76.51752471923828,1.0069280167880654,-5.365014004817779,130.75212400481593,-18.629272,20.78459,16.162794,75.72316,-7.265844,9.83581,6.3765182,7.5104876,-21.794819,10.253554,-17.775166,-9.295451,0.7118767,1.9655674,12.428178,2.7216198,17.441683,-23.90077,59.632324,24.635221,-5.697169,-5.6804256,-8.700052,-12.7188635,24.283134,59.163326,-24.361397,0.2336126,3.292526
3,0.38806483149528503,-0.6079453825950623,76.55078125,1.2636962747248193,-5.354303284954649,130.024644702739,-19.353203,20.234756,16.610006,73.647484,-7.585563,9.590016,7.084776,7.3978987,-21.038017,9.934045,-17.969889,-8.952257,1.1786239,1.7355907,12.604135,3.0446677,17.280172,-23.837887,59.821087,24.355095,-5.610208,-6.03861,-9.945397,-12.804479,24.332577,58.173218,-24.462893,0.19444576,3.2251282
4,-0.04985435679554939,-0.1318814605474472,76.57897186279297,1.4853519616311894,-5.315802641981773,129.314743461483,-20.023302,19.5996,16.962992,71.253075,-7.73076,9.2280655,7.7352443,7.292774,-20.291725,9.671856,-18.198647,-8.664018,1.6208675,1.5526357,12.745707,3.3250759,17.096754,-23.778471,60.02639,24.089796,-5.5007834,-6.3972635,-11.159813,-12.908198,24.38152,57.17358,-24.420843,0.10865444,3.142773
5,-0.49148303270339966,0.357389897108078,76.60452270507812,1.6625633813788419,-5.248844114050684,128.6217957099215,-20.649632,18.867233,17.17556,68.50973,-7.6822925,8.748573,8.313541,7.200818,-19.549847,9.485854,-18.47488,-8.458995,2.0342908,1.4211868,12.857521,3.5674026,16.90209,-23.712776,60.228283,23.835503,-5.35373,-6.768682,-12.351618,-13.034312,24.429132,56.158363,-24.162287,-0.036121417,3.0578299
6,-0.9233799576759338,0.8254306316375732,76.60647583007812,1.8064490747923403,-5.161951280466695,127.94065655630826,-21.23261,18.072277,17.282454,65.50524,-7.4977202,8.190472,8.843936,7.1210327,-18.810192,9.349242,-18.782833,-8.314805,2.427357,1.328652,12.948288,3.7850294,16.701754,-23.643785,60.421974,23.588324,-5.1791368,-7.149923,-13.520326,-13.181083,24.477425,55.12195,-23.748482,-0.223866,2.9736788
7,-1.3655529022216797,1.3104658126831055,76.60169982910156,1.9284398668006055,-5.053635487871123,127.27513902529651,-21.732212,17.239182,17.344799,62.231373,-7.1907196,7.5546875,9.340446,7.046594,-18.084366,9.243427,-19.103754,-8.18656,2.7993236,1.2607743,13.007884,3.9848046,16.501371,-23.578207,60.616074,23.356752,-5.008734,-7.5224857,-14.649679,-13.344851,24.53457,54.06964,-23.293486,-0.44095534,2.8638964
8,-1.8140289783477783,1.797206163406372,76.5820083618164,2.039753771784993,-4.92214233917123,126.62956494295987,-22.11365,16.388708,17.423222,58.67687,-6.773356,6.837653,9.813708,6.968838,-17.38568,9.157501,-19.423958,-8.028563,3.1489787,1.2037792,13.026451,4.1728463,16.306627,-23.524656,60.819347,23.146973,-4.8739047,-7.86799,-15.722567,-13.519897,24.607143,53.00569,-22.911993,-0.6738337,2.700737
9,-2.2685635089874268,2.290985584259033,76.55043029785156,2.147179653822742,-4.75745620971841,126.00371573023364,-22.362934,15.535951,17.544878,54.75963,-6.207174,6.027717,10.25415,6.880894,-16.715395,9.084307,-19.72562,-7.82448,3.478253,1.1481094,12.99416,4.3485436,16.122263,-23.487022,61.0347,22.96221,-4.792147,-8.189762,-16.744135,-13.705295,24.701662,51.931557,-22.614094,-0.93033284,2.4701884
