Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.9711517691612244,0.5968154668807983,65.83258819580078,3.0797615583305307,30.890413745570328,-175.18778934958883,-64.54931,2.839388,24.361452,65.977234,-33.64233,9.174522,-81.76238,3.6184394,6.35633,44.414097,7.7454467,15.000033,-9.955569,-6.9780264,29.793802,-68.30577,22.999338,-25.276123,-14.531817,-46.700977,-15.546435,39.89813,-70.69957,-16.57564,15.0050535,-17.415884,20.965734,-8.520586,-11.063424
1,-0.660999596118927,0.7146526575088501,66.05860137939453,3.595505894545525,31.237497324370363,-175.0444016158385,-64.614494,2.4917557,24.773048,64.640854,-32.712334,9.044345,-82.94097,1.8687136,6.463729,47.568855,5.419896,15.000033,-10.129083,-7.4702964,29.793802,-68.80671,23.451464,-25.616224,-14.789609,-45.93891,-15.300965,38.831676,-70.55734,-16.753454,14.735938,-17.502481,21.410822,-8.583888,-10.677022
2,-0.37085917592048645,0.8271586298942566,66.28142547607422,4.198276310244289,31.54056910166995,-174.82003000001103,-64.607346,2.042882,25.209002,63.23977,-31.765255,8.916128,-84.10248,-0.029524956,6.6848707,50.683083,2.8904972,15.000033,-10.403592,-8.069684,29.793802,-69.19608,24.100218,-25.985573,-15.186407,-45.24018,-15.083567,37.751373,-70.35458,-17.047562,14.513446,-17.656555,21.971823,-8.658219,-10.341657
3,-0.09516803920269012,0.9872413873672485,66.50076293945312,4.3664706439881975,31.83207494414683,-174.71119898291806,-64.76372,1.9408259,25.23471,62.185673,-30.942347,8.708333,-85.10789,-2.2136853,5.667878,53.505344,0.43611583,12.320266,-10.4827,-8.343137,29.793802,-69.5198,24.81997,-26.412586,-15.636548,-44.632854,-14.915333,36.761913,-70.08364,-17.416632,14.242417,-17.840242,22.505463,-8.70606,-10.037875
4,0.17144477367401123,1.1800309419631958,66.71307373046875,4.2371246345878,32.13666109779434,-174.72572493521022,-65.048386,2.095225,25.017225,61.383556,-30.209522,8.478238,-85.94761,-4.3026867,4.2789416,56.13345,-1.7908125,8.360364,-10.331242,-8.299804,29.793802,-69.836494,25.488014,-26.788,-16.110876,-44.10947,-14.804267,35.971943,-69.80035,-17.775528,14.009955,-18.054647,22.782427,-8.719994,-9.804001
5,0.43736371397972107,1.3696033954620361,66.9198989868164,4.024255205556536,32.443858300425326,-174.8148486645823,-65.36225,2.3278759,24.759905,60.666714,-29.51178,8.283794,-86.69822,-6.0516734,3.3254704,58.735218,-3.6542482,4.6559095,-10.055562,-8.0785675,29.793802,-70.18149,26.06272,-27.01361,-16.562113,-43.610607,-14.732888,35.38347,-69.56367,-18.061714,13.8405285,-18.280197,22.74242,-8.699737,-9.6228285
6,0.704664945602417,1.5661647319793701,67.11912536621094,3.7548676258203573,32.74960458484264,-174.9567986881814,-65.693954,2.611945,24.476604,60.009308,-28.838686,8.115375,-87.39159,-7.574029,2.6688542,61.309982,-5.254422,1.0967262,-9.698682,-7.7323003,29.793802,-70.56366,26.539394,-27.132412,-16.95851,-43.11278,-14.684692,34.937145,-69.35508,-18.261862,13.709747,-18.489365,22.448627,-8.655792,-9.469842
7,0.9674365520477295,1.7506333589553833,67.29878997802734,3.462649627321936,33.04317642858424,-175.12880942313052,-66.02992,2.9222531,24.190458,59.40148,-28.186728,7.963239,-88.0009,-8.884925,2.2890153,63.776176,-6.670058,-2.0963204,-9.309644,-7.3507566,29.793802,-70.97638,26.942125,-27.192017,-17.28148,-42.6414,-14.644657,34.64608,-69.20085,-18.401814,13.592651,-18.667635,22.054169,-8.5992365,-9.345488
8,1.226532220840454,1.932701826095581,67.47077941894531,3.1785925108097133,33.3189314634623,-175.30824942030623,-66.36078,3.2377007,23.922497,58.83384,-27.551973,7.817328,-88.4976,-9.985651,2.175533,66.04935,-7.970823,-4.676657,-8.924273,-7.0001006,29.793802,-71.39863,27.294598,-27.230543,-17.540716,-42.231342,-14.604745,34.525455,-69.06457,-18.503962,13.499479,-18.852886,21.662243,-8.542205,-9.266273
9,1.4892592430114746,2.117915153503418,67.62669372558594,2.9008145741934728,33.58007083378045,-175.5085418634391,-66.689095,3.5697658,23.685688,58.309895,-26.932049,7.68436,-88.87658,-10.850291,2.3257756,68.116684,-9.075805,-6.516654,-8.583969,-6.752619,29.793802,-71.84188,27.64822,-27.252398,-17.70833,-41.87306,-14.548938,34.62355,-69.12961,-18.652632,13.350111,-18.92654,21.47703,-8.473612,-9.215187
10,1.7496085166931152,2.3148531913757324,67.77083587646484,2.6023893629672004,33.839400869050486,-175.73872675318896,-67.03612,3.9321346,23.455414,57.837498,-26.328232,7.565867,-89.16466,-11.484543,2.6824715,70.02567,-9.915028,-7.777798,-8.189139,-6.4554467,29.793802,-72.25697,27.966928,-27.21871,-17.89213,-41.598557,-14.501103,34.923622,-69.12465,-18.78914,13.268767,-19.092598,21.180603,-8.395456,-9.239855
11,2.013796329498291,2.499758005142212,67.90094757080078,2.325879975098383,34.081244198497245,-175.96787530080542,-67.37364,4.2855587,23.245035,57.393913,-25.743687,7.44622,-89.382835,-11.931552,3.2324471,71.81278,-10.592189,-8.61426,-7.8343844,-6.22375,29.793802,-72.68009,28.28014,-27.162104,-18.018639,-41.377033,-14.4553585,35.33318,-69.26922,-18.957243,13.152063,-19.161863,21.045729,-8.329311,-9.276504
12,2.271533966064453,2.6880404949188232,68.01773834228516,2.09263069039274,34.3022836311585,-176.16520015740969,-67.69568,4.6015267,23.045633,56.966194,-25.18138,7.3087854,-89.55073,-12.227052,3.9441438,73.50387,-11.217012,-9.1776705,-7.4940534,-6.000567,29.793802,-73.07344,28.568396,-27.084919,-18.152367,-41.240227,-14.4353,35.7662,-69.36369,-19.108517,13.081913,-19.268602,20.933472,-8.301527,-9.341746
13,2.531341552734375,2.8732705116271973,68.11751556396484,1.932197691370725,34.49306888370433,-176.3129103306433,-67.98442,4.8513556,22.867992,56.54068,-24.64089,7.157581,-89.66139,-12.329418,4.8807917,75.1118,-11.792608,-9.388417,-7.2239366,-5.855018,29.793802,-73.456314,28.849771,-26.994019,-18.244404,-41.191643,-14.439156,36.239292,-69.53698,-19.253784,13.005338,-19.302843,21.016394,-8.332713,-9.414265
14,2.790393114089966,3.061952829360962,68.20919799804688,1.820465310911276,34.66264195119739,-176.43170546574257,-68.25393,5.0618362,22.70908,56.130398,-24.121145,6.998306,-89.69686,-12.226186,6.008701,76.629654,-12.265328,-9.195251,-6.996733,-5.760507,29.793802,-73.822586,29.12702,-26.880125,-18.314423,-41.22887,-14.464494,36.787693,-69.75691,-19.386387,12.940553,-19.304432,21.218754,-8.405594,-9.508924
15,3.045166015625,3.2612693309783936,68.28379821777344,1.7190532623189605,34.82173014258385,-176.5474647838298,-68.523155,5.275643,22.560453,55.751694,-23.624338,6.8178687,-89.6549,-11.995753,7.182729,78.0495,-12.6728,-8.791968,-6.7769213,-5.6816144,29.793802,-74.170784,29.39429,-26.753344,-18.377396,-41.309967,-14.504412,37.345055,-69.96927,-19.49185,12.898589,-19.321833,21.39658,-8.484512,-9.617315
16,3.3017146587371826,3.472018241882324,68.34796905517578,1.5977316572771332,34.97799757711557,-176.68518259201173,-68.80576,5.530479,22.42129,55.41855,-23.15263,6.6038055,-89.54533,-11.722536,8.277021,79.367744,-13.045342,-8.374775,-6.570451,-5.64151,29.793802,-74.52494,29.66743,-26.639236,-18.408163,-41.375233,-14.543477,37.84442,-70.267265,-19.603218,12.826312,-19.295654,21.561077,-8.532654,-9.705281
17,3.554245948791504,3.678363084793091,68.402587890625,1.465665754749678,35.123596959585306,-176.83262998916413,-69.08865,5.8176174,22.299889,55.12232,-22.707136,6.3376637,-89.36393,-11.386226,9.330059,80.60206,-13.383944,-7.9412146,-6.3517113,-5.599073,29.793802,-74.844215,29.924894,-26.520859,-18.4424,-41.450092,-14.5976925,38.276596,-70.525925,-19.698383,12.778478,-19.315218,21.566437,-8.535907,-9.804712
18,3.812812328338623,3.8800158500671387,68.44383239746094,1.3377413125570952,35.255503038551474,-176.98277664248468,-69.36749,6.121451,22.198368,54.860302,-22.287132,6.031597,-89.101395,-10.955664,10.385169,81.75356,-13.682165,-7.4013977,-6.1550407,-5.5986476,29.793802,-75.15428,30.175985,-26.405052,-18.44214,-41.536785,-14.661983,38.672512,-70.853645,-19.800495,12.711485,-19.292252,21.565954,-8.514007,-9.89978
19,4.077516555786133,4.089443683624268,68.47445678710938,1.1644607350219818,35.401113885337224,-177.1705161683079,-69.69099,6.4792843,22.077711,54.657566,-21.888542,5.717312,-88.77373,-10.505329,11.299609,82.77796,-13.949085,-6.832639,-5.9238677,-5.576722,29.793802,-75.48031,30.417053,-26.296677,-18.447208,-41.616127,-14.7219515,39.033424,-71.172646,-19.896496,12.651071,-19.30592,21.50855,-8.485616,-9.984726
20,4.33385705947876,4.303289890289307,68.49935150146484,0.9044365481262507,35.583004769339816,-177.4306457836426,-70.10085,6.921233,21.907242,54.53472,-21.507002,5.4272237,-88.40671,-10.113249,11.94743,83.63239,-14.188711,-6.3158298,-5.6455584,-5.531856,29.793802,-75.87061,30.667582,-26.21623,-18.45399,-41.649734,-14.753452,39.359055,-71.546265,-20.002071,12.561055,-19.323359,21.483131,-8.468183,-10.026663
21,4.590900421142578,4.525217533111572,68.51194763183594,0.561584759370643,35.79876833005234,-177.75724140711327,-70.602394,7.444748,21.68621,54.500313,-21.138737,5.160533,-88.005066,-9.786517,12.339999,84.30857,-14.427032,-5.817606,-5.307358,-5.438032,29.793802,-76.309456,30.927095,-26.152534,-18.482365,-41.64167,-14.752092,39.649,-71.910446,-20.093592,12.466837,-19.389982,21.431726,-8.463386,-10.021831
