Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.07553373277187347,2.246328830718994,79.03240203857422,-0.3802001887779149,-1.0794940586645227,-90.1524583363852,-0.6034287,7.5129395,9.998919,14.007291,-11.43639,-5.2695103,-1.9508408,-6.125917,-10.050104,12.994098,-8.744977,7.1010695,0.19765452,1.0398723,8.976051,-4.5959735,22.551508,-49.44199,51.923454,14.376052,4.6027627,-0.4653533,-10.77493,-23.44922,58.677536,51.628574,-9.859111,8.005446,-0.6473678
1,0.08917374163866043,2.251193046569824,79.03517150878906,-0.3717579148556233,-1.071555268863547,-90.17023129957913,-0.60128576,7.501477,10.019301,13.994333,-11.435832,-5.2642474,-1.9788342,-6.1385946,-10.02922,13.024408,-8.755428,7.104648,0.20247252,1.0332062,8.983477,-4.5819016,22.563717,-49.467922,51.96506,14.370896,4.5169134,-0.29291475,-10.785205,-23.458359,58.68455,51.641754,-9.822825,7.983922,-0.6421035
2,0.09058691561222076,2.2487680912017822,79.0347671508789,-0.3631154889182544,-1.0629993006567005,-90.18912260217832,-0.59956205,7.489044,10.041204,13.980576,-11.434969,-5.2581463,-2.0091877,-6.152396,-10.00703,13.057288,-8.766905,7.1083174,0.22251198,1.0246922,8.989266,-4.56934,22.59079,-49.522366,51.992886,14.349414,4.4318433,-0.11238787,-10.776116,-23.481697,58.67814,51.63328,-9.783467,7.962189,-0.6407154
3,0.0912897065281868,2.245194911956787,79.03308868408203,-0.3565447535864108,-1.0554347309940288,-90.20604884959387,-0.59673554,7.478084,10.060499,13.96661,-11.4332285,-5.2537622,-2.035511,-6.164252,-9.987094,13.085888,-8.77678,7.111848,0.23321034,1.0181814,8.99505,-4.5597506,22.603424,-49.56106,52.034092,14.337598,4.350077,0.056588147,-10.776997,-23.49439,58.67745,51.63768,-9.749989,7.9437375,-0.6355595
4,0.09674319624900818,2.244283676147461,79.03412628173828,-0.3518927937872249,-1.0499034537416168,-90.21832338005092,-0.5946369,7.4709888,10.073199,13.958575,-11.432529,-5.2536497,-2.0548291,-6.1718783,-9.972277,13.109128,-8.785949,7.1151996,0.2422335,1.0127635,8.999749,-4.5543823,22.614788,-49.60225,52.07311,14.322867,4.282391,0.20031133,-10.774304,-23.507175,58.67264,51.635807,-9.726527,7.9362097,-0.62514985
5,0.09741395711898804,2.240044355392456,79.03617858886719,-0.3520883813184212,-1.047202500854951,-90.22357028816732,-0.58939433,7.468293,10.076074,13.949159,-11.427142,-5.261773,-2.0615873,-6.172945,-9.965293,13.119045,-8.790812,7.118753,0.23314972,1.0099666,9.004333,-4.546881,22.618633,-49.623676,52.11185,14.310447,4.235597,0.31252772,-10.773134,-23.511328,58.668938,51.634964,-9.721547,7.9431853,-0.6092085
6,0.09901314973831177,2.23742413520813,79.03527069091797,-0.3551701437022453,-1.0463598244566705,-90.22368481259028,-0.5838088,7.46924,10.07154,13.942478,-11.42005,-5.275735,-2.0604658,-6.169739,-9.963996,13.121645,-8.793827,7.1225357,0.23049921,1.0074273,9.00604,-4.547857,22.626514,-49.666794,52.147533,14.282506,4.2054076,0.40522876,-10.760377,-23.519257,58.6534,51.62443,-9.723071,7.9603543,-0.5905877
7,0.0917731449007988,2.229339838027954,79.03530883789062,-0.35913825218851947,-1.0464303491879374,-90.22278865553814,-0.5776557,7.4716296,10.0663595,13.937557,-11.414595,-5.2883325,-2.056974,-6.1651826,-9.963841,13.12294,-8.796631,7.125428,0.21910563,1.005833,9.009766,-4.5458517,22.63059,-49.69024,52.18015,14.268103,4.1767025,0.47783002,-10.755717,-23.522787,58.645245,51.6133,-9.733688,7.983357,-0.56581694
8,0.09901171177625656,2.2293145656585693,79.03130340576172,-0.3619053228241858,-1.0464306728849462,-90.22420273023465,-0.5723406,7.4736533,10.066144,13.935684,-11.414508,-5.2924547,-2.0537484,-6.161942,-9.961498,13.122697,-8.797751,7.126525,0.21201219,1.0045644,9.01296,-4.5451584,22.634281,-49.71346,52.20918,14.264412,4.1365867,0.53654313,-10.752147,-23.525297,58.636345,51.598675,-9.757622,8.00656,-0.5331332
9,0.10302865505218506,2.2257883548736572,79.03026580810547,-0.3622222403237337,-1.0461561160992554,-90.23160977265931,-0.56889254,7.4750857,10.076838,13.940269,-11.42375,-5.281414,-2.0569987,-6.1614423,-9.952597,13.129304,-8.799222,7.1245484,0.2108699,1.0042377,9.019796,-4.5463557,22.636435,-49.72719,52.23486,14.284387,4.0731015,0.5779436,-10.759339,-23.526358,58.633804,51.581707,-9.802117,8.032785,-0.48587635
