Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.9763316512107849,-1.707619071006775,78.31739807128906,-0.8237257505412533,-1.1431704165719236,85.56424668598925,4.319818,4.943306,13.976378,8.996868,-12.275839,-4.1228285,3.53904,-8.088817,-15.440137,7.775758,-8.085912,6.741242,-1.6300966,-2.6092992,6.2198734,6.457824,22.208542,-27.849865,53.508488,-5.816,0.25973424,-0.9770509,-8.3306875,-18.228083,16.862186,-53.481186,-2.1831026,-2.9466836,2.9785352
1,-1.0278172492980957,-1.6810154914855957,78.31520080566406,-0.8189523913885668,-1.0487916254713334,85.59587358605266,4.1047153,4.904043,13.936727,9.252136,-12.426084,-4.024127,3.4631152,-8.149886,-15.459287,7.7613697,-8.079938,6.783501,-1.588755,-2.6291187,6.185299,6.462694,22.220276,-27.86501,53.460777,-5.829197,0.24113768,-0.9878888,-8.322011,-18.22863,16.900192,-53.522755,-2.225481,-2.9428594,2.9557822
2,-1.0854599475860596,-1.6569994688034058,78.31158447265625,-0.8154962079581274,-0.954964683889027,85.62577392399385,3.890395,4.8653684,13.898084,9.507319,-12.576516,-3.9244246,3.3867295,-8.210073,-15.476936,7.746804,-8.073629,6.824773,-1.5536007,-2.647091,6.144059,6.473943,22.229225,-27.879744,53.4153,-5.84805,0.2198913,-0.9967012,-8.327584,-18.225775,16.954609,-53.545162,-2.2822635,-2.937495,2.9271278
3,-1.1475858688354492,-1.6304982900619507,78.30838012695312,-0.8106332406543453,-0.8596331523765802,85.65974009343365,3.67441,4.8254533,13.856391,9.76248,-12.726849,-3.8259325,3.3129444,-8.270965,-15.498323,7.727605,-8.065065,6.8678074,-1.5259336,-2.664198,6.1001387,6.487006,22.235104,-27.89021,53.372967,-5.8627043,0.20360854,-1.0042098,-8.34199,-18.219961,17.013212,-53.557148,-2.3229952,-2.9352658,2.9009793
4,-1.2117652893066406,-1.6055885553359985,78.30313873291016,-0.8074550223504646,-0.7605338269873065,85.7037199534168,3.453989,4.7828445,13.807706,10.017096,-12.876222,-3.7310264,3.239387,-8.335838,-15.527922,7.7098446,-8.057515,6.9152484,-1.5062797,-2.6796038,6.0542927,6.4977107,22.237555,-27.898577,53.336166,-5.867455,0.20056318,-1.0085838,-8.354558,-18.212074,17.07263,-53.56481,-2.3255773,-2.941057,2.8829758
5,-1.2768930196762085,-1.5761889219284058,78.29733276367188,-0.8052721786575527,-0.6529472304278883,85.76029678665651,3.2169776,4.7388315,13.750039,10.2841625,-13.029685,-3.640453,3.1566434,-8.4060335,-15.566673,7.7035046,-8.05487,6.9698496,-1.4965662,-2.6935253,6.0033636,6.5040765,22.23621,-27.907116,53.304676,-5.8566175,0.22053055,-1.0080159,-8.364469,-18.203773,17.127312,-53.57209,-2.2602954,-2.958676,2.8768582
6,-1.3393638134002686,-1.543175220489502,78.28964233398438,-0.8025167071349494,-0.5387878873695956,85.82617714325345,2.9668655,4.6921406,13.686066,10.560668,-13.185822,-3.5531049,3.0491934,-8.486638,-15.609383,7.7441344,-8.076266,7.029815,-1.5051817,-2.7039552,5.939859,6.5175896,22.22712,-27.910984,53.27834,-5.838122,0.25600135,-1.0026854,-8.397031,-18.189793,17.20031,-53.549248,-2.155516,-2.985709,2.8722875
7,-1.4123398065567017,-1.5118801593780518,78.2800521850586,-0.7993091321725785,-0.427475513163429,85.89742448190222,2.730104,4.6392426,13.619134,10.81595,-13.332211,-3.468802,2.950591,-8.570741,-15.657221,7.7803125,-8.096871,7.090383,-1.5107793,-2.7143211,5.882184,6.5199594,22.20983,-27.914274,53.266354,-5.813925,0.29097596,-0.9957124,-8.4182625,-18.175858,17.262352,-53.531162,-2.0444849,-3.01434,2.877141
8,-1.4876502752304077,-1.4777165651321411,78.27386474609375,-0.792709215775338,-0.3269635330939597,85.97053994425156,2.531146,4.5739293,13.552527,11.020423,-13.457065,-3.3866696,2.8622222,-8.662383,-15.706739,7.828281,-8.12817,7.1472893,-1.4975047,-2.7294865,5.8437953,6.5166593,22.200253,-27.921476,53.250698,-5.796782,0.31093425,-0.991788,-8.410936,-18.171352,17.295547,-53.53581,-1.9629072,-3.0384154,2.8875546
9,-1.562582015991211,-1.4395878314971924,78.26651000976562,-0.7849399508692914,-0.23928308373506088,86.04490151911698,2.373835,4.4983063,13.486767,11.171228,-13.559368,-3.3075297,2.7867982,-8.759705,-15.757903,7.8853974,-8.167577,7.1951375,-1.490071,-2.741433,5.8057213,6.5113616,22.17136,-27.920624,53.267185,-5.7917976,0.30181924,-0.982915,-8.415644,-18.16296,17.353273,-53.506092,-1.948753,-3.0572093,2.8951452
