Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.33727365732192993,2.0452611446380615,78.38129425048828,-0.535835892615482,0.19405404018301378,-94.52186970743408,1.0776501,3.4267116,6.53585,14.826011,-16.245653,-4.0928845,0.038531113,-1.5809182,-6.438949,15.937441,-13.113809,2.29196,-1.3300574,0.53558934,8.107174,-6.740789,16.805613,-41.61082,61.37745,-1.7008009,3.8699956,5.3979115,-10.654771,-13.692274,47.57515,65.68471,-8.492606,-0.46525827,-2.049276
1,0.3353804647922516,2.076812267303467,78.37751770019531,-0.5690966521358208,0.2512730506158487,-94.5566163088108,0.8840327,3.4930267,6.5492516,15.053202,-16.316887,-4.1078615,-0.14585826,-1.5325946,-6.4030175,16.10521,-13.112296,2.252792,-1.3140392,0.57549524,8.099331,-6.730411,16.814726,-41.57799,61.337727,-1.6919359,3.871923,5.3907037,-10.697286,-13.688552,47.554367,65.704994,-8.515454,-0.449969,-2.0578444
2,0.32860156893730164,2.109827995300293,78.37584686279297,-0.6021268534670575,0.30897027045221265,-94.5892442883507,0.69243777,3.5584517,6.559954,15.274578,-16.384645,-4.1228175,-0.33009896,-1.4845458,-6.369303,16.27361,-13.109471,2.2125316,-1.307543,0.61432093,8.092437,-6.715508,16.825594,-41.525414,61.297447,-1.6693525,3.8733263,5.382144,-10.7243185,-13.681793,47.505886,65.714165,-8.57828,-0.43228278,-2.0644174
3,0.3234110474586487,2.142120599746704,78.37759399414062,-0.6361499615926943,0.3652551321804871,-94.62639842074299,0.49826777,3.62627,6.5753245,15.504823,-16.457142,-4.13814,-0.5116592,-1.4348387,-6.33147,16.435995,-13.10643,2.1738753,-1.2937682,0.6537496,8.085832,-6.704159,16.831789,-41.480667,61.261738,-1.6537007,3.872661,5.3719482,-10.757819,-13.676513,47.468693,65.72635,-8.621788,-0.4177104,-2.0727754
4,0.31461071968078613,2.177058219909668,78.37648010253906,-0.671987469366493,0.41814478972672897,-94.67453789476068,0.29480553,3.700286,6.602628,15.764001,-16.545792,-4.1542926,-0.6892268,-1.3816093,-6.282848,16.588163,-13.105207,2.1395597,-1.2701306,0.69443977,8.083711,-6.7035513,16.834143,-41.452564,61.233326,-1.663809,3.866966,5.35552,-10.805882,-13.67428,47.45493,65.739265,-8.629448,-0.4104251,-2.084708
5,0.30794936418533325,2.2147927284240723,78.37358093261719,-0.7088065746465,0.46538392509100457,-94.73603774301525,0.084831744,3.7795491,6.647142,16.051107,-16.651932,-4.171905,-0.8583057,-1.3262306,-6.2206817,16.723421,-13.105814,2.111515,-1.2463989,0.7380467,8.096842,-6.7019463,16.83578,-41.410755,61.193398,-1.693151,3.854211,5.3254786,-10.867607,-13.672822,47.44367,65.74742,-8.630224,-0.41173738,-2.098492
6,0.3075951337814331,2.2571628093719482,78.36693572998047,-0.7463501097353759,0.5089166238311785,-94.8076720635965,-0.13003704,3.8627706,6.704289,16.35825,-16.770693,-4.1906924,-1.0214002,-1.2689906,-6.148283,16.845844,-13.107566,2.0879471,-1.2295185,0.7825231,8.120576,-6.6902013,16.83803,-41.338333,61.1402,-1.7245387,3.836155,5.284649,-10.940688,-13.672074,47.444572,65.74996,-8.621509,-0.4185093,-2.1144707
7,0.30688920617103577,2.3027868270874023,78.35601043701172,-0.7872948803788032,0.5513014616966794,-94.88587392396403,-0.35442153,3.9529219,6.7646184,16.68848,-16.89911,-4.209589,-1.1822969,-1.2060442,-6.070691,16.960476,-13.106666,2.0662632,-1.202263,0.8283976,8.142992,-6.6890683,16.839111,-41.29556,61.097042,-1.7687844,3.8169682,5.2441697,-11.020876,-13.673295,47.459637,65.75279,-8.590596,-0.43047675,-2.1320302
8,0.3068658411502838,2.3497540950775146,78.34483337402344,-0.8345813016727833,0.5947384018625835,-94.9681123199266,-0.59128785,4.052853,6.819274,17.041866,-17.032642,-4.227344,-1.3421504,-1.1325337,-5.99227,17.066471,-13.096539,2.043667,-1.1969438,0.88103884,8.165986,-6.6867294,16.841734,-41.243237,61.05932,-1.7927624,3.7999547,5.206383,-11.103786,-13.676691,47.48335,65.74502,-8.582225,-0.4451803,-2.1469018
9,0.3061933219432831,2.3946313858032227,78.3368148803711,-0.890056885603595,0.6394206409339753,-95.05280920310517,-0.84273326,4.164416,6.862579,17.421444,-17.17168,-4.2416143,-1.5004607,-1.0461415,-5.9157305,17.163391,-13.073871,2.020726,-1.1844155,0.9377699,8.184504,-6.6973844,16.844204,-41.22748,61.03662,-1.7969407,3.7874925,5.1738377,-11.182915,-13.679878,47.49845,65.72948,-8.592708,-0.46850243,-2.1596057
