Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0911528617143631,1.8479503393173218,78.50013732910156,0.14495072034108566,1.6043605992272298,-89.13147674453332,-2.5368178,5.017289,2.1238463,7.9334283,-9.604579,-4.603962,-2.704438,-6.5117927,-10.337968,11.776813,-8.56376,1.7879083,-1.3469089,-0.49950632,5.071632,1.4961679,17.01644,-36.450653,59.868546,2.5062828,6.1313453,6.9787345,-4.9398327,-18.333132,54.33614,57.209595,0.3705896,4.7837567,-7.6918974
1,-0.09117284417152405,1.8480092287063599,78.5,0.1434584738456971,1.6037922138016656,-89.12727190728806,-2.5336192,5.0183296,2.1184204,7.9289427,-9.60429,-4.611146,-2.697832,-6.5096745,-10.339989,11.770179,-8.560276,1.7930025,-1.3509248,-0.50149375,5.079546,1.5064445,17.033716,-36.45111,59.84419,2.4969804,6.1384635,6.9821334,-4.922196,-18.363573,54.328823,57.163864,0.40770444,4.7858176,-7.6919394
2,-0.09073440730571747,1.8474923372268677,78.498779296875,0.14236254472571777,1.6032682696860996,-89.12316292250333,-2.5302122,5.019021,2.112951,7.9242578,-9.604126,-4.6189218,-2.692449,-6.507943,-10.340948,11.766162,-8.558669,1.7995989,-1.357779,-0.5022714,5.0814033,1.508376,17.03719,-36.450893,59.841625,2.4879131,6.143747,6.9870725,-4.918024,-18.3698,54.326122,57.153187,0.44485304,4.784511,-7.691773
3,-0.0915704071521759,1.8452633619308472,78.49696350097656,0.1407060285736801,1.602558533021172,-89.11897985080367,-2.526016,5.0202055,2.107732,7.9182925,-9.603059,-4.625457,-2.6840727,-6.505512,-10.344069,11.755929,-8.552843,1.8031785,-1.3611794,-0.5040012,5.086761,1.5135533,17.046507,-36.452023,59.828102,2.4802864,6.1504917,6.9913645,-4.9052615,-18.386454,54.31983,57.122826,0.4812475,4.786325,-7.6932106
4,-0.09336624294519424,1.8423786163330078,78.49588775634766,0.1392880342454779,1.6029236150106865,-89.1157677790857,-2.5267086,5.021839,2.1035044,7.92008,-9.606005,-4.628658,-2.6844661,-6.5051413,-10.3499155,11.760757,-8.552924,1.799627,-1.3622631,-0.5047845,5.0923166,1.5204256,17.060001,-36.453228,59.809673,2.474056,6.153892,6.991514,-4.8891497,-18.411203,54.311455,57.087917,0.51118386,4.786079,-7.695467
5,-0.09620882570743561,1.8401861190795898,78.4969482421875,0.13770888571219717,1.6042910252340221,-89.11360963310959,-2.5302556,5.0240617,2.1007802,7.9257603,-9.61077,-4.6261106,-2.689731,-6.5066214,-10.363109,11.771353,-8.551175,1.7826138,-1.3638464,-0.50347286,5.091729,1.5228088,17.061935,-36.452232,59.805687,2.4731755,6.151864,6.989337,-4.8826985,-18.41478,54.30899,57.083786,0.53498065,4.7830257,-7.7026935
6,-0.09721250832080841,1.8381459712982178,78.49834442138672,0.13620181251601388,1.6068013378179833,-89.1120238141481,-2.5361133,5.0266013,2.0990727,7.9334016,-9.616279,-4.619522,-2.700643,-6.510055,-10.381177,11.790077,-8.550387,1.7562819,-1.3627865,-0.5014594,5.0905437,1.5263314,17.06635,-36.44981,59.79867,2.4764664,6.1461406,6.983245,-4.8727627,-18.422812,54.303925,57.07739,0.55320346,4.7784343,-7.7123237
7,-0.09859348833560944,1.8364903926849365,78.50109100341797,0.1345217608124127,1.6086219160083426,-89.11125289039765,-2.5406926,5.029697,2.0982795,7.9411163,-9.622134,-4.6130695,-2.7091782,-6.512013,-10.397474,11.805425,-8.549369,1.7312926,-1.3624597,-0.49955457,5.090063,1.5287225,17.067749,-36.448418,59.793728,2.4780717,6.142293,6.9783945,-4.8664284,-18.425303,54.301655,57.075268,0.56782126,4.7754483,-7.720977
8,-0.09927503019571304,1.8331636190414429,78.50102233886719,0.1332203912857439,1.6109895723015097,-89.11021516602992,-2.5445187,5.0324216,2.097255,7.946023,-9.626065,-4.6108427,-2.7147665,-6.51166,-10.405641,11.814555,-8.5505905,1.7186638,-1.361273,-0.49839956,5.08793,1.5326868,17.06963,-36.44567,59.78756,2.4814117,6.142845,6.972375,-4.8570747,-18.428507,54.29703,57.06976,0.58141285,4.772693,-7.7280188
9,-0.10162229835987091,1.8313393592834473,78.50074005126953,0.13149132642276656,1.6119746277473832,-89.10961029436076,-2.5443397,5.0360994,2.0962472,7.9462886,-9.627551,-4.615992,-2.709263,-6.5052423,-10.401426,11.804799,-8.5500965,1.7225708,-1.3600893,-0.49868068,5.090316,1.5385292,17.07704,-36.441963,59.774452,2.4838269,6.1529255,6.9676213,-4.845496,-18.440798,54.2846,57.051395,0.5886641,4.772748,-7.727685
