Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.022682059556245804,1.7262747287750244,74.65776824951172,1.8594172611831266,3.136454800137161,-93.92590876544898,-10.87437,7.206305,5.449997,26.954605,-19.495222,-3.702402,-8.733827,-9.5494795,-2.6291378,17.504124,-14.569874,11.157841,-0.69575024,-1.963647,2.1787772,-2.0035095,20.87181,-34.8184,51.506138,-8.486889,8.1825285,-2.8276377,-9.133206,-20.265207,42.963375,58.646656,5.899745,6.0708637,6.103947
1,-0.021421218290925026,1.720463514328003,74.65684509277344,1.8564783713546729,3.138352707127601,-93.94063805861137,-10.870007,7.2144747,5.460955,26.961603,-19.507849,-3.6987774,-8.745504,-9.5394945,-2.6033857,17.532475,-14.583256,11.146965,-0.676077,-1.9658203,2.197013,-1.99327,20.87404,-34.812195,51.4571,-8.579316,8.205267,-2.8083313,-9.133585,-20.267975,42.968376,58.56725,6.10084,6.053768,6.1176662
2,-0.043886955827474594,1.7067506313323975,74.65768432617188,1.8529541103462854,3.1397349988965804,-93.95478168223308,-10.866256,7.2229195,5.470767,26.970222,-19.521553,-3.6946805,-8.758827,-9.528977,-2.576832,17.565758,-14.599317,11.135004,-0.67379445,-1.9636688,2.2164729,-1.9653151,20.878965,-34.782413,51.391438,-8.673449,8.228401,-2.788441,-9.142878,-20.276678,42.999493,58.485855,6.3268085,6.0367613,6.1323786
3,-0.03950240835547447,1.7015559673309326,74.65576171875,1.8502841586363952,3.142083569407746,-93.9700623656257,-10.862724,7.2312326,5.482759,26.978525,-19.534866,-3.6916234,-8.769448,-9.519322,-2.5516899,17.589706,-14.610223,11.12522,-0.6614573,-1.9631544,2.2324727,-1.9500366,20.87918,-34.76809,51.34532,-8.757117,8.250035,-2.7714593,-9.14781,-20.279211,43.0151,58.409485,6.5157666,6.020121,6.143396
4,-0.025005167350172997,1.699898600578308,74.65824127197266,1.849259651528677,3.147117574981917,-93.98769064041146,-10.856556,7.2381644,5.4988737,26.97851,-19.542927,-3.6902602,-8.780455,-9.512074,-2.5289767,17.60449,-14.615882,11.120706,-0.6529978,-1.9584806,2.2428102,-1.9269284,20.877943,-34.755096,51.30955,-8.8064165,8.268936,-2.7638354,-9.155129,-20.280499,43.03796,58.33324,6.635741,6.006695,6.1428475
5,-0.01830240711569786,1.6921615600585938,74.65929412841797,1.8511347576684716,3.15629259584308,-94.00873677286856,-10.847922,7.2429523,5.521577,26.968243,-19.544111,-3.691201,-8.790524,-9.508902,-2.5107737,17.601456,-14.611223,11.124951,-0.6374798,-1.9530994,2.2464254,-1.9028795,20.876045,-34.75245,51.289955,-8.799602,8.286026,-2.7678201,-9.1601925,-20.280151,43.05918,58.256313,6.648402,5.996239,6.122385
6,-0.01800251565873623,1.6826627254486084,74.66055297851562,1.8548248567446053,3.168681710256085,-94.03200600942708,-10.837931,7.246448,5.54854,26.950975,-19.540695,-3.69391,-8.799766,-9.508502,-2.4960685,17.585194,-14.59874,11.135321,-0.61818,-1.9457427,2.2442865,-1.8725532,20.874342,-34.755375,51.27704,-8.751842,8.301944,-2.7794428,-9.164494,-20.278872,43.08069,58.179848,6.586165,5.988172,6.087964
7,-0.02047068625688553,1.6723034381866455,74.66162109375,1.8587674531467318,3.1813651994686354,-94.05656374499458,-10.827249,7.249898,5.577044,26.932945,-19.536709,-3.6976452,-8.808805,-9.508157,-2.4807868,17.566963,-14.585872,11.146039,-0.60407555,-1.9357127,2.2378328,-1.8401576,20.871872,-34.764034,51.27711,-8.70626,8.313737,-2.7967553,-9.171514,-20.275696,43.107113,58.106186,6.506425,5.981805,6.0544295
8,-0.026408473029732704,1.665482521057129,74.66011047363281,1.8609917707235673,3.1915391665921327,-94.08126430452481,-10.817813,7.2549686,5.603686,26.922745,-19.537926,-3.7018185,-8.817641,-9.505094,-2.4612868,17.556791,-14.578752,11.151266,-0.5928974,-1.9241884,2.2317467,-1.8080436,20.868584,-34.78009,51.29037,-8.695542,8.319082,-2.8174455,-9.187043,-20.269274,43.132866,58.039597,6.472361,5.976415,6.038688
9,-0.028266720473766327,1.6530835628509521,74.65885925292969,1.8615511372531917,3.1966935157582705,-94.10644485056969,-10.80817,7.2614665,5.6281977,26.922443,-19.545721,-3.7064729,-8.826422,-9.498934,-2.4344137,17.561604,-14.582444,11.148582,-0.5869468,-1.9124409,2.2305593,-1.7802707,20.866083,-34.80428,51.321117,-8.745824,8.310461,-2.843952,-9.205141,-20.26078,43.138466,57.970245,6.486676,5.9755754,6.053758
