Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.2210865020751953,-0.2794235944747925,78.75912475585938,0.14567671116962722,-0.3742475188886564,175.11125480587265,3.8483377,6.67515,22.42409,6.891485,-10.717514,-6.1817794,1.6332679,-7.6218505,-11.871018,6.880988,-8.013719,8.435727,-0.5192398,0.22947633,8.537153,-8.39705,14.448619,-46.654583,66.6127,-2.3241336,9.147758,-2.1421363,-6.430206,-11.643144,35.966236,66.0954,9.053354,6.279716,2.156062
1,2.2251644134521484,-0.2819153368473053,78.76288604736328,0.13971825257159612,-0.3446709070244742,175.1298578975327,3.8031204,6.6776094,22.391788,6.8930497,-10.706163,-6.1776323,1.5741119,-7.620089,-11.857904,6.9319925,-8.047225,8.35102,-0.49847165,0.23375401,8.552457,-8.42558,14.459247,-46.593323,66.65314,-2.378046,9.118253,-2.1609175,-6.4561825,-11.65254,36.022488,65.98495,9.078057,6.2508335,2.1600204
2,2.231903314590454,-0.2836249768733978,78.76602172851562,0.13243664796217236,-0.31484484605251867,175.14869268480527,3.7586842,6.681385,22.359135,6.8928347,-10.694293,-6.174004,1.515089,-7.6165714,-11.843222,6.9819016,-8.079497,8.264482,-0.5124522,0.24394451,8.567324,-8.427984,14.474378,-46.487663,66.67471,-2.4123793,9.088975,-2.1825233,-6.5010705,-11.663671,36.12373,65.88397,9.114503,6.2228475,2.161467
3,2.235914468765259,-0.2846274673938751,78.7706069946289,0.12656789789503112,-0.285934140335193,175.16828529807253,3.714059,6.683202,22.3259,6.894314,-10.682932,-6.1691537,1.4595714,-7.6147847,-11.833009,7.0278964,-8.111229,8.181516,-0.46786878,0.2492421,8.572753,-8.461499,14.476585,-46.46244,66.725,-2.4804454,9.061802,-2.1941621,-6.5172486,-11.664993,36.1459,65.78569,9.128899,6.193871,2.1667078
4,2.2433619499206543,-0.29104167222976685,78.77223205566406,0.1254893041841197,-0.257910744807845,175.19052409900075,3.6693614,6.677642,22.290668,6.8953285,-10.670003,-6.1605983,1.4048508,-7.620924,-11.83404,7.078686,-8.149122,8.10778,-0.5155995,0.25364524,8.602186,-8.463796,14.493447,-46.29033,66.745316,-2.518342,9.033622,-2.197977,-6.586127,-11.675846,36.275314,65.69932,9.186501,6.1705313,2.1677337
5,2.2500193119049072,-0.29443618655204773,78.77757263183594,0.13124229283092625,-0.23145673872376482,175.2156055033732,3.6248534,6.661959,22.252851,6.8953347,-10.654045,-6.1458173,1.3625998,-7.6355166,-11.852064,7.1113834,-8.182939,8.047242,-0.5113959,0.24854134,8.628675,-8.488252,14.505112,-46.16998,66.778786,-2.6081157,9.011477,-2.175741,-6.627766,-11.6828985,36.324814,65.61081,9.240606,6.1522098,2.1722417
6,2.256283760070801,-0.29693835973739624,78.7794418334961,0.14235771128630867,-0.2060196876775454,175.24374847787905,3.579621,6.638778,22.211836,6.8964067,-10.636812,-6.126248,1.3236665,-7.658217,-11.882059,7.1447678,-8.221475,7.996062,-0.5347295,0.2432961,8.665107,-8.494669,14.52608,-45.998158,66.786964,-2.7059772,8.993052,-2.1388981,-6.6858897,-11.694989,36.39106,65.52753,9.310728,6.140049,2.1778195
7,2.2626914978027344,-0.30024728178977966,78.78018951416016,0.1543542227218207,-0.18243670782924112,175.27340605424018,3.5374682,6.6140165,22.170626,6.8960857,-10.619696,-6.1067533,1.2884845,-7.6827645,-11.91693,7.176844,-8.260624,7.947548,-0.5297633,0.23477773,8.70093,-8.522243,14.540951,-45.861893,66.81165,-2.802452,8.974953,-2.0962245,-6.7298026,-11.704658,36.4215,65.448586,9.365311,6.125554,2.1862833
8,2.2664358615875244,-0.30326351523399353,78.78302001953125,0.16261077227257364,-0.16188230863115555,175.30496262320003,3.4990804,6.594348,22.129662,6.89722,-10.605948,-6.092307,1.2597595,-7.7027855,-11.951348,7.205979,-8.297699,7.894988,-0.5359573,0.23501551,8.740683,-8.54093,14.558711,-45.711166,66.8222,-2.8362453,8.955984,-2.0611382,-6.78227,-11.718978,36.471527,65.38561,9.40036,6.104858,2.1994755
9,2.2722699642181396,-0.3034929633140564,78.78530883789062,0.16580403219554735,-0.14239886866867493,175.33821869236897,3.4635031,6.581087,22.090305,6.896786,-10.595143,-6.086373,1.2317324,-7.716904,-11.984983,7.2388134,-8.335759,7.8355303,-0.53440493,0.24299149,8.7774515,-8.560995,14.573985,-45.5733,66.831215,-2.7738197,8.929749,-2.0438163,-6.831548,-11.735157,36.524742,65.33879,9.40095,6.071795,2.2235303
