Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.4619008004665375,-2.372476100921631,79.26846313476562,0.3264931010851704,-3.53599358994365,84.18780037786811,5.560462,3.9667351,11.1354065,7.387066,-9.03887,-5.0089045,4.404359,-6.2935987,-11.40686,8.954174,-11.05324,4.245313,-0.6737482,1.4148023,9.839769,0.38995475,13.294792,-41.058586,53.265568,-4.203432,5.852139,13.075613,-5.9955387,-10.477229,45.845615,62.838917,8.543206,3.9041672,-6.817187
1,-0.44849929213523865,-2.4014785289764404,79.26551055908203,0.31778131136576016,-3.53890468105949,84.18569185223791,5.5369616,3.985189,11.116195,7.4079237,-9.00635,-5.011724,4.385998,-6.275353,-11.442891,8.965775,-11.016902,4.2167816,-0.6992416,1.3969828,9.88004,0.44603205,13.317134,-40.951447,53.182888,-4.188629,5.8291836,13.087125,-6.0814795,-10.486455,45.805553,62.830368,8.592023,3.851149,-6.8468256
2,-0.445773184299469,-2.4168434143066406,79.28025817871094,0.3095628800932942,-3.549067637017848,84.18314602042253,5.5222406,4.0034227,11.0970745,7.4302535,-8.973707,-5.015769,4.3769855,-6.2581806,-11.481605,8.978098,-10.983391,4.1892905,-0.7479439,1.3764805,9.9418335,0.53067285,13.37299,-40.810295,53.050186,-4.162798,5.8111863,13.08763,-6.1569858,-10.532016,45.787373,62.77564,8.652767,3.8051434,-6.8737936
3,-0.43216562271118164,-2.4509377479553223,79.27548217773438,0.2976488698289978,-3.5446838989620275,84.18179316225948,5.48919,4.025339,11.07715,7.450614,-8.941587,-5.017277,4.35057,-6.2357755,-11.515262,8.986238,-10.943011,4.158939,-0.781318,1.362354,9.988162,0.60551745,13.419259,-40.68105,52.924915,-4.1410456,5.7860837,13.095978,-6.226602,-10.586166,45.759613,62.707268,8.698684,3.75333,-6.898853
4,-0.43241241574287415,-2.462798833847046,79.29522705078125,0.2797452923183227,-3.5038794911729,84.18324337279779,5.407969,4.055693,11.055206,7.4687886,-8.91053,-5.012588,4.280265,-6.20195,-11.536139,8.984516,-10.885481,4.121628,-0.81606066,1.358177,10.015262,0.7097298,13.490996,-40.51766,52.734085,-4.1087327,5.7467275,13.110978,-6.28922,-10.6902,45.748215,62.56862,8.715688,3.6903763,-6.915537
5,-0.4368976652622223,-2.48498797416687,79.31265258789062,0.2424059605402906,-3.409213460418568,84.19265966479666,5.2037053,4.118867,11.019221,7.6043854,-8.958404,-4.9991717,4.155445,-6.142468,-11.538559,8.957365,-10.808626,4.0781784,-0.8387886,1.3849874,9.99202,0.81619775,13.565361,-40.355618,52.516872,-4.062621,5.6895027,13.131986,-6.3471646,-10.818633,45.739162,62.400337,8.678841,3.6066265,-6.9247875
6,-0.42258980870246887,-2.5313005447387695,79.30552673339844,0.18789002499651095,-3.2759120435970135,84.20811362813532,4.895695,4.211453,10.9710655,7.8572717,-9.079613,-4.9797525,3.992806,-6.061109,-11.528802,8.909557,-10.716418,4.0294013,-0.8559511,1.4378769,9.937543,0.9314968,13.649556,-40.18849,52.265507,-4.0056276,5.6199393,13.156434,-6.3928304,-10.98259,45.735985,62.185623,8.606347,3.509896,-6.927593
7,-0.4090770184993744,-2.57688570022583,79.30279541015625,0.14700090050531203,-3.1306750265148273,84.219947852593,4.5628114,4.29296,10.9302025,8.11857,-9.18859,-4.9589624,3.8009112,-5.991512,-11.514337,8.876292,-10.612907,3.9712262,-0.87352157,1.4703084,9.887292,1.0695742,13.741951,-39.97259,51.976032,-3.9500685,5.5388517,13.195765,-6.4475746,-11.174953,45.742603,61.922302,8.529646,3.4107382,-6.9244733
8,-0.39531299471855164,-2.6261563301086426,79.30950927734375,0.13331135025623586,-2.99673472795583,84.22043195972094,4.2328887,4.3487377,10.909977,8.382213,-9.253866,-4.941336,3.5180395,-5.9644327,-11.499009,9.036854,-10.578249,3.8989232,-0.90308326,1.4522713,9.874994,1.2507066,13.846201,-39.658653,51.634903,-3.907881,5.447565,13.260285,-6.5316896,-11.393203,45.76904,61.60114,8.482493,3.320468,-6.9154477
9,-0.39952296018600464,-2.665131092071533,79.32574462890625,0.18509137394054762,-2.8849414877464135,84.20257494934178,3.9222782,4.337592,10.927956,8.640211,-9.255675,-4.924645,2.9019492,-6.07513,-11.462806,9.936333,-10.896013,3.8136568,-0.946519,1.3371252,9.916286,1.4856476,13.964722,-39.20245,51.226772,-3.8601913,5.3533955,13.349529,-6.657095,-11.633494,45.837555,61.21977,8.477554,3.2427876,-6.8870907
