Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.89058780670166,-0.486700177192688,77.98931884765625,2.533417745448228,-5.538476584689182,9.116185940481731,5.450274,0.66625273,13.6035,12.9070425,-12.642097,6.388019,10.039062,-7.3027463,-16.681316,7.0223722,-12.310251,9.488775,-1.461359,-2.6158738,10.410642,-0.07416408,10.8159275,-36.960506,57.804306,-16.055727,2.9107738,6.4756737,-0.75158226,-9.073417,30.171505,59.06376,14.717137,5.5701647,-0.4718596
1,-2.8983068466186523,-0.4878195822238922,77.9870376586914,2.5285150761334654,-5.522793013031611,9.121668040484167,5.503687,0.66396403,13.603056,12.7695875,-12.666722,6.2574763,10.028373,-7.2955656,-16.681591,7.0191617,-12.391412,9.553669,-1.4567336,-2.6087067,10.416889,-0.06890681,10.82017,-36.945034,57.79035,-16.084972,2.8980982,6.4696326,-0.73936087,-9.070054,30.167755,59.111324,14.716694,5.564204,-0.48102623
2,-2.9077162742614746,-0.4906098246574402,77.986328125,2.523560803609449,-5.507660158902647,9.129490518675334,5.5572515,0.6614389,13.601372,12.632011,-12.690492,6.1260357,10.0189,-7.2888412,-16.683773,7.0158987,-12.472775,9.619401,-1.4563278,-2.604254,10.425057,-0.067426115,10.826421,-36.92329,57.781292,-16.105757,2.8817708,6.46144,-0.72329175,-9.0666895,30.164036,59.150417,14.7134905,5.5599246,-0.49109846
3,-2.9150564670562744,-0.49248602986335754,77.98576354980469,2.5181012230910036,-5.491494987115736,9.132337828036096,5.613138,0.6594204,13.603097,12.489214,-12.712724,5.9958587,10.007153,-7.2811623,-16.681644,7.012871,-12.554414,9.682182,-1.4497974,-2.596851,10.433217,-0.06609436,10.829876,-36.902775,57.77066,-16.137636,2.8711503,6.453713,-0.70710206,-9.065713,30.160734,59.189774,14.713102,5.5556087,-0.4991502
4,-2.9180562496185303,-0.4931723177433014,77.98856353759766,2.5162807863557544,-5.473057476564458,9.119007776582965,5.6887565,0.65099686,13.617422,12.305393,-12.717402,5.8695874,9.989082,-7.275345,-16.664984,7.010833,-12.636869,9.73847,-1.4424597,-2.5941758,10.449249,-0.0620287,10.840869,-36.834415,57.748257,-16.178223,2.875631,6.4357505,-0.70669806,-9.065367,30.164354,59.235435,14.714108,5.551865,-0.49943542
5,-2.9242570400238037,-0.49615222215652466,77.99263000488281,2.5035637600287632,-5.445667371813555,9.096172277528005,5.737571,0.6615467,13.635247,12.163089,-12.749648,5.7426105,9.959302,-7.2546697,-16.640371,7.00735,-12.720508,9.786823,-1.4133188,-2.5761936,10.452416,-0.06439367,10.846595,-36.782265,57.734535,-16.252104,2.8957536,6.419685,-0.70042425,-9.067226,30.167233,59.28606,14.733096,5.544508,-0.4978986
6,-2.929176092147827,-0.49364879727363586,77.99983978271484,2.4879641258072245,-5.415203027394787,9.063416619494541,5.785442,0.6770082,13.659012,12.020368,-12.786659,5.6161447,9.922775,-7.2296243,-16.606752,7.006476,-12.80688,9.830185,-1.3920029,-2.5546663,10.46009,-0.060990937,10.856125,-36.687958,57.709503,-16.32785,2.9294503,6.394314,-0.706293,-9.074846,30.186626,59.33907,14.760383,5.5363626,-0.49059132
7,-2.9311089515686035,-0.49604979157447815,78.00558471679688,2.469267255654992,-5.375054786889158,9.019176443550073,5.8210073,0.69837767,13.692173,11.885304,-12.824461,5.4956064,9.872812,-7.199224,-16.563251,7.004219,-12.889982,9.863843,-1.3469164,-2.5264056,10.455223,-0.06836981,10.86088,-36.609962,57.69714,-16.447372,2.9684854,6.3763266,-0.7059407,-9.082886,30.196648,59.39456,14.790261,5.530483,-0.48231116
8,-2.9355781078338623,-0.49753710627555847,78.01475524902344,2.4489845362774694,-5.319816467439109,8.961621604250677,5.8366632,0.7239244,13.738471,11.760985,-12.856069,5.386481,9.801433,-7.1654463,-16.508099,7.003322,-12.967255,9.883491,-1.310325,-2.492651,10.440464,-0.06771599,10.8643055,-36.49748,57.673717,-16.60616,3.0101268,6.36346,-0.7165902,-9.097301,30.2205,59.45202,14.813549,5.534171,-0.47156557
9,-2.941368579864502,-0.4971882700920105,78.02564239501953,2.421024090800916,-5.246502347654692,8.889456600421246,5.8252707,0.76131475,13.79774,11.6533165,-12.879132,5.290107,9.703468,-7.120862,-16.442448,7.0021434,-13.029575,9.88643,-1.2525063,-2.4481459,10.405533,-0.07678651,10.8642435,-36.389137,57.660927,-16.850407,3.0540843,6.361717,-0.72690594,-9.110269,30.241852,59.519817,14.815364,5.5449715,-0.45923558
