Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.2353694438934326,-0.24526073038578033,78.52073669433594,0.01938352080223084,-0.5792712169261901,173.80928423236887,3.999956,8.108042,22.434978,9.8597555,-10.562522,-6.1813426,4.904122,-7.2772255,-24.766577,8.778806,-9.547714,5.5495367,-1.2002442,0.93605924,8.516166,2.7151656,9.487238,-20.890877,61.16256,3.7084472,-1.3928502,9.777084,-5.7236705,-12.338369,38.40598,67.74269,1.6576023,-2.0832753,-5.1975503
1,2.2601962089538574,-0.24466341733932495,78.52647399902344,0.00905358969426004,-0.559915677270467,173.81884287397244,4.0302086,8.086377,22.423193,9.679215,-10.4647255,-6.1817107,4.967425,-7.214615,-24.79262,8.536502,-9.408629,5.54862,-1.2425255,0.90555125,8.542555,2.7100592,9.472548,-21.10794,61.18455,3.6798687,-1.3337278,9.680594,-5.759657,-12.350128,38.55611,67.76986,1.6511667,-2.1038408,-5.1473517
2,2.2867026329040527,-0.24156172573566437,78.52975463867188,-0.0018652241958063262,-0.5415642238057407,173.8305052259258,4.0588064,8.066047,22.407593,9.503838,-10.36963,-6.1822577,5.0300436,-7.153128,-24.820595,8.30146,-9.271773,5.548925,-1.271395,0.8810694,8.562363,2.6890876,9.446909,-21.350496,61.227478,3.6398273,-1.2739421,9.587411,-5.792798,-12.362025,38.696136,67.80857,1.6462035,-2.1283085,-5.0978885
3,2.3137757778167725,-0.239551842212677,78.531982421875,-0.011080150797076983,-0.5204823384633479,173.83740883677783,4.088438,8.043212,22.399742,9.321778,-10.271037,-6.1821523,5.0860176,-7.093489,-24.842747,8.069213,-9.136456,5.547058,-1.2768916,0.86989915,8.5681,2.6451168,9.392544,-21.626368,61.31027,3.5981524,-1.2159117,9.512052,-5.8116984,-12.382699,38.824474,67.848366,1.6468155,-2.147788,-5.052737
4,2.3437488079071045,-0.2422623336315155,78.53652954101562,-0.016475639070014314,-0.4941239097297047,173.83295303992713,4.1242433,8.013516,22.410946,9.118827,-10.161281,-6.180671,5.1238203,-7.040878,-24.849945,7.853186,-9.010183,5.5397105,-1.2939891,0.8444018,8.593804,2.6209211,9.35536,-21.839418,61.35747,3.6101835,-1.1606683,9.435065,-5.858712,-12.395434,38.949535,67.88594,1.633496,-2.1566792,-5.0039444
5,2.3752658367156982,-0.2457437366247177,78.54301452636719,-0.017299017554593777,-0.45751110003188206,173.8133716268134,4.159589,7.9775476,22.44881,8.900281,-10.042525,-6.174763,5.1382375,-6.9949613,-24.837479,7.648646,-8.890561,5.5244727,-1.2739004,0.83792156,8.589844,2.5703983,9.27624,-22.104198,61.468132,3.620725,-1.1081069,9.376557,-5.8908525,-12.419545,39.077015,67.93289,1.6449045,-2.1479118,-4.9644275
6,2.403768539428711,-0.24599449336528778,78.55106353759766,-0.014414180125355796,-0.41496071793769684,173.7834545103671,4.196953,7.936221,22.505428,8.66848,-9.916311,-6.1658154,5.138814,-6.953713,-24.811775,7.449569,-8.774541,5.503602,-1.2585344,0.82460743,8.597371,2.5294087,9.200484,-22.32856,61.56371,3.6697724,-1.0571883,9.307728,-5.9361625,-12.441291,39.19503,67.97254,1.6385531,-2.126785,-4.9215274
7,2.432577133178711,-0.24951517581939697,78.55957794189453,-0.007972083272591328,-0.3698243758811518,173.74544641612488,4.2429514,7.887269,22.572008,8.413437,-9.780498,-6.1597085,5.0807285,-6.9412837,-24.770647,7.3722634,-8.721892,5.481426,-1.2278986,0.82928383,8.594605,2.4596949,9.076933,-22.553179,61.70672,3.7484004,-1.0125098,9.285757,-5.9804854,-12.477355,39.307575,68.02051,1.639566,-2.1024058,-4.8843675
8,2.458853006362915,-0.25840795040130615,78.56735229492188,-0.001942976334025357,-0.3276220978838643,173.70411009021115,4.2964168,7.837114,22.635834,8.148563,-9.639933,-6.1628056,4.9888296,-6.9449763,-24.7236,7.378823,-8.712833,5.460664,-1.2021644,0.83313674,8.599528,2.4031835,8.960348,-22.74483,61.82428,3.8659816,-0.9742793,9.331871,-6.0331726,-12.513706,39.42139,68.067215,1.6468749,-2.0853155,-4.8529816
9,2.4886698722839355,-0.2638952434062958,78.57457733154297,0.001162708155514213,-0.2938652907799956,173.65915582373296,4.3715434,7.785037,22.694012,7.854833,-9.488065,-6.182477,4.906035,-6.944578,-24.676336,7.3843675,-8.704879,5.439686,-1.1783512,0.8342204,8.6165695,2.3667812,8.860738,-22.914402,61.907,4.03045,-0.9443138,9.475442,-6.091425,-12.545827,39.529648,68.113144,1.655288,-2.0800278,-4.829279
