Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.5876874923706055,2.1074938774108887,78.22697448730469,-4.001330330573607,-1.3746829487665406,-94.06929323167205,1.6812053,8.807825,7.215939,19.09771,-19.316832,-3.3780603,3.925175,2.6248903,-15.161105,11.075751,-10.709826,1.0920846,-2.0817735,5.9643135,8.111274,-7.1930237,16.60995,-44.323807,59.846367,-0.34578884,0.6142483,2.4001086,-8.150923,-16.876457,44.971836,58.3291,-2.6308527,2.3948119,-6.458425
1,0.5954411625862122,2.0924246311187744,78.2271499633789,-4.004024702609104,-1.363152070496549,-94.09008025607935,1.6734918,8.805422,7.233006,19.102734,-19.325476,-3.3880584,3.8837776,2.613327,-15.149702,11.136839,-10.74469,1.0765303,-2.1061075,5.983771,8.106554,-7.1652684,16.62094,-44.32127,59.83979,-0.36009398,0.600773,2.4007723,-8.147752,-16.88253,44.942993,58.414356,-2.61552,2.3727276,-6.4054427
2,0.6128321886062622,2.103999137878418,78.22492980957031,-4.008003139479558,-1.3512368136226363,-94.11083921627144,1.6658537,8.80325,7.2498302,19.105938,-19.332777,-3.3993123,3.8411987,2.6018138,-15.1390915,11.199015,-10.780309,1.0588398,-2.125788,6.002455,8.10369,-7.1398263,16.637598,-44.325336,59.827637,-0.37791353,0.58589613,2.40111,-8.119866,-16.893011,44.87923,58.47764,-2.6303637,2.3482156,-6.3477817
3,0.6221026182174683,2.1010940074920654,78.22364044189453,-4.01122979358832,-1.3402941381815494,-94.13195476164928,1.6600226,8.800193,7.267573,19.109163,-19.34073,-3.4080102,3.8026495,2.5903208,-15.126648,11.255748,-10.812375,1.0454746,-2.1454058,6.0211906,8.098079,-7.115299,16.646727,-44.329334,59.823597,-0.39447245,0.5749059,2.4012666,-8.106121,-16.900043,44.839214,58.55497,-2.6272054,2.3296936,-6.2970347
4,0.6282020807266235,2.086897850036621,78.2232437133789,-4.0116414970387515,-1.3321874645285758,-94.15405214422483,1.662457,8.794478,7.287685,19.105377,-19.346163,-3.4102502,3.7739108,2.578599,-15.109658,11.299954,-10.83569,1.0428919,-2.1542284,6.037335,8.093506,-7.0890703,16.661304,-44.340355,59.8116,-0.40994477,0.57468766,2.3961763,-8.075968,-16.912956,44.78693,58.613907,-2.6438887,2.3265352,-6.257031
5,0.6349061727523804,2.076916217803955,78.2226333618164,-4.005796023820914,-1.3271472368772905,-94.17872881522574,1.6766094,8.781495,7.312407,19.08968,-19.34592,-3.4017937,3.759549,2.5653322,-15.0818615,11.320977,-10.839699,1.0655555,-2.1682,6.0507,8.082579,-7.055925,16.666933,-44.34305,59.80472,-0.42289189,0.59259576,2.3823035,-8.055307,-16.918812,44.768898,58.684696,-2.662176,2.3474631,-6.2397017
6,0.6443986892700195,2.066521644592285,78.22126007080078,-3.9956042043516202,-1.3244561175250762,-94.20495042216248,1.697734,8.76377,7.339953,19.069012,-19.343792,-3.3857512,3.7543046,2.550584,-15.046786,11.328914,-10.832229,1.1058084,-2.1793468,6.0611424,8.070321,-7.0194674,16.673681,-44.344616,59.7954,-0.43424514,0.6225638,2.3606274,-8.0262,-16.926687,44.752224,58.746365,-2.6971965,2.3850331,-6.235803
7,0.652778685092926,2.0542795658111572,78.21991729736328,-3.9877974635026194,-1.323658562282647,-94.23029875339107,1.7219884,8.749666,7.3673687,19.046906,-19.34261,-3.3694139,3.7536118,2.5383189,-15.015557,11.334536,-10.828002,1.1367489,-2.194081,6.0741844,8.057699,-6.977869,16.677591,-44.344345,59.785427,-0.4445096,0.65274596,2.3438315,-7.9907627,-16.931662,44.73774,58.80598,-2.7386906,2.426541,-6.2354436
8,0.6615682244300842,2.0442473888397217,78.21927642822266,-3.9912449810567616,-1.3242385283224687,-94.25070590228194,1.7422087,8.748077,7.390253,19.034412,-19.349102,-3.360059,3.7539802,2.5327456,-15.000351,11.347259,-10.841655,1.1315051,-2.208116,6.095,8.051494,-6.937836,16.687206,-44.351505,59.774426,-0.45726,0.6649016,2.3401325,-7.9448714,-16.944687,44.704765,58.856304,-2.7773123,2.454461,-6.222267
9,0.6688159704208374,2.03598952293396,78.21817779541016,-4.007954726410497,-1.3282662160936478,-94.2668724672424,1.7598536,8.766878,7.4100537,19.034864,-19.367971,-3.3616624,3.7541308,2.5371742,-15.007839,11.378085,-10.887224,1.0685953,-2.2308013,6.1283216,8.052023,-6.899187,16.695467,-44.36419,59.777035,-0.48044163,0.64643306,2.3611035,-7.8997526,-16.956562,44.66335,58.91285,-2.8009996,2.4663444,-6.1871843
