Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.1200380325317383,0.02098420076072216,78.38520050048828,0.3353718971452123,1.604372875294831,177.72063020010256,4.9715757,6.4233203,19.463697,6.883964,-11.1153965,-7.1029477,-0.57022285,-8.426224,-12.82629,11.961307,-12.866114,8.863506,-2.3754835,-2.1978748,8.643929,-7.844933,19.22074,-44.72995,64.59455,12.907695,-4.6223516,6.5849032,-8.626502,-12.614217,40.502632,66.988106,-3.661666,-10.307468,-1.4322842
1,2.106929302215576,0.02270922251045704,78.37803649902344,0.3515288718310188,1.6539574703351052,177.7513492981489,4.9182262,6.402744,19.42872,6.8837442,-11.133411,-7.129706,-0.6674685,-8.462083,-12.839446,12.101864,-12.987273,8.812879,-2.3860211,-2.220179,8.624302,-7.794726,19.226593,-44.69903,64.54781,12.912514,-4.6098776,6.5954843,-8.558401,-12.610474,40.47296,66.95019,-3.6453264,-10.315229,-1.431293
2,2.0923070907592773,0.024386275559663773,78.36991119384766,0.3682437896646447,1.7009275758328832,177.78114591020204,4.8680506,6.38137,19.394331,6.8820395,-11.150539,-7.1568236,-0.763552,-8.49837,-12.851477,12.244505,-13.109977,8.759185,-2.4083734,-2.2401285,8.613404,-7.7685995,19.229696,-44.685436,64.51672,12.883814,-4.5986624,6.604754,-8.502493,-12.606867,40.449326,66.91474,-3.6339495,-10.322655,-1.4291995
3,2.077333450317383,0.027044620364904404,78.3616943359375,0.3852196699088612,1.7524855443982141,177.81294349185055,4.813882,6.3596106,19.359262,6.879602,-11.167666,-7.1827393,-0.8590364,-8.534331,-12.865531,12.37771,-13.227356,8.711549,-2.4292166,-2.2632244,8.601174,-7.7620606,19.235832,-44.69711,64.50039,12.833345,-4.5899777,6.6142607,-8.44543,-12.597321,40.41087,66.88127,-3.6336682,-10.330614,-1.4255104
4,2.0595791339874268,0.03196509927511215,78.35243225097656,0.40219310417695187,1.814851616232747,177.84919910776043,4.748396,6.338548,19.322777,6.8787303,-11.186184,-7.206047,-0.9528099,-8.56869,-12.884644,12.488155,-13.33194,8.679154,-2.4370267,-2.2868292,8.569359,-7.7167277,19.236713,-44.67493,64.46813,12.845143,-4.5826573,6.628482,-8.368388,-12.591465,40.369553,66.844925,-3.62136,-10.340435,-1.4225519
5,2.0396642684936523,0.036806218326091766,78.34471130371094,0.41947337768139237,1.8892436223079967,177.88850646482405,4.673252,6.3176217,19.28916,6.876095,-11.205896,-7.226291,-1.0484388,-8.601573,-12.906027,12.58026,-13.42473,8.666509,-2.4371278,-2.3126214,8.524974,-7.643699,19.235641,-44.61955,64.42464,12.919375,-4.5795674,6.6483984,-8.277564,-12.583742,40.31048,66.80189,-3.614976,-10.351466,-1.4159906
6,2.0137927532196045,0.04079732298851013,78.33704376220703,0.43689875534000494,1.9718967742611486,177.93005041409896,4.5903997,6.297097,19.257027,6.8747344,-11.227835,-7.2444243,-1.1433753,-8.633104,-12.929332,12.65543,-13.506946,8.668109,-2.4922047,-2.330131,8.4876,-7.649599,19.23579,-44.646423,64.44269,12.855723,-4.5865927,6.6721077,-8.22182,-12.577946,40.2966,66.76942,-3.6075025,-10.362889,-1.4061794
7,1.9853757619857788,0.045164406299591064,78.3314437866211,0.4540519334130285,2.0635729030958574,177.9789046508389,4.496902,6.276701,19.217335,6.873627,-11.248512,-7.260718,-1.2328389,-8.663231,-12.962302,12.706018,-13.577589,8.677853,-2.4928577,-2.3575544,8.425506,-7.6010294,19.232847,-44.63598,64.430984,12.895231,-4.5902233,6.6964583,-8.12008,-12.566278,40.22934,66.73169,-3.599166,-10.375822,-1.3987274
8,1.957566261291504,0.05201765522360802,78.32585144042969,0.46925400843869663,2.1633115718944493,178.04046093974597,4.3915606,6.257253,19.160494,6.872194,-11.265178,-7.2748485,-1.3073256,-8.6896,-13.013434,12.717034,-13.6315365,8.689633,-2.5022209,-2.3803117,8.364181,-7.5393777,19.226059,-44.57606,64.410805,12.962742,-4.5948625,6.7120824,-8.021959,-12.552218,40.145832,66.708336,-3.596623,-10.38903,-1.3895924
9,1.9283231496810913,0.057475216686725616,78.32044982910156,0.48135905356677505,2.271665973272828,178.11638351636455,4.2731657,6.2400823,19.081518,6.871296,-11.278386,-7.2888436,-1.361724,-8.71069,-13.087136,12.6794615,-13.666143,8.704879,-2.544273,-2.3943472,8.300921,-7.5156817,19.218943,-44.54929,64.423416,12.950435,-4.606059,6.713601,-7.934785,-12.539922,40.076183,66.7031,-3.5854704,-10.405376,-1.3805372
