Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.026952862739563,1.5852683782577515,74.95840454101562,4.887557879669898,6.456093057041227,-52.5304584502992,-9.932433,6.195195,18.183655,69.839035,-7.326097,-15.000033,-24.433455,-5.9886184,-30.039492,35.09796,-22.1115,-14.671071,-7.2890973,-0.5259985,3.589265,7.290212,20.61578,-24.039686,-28.055231,5.0202284,14.508006,6.383536,11.292577,-21.74733,26.753948,-11.166645,-22.61888,9.034101,-12.555952
1,-0.6242204308509827,1.1777721643447876,74.71955871582031,4.285578269531014,6.49380792191397,-53.10421798450256,-11.612768,7.672602,17.45351,73.27527,-8.566733,-15.000033,-24.336071,-5.2839193,-29.811695,35.82712,-22.80414,-14.695667,-7.034271,-0.16820824,4.026686,7.457431,20.491167,-23.606476,-28.482204,5.4222174,14.480377,6.145928,8.719408,-21.817541,27.98829,-9.428053,-22.905733,9.330399,-13.323119
2,-0.21135257184505463,0.7804633378982544,74.50508117675781,3.6662293834634103,6.538655314556209,-53.70269787503965,-13.301085,9.1190815,16.651114,76.74542,-9.850811,-15.000033,-24.277391,-4.568251,-29.562696,36.607506,-23.516113,-14.742361,-6.850385,0.23316608,4.4418583,7.6297126,20.241163,-23.062376,-28.884008,5.8756742,14.413178,5.84899,6.018082,-21.877523,29.311209,-7.6390157,-23.121635,9.67254,-14.223667
3,0.20722435414791107,0.38984817266464233,74.31775665283203,3.04205338049272,6.555444570720983,-54.261927814743274,-14.983848,10.516086,15.740547,80.04552,-11.040978,-15.000033,-24.145388,-3.8600292,-29.341831,37.308624,-24.204288,-14.756116,-6.689468,0.68045264,4.8823156,7.7560344,19.90885,-22.545103,-29.147478,6.3468623,14.408013,5.5463796,3.4096513,-21.898916,30.543285,-5.966917,-23.41249,9.98598,-14.937059
4,0.6490086913108826,-0.016863543540239334,74.16454315185547,2.4227854389258807,6.509889051754262,-54.71625360173304,-16.657623,11.852712,14.679346,82.97898,-12.002811,-15.000033,-23.829191,-3.1686277,-29.203554,37.79573,-24.821888,-14.681554,-6.575119,1.178598,5.386885,7.849919,19.531,-22.109844,-29.19045,6.8070364,14.565079,5.269859,1.0339992,-21.852297,31.606333,-4.496432,-23.931103,10.204719,-15.155537
5,1.0753824710845947,-0.4518652856349945,74.03511810302734,1.8055198399893033,6.352709597344032,-54.98973294167966,-18.326654,13.124183,13.391886,85.540794,-12.665439,-15.000033,-23.234255,-2.5022035,-29.211113,38.01088,-25.364708,-14.4700775,-6.5784106,1.7250074,6.0168834,7.944916,19.12506,-21.742765,-28.977814,7.1963835,14.920694,4.994531,-1.0877476,-21.709759,32.49401,-3.181586,-24.863792,10.318642,-14.633599
6,1.4943798780441284,-0.8651376962661743,73.9354019165039,1.3337348484298979,6.149400947581568,-55.05194244542167,-20.042593,14.190591,11.990436,87.77819,-13.063508,-15.000033,-22.549784,-2.0772183,-29.30485,38.214752,-25.938787,-14.129911,-6.7415733,2.1641016,6.680311,8.029821,18.705143,-21.433945,-28.567215,7.5396338,15.420011,4.7211065,-3.0429678,-21.469889,33.257362,-1.9395577,-26.101442,10.334749,-13.581113
7,1.9051936864852905,-1.2712945938110352,73.85231018066406,1.0047993503500077,5.981711680196675,-55.052479203905555,-21.754965,15.354236,11.019204,89.661736,-13.299357,-13.808302,-21.906334,-1.8406129,-29.374357,38.43132,-26.508312,-13.736661,-6.908275,2.5009139,7.275425,8.075078,18.301186,-21.227428,-28.037725,7.9349136,16.026333,4.517097,-4.8583274,-21.158825,33.926186,-0.8030679,-27.343824,10.223531,-12.379137
8,2.3189327716827393,-1.6828233003616333,73.79360961914062,0.7314411729397288,5.91809648562339,-55.19062503731731,-23.488558,16.510635,10.258551,91.17071,-13.51026,-12.455908,-21.370352,-1.5866492,-29.315554,38.563423,-26.991423,-13.402213,-6.881972,2.8014302,7.718914,8.059687,17.952976,-21.167835,-27.481825,8.473537,16.703794,4.453328,-6.5428433,-20.818478,34.51903,0.16113722,-28.282114,9.981636,-11.4111805
9,2.741680145263672,-2.103193759918213,73.76117706298828,0.5194280619299851,5.987294443532417,-55.504722655079476,-25.274971,17.654598,9.724597,92.30926,-13.686062,-11.037667,-20.991041,-1.3150017,-29.09862,38.635094,-27.388296,-13.163838,-6.6050324,3.0686994,7.9849534,7.9532332,17.69363,-21.311394,-26.922575,9.259366,17.562979,4.5869484,-8.048513,-20.48055,35.006096,0.8629131,-28.875727,9.561684,-10.694261
