Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.3259294033050537,1.8286887407302856,79.42024230957031,1.6968435007641685,-3.182112606392137,-81.55700352441916,3.0049589,-1.1894253,-1.5564741,9.242221,-8.419267,-2.2918632,5.255109,-7.516587,-9.800069,10.8590355,-12.560143,4.585572,-1.9141747,-0.7846132,6.984005,-4.1540627,11.443886,-46.284397,58.531673,13.640471,1.6419815,1.3855217,0.77072984,-11.080907,29.701553,58.84045,-23.073444,-6.0773892,3.3441687
1,-0.30765974521636963,1.8545706272125244,79.42945861816406,1.7210950265057239,-3.125675031009117,-81.60295727993994,2.937322,-1.2327034,-1.4997414,9.208878,-8.377579,-2.2552648,5.1444664,-7.5647807,-9.749141,10.863612,-12.488384,4.622662,-1.9227786,-0.7856312,6.984874,-4.1405363,11.445462,-46.30563,57.975327,13.863789,1.5357554,1.5422448,0.7594849,-11.092917,29.636927,58.820023,-23.133364,-6.087743,3.3767211
2,-0.28558027744293213,1.8778795003890991,79.43863677978516,1.7458802414079675,-3.0721063745019745,-81.6499757103506,2.8740747,-1.273351,-1.4428738,9.176489,-8.339185,-2.2212262,5.0394573,-7.6114516,-9.698403,10.866277,-12.418428,4.6605473,-1.9019892,-0.7852244,6.995048,-4.129563,11.46328,-46.356377,57.401527,14.084865,1.4346133,1.6927147,0.7673012,-11.111524,29.524055,58.776737,-23.215322,-6.1041083,3.4249892
3,-0.2631959319114685,1.9171886444091797,79.45194244384766,1.7724771391998724,-3.013334499756314,-81.69586979291735,2.8018978,-1.3181838,-1.38519,9.142622,-8.294494,-2.1817377,4.922241,-7.6621785,-9.646264,10.875123,-12.346126,4.6971583,-1.8544005,-0.7899875,7.0181775,-4.1236954,11.513769,-46.438885,56.783993,14.290844,1.3309668,1.8472818,0.79996854,-11.142039,29.37808,58.695152,-23.295715,-6.1186132,3.4610002
4,-0.2395252287387848,1.9681496620178223,79.46675109863281,1.8049185326945099,-2.941616186469851,-81.7380052504171,2.7056239,-1.373501,-1.3265767,9.109196,-8.236574,-2.128861,4.779832,-7.72214,-9.592888,10.888981,-12.262796,4.7305636,-1.8256835,-0.8021234,7.046137,-4.1196046,11.579756,-46.49981,56.131462,14.4883175,1.2106829,2.0156083,0.8095054,-11.170149,29.262482,58.62836,-23.342289,-6.126957,3.4523942
5,-0.2142074704170227,2.023282527923584,79.4840316772461,1.844737097955992,-2.852225588082736,-81.7732689921409,2.578867,-1.4437501,-1.2659795,9.077005,-8.165281,-2.057258,4.605098,-7.795375,-9.54062,10.9122505,-12.169917,4.7583838,-1.7974175,-0.8257857,7.085198,-4.117886,11.688363,-46.564728,55.40903,14.6663265,1.0681517,2.2005365,0.8192094,-11.203797,29.155344,58.547634,-23.364332,-6.125835,3.3680365
6,-0.18689103424549103,2.084122896194458,79.501953125,1.891436110180897,-2.7500874939393736,-81.80405315941402,2.429474,-1.524752,-1.2032956,9.045988,-8.0842495,-1.9720986,4.4032183,-7.8795066,-9.488117,10.949517,-12.073518,4.782194,-1.7786802,-0.8591689,7.1277823,-4.117035,11.817478,-46.619644,54.64828,14.835841,0.90934426,2.3980463,0.8166912,-11.232287,29.06894,58.474068,-23.36391,-6.116908,3.2275043
7,-0.15819165110588074,2.1508779525756836,79.52476501464844,1.940129664915046,-2.642507193814456,-81.83574183500986,2.2666512,-1.6081084,-1.1400977,9.01464,-7.9912395,-1.881711,4.187266,-7.9652653,-9.430303,10.985898,-11.965094,4.8051615,-1.7651501,-0.8958825,7.179577,-4.127737,11.948091,-46.65869,53.87771,15.003258,0.74570835,2.6018875,0.79356974,-11.255722,28.983438,58.411434,-23.34095,-6.1081386,3.0938616
8,-0.125992551445961,2.2306666374206543,79.54662322998047,1.9805477927454662,-2.5359219890343017,-81.87432574896098,2.0958056,-1.6867361,-1.0776327,8.987018,-7.8863683,-1.7945594,3.9624119,-8.0455265,-9.360604,11.022042,-11.844564,4.830549,-1.7595133,-0.92755383,7.2394786,-4.1662498,12.035634,-46.66491,53.153194,15.182301,0.5875075,2.8081868,0.734761,-11.273105,28.892866,58.37601,-23.290071,-6.1062274,3.0279095
9,-0.08982187509536743,2.3283796310424805,79.56777954101562,2.0170403922193136,-2.4271633322210278,-81.92278086723336,1.9189479,-1.7603563,-1.0174599,8.9563875,-7.774055,-1.7117515,3.7249029,-8.120174,-9.275181,11.05738,-11.708768,4.857137,-1.7419891,-0.9599283,7.32571,-4.1805334,12.189577,-46.654823,52.341927,15.388748,0.43659937,3.015242,0.66808915,-11.314197,28.757872,58.305782,-23.189217,-6.1238194,3.093376
10,-0.053050898015499115,2.416203737258911,79.58833312988281,2.0470575526419514,-2.3144665046015866,-81.97714877458291,1.7312757,-1.8308605,-0.9589518,8.927622,-7.655221,-1.6293066,3.4762611,-8.189756,-9.178181,11.08704,-11.556425,4.8822627,-1.7346618,-0.9852716,7.411309,-4.215749,12.303745,-46.611355,51.57053,15.623176,0.28390574,3.2341883,0.56932074,-11.354488,28.62481,58.260807,-23.039396,-6.1495137,3.233335
