Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.06339770555496216,-1.2540141344070435,80.2590560913086,-2.4433768492390953,8.674825304248047,80.84527786887892,-23.025776,4.742252,8.973908,6.8956776,-13.826111,-4.8727503,15.249648,4.2454333,5.9841847,14.779858,11.461287,4.7290955,21.675222,1.7737364,4.849637,42.068607,30.707495,-16.72293,-15.681373,-14.352429,-5.4841104,-3.0071278,-4.552823,-23.371037,35.290485,-19.49574,-5.0441537,2.2963471,0.0018871966
1,0.06736491620540619,0.2704564034938812,80.16426849365234,-2.474393616969,8.427033795094902,81.05128709932428,-23.341526,4.628148,9.117732,6.894509,-14.290923,-5.389222,15.617825,4.3317294,6.3009095,16.533789,11.816238,5.2676516,21.702902,1.8356268,5.120248,41.91694,30.871723,-16.437174,-15.511953,-14.489656,-5.445354,-2.9876034,-3.8255584,-23.48669,35.003036,-19.974993,-3.862817,1.5341532,0.20122048
2,0.07108385115861893,1.787042260169983,80.0199966430664,-2.537188901896331,8.182013385743723,81.23977646423192,-23.700253,4.539098,9.309303,6.891031,-14.783254,-5.963535,16.008377,4.4428124,6.6775775,18.241074,12.169339,5.7550635,21.738808,1.9134759,5.365037,41.84337,31.026546,-16.112986,-15.391834,-14.648493,-5.4069123,-2.9590378,-3.1386292,-23.56319,34.744514,-20.438808,-2.662889,0.7696683,0.4610513
3,0.08934157341718674,3.294004440307617,79.82579803466797,-2.5766060469673215,7.915613674091973,81.47713586564934,-23.937078,4.3752036,9.406075,6.8954964,-15.158822,-6.4902997,16.391895,4.517466,6.922752,19.999943,12.553852,6.313445,21.690392,1.9969662,5.6410685,41.680088,31.15817,-15.814971,-15.18637,-14.753174,-5.365675,-2.959401,-2.4980297,-23.590872,34.507416,-20.765713,-1.5113099,0.020848913,0.6495763
4,0.12329452484846115,4.769485950469971,79.5938720703125,-2.5241531058674713,7.603273944568369,81.8342846488466,-23.879116,4.044715,9.256632,6.895848,-15.2797575,-6.840766,16.73112,4.480578,6.8411303,21.931107,12.990721,7.0628357,21.461285,2.0514076,6.0202913,41.288418,31.287039,-15.575167,-14.800904,-14.745499,-5.3179927,-3.0356474,-1.896476,-23.575949,34.27548,-20.862803,-0.4706856,-0.7033408,0.632365
5,0.15963925421237946,6.221864223480225,79.32039642333984,-2.43601743846379,7.212370060036346,82.33221807826489,-23.46871,3.5905087,8.688472,6.8900967,-15.272759,-7.10182,17.10861,4.4272275,6.407832,23.962528,13.582062,8.104818,21.067543,2.1093576,6.525737,40.723125,31.505404,-15.373599,-14.350509,-14.595893,-5.2557154,-3.1989985,-1.2462671,-23.50299,33.97573,-20.784521,0.47498968,-1.4427687,0.39463246
6,0.1982494443655014,7.6621904373168945,78.99638366699219,-2.3242092382950927,6.763597993865552,82.93443603948175,-22.803055,3.042341,7.8178134,6.878571,-15.168685,-7.2953324,17.491243,4.3541923,5.718626,26.11801,14.264936,9.339143,20.534452,2.1805995,7.1048226,39.978962,31.76748,-15.236177,-13.777322,-14.356348,-5.1938157,-3.4148602,-0.6195101,-23.377869,33.674725,-20.504688,1.3531865,-2.1984143,-0.02249506
7,0.2486744225025177,9.09748649597168,78.6311264038086,-2.0515934936632694,6.307867036230668,83.6196901599255,-21.946081,2.2930646,6.922751,6.856829,-14.683738,-7.202727,17.70389,4.0311275,4.7651334,28.599092,14.840868,10.581798,19.939695,2.0960774,7.7662516,39.04458,32.126064,-15.195905,-13.080287,-14.088518,-5.123316,-3.6576633,0.007835357,-23.169401,33.295982,-20.045372,2.0564013,-2.8932061,-0.5603683
8,0.3107254207134247,10.537238121032715,78.267822265625,-1.4465221576649487,5.898910083012393,84.36323079562254,-20.953402,1.2020569,6.2942395,6.7812567,-13.499995,-6.6109486,17.600725,3.1854136,3.5447774,31.543322,15.140243,11.666104,19.23646,1.7112409,8.524863,37.87528,32.428116,-15.243777,-12.151404,-13.808667,-5.041909,-3.931275,0.5771589,-22.957602,32.927246,-19.429583,2.5114527,-3.444055,-1.2219725
9,0.31291499733924866,11.926996231079102,78.02059173583984,-0.2902862015138121,5.523606992212616,85.18203919261596,-19.839556,-0.46933845,6.083221,6.765512,-11.177317,-5.2748137,17.187584,1.5094876,1.9547417,35.066,15.196875,12.663094,18.542583,0.78924465,9.438791,36.349648,32.82876,-15.493476,-10.95785,-13.532851,-4.952368,-4.2061334,1.1476794,-22.623434,32.40787,-18.626562,2.5877805,-3.8077564,-1.991221
10,0.34931424260139465,13.329174995422363,77.6908950805664,1.32219985932005,5.176286893190927,86.05967083171528,-18.66576,-2.676038,6.1620917,6.843383,-7.9907837,-3.414611,16.568851,-0.8604094,0.10881096,39.082058,15.042427,13.661893,17.922792,-0.6233032,10.429981,34.459934,33.446518,-15.983786,-9.512192,-13.310026,-4.859007,-4.4596725,1.657918,-22.011797,31.724796,-17.48232,2.3339677,-4.0268035,-2.8622181
11,0.38043034076690674,14.713180541992188,77.29208374023438,3.0651896646658767,4.766572416696469,86.90408049129194,-17.419731,-5.0368695,6.3630257,6.9724607,-4.7934732,-1.4978149,15.958314,-3.4899023,-1.6894675,43.206028,14.663498,14.492351,17.255732,-2.1766958,11.515677,32.464855,34.00886,-16.46532,-7.93379,-13.118642,-4.746702,-4.742373,2.03579,-21.34524,31.11403,-16.107615,1.9831679,-4.158414,-3.8285956
12,0.37891584634780884,16.0472469329834,76.86409759521484,4.52927945656894,4.256969599915934,87.6347359474914,-17.904985,-6.8441215,6.6376796,10.973473,-4.5077257,0.0423766,15.432879,-5.851636,-3.2111826,47.167286,13.977623,14.940946,16.668373,-3.478836,12.595731,30.495813,34.513515,-16.965303,-6.313276,-12.976579,-4.60881,-5.0032907,2.305158,-20.633657,30.531958,-14.486441,1.7119472,-4.2654066,-4.8087106
13,0.3707953095436096,17.386064529418945,76.4049072265625,5.655595857626873,3.616901247435897,88.25227654325212,-18.74902,-8.179072,6.8310447,16.062477,-5.899168,1.202434,14.9912,-7.9041924,-4.461696,51.036,12.896635,14.94404,16.155298,-4.4544125,13.7169895,28.443342,34.976913,-17.492743,-4.5305905,-13.112388,-4.5209265,-5.34211,2.4639847,-19.880852,29.954487,-12.609988,1.577599,-4.4566207,-5.824821
14,0.4224812686443329,18.741744995117188,75.92655181884766,6.575484844909195,2.8820619625214605,88.78998686654654,-19.438326,-9.263591,6.940547,21.172033,-7.9435897,2.2106671,14.575283,-9.825363,-5.560678,54.91932,11.474739,14.588971,15.676519,-5.233365,14.896823,26.071556,35.42222,-18.10874,-2.4161448,-13.532204,-4.4607687,-5.735996,2.5196555,-19.09358,29.378595,-10.504199,1.4768628,-4.667921,-6.8985023
