Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.132915496826172,0.16262705624103546,73.8331527709961,2.9733835241172972,6.210125852309528,-2.1354438774998625,-2.7931821,23.431297,10.563496,60.771694,-21.083284,-0.24784376,-28.097923,-1.5897692,3.9698527,51.82152,-28.91782,1.9552393,-19.525003,-0.49884182,6.8199034,-8.653558,22.3611,-28.471895,-25.112747,8.061379,-1.681098,-7.6584296,12.546435,-20.175915,16.678366,5.8373218,1.3082428,-2.9507685,-7.6808
1,-2.0628626346588135,-1.0067058801651,74.07392883300781,2.9688822156997094,6.166606752476096,-1.7882804915497854,-2.4412582,21.14382,10.334851,60.22883,-21.124641,-0.8938549,-27.366283,-0.7629942,3.2339625,50.60282,-28.226759,0.87234825,-20.465467,-0.36668453,6.5373974,-8.951329,22.33631,-29.082878,-26.191183,7.862716,-1.5795829,-7.661912,14.114288,-20.12506,16.15398,6.8008842,1.8001506,-3.0105305,-7.6274753
2,-2.013655424118042,-2.1686246395111084,74.35261535644531,2.949868467782209,6.111799766660737,-1.4152936072344786,-2.0940223,18.899149,10.074985,59.740158,-21.18746,-1.5243561,-26.613289,0.07468249,2.4650476,49.378464,-27.598886,-0.22183785,-21.366869,-0.2148858,6.2419147,-9.356663,22.230333,-29.79206,-27.131697,7.6840706,-1.4738293,-7.662993,15.74707,-20.011215,15.563412,7.7676177,2.2722313,-3.0752232,-7.5457954
3,-1.9782155752182007,-3.313650608062744,74.66556549072266,2.94441704615361,6.07914728753072,-1.0965958350510214,-1.750009,16.594816,9.827609,59.094425,-21.194195,-2.1769478,-25.907724,0.91967595,1.749866,48.1517,-26.85788,-1.2913902,-22.196081,-0.0700213,5.9066277,-9.807933,22.062403,-30.525602,-27.995964,7.5177746,-1.3744797,-7.656312,17.341764,-19.859528,14.9977665,8.784606,2.7439094,-3.1303325,-7.478699
4,-1.9472222328186035,-4.436331748962402,75.00924682617188,2.9797170113786344,6.101598711113756,-0.9130952278066646,-1.4103142,14.13228,9.628912,58.07062,-21.065992,-2.8873627,-25.32327,1.7628366,1.1679012,46.931427,-25.825777,-2.3050377,-22.877035,0.045942746,5.512621,-10.284094,21.850508,-31.262423,-28.833738,7.3544493,-1.2905158,-7.623028,18.856342,-19.705122,14.486622,9.841613,3.2362947,-3.1613812,-7.458253
5,-1.924351453781128,-5.548529624938965,75.37726593017578,3.085143244815071,6.201758703509346,-0.8771708387801452,-1.0787253,11.442845,9.487548,56.582428,-20.791035,-3.6432736,-24.887014,2.56756,0.7617306,45.682266,-24.457672,-3.2547977,-23.390928,0.116587095,5.035356,-10.774828,21.607275,-32.010303,-29.684855,7.1795907,-1.2110068,-7.5286236,20.301765,-19.577711,14.02,10.956998,3.9502008,-3.1773472,-7.520656
6,-1.9304707050323486,-6.637113571166992,75.76305389404297,3.23445276270972,6.358083422673124,-0.948447941160747,-0.75503254,8.606437,9.3650055,54.728577,-20.402998,-4.4258447,-24.559166,3.3426745,0.46925858,44.413105,-22.842201,-4.1588817,-23.787165,0.16838625,4.5032077,-11.265212,21.341925,-32.759346,-30.55538,6.995636,-1.1364267,-7.3917522,21.70726,-19.485485,13.585728,12.094122,4.8231015,-3.1825242,-7.6423254
7,-1.9331836700439453,-7.730559825897217,76.16646575927734,3.369999337837448,6.536851705782696,-1.1293832655175005,-0.43287843,5.749964,9.223064,52.56554,-19.888487,-5.260133,-24.318666,4.140262,0.21318318,43.199654,-20.995815,-5.0232515,-24.084711,0.2387509,3.9777653,-11.73681,21.063995,-33.473114,-31.428171,6.8238945,-1.0920361,-7.2723985,23.062447,-19.428617,13.199804,13.160283,5.4744725,-3.154083,-7.7657676
8,-1.9439607858657837,-8.812585830688477,76.5779800415039,3.4355340733226853,6.704088903479123,-1.4227380592685517,-0.096673675,2.9948187,9.028489,50.14919,-19.238314,-6.1738324,-24.146646,5.0104165,-0.08100612,42.11157,-18.927702,-5.850426,-24.303328,0.36067012,3.5203276,-12.17392,20.783672,-34.114132,-32.285732,6.6848183,-1.1027997,-7.230857,24.350191,-19.403717,12.881843,14.070572,5.521652,-3.0660298,-7.8346357
9,-1.9803967475891113,-9.88284969329834,76.99662017822266,3.428281031239534,6.849360532022509,-1.8673344759105996,0.30861944,0.33038116,8.804557,47.39889,-18.440086,-7.18468,-24.068716,5.962746,-0.40719566,41.187496,-16.591734,-6.7247567,-24.419691,0.5267584,3.1454506,-12.5782385,20.510586,-34.676556,-33.151573,6.5912876,-1.189853,-7.2846365,25.558216,-19.415558,12.623955,14.827594,4.6426487,-2.8785446,-7.866068
10,-2.0261096954345703,-10.968917846679688,77.41427612304688,3.3665562999275114,6.991224290169564,-2.4485190927973153,0.7801813,-2.2794933,8.536862,44.281136,-17.49284,-8.268259,-24.089281,6.9637403,-0.7478504,40.362873,-13.975238,-7.5981827,-24.434944,0.7257889,2.828957,-12.952356,20.250446,-35.17689,-34.041813,6.5274825,-1.3345451,-7.3996525,26.696787,-19.470163,12.414639,15.465144,3.1133423,-2.6150517,-7.8748226
11,-2.0895025730133057,-12.063546180725098,77.82267761230469,3.228076928631153,7.136382448793194,-3.0890518105990754,1.2498378,-4.753476,8.146382,40.941994,-16.413284,-9.392461,-24.157001,8.007634,-1.1431745,39.546383,-11.1376705,-8.271831,-24.40385,0.9807214,2.572447,-13.2921,20.005733,-35.612076,-34.916584,6.4681044,-1.5015668,-7.5591383,27.781649,-19.56509,12.268163,15.950033,1.444718,-2.3466957,-7.8030844
12,-2.1601595878601074,-13.148966789245605,78.22066497802734,2.9934944392927365,7.29093457623087,-3.711598166426705,1.6469164,-7.009262,7.5640993,37.542797,-15.226248,-10.52679,-24.215893,9.100373,-1.6098157,38.642857,-8.147933,-8.55022,-24.380781,1.3112653,2.3756251,-13.595097,19.777218,-35.98052,-35.72997,6.3880687,-1.6555353,-7.746841,28.82453,-19.694494,12.200336,16.255192,0.1457987,-2.147244,-7.6009235
