Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.13400951027870178,-2.1855051517486572,70.70443725585938,4.721720333199616,3.8705544616194123,72.19136932875354,-21.935759,-14.044963,-5.106642,57.39469,-37.35288,6.295828,-40.605835,-21.482765,-4.0052924,108.97612,-23.484419,-3.3010361,0.08818476,-3.1175506,9.84628,4.0221477,27.669144,-17.462288,-18.805174,-4.3384366,-4.591672,-3.4476256,13.197221,-17.191092,16.710686,-7.983252,-7.487438,-0.27332845,3.2811897
1,0.7424132823944092,-1.5087461471557617,70.75987243652344,4.679446707086101,4.0092262297787,72.23566685797849,-20.734777,-13.451025,-5.6420846,56.650368,-37.745476,5.8781962,-43.129654,-21.462132,-2.5635,108.31063,-23.46672,-3.3567595,-0.577574,-3.1796868,9.745958,1.5104666,27.831982,-17.18601,-19.462027,-4.673921,-4.391146,-3.6096232,15.055047,-17.324455,16.571478,-8.253557,-7.3685846,-0.218927,3.2415843
2,1.6309423446655273,-0.8339493274688721,70.87014770507812,4.649781933794604,4.135108974677017,72.25983913105199,-19.546448,-12.85362,-6.1329765,55.95131,-38.200462,5.470875,-45.70038,-21.336046,-1.0679377,107.70391,-23.460646,-3.4018269,-1.1949917,-3.2425995,9.6841345,-1.0379148,28.045095,-16.96091,-20.173542,-5.0571136,-4.1953883,-3.757698,17.041164,-17.536764,16.38416,-8.658738,-7.196368,-0.17124401,3.175502
3,2.535013198852539,-0.14552052319049835,71.03932189941406,4.588924147980626,4.278754013974795,72.32648825097236,-18.34962,-12.221045,-6.6774454,55.168247,-38.536438,5.037558,-48.112236,-21.197428,0.25050727,106.91931,-23.418026,-3.4631474,-1.85657,-3.265982,9.59022,-3.5219522,28.276922,-16.75649,-20.879583,-5.438358,-4.002397,-3.8768814,19.059261,-17.784203,16.179611,-9.14737,-6.995645,-0.1114007,3.1375897
4,3.445101499557495,0.5681822299957275,71.27340698242188,4.452980445002034,4.4722901656171805,72.4969237082702,-17.12786,-11.518089,-7.373295,54.17256,-38.568794,4.5407047,-50.164112,-21.159523,1.1626402,105.72137,-23.297428,-3.5678778,-2.6411889,-3.205286,9.401426,-5.8398643,28.509378,-16.55316,-21.533392,-5.772072,-3.8107586,-3.9476306,21.040054,-18.038116,15.974857,-9.702314,-6.783434,-0.01993948,3.182555
5,4.367049217224121,1.3075318336486816,71.56817626953125,4.22106363617006,4.7609033835742505,72.80859407589769,-15.8973465,-10.730432,-8.288689,52.881004,-38.278824,3.915072,-51.848083,-21.339617,1.563314,104.04373,-23.136139,-3.7334938,-3.6050987,-3.0302086,9.057535,-7.9807196,28.74024,-16.334267,-22.1185,-5.9983053,-3.6162984,-3.9562254,22.96683,-18.281298,15.772504,-10.295166,-6.6141458,0.1128878,3.361994
6,5.302088260650635,2.068199872970581,71.9222412109375,3.9193599059523776,5.119153918475768,73.21919050014047,-14.670891,-9.872384,-9.358831,51.377453,-37.757534,3.1982958,-53.25076,-21.67317,1.5802155,102.01462,-22.9544,-3.9345443,-4.694689,-2.7652435,8.604179,-9.997006,28.969559,-16.108807,-22.648026,-6.148533,-3.4205987,-3.9213116,24.851843,-18.505716,15.573107,-10.908292,-6.476663,0.275483,3.636835
7,6.253431797027588,2.8609936237335205,72.33917236328125,3.576599359567126,5.474399175363488,73.66986481825111,-13.4337845,-8.952863,-10.478192,49.796204,-36.980522,2.5058587,-54.31824,-22.002497,1.3510199,99.69005,-22.676565,-4.1205063,-5.8204274,-2.4495254,8.140983,-11.877925,29.18546,-15.896232,-23.13143,-6.3156157,-3.2306085,-3.8691785,26.678925,-18.708828,15.387221,-11.556377,-6.2856903,0.45597252,3.9245002
8,7.217607021331787,3.6684956550598145,72.80944061279297,3.2218775956140737,5.752109018591199,74.10322452723825,-12.163098,-7.984637,-11.543074,48.269634,-35.932423,1.9565505,-55.000965,-22.179096,1.022918,97.127464,-22.229774,-4.2544227,-6.894871,-2.1285577,7.7644057,-13.618742,29.367994,-15.716926,-23.570856,-6.5913477,-3.0534005,-3.8266783,28.428566,-18.893917,15.22496,-12.250585,-5.9549246,0.64307964,4.1419277
9,8.191838264465332,4.500315189361572,73.32874298095703,2.825349284621594,5.918170711784555,74.52346615614036,-10.790057,-6.928434,-12.581509,46.76698,-34.604042,1.5622443,-55.219128,-22.21077,0.5501981,94.31081,-21.663963,-4.4198704,-7.9153895,-1.7834384,7.5168858,-15.222341,29.496313,-15.571981,-23.950296,-7.0459666,-2.8986368,-3.7875988,30.108593,-19.068846,15.079844,-13.00761,-5.4423304,0.8359087,4.2578306
