Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.666445791721344,2.3832333087921143,73.83200073242188,-5.414851965526159,0.44843791898413937,-89.61225678057077,9.011897,13.225837,4.8174534,76.8656,-7.27579,0.051592566,-23.21339,7.211701,-13.583302,42.284702,-18.953346,-8.058144,-14.909581,5.3136773,11.17871,3.8994534,18.334967,-28.271856,-45.534584,20.412193,3.0101762,-10.750017,36.346752,-13.755233,10.74465,-47.21764,10.072742,-3.7462676,-4.8235207
1,0.5751898288726807,0.6338797807693481,73.24059295654297,-6.329964054089663,0.6946641325916655,-89.66537149821714,6.105435,15.384797,4.070432,80.63206,-9.223133,0.42499563,-22.613789,8.375044,-13.976794,43.61453,-21.112597,-8.257068,-14.010283,6.3824086,11.428173,5.7736063,18.479221,-27.55168,-44.421364,21.329716,3.768901,-11.657345,33.12146,-13.790547,11.780218,-45.300133,10.202635,-2.6519945,-4.985806
2,0.46887919306755066,-1.0735657215118408,72.70047760009766,-7.295015244674741,0.9585077788060041,-89.70199166412087,3.1734602,17.566832,3.1637986,84.48209,-11.226383,0.7586438,-22.073364,9.567482,-14.387569,45.035164,-23.327328,-8.463121,-13.267247,7.4828544,11.67853,7.8662424,18.71187,-26.690464,-43.5331,22.136612,4.480233,-12.560036,29.820091,-13.829877,12.944631,-43.293915,10.487897,-1.5331352,-5.220213
3,0.35174354910850525,-2.7338154315948486,72.23918151855469,-8.161020560335317,1.192184744082536,-89.78871855035517,0.20696883,19.55338,2.2141986,88.09727,-13.13027,1.1366835,-21.430683,10.6729555,-14.649666,46.327984,-25.459028,-8.641265,-12.4906845,8.467179,11.93475,10.088806,19.00721,-25.741823,-42.772167,23.103607,5.236237,-13.432697,26.43222,-13.875738,14.130012,-41.36943,10.5270605,-0.49552384,-5.4357095
4,0.27012041211128235,-4.362205505371094,71.87198638916016,-8.779169661650043,1.3455346332504776,-89.989142862114,-2.8002913,21.140497,1.3624475,91.162254,-14.772525,1.6548069,-20.52194,11.583148,-14.609378,47.261868,-27.360573,-8.759164,-11.564758,9.17661,12.201108,12.432227,19.355629,-24.674778,-42.091747,24.501507,6.1170926,-14.269552,22.871511,-13.972163,15.3190975,-39.63471,9.905792,0.3578935,-5.5481153
5,0.20696289837360382,-5.999366760253906,71.5840072631836,-9.104132492104112,1.3907166635245536,-90.34422453170245,-5.8693514,22.29355,0.6802823,93.64908,-16.111452,2.4097633,-19.294237,12.289311,-14.213601,47.78721,-29.017872,-8.824201,-10.47882,9.566411,12.516142,14.987766,19.743143,-23.45755,-41.463505,26.50029,7.285519,-15.021627,18.978155,-14.166889,16.635098,-37.98315,8.130141,1.0386586,-5.569477
6,0.17325204610824585,-7.6335320472717285,71.36947631835938,-9.217370159514868,1.3584444012971584,-90.80788326316001,-8.984588,23.130869,0.13168073,95.717224,-17.230713,3.3404322,-17.831064,12.848563,-13.569273,48.011497,-30.495802,-8.860362,-9.317812,9.736466,12.875959,17.768167,20.143276,-22.089699,-40.933376,28.923418,8.641295,-15.739927,14.841099,-14.44087,18.12189,-36.40723,5.5704575,1.5851611,-5.537262
7,0.1759127974510193,-9.279918670654297,71.23506927490234,-9.156754313783892,1.2866100405278122,-91.30885755016938,-12.076721,23.685078,-0.27769655,97.31334,-18.147491,4.306985,-16.162733,13.242212,-12.766086,47.933037,-31.767588,-8.857484,-8.106373,9.734949,13.2160015,20.646383,20.537176,-20.59531,-40.5529,31.52851,9.863135,-16.555695,10.731791,-14.737155,19.633167,-35.134373,3.0944471,1.9336557,-5.406363
8,0.19768869876861572,-10.9471435546875,71.18155670166016,-8.96019068776797,1.2125612307532754,-91.77653623725726,-15.075004,23.983274,-0.54875135,98.38011,-18.868727,5.157293,-14.319335,13.444844,-11.889135,47.548706,-32.805096,-8.798054,-6.8425446,9.597745,13.461315,23.465355,20.919924,-19.024294,-40.350327,34.07467,10.62806,-17.56477,6.9182734,-15.002612,20.968159,-34.371136,1.5445778,2.0211234,-5.1266804
9,0.21265079081058502,-12.652095794677734,71.21582794189453,-8.605597227830312,1.087379714107527,-92.2189732724124,-17.915733,24.067856,-0.5735337,98.89814,-19.395916,5.8942223,-12.223739,13.421718,-10.899321,46.838974,-33.671234,-8.675758,-5.4794097,9.2865715,13.633974,26.221855,21.303007,-17.390423,-40.311913,36.855812,10.732118,-18.824032,3.3880541,-15.225085,22.070826,-34.189762,1.319594,1.7288048,-4.5704627
10,0.22617363929748535,-14.346176147460938,71.3203125,-8.082101115721848,0.9117055709668211,-92.66638472138409,-20.615013,23.9247,-0.33213863,98.89094,-19.721848,6.5738945,-9.890157,13.170984,-9.784676,45.81823,-34.364323,-8.501825,-4.008702,8.795041,13.759676,28.98102,21.688892,-15.694152,-40.408157,39.86178,10.362322,-20.219755,0.0072186883,-15.416983,23.031939,-34.42439,1.8979383,1.1304792,-3.792464
11,0.23620185256004333,-16.062475204467773,71.50068664550781,-7.446764730165343,0.7954320041417867,-93.08005380574265,-23.2256,23.493517,0.03352799,98.366035,-19.840393,7.12485,-7.49394,12.71957,-8.669883,44.543148,-34.766037,-8.273058,-2.496473,8.195624,13.763618,31.68652,22.06236,-13.961187,-40.639263,42.405693,9.815397,-21.594193,-3.1581635,-15.583742,23.855824,-34.903988,2.7221544,0.4508954,-3.0143826
12,0.2492855042219162,-17.803739547729492,71.7471694946289,-6.759742902797084,0.8467341954614305,-93.41924388918689,-25.808207,22.711395,0.36908028,97.33015,-19.740921,7.477717,-5.2076426,12.109638,-7.674331,43.064095,-34.7543,-7.981697,-1.0105457,7.5529933,13.563559,34.258167,22.401184,-12.227748,-40.983498,43.832085,9.429454,-22.838213,-6.046385,-15.73141,24.537573,-35.450356,3.2230437,-0.09944224,-2.4648092
13,0.2924264967441559,-19.599130630493164,72.06378936767578,-6.026520789028844,1.1116046074593178,-93.67162956306531,-28.422928,21.53608,0.66380787,95.75866,-19.461142,7.6083803,-3.057087,11.354358,-6.7790465,41.31874,-34.331707,-7.6215677,0.41311792,6.8559456,13.11153,36.724804,22.69871,-10.439648,-41.503708,43.69019,9.320627,-23.970236,-8.708723,-15.8767805,25.084171,-36.025734,3.272306,-0.49096826,-2.245903
14,0.3216244578361511,-21.410600662231445,72.45016479492188,-5.224584420613627,1.5235584465695762,-93.85558899091227,-30.993736,20.01951,0.9972855,93.637024,-18.993963,7.5435867,-0.9678498,10.438898,-5.9440665,39.31546,-33.559067,-7.192826,1.7889113,6.0685644,12.470534,39.13768,22.95366,-8.595358,-42.199627,42.43758,9.357598,-25.051947,-11.187855,-16.03664,25.519306,-36.69045,3.1577919,-0.8289342,-2.2250497
