Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.5273517370224,-0.5693477392196655,79.74252319335938,2.57495163847698,5.241251987048953,14.664243929441612,13.064049,4.0102468,22.591236,13.917605,2.0745246,-13.23311,-24.89412,-2.6780567,-5.0262446,30.080875,-7.051949,5.0179815,-8.616557,-1.6740484,10.828591,3.168372,40.77181,-14.486045,-50.026573,3.3081155,-2.9325883,6.9428306,15.817256,-34.448708,32.8089,-26.785229,5.9696317,-2.575608,5.4995465
1,-0.5973352193832397,-0.30617600679397583,79.9020004272461,2.9598778258455014,5.288971949934884,14.576826034469846,13.170422,3.6992707,21.753283,14.679778,3.2611463,-13.463048,-23.890778,-2.4195418,-4.855011,26.159067,-6.3413615,5.3865857,-8.945816,-1.7656718,10.590606,3.180542,40.904766,-14.700688,-49.98174,2.9609435,-2.9391623,6.818111,16.721416,-34.43663,32.111134,-27.220093,5.923477,-2.5844371,5.582751
2,0.34278711676597595,-0.03192625194787979,80.02364349365234,3.382525016394014,5.334620589615347,14.514288825953592,13.353096,3.3158553,20.923313,15.267777,4.5638585,-13.724715,-22.801517,-2.2519062,-4.639964,21.980925,-5.5509543,5.745962,-9.236355,-1.9141344,10.340465,3.078471,41.112804,-15.020608,-49.911743,2.5942438,-2.936054,6.7284904,17.709803,-34.36495,31.325804,-27.692156,5.877757,-2.597912,5.7112584
3,1.292959451675415,0.24212601780891418,80.1031265258789,3.8448845937414977,5.349216158863709,14.454799889531202,13.497752,2.8893871,20.022055,15.993791,5.7428327,-13.943567,-21.732018,-2.2303896,-4.434291,18.086954,-4.839205,5.9747972,-9.49622,-2.1234431,10.118825,2.9955645,41.360172,-15.37038,-49.82323,2.229045,-2.9369688,6.679127,18.67413,-34.239994,30.549679,-28.133562,5.8137674,-2.6036854,5.798867
4,2.237513542175293,0.5160163044929504,80.1453857421875,4.311665092286383,5.315376243866115,14.36357498393,13.465584,2.492462,18.990042,17.20436,6.543696,-14.050118,-20.819893,-2.3281863,-4.3113995,15.056596,-4.378141,5.976256,-9.682419,-2.359126,9.958673,2.977544,41.61326,-15.747656,-49.666126,1.8861703,-2.9538426,6.6854744,19.549618,-34.064198,29.829348,-28.492296,5.71161,-2.588861,5.77104
5,3.1673684120178223,0.7796248197555542,80.1454849243164,4.757933562955429,5.236277007708485,14.221389078729464,13.191217,2.1710489,17.80443,19.05601,6.828784,-13.986387,-20.13052,-2.4836998,-4.34086,13.083074,-4.307792,5.7270722,-9.774224,-2.5899181,9.862414,3.0170708,41.84876,-16.170647,-49.40518,1.5471698,-3.0056968,6.766257,20.335735,-33.83537,29.168741,-28.751198,5.5574207,-2.5372214,5.577867
6,4.089056968688965,1.0319089889526367,80.10956573486328,5.168042421341984,5.130821279301225,14.038338924260476,12.739493,1.9205656,16.516003,21.364859,6.748481,-13.8043375,-19.607685,-2.6382294,-4.487781,11.867163,-4.514473,5.310865,-9.7917385,-2.7927089,9.805889,3.0787487,42.056667,-16.640911,-49.047844,1.2182661,-3.0824685,6.894426,21.043623,-33.556095,28.557333,-28.916855,5.363279,-2.4580097,5.268457
7,5.014283180236816,1.2759888172149658,80.03353118896484,5.500108256345319,5.01250236440998,13.816644274064066,12.153334,1.7557112,15.181918,23.984682,6.471035,-13.607389,-19.231215,-2.7381706,-4.6719184,11.291091,-4.809895,4.7907963,-9.738294,-2.9229293,9.781058,3.1487129,42.22732,-17.147116,-48.59782,0.95502144,-3.1519523,7.0220895,21.636702,-33.238426,28.008856,-28.977528,5.148511,-2.3775816,4.917918
8,5.921706199645996,1.5224159955978394,79.91334533691406,5.720731017905026,4.892246671129138,13.560107301878471,11.47898,1.6755978,13.857423,26.766949,6.164543,-13.505632,-18.978334,-2.7497914,-4.8118954,11.238837,-5.000683,4.2193775,-9.622245,-2.9443202,9.781884,3.2283611,42.35095,-17.668024,-48.07173,0.8140759,-3.1813242,7.1013274,22.082533,-32.900475,27.537958,-28.932508,4.9329834,-2.3235,4.5994687
9,6.835204124450684,1.7842363119125366,79.7416000366211,5.855053727435092,4.775931755062155,13.275200934651869,10.677384,1.5743741,12.417065,29.741528,5.8547215,-13.491156,-18.812946,-2.729809,-4.901199,11.656498,-4.8216,3.6590283,-9.445547,-2.8700738,9.790488,3.330558,42.418606,-18.203552,-47.47647,0.83634186,-3.1577098,7.116997,22.408466,-32.557877,27.132507,-28.797312,4.7022524,-2.3009899,4.3085203
