Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.7247411012649536,0.23982876539230347,77.75543212890625,-2.298374619832676,2.321794647501345,3.773783311677194,-9.867206,6.4308825,-1.9733545,22.070154,-16.366817,-3.2984731,2.0960958,-4.4053073,-27.391201,6.745142,-10.612592,4.611788,-2.9040241,4.1079206,5.8405704,-3.8103745,23.178585,-47.19102,56.67088,5.8946347,-3.183484,-5.384767,3.973735,-18.021555,28.28216,59.605526,-19.553394,-5.4665513,2.0841167
1,-1.742553949356079,0.25439971685409546,77.74896240234375,-2.3486400698866374,2.3808168260405576,3.7653006200427113,-10.081464,6.4828067,-1.9852394,22.330997,-16.443794,-3.286154,2.0048594,-4.3552527,-27.371956,6.7434907,-10.597642,4.577774,-2.911035,4.165271,5.843571,-3.8424082,23.197077,-47.193836,56.64193,5.969296,-3.1834762,-5.3840857,3.9275575,-18.023558,28.279572,59.610645,-19.609539,-5.5091805,2.0451436
2,-1.7606295347213745,0.26253020763397217,77.74095153808594,-2.3963755891119227,2.437630368078704,3.7591621606345793,-10.286628,6.5317736,-1.9982626,22.579578,-16.518179,-3.2740057,1.9174507,-4.307651,-27.351936,6.7413535,-10.585337,4.544085,-2.9167736,4.220601,5.8454137,-3.8758008,23.212654,-47.19934,56.61747,6.052016,-3.1839666,-5.383071,3.885343,-18.025892,28.276384,59.61815,-19.668373,-5.5558367,2.0049267
3,-1.787179708480835,0.2707056701183319,77.73280334472656,-2.4500746445312567,2.498706966549164,3.7483561553236853,-10.509062,6.5874195,-2.0102172,22.850641,-16.596645,-3.2609947,1.82203,-4.253605,-27.333332,6.739059,-10.56605,4.510861,-2.9219756,4.2829847,5.8475685,-3.9119027,23.22266,-47.20339,56.594994,6.120765,-3.1821492,-5.3808513,3.8360672,-18.028137,28.271189,59.623695,-19.722942,-5.593851,1.9665108
4,-1.8240915536880493,0.2779274880886078,77.72219848632812,-2.518428418285063,2.570459848746768,3.725751387138602,-10.774499,6.6596107,-2.0187926,23.177444,-16.685423,-3.246272,1.7069396,-4.1836786,-27.317554,6.735678,-10.528894,4.4781837,-2.9249003,4.361051,5.854552,-3.951741,23.231316,-47.204475,56.56318,6.1508546,-3.176203,-5.3780093,3.767977,-18.031279,28.258018,59.621273,-19.766264,-5.6122656,1.9349402
5,-1.8617815971374512,0.3040408194065094,77.7165298461914,-2.605034170067799,2.6526162358383343,3.6896537348392084,-11.089284,6.7502284,-2.0282447,23.573841,-16.78856,-3.231144,1.5725429,-4.09436,-27.310421,6.729847,-10.468708,4.4496393,-2.9255807,4.460667,5.8663583,-3.9916942,23.238098,-47.200893,56.516743,6.1257205,-3.1608324,-5.3729634,3.677506,-18.03561,28.234983,59.608765,-19.793055,-5.5957327,1.9154996
6,-1.9086861610412598,0.32477056980133057,77.70625305175781,-2.7098509608326524,2.7417274589927585,3.644711242731312,-11.445866,6.860109,-2.0424674,24.034983,-16.909792,-3.218174,1.4039094,-3.9959702,-27.309578,6.7725873,-10.419042,4.423005,-2.9246697,4.581642,5.884262,-4.0339184,23.24368,-47.195393,56.4597,6.0599723,-3.1394293,-5.366818,3.5732024,-18.042852,28.202366,59.584778,-19.808264,-5.5547028,1.9054211
7,-1.9563775062561035,0.3381325602531433,77.69073486328125,-2.8201421858406666,2.839814007858455,3.591379608026921,-11.846746,6.979289,-2.0499191,24.55835,-17.050323,-3.2044084,1.2071522,-3.895909,-27.303604,6.8417563,-10.374448,4.3920426,-2.9247236,4.7067,5.9041643,-4.081306,23.246002,-47.18509,56.405735,5.9853787,-3.1196828,-5.360149,3.4529119,-18.050615,28.169159,59.56299,-19.82,-5.5152507,1.8931808
8,-2.01175594329834,0.34442776441574097,77.67130279541016,-2.9368180079868327,2.9492362916976917,3.53041369762999,-12.279002,7.111553,-2.0424955,25.108372,-17.194437,-3.1866114,0.98998326,-3.7863293,-27.283339,6.910309,-10.326119,4.3501315,-2.9235008,4.835024,5.9301972,-4.138053,23.247108,-47.16329,56.35788,5.938845,-3.109414,-5.3561983,3.323303,-18.060719,28.127516,59.540264,-19.845127,-5.5047154,1.8713682
9,-2.0687341690063477,0.36273181438446045,77.64564514160156,-3.062520981651237,3.067632036433865,3.4684001617537694,-12.745559,7.25921,-2.020343,25.696417,-17.346516,-3.1607614,0.7586609,-3.66421,-27.24953,6.977151,-10.279652,4.2960134,-2.924325,4.9673243,5.9624944,-4.205283,23.248423,-47.126877,56.321224,5.936371,-3.1143532,-5.3624425,3.1899703,-18.07681,28.083559,59.520813,-19.893206,-5.5341735,1.8378139
