Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.009793063625693321,2.214167833328247,77.78856658935547,-0.867697444038263,-2.2143091655993885,-87.40531079355199,-6.402461,10.103451,10.9718895,24.577044,-13.760565,-7.4298215,2.7069497,-7.133815,-22.44507,11.442938,-11.203492,7.3768106,-0.46655503,1.8171093,11.74842,-0.6316371,17.10152,-28.545053,57.885788,-7.329447,4.4955974,1.0808747,-3.0350356,-17.70839,18.320417,58.414185,-5.0406775,8.02515,-7.7219825
1,-0.09344508498907089,2.198334217071533,77.78873443603516,-0.7647381730498497,-2.245089823221107,-87.43841859161715,-6.378628,9.990843,10.627033,24.534637,-13.580794,-7.5426493,2.5731976,-7.258333,-22.439737,11.859021,-11.408204,7.29527,-0.4117765,1.7007977,11.743275,-0.64231443,17.12083,-28.693151,57.95118,-7.129611,4.5537505,1.0462186,-3.1849136,-17.725468,18.434055,58.403713,-5.0406246,8.0277815,-7.794153
2,-0.16283018887043,2.1814024448394775,77.79058074951172,-0.6573944742976322,-2.275384458926843,-87.47100333402899,-6.3671327,9.873167,10.262302,24.511911,-13.394673,-7.658971,2.4382904,-7.3867474,-22.436646,12.278321,-11.612828,7.212699,-0.3529565,1.5844159,11.736781,-0.65964127,17.134878,-28.852762,58.02767,-6.926517,4.6127954,1.0150533,-3.3353786,-17.749239,18.552502,58.39636,-5.0321608,8.030082,-7.8713727
3,-0.23934833705425262,2.1596412658691406,77.796875,-0.5553102249792342,-2.3056142853210413,-87.50542994051823,-6.328158,9.761506,9.938848,24.448563,-13.221829,-7.768765,2.3072355,-7.5098534,-22.427086,12.685696,-11.8145895,7.132927,-0.2918505,1.4775597,11.7278385,-0.67743206,17.145039,-29.015745,58.09891,-6.742589,4.6678085,0.98114425,-3.476407,-17.781994,18.668505,58.376884,-5.019702,8.034655,-7.9372063
4,-0.3111553192138672,2.137725353240967,77.80068969726562,-0.46454590015816,-2.336452845825782,-87.54424970506409,-6.2223783,9.667913,9.717534,24.285091,-13.082246,-7.8615866,2.1837919,-7.6182446,-22.40227,13.070143,-12.01305,7.0597305,-0.23207287,1.3875562,11.713639,-0.69460607,17.149437,-29.168495,58.15925,-6.5950117,4.7126393,0.93783957,-3.6068053,-17.816631,18.773842,58.34415,-5.0136104,8.043417,-7.9766574
5,-0.3816024661064148,2.105943202972412,77.80081176757812,-0.388401974288268,-2.3669165124360587,-87.59324662331997,-6.035061,9.59652,9.622447,23.999998,-12.979892,-7.9436216,2.0564666,-7.714588,-22.353554,13.449713,-12.215636,6.994142,-0.15848707,1.3272414,11.693949,-0.713626,17.146984,-29.332684,58.19909,-6.486241,4.7492166,0.8792995,-3.7270026,-17.879549,18.88033,58.29207,-4.989582,8.061299,-7.979218
6,-0.4419867992401123,2.083521842956543,77.80201721191406,-0.322374703586897,-2.397603318919883,-87.64933650937485,-5.7869997,9.539992,9.618741,23.623583,-12.902799,-8.01718,1.9322836,-7.80003,-22.288372,13.813723,-12.417821,6.934132,-0.09352221,1.2677207,11.661219,-0.7252854,17.143017,-29.473343,58.23619,-6.3910017,4.78012,0.8092474,-3.8292716,-17.91383,18.973833,58.232742,-4.999077,8.083902,-7.96386
7,-0.4921140670776367,2.0603315830230713,77.80268859863281,-0.2673125770163036,-2.429440993131508,-87.70161546403091,-5.500236,9.496861,9.676868,23.18627,-12.852572,-8.066341,1.8262843,-7.867645,-22.220987,14.13971,-12.608991,6.8788066,-0.030101847,1.2254401,11.628183,-0.73842865,17.135342,-29.615679,58.263123,-6.348492,4.799288,0.7421106,-3.9362319,-17.95592,19.06249,58.171898,-4.9937706,8.105636,-7.933197
8,-0.525206446647644,2.040914535522461,77.8016357421875,-0.22768885320083876,-2.4639237674040966,-87.73910977053532,-5.1959467,9.465454,9.767387,22.718298,-12.831228,-8.075137,1.7591462,-7.9087796,-22.166193,14.394597,-12.775533,6.827177,0.013447975,1.203647,11.602535,-0.7474643,17.118128,-29.735804,58.27828,-6.3722076,4.801201,0.6878357,-4.0010633,-18.01386,19.114021,58.05515,-5.002595,8.120579,-7.8905926
9,-0.5595306158065796,2.0263733863830566,77.79010772705078,-0.2078409668583081,-2.506733639542963,-87.7607060871705,-4.868627,9.453205,9.900624,22.222284,-12.861703,-8.035149,1.7397405,-7.9150267,-22.116201,14.569486,-12.9214115,6.7768226,0.029269964,1.1994197,11.591942,-0.7448283,17.09258,-29.803104,58.27543,-6.5061784,4.7730083,0.6488739,-4.0392423,-18.062532,19.11568,57.897087,-5.0488944,8.125473,-7.8355207
