Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.6031699180603027,-3.269666910171509,23.113157272338867,-9.15766808794955,-12.654256311380983,69.85292762264287,-128.08383,30.659727,-66.49926,157.0331,-34.53281,-15.000033,-104.55398,-8.605755,4.296319,149.31082,-30.770437,15.000033,32.048737,18.585543,29.793802,-90.974884,20.502325,-70.10188,57.99647,34.455708,-26.146208,6.0219755,-84.252495,-40.271324,71.70959,64.151924,-7.3599963,-18.504063,0.13711196
1,-2.6339519023895264,-3.305039167404175,23.209253311157227,-9.328419344574183,-12.554789134700092,69.77020077254409,-128.20401,30.66676,-66.57145,156.92538,-34.53792,-15.000033,-104.40905,-8.728888,3.95622,149.01128,-30.64881,15.000033,32.33762,18.797134,29.793802,-91.17615,20.106852,-70.03104,58.194836,34.278984,-26.154833,5.94544,-84.272896,-40.573883,71.845825,64.11488,-7.3823543,-18.49713,0.12674996
2,-2.6680095195770264,-3.348397731781006,23.313013076782227,-9.498518135091286,-12.457800552762635,69.68980127919812,-128.32515,30.668325,-66.64498,156.82085,-34.540478,-15.000033,-104.264275,-8.853565,3.6194544,148.718,-30.52952,15.000033,32.617214,19.007824,29.793802,-91.36529,19.761602,-69.9649,58.353104,34.10578,-26.161272,5.8628645,-84.29147,-40.881084,71.97567,64.06179,-7.3995748,-18.486174,0.11755541
3,-2.7038681507110596,-3.3978898525238037,23.427146911621094,-9.670164763562285,-12.351225407997845,69.60412924604442,-128.45354,30.679832,-66.71331,156.70929,-34.546444,-15.000033,-104.120125,-8.971734,3.2758663,148.41096,-30.404501,15.000033,32.888412,19.205797,29.793802,-91.540855,19.457487,-69.8855,58.46637,33.91009,-26.168306,5.7806005,-84.31654,-41.190372,72.12566,63.995174,-7.4234676,-18.480238,0.108814456
4,-2.7417659759521484,-3.4507832527160645,23.55373191833496,-9.847700222969758,-12.22454434437375,69.50622791157113,-128.59508,30.716494,-66.77017,156.5802,-34.56274,-15.000033,-103.97743,-9.073628,2.9156427,148.0669,-30.26425,15.000033,33.154213,19.38643,29.793802,-91.71425,19.189234,-69.78985,58.525784,33.64185,-26.179842,5.7051444,-84.361824,-41.50264,72.333206,63.92111,-7.4610744,-18.488934,0.1001215
5,-2.7835187911987305,-3.506720781326294,23.692529678344727,-10.029647032837989,-12.07668022460866,69.39384746115252,-128.7497,30.783712,-66.81452,156.43263,-34.592056,-15.000033,-103.83423,-9.158656,2.5387845,147.68513,-30.11014,15.000033,33.4185,19.54796,29.793802,-91.8855,18.952766,-69.67464,58.53329,33.263977,-26.19394,5.6288633,-84.434006,-41.818993,72.6146,63.834724,-7.500455,-18.510921,0.09382896
6,-2.8301899433135986,-3.5666868686676025,23.843074798583984,-10.216457326108161,-11.913652862749117,69.27118098874914,-128.91566,30.872929,-66.84974,156.27171,-34.630707,-15.000033,-103.691956,-9.227099,2.1496778,147.27403,-29.94396,15.000033,33.68115,19.69624,29.793802,-92.05055,18.743505,-69.53777,58.49784,32.81556,-26.21028,5.5523815,-84.52113,-42.138847,72.93898,63.737854,-7.551602,-18.543137,0.088931054
7,-2.88108491897583,-3.6304638385772705,24.006277084350586,-10.409140222647972,-11.732180047169066,69.1387100218169,-129.09747,30.980045,-66.875595,156.09639,-34.675484,-15.000033,-103.549675,-9.2905035,1.7458514,146.83192,-29.766779,15.000033,33.937553,19.831003,29.793802,-92.218925,18.558996,-69.391846,58.420708,32.349346,-26.231354,5.491356,-84.62988,-42.46348,73.31587,63.637783,-7.6160645,-18.58769,0.080830425
8,-2.935692548751831,-3.6981356143951416,24.182432174682617,-10.608785965461744,-11.528861093360852,68.99682324704528,-129.3001,31.100845,-66.89178,155.90486,-34.723377,-15.000033,-103.40866,-9.354485,1.325938,146.35776,-29.576733,15.000033,34.183197,19.952898,29.793802,-92.39183,18.39756,-69.234825,58.299294,31.934258,-26.259912,5.461745,-84.75689,-42.794174,73.73088,63.539127,-7.719268,-18.646788,0.06470322
9,-2.996826648712158,-3.7731175422668457,24.371723175048828,-10.789186195092409,-11.231582955733575,68.9013851793827,-129.6139,31.213905,-66.787865,155.69502,-34.737514,-15.000033,-103.357666,-9.469056,0.96498144,145.85684,-29.359816,15.000033,34.323868,19.971764,29.793802,-92.58154,18.267607,-69.06185,58.167793,31.573793,-26.296978,5.47132,-84.92864,-43.125435,74.19835,63.408844,-7.861702,-18.724878,0.03848426
