Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.7527531385421753,1.6662856340408325,76.90396881103516,3.99560697302961,3.3689648645551356,-82.64949442905434,-5.5106583,0.06817221,8.2249365,16.716806,-15.846476,-2.7383938,-17.942802,-10.563109,19.071629,43.005005,-17.158436,12.913602,-3.2953,-4.983774,3.301385,-4.3270607,23.918552,-43.671844,61.297337,8.933922,1.5941199,7.5624857,4.283378,-22.084953,36.081013,0.079543486,-2.6660907,12.584374,8.125001
1,-0.9802634119987488,1.6545841693878174,76.89300537109375,4.006194780569611,3.423053499366717,-82.01707323783691,-5.890013,0.14003259,7.594707,16.988586,-15.805212,-2.9168413,-17.535799,-10.400329,19.57233,42.374233,-17.317173,13.267808,-3.2087448,-4.992647,3.3121755,-4.3292127,23.985706,-43.467747,61.43351,8.845139,1.5851789,7.5907893,4.534257,-22.079802,35.91081,0.1498372,-2.8124473,12.600044,8.05763
2,-1.216871738433838,1.6516454219818115,76.8765640258789,4.019503104178724,3.476775331107964,-81.38445823744762,-6.2621803,0.20384696,6.9641814,17.247198,-15.757761,-3.0950122,-17.140137,-10.235376,20.102484,41.76662,-17.465143,13.629851,-3.1270635,-5.011464,3.321148,-4.3195286,24.07386,-43.262215,61.559406,8.748531,1.5768046,7.617806,4.757557,-22.041805,35.749207,0.252474,-2.9675844,12.617784,7.992371
3,-1.4535380601882935,1.634580135345459,76.85397338867188,4.0306017437391075,3.5311288216056855,-80.75222484698314,-6.640696,0.26897925,6.3332334,17.518482,-15.719069,-3.2784455,-16.720154,-10.094716,20.577213,41.112446,-17.6417,13.959861,-3.0508733,-5.0327315,3.3245273,-4.2897987,24.177246,-43.045185,61.654667,8.6626215,1.5706143,7.641435,4.9677196,-21.976511,35.59446,0.3905034,-3.1230774,12.629879,7.927423
4,-1.7023208141326904,1.6194064617156982,76.83319091796875,4.034579292564276,3.5871537272163807,-80.12107989244913,-7.0381722,0.34400287,5.7016993,17.826586,-15.7034445,-3.4729195,-16.241133,-10.005058,20.911945,40.339745,-17.883715,14.216774,-2.9816694,-5.0495844,3.3171928,-4.234973,24.290249,-42.811604,61.7032,8.600668,1.5677938,7.659705,5.1750603,-21.886284,35.446247,0.5730813,-3.2712862,12.628757,7.861404
5,-1.9501007795333862,1.587155818939209,76.80753326416016,4.027923463965911,3.640864057749506,-79.4869843021674,-7.45489,0.4336429,5.0661855,18.184397,-15.720357,-3.6836612,-15.681103,-9.961877,21.11848,39.417953,-18.19769,14.406445,-2.9221342,-5.056439,3.3002732,-4.1500454,24.408245,-42.55225,61.69982,8.57732,1.5705628,7.671413,5.3937407,-21.770624,35.30627,0.7934922,-3.4286156,12.610473,7.783836
6,-2.2048099040985107,1.548598051071167,76.77629852294922,4.013846785293247,3.6934834498297984,-78.85103515307198,-7.8850474,0.5316987,4.428005,18.576746,-15.760647,-3.906815,-15.0640955,-9.955899,21.231693,38.387432,-18.562809,14.542773,-2.8703501,-5.057257,3.2748003,-4.0427103,24.528627,-42.27276,61.66102,8.583065,1.5772704,7.6783795,5.615174,-21.631216,35.17423,1.0488482,-3.5922494,12.579884,7.6985483
7,-2.458164930343628,1.5179330110549927,76.74183654785156,3.9982902987555122,3.7537888958335426,-78.2214813682448,-8.332638,0.6312276,3.794233,18.987547,-15.811627,-4.1345053,-14.425673,-9.993946,21.200237,37.29004,-18.97682,14.597891,-2.8200853,-5.058606,3.2370155,-3.9274974,24.649391,-41.992744,61.601173,8.592086,1.5834572,7.6834073,5.820859,-21.471954,35.045547,1.3486347,-3.7268531,12.54236,7.625242
8,-2.7125537395477295,1.4986799955368042,76.69896697998047,3.9868957939887277,3.8304809550461645,-77.60617873066509,-8.804654,0.72588277,3.1715474,19.406599,-15.863882,-4.358881,-13.801279,-10.084684,20.97327,36.169395,-19.438923,14.547325,-2.7643595,-5.066737,3.1836627,-3.820587,24.768984,-41.73477,61.535595,8.576507,1.5846988,7.689156,5.9944005,-21.298607,34.914055,1.7004101,-3.7971969,12.503076,7.583928
9,-2.9690117835998535,1.45728600025177,76.65484619140625,3.996047923350511,3.9302774531052913,-77.00071856781835,-9.308398,0.79467773,2.5611508,19.82998,-15.913003,-4.5735774,-13.184659,-10.262449,20.498697,35.00541,-19.9807,14.3904,-2.7066083,-5.0948997,3.1063333,-3.727059,24.885784,-41.51243,61.467545,8.522549,1.5801138,7.694453,6.136277,-21.116764,34.776737,2.1081462,-3.7736921,12.454459,7.5840607
10,-3.233292579650879,1.4209233522415161,76.60662841796875,4.017531768393004,4.046607885673715,-76.40266990790606,-9.8395,0.84778744,1.9595451,20.267012,-15.966619,-4.784576,-12.556747,-10.506136,19.81608,33.78423,-20.591501,14.143361,-2.6466334,-5.1342025,3.0106885,-3.6429453,24.998184,-41.315815,61.392982,8.444783,1.5716196,7.6987634,6.2597485,-20.928822,34.63382,2.5587401,-3.6800072,12.396792,7.613778
11,-3.5005478858947754,1.4043024778366089,76.55036163330078,4.021204622937245,4.16835375651452,-75.82377710747429,-10.38323,0.92554575,1.3661171,20.718649,-16.027832,-5.002394,-11.935803,-10.729606,19.01067,32.565277,-21.2113,13.80914,-2.5726576,-5.1582227,2.913548,-3.5652454,25.104202,-41.123997,61.31147,8.366597,1.559523,7.705987,6.3676,-20.73497,34.485245,3.034181,-3.5634725,12.346672,7.661183
12,-3.7789289951324463,1.3774781227111816,76.49755096435547,3.975725561050239,4.285137801362057,-75.27593165648881,-10.929844,1.068979,0.77887684,21.194353,-16.10498,-5.237211,-11.338824,-10.85665,18.168232,31.395956,-21.774746,13.392408,-2.4732313,-5.1401877,2.8311727,-3.4901195,25.201746,-40.91345,61.222775,8.313247,1.5440475,7.7199326,6.459731,-20.533707,34.33164,3.5193467,-3.4695926,12.320759,7.7140927
13,-4.061391830444336,1.329639196395874,76.44999694824219,3.8808777331791,4.402959761211682,-74.80093483599937,-11.481435,1.300016,0.23574738,21.696726,-16.20152,-5.5022726,-10.772152,-10.872185,17.273937,30.251501,-22.30652,12.844034,-2.3101273,-5.0889874,2.7739902,-3.4364376,25.29337,-40.69247,61.138283,8.300811,1.5268176,7.743512,6.5274706,-20.319586,34.166794,4.0034003,-3.3963742,12.334082,7.7787247
14,-4.4355998039245605,1.3470091819763184,76.4049072265625,3.749191049693384,4.525016895696358,-74.3799590946784,-12.038266,1.5951114,-0.27682975,22.213509,-16.309109,-5.789123,-10.226294,-10.811805,16.297224,29.123693,-22.835247,12.184544,-2.1016345,-5.01282,2.7302706,-3.4007387,25.380348,-40.47213,61.055317,8.308905,1.5071468,7.7741585,6.570672,-20.090416,33.99362,4.5013447,-3.3238575,12.374047,7.858484
15,-4.813745021820068,1.3815034627914429,76.36106872558594,3.5688662371136988,4.637828165950164,-73.93311698153985,-12.598513,1.9239475,-0.83968604,22.75193,-16.429445,-6.073862,-9.6850195,-10.667939,15.290342,28.056126,-23.286253,11.523873,-1.9213831,-4.88546,2.682059,-3.338124,25.454897,-40.218918,60.950516,8.322794,1.4818667,7.8072944,6.603902,-19.85453,33.825375,5.0372167,-3.2757618,12.4162,7.9368563
16,-4.961465358734131,1.2311336994171143,76.34809875488281,3.3281182343781763,4.728760449787828,-73.38109758392791,-13.156351,2.2543786,-1.5323539,23.306973,-16.55612,-6.3322864,-9.13924,-10.439141,14.307877,27.103704,-23.587667,10.968168,-1.8449975,-4.6774254,2.6125228,-3.2121487,25.50474,-39.910553,60.80924,8.314784,1.4466677,7.839302,6.644038,-19.627523,33.677887,5.6275454,-3.271617,12.4363365,7.9959474
17,-5.0130510330200195,0.9865509271621704,76.3495101928711,2.9980325307529085,4.782952822882828,-72.61532399867657,-13.716841,2.5673602,-2.4683208,23.889116,-16.694637,-6.5535455,-8.510053,-10.120025,13.28639,26.229635,-23.678858,10.544639,-1.9570194,-4.344448,2.5058432,-3.0140579,25.519302,-39.5789,60.633484,8.295167,1.3940725,7.8535724,6.741846,-19.425022,33.540947,6.246156,-3.3359563,12.429096,8.037026
18,-5.236194610595703,0.8833209276199341,76.35321044921875,2.5928358985926607,4.8151132932458,-71.70716846952523,-14.285733,2.8779988,-3.5758097,24.496162,-16.841438,-6.7509303,-7.8217793,-9.71334,12.2209835,25.408693,-23.608274,10.196777,-2.191568,-3.906057,2.3811083,-2.7738547,25.494114,-39.231834,60.443974,8.269285,1.327403,7.85873,6.8864384,-19.253609,33.40636,6.875211,-3.4475207,12.4076185,8.066403
19,-5.554016590118408,0.8656225204467773,76.35610961914062,2.165546616648392,4.854933718738827,-70.84727179727693,-14.851988,3.2099104,-4.6561937,25.093603,-16.98051,-6.9366193,-7.2303944,-9.236617,11.2546215,24.73121,-23.46456,9.89945,-2.4006915,-3.4310317,2.2712064,-2.499305,25.424908,-38.78813,60.244804,8.2230835,1.2588968,7.88846,6.9991684,-19.11363,33.295048,7.5467343,-3.5574722,12.375188,8.073797
20,-5.874452590942383,0.8739538192749023,76.34971618652344,1.7713611441559671,4.92758180942524,-70.22674971024868,-15.405288,3.590577,-5.510163,25.65551,-17.098799,-7.1224265,-6.8966517,-8.708296,10.527823,24.294876,-23.340729,9.625544,-2.4438217,-2.9939618,2.200405,-2.1914217,25.30934,-38.156483,60.03417,8.146063,1.2009157,7.975625,6.993987,-19.000797,33.23627,8.300622,-3.6174967,12.335291,8.048074
21,-6.174372673034668,0.8885102272033691,76.34017181396484,1.4105608225668662,5.058033283720463,-69.95377336052735,-15.970054,4.0677876,-6.0444565,26.198582,-17.201366,-7.314507,-6.9689474,-8.098219,10.148236,24.233036,-23.250147,9.371308,-2.2472816,-2.5986247,2.1657357,-1.8542771,25.143723,-37.284946,59.80402,8.018052,1.1572064,8.15173,6.8120255,-18.910719,33.249146,9.1884365,-3.5815206,12.274707,7.9749756
22,-6.464653491973877,0.8822369575500488,76.33287048339844,1.0579517752619911,5.222593647272805,-69.90761899165585,-16.543861,4.618657,-6.3808956,26.735962,-17.295757,-7.505004,-7.326398,-7.41412,10.011712,24.46625,-23.148485,9.14101,-1.907425,-2.212755,2.1502469,-1.4831407,24.926083,-36.222385,59.556126,7.8531203,1.1202574,8.390682,6.5021296,-18.841957,33.324978,10.184413,-3.486354,12.19622,7.8631654
23,-6.723154544830322,0.8696855902671814,76.32920837402344,0.7307665835708828,5.372262278428095,-69.93578766293086,-17.065454,5.169687,-6.6390157,27.218626,-17.363989,-7.6858406,-7.7414613,-6.73884,9.949317,24.794458,-23.05411,8.920977,-1.5363196,-1.8592056,2.1553013,-1.0721394,24.658863,-35.038433,59.30325,7.6851006,1.0864341,8.639157,6.142188,-18.79338,33.447372,11.210212,-3.4087732,12.126855,7.736537
24,-6.9744439125061035,0.8504018187522888,76.3259048461914,0.44795177777128947,5.460181448882274,-69.88537944070869,-17.475458,5.6440473,-6.935481,27.59863,-17.388996,-7.8487654,-7.9842424,-6.1555595,9.796361,24.99589,-22.973793,8.705319,-1.2433829,-1.5620841,2.1858618,-0.6147054,24.348091,-33.8056,59.055786,7.5453677,1.0529901,8.844183,5.8115387,-18.765633,33.596874,12.187334,-3.4266863,12.094321,7.61898
25,-7.234468460083008,0.8221508264541626,76.3299560546875,0.23256628842104907,5.462234152032367,-69.73884617452536,-17.720888,6.010697,-7.272581,27.83451,-17.361914,-7.984853,-8.002974,-5.704621,9.537297,25.030514,-22.91449,8.511032,-1.0417088,-1.3502648,2.2580388,-0.08423143,23.992254,-32.502872,58.797565,7.454876,1.0294881,9.00596,5.527281,-18.759289,33.763428,13.113433,-3.5454168,12.116633,7.523889
26,-7.496514797210693,0.7957521080970764,76.3327865600586,0.06900432949390821,5.407399090242504,-69.5692553841576,-17.84529,6.3153996,-7.5943675,27.96363,-17.294792,-8.100618,-7.9235024,-5.3346343,9.253375,25.006891,-22.866716,8.338089,-0.876243,-1.2053903,2.3675725,0.49931103,23.586714,-31.110851,58.525764,7.3896937,1.0148906,9.147061,5.251658,-18.774963,33.95583,14.020604,-3.7292826,12.175577,7.4369454
