Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.09467797726392746,2.306412696838379,78.1529541015625,-0.3440117648399296,-3.521171638816529,-90.41635119412419,7.5544004,11.768829,27.850286,7.8963137,-10.303469,-9.673719,3.5474057,-6.5760617,-15.790372,8.611729,-8.880974,5.2940736,-1.2999568,1.069415,11.321686,-8.864344,14.456518,-43.02149,65.15264,0.7039095,7.6402955,-3.304155,-6.872116,-12.854814,38.124447,66.91994,4.7908998,5.196142,1.8089825
1,0.22965753078460693,2.42794132232666,78.1405258178711,-0.3444689855765507,-3.544165241135078,-90.44601182044757,7.612856,11.763481,27.876965,7.8644705,-10.30226,-9.678403,3.5702074,-6.573122,-15.76481,8.617352,-8.883043,5.298907,-1.2892251,1.0693078,11.335747,-8.883356,14.464217,-43.071358,65.14572,0.7288936,7.627983,-3.2780545,-6.8385506,-12.862557,38.16316,66.87261,4.7834363,5.20531,1.8290954
2,0.27294912934303284,2.4611644744873047,78.13583374023438,-0.3443827465098498,-3.5688161512397967,-90.47789309633461,7.6759205,11.757551,27.905478,7.8292456,-10.299966,-9.683055,3.594544,-6.5698457,-15.737404,8.622917,-8.884752,5.3038006,-1.2722118,1.0671886,11.345355,-8.902398,14.475551,-43.138783,65.140785,0.73766917,7.61391,-3.2509809,-6.8025866,-12.869444,38.208305,66.831436,4.7824564,5.213925,1.8491061
3,0.15044613182544708,2.32584285736084,78.1491470336914,-0.34603956725908025,-3.589845940766909,-90.50530930078399,7.731084,11.751683,27.930737,7.7975826,-10.2983055,-9.687694,3.6151826,-6.5677176,-15.71358,8.629033,-8.887229,5.308545,-1.2641232,1.066242,11.35607,-8.926165,14.4831915,-43.19397,65.142075,0.7595714,7.6017704,-3.2244422,-6.7761717,-12.87133,38.244976,66.795944,4.7747207,5.2202177,1.8682289
4,0.11139571666717529,2.2757816314697266,78.15290832519531,-0.34701911733998514,-3.600656016241608,-90.52226612098261,7.7674847,11.74446,27.94866,7.771345,-10.297226,-9.692144,3.628032,-6.5680847,-15.698555,8.630898,-8.888603,5.3129086,-1.2637043,1.0649697,11.353719,-8.944,14.491128,-43.253242,65.14322,0.7899559,7.5982647,-3.1908216,-6.7430162,-12.870892,38.27527,66.75104,4.779387,5.221777,1.8773636
5,0.12050288170576096,2.2711751461029053,78.15125274658203,-0.34865497027272646,-3.5965823106571557,-90.5204628139165,7.7745385,11.736365,27.953049,7.755056,-10.297136,-9.698467,3.629063,-6.5723615,-15.699522,8.629935,-8.89109,5.315587,-1.28647,1.0680356,11.342615,-8.956946,14.497168,-43.29446,65.1422,0.86270964,7.605856,-3.1483521,-6.7162614,-12.868231,38.288612,66.7018,4.7799983,5.215034,1.8774505
6,0.14159922301769257,2.268872022628784,78.15028381347656,-0.35263971734213084,-3.581267719980157,-90.5060796857036,7.761011,11.726643,27.948803,7.7445436,-10.297369,-9.706017,3.6202643,-6.580034,-15.711079,8.62768,-8.89442,5.3171043,-1.308375,1.065451,11.314206,-8.976268,14.50728,-43.368443,65.151505,0.9313859,7.6221647,-3.0952783,-6.6733184,-12.860577,38.287796,66.63902,4.789778,5.2035193,1.8647684
7,0.14359880983829498,2.264186382293701,78.14797973632812,-0.35571503642332397,-3.565029818359844,-90.49178677509765,7.7442465,11.7170925,27.944397,7.73778,-10.299765,-9.710818,3.6111465,-6.588025,-15.722154,8.6223345,-8.895582,5.32008,-1.3516405,1.0726345,11.29809,-8.988528,14.510941,-43.394543,65.15233,1.0200473,7.638705,-3.0520332,-6.656214,-12.856008,38.28945,66.58419,4.797632,5.190265,1.8588196
8,0.1475122720003128,2.255746841430664,78.14642333984375,-0.3573900815778252,-3.5533621568880798,-90.49063396646986,7.7370963,11.70768,27.94912,7.7316003,-10.30508,-9.708835,3.6013796,-6.5956845,-15.720514,8.621286,-8.895746,5.3269687,-1.3491201,1.0662519,11.272862,-9.0079565,14.520054,-43.470863,65.16666,1.0507717,7.652794,-3.0194385,-6.6083655,-12.839694,38.277897,66.51378,4.82988,5.1807694,1.8529626
9,0.16229347884655,2.2500038146972656,78.14717864990234,-0.35435557357172526,-3.5509038021713004,-90.50886521027266,7.7463593,11.6982355,27.966486,7.72667,-10.315853,-9.69477,3.5967677,-6.60253,-15.700295,8.6191845,-8.890553,5.3418627,-1.3458258,1.0657312,11.268724,-9.015485,14.524199,-43.496696,65.16849,1.0653037,7.6584096,-3.0152266,-6.582696,-12.829017,38.27979,66.44561,4.886453,5.1774945,1.8666134
10,0.1654452532529831,2.2458720207214355,78.14910888671875,-0.35082271471338694,-3.5517614744137496,-90.53890204109015,7.7626114,11.6883135,27.991972,7.723411,-10.330336,-9.672157,3.5912352,-6.609774,-15.6682415,8.618706,-8.882847,5.3622303,-1.332433,1.065805,11.269644,-9.021156,14.52632,-43.514496,65.171,1.0500708,7.660048,-3.0274029,-6.558833,-12.821229,38.285084,66.37428,4.966564,5.174288,1.8897794
11,0.1761963963508606,2.240581512451172,78.1510238647461,-0.34730049256232753,-3.556112238583536,-90.57243179078546,7.7844095,11.6792145,28.020418,7.719457,-10.344643,-9.650446,3.5895,-6.6156464,-15.633449,8.617223,-8.874585,5.3810782,-1.3103913,1.0624126,11.269204,-9.02045,14.530357,-43.535233,65.1732,1.0264603,7.662061,-3.0443213,-6.5303106,-12.802167,38.292496,66.30249,5.044891,5.1730843,1.9103007
12,0.1847255676984787,2.2395849227905273,78.15174865722656,-0.34448072101599875,-3.5628611827281054,-90.60249769225268,7.811331,11.670874,28.048813,7.710199,-10.354281,-9.638866,3.5888288,-6.620791,-15.602853,8.624524,-8.873824,5.3914003,-1.2909337,1.056627,11.264835,-9.018147,14.535465,-43.55652,65.18264,1.0080106,7.665826,-3.0576446,-6.506874,-12.768209,38.299335,66.2485,5.0901704,5.1696963,1.9199349
13,0.19176261126995087,2.231489419937134,78.15137481689453,-0.34533437100683884,-3.5736227622800705,-90.6268233608283,7.843218,11.665993,28.075554,7.698544,-10.359229,-9.642644,3.594686,-6.6224885,-15.58017,8.635688,-8.8793125,5.387624,-1.2811998,1.0492792,11.260245,-9.001258,14.543,-43.554432,65.18698,1.030673,7.673719,-3.0634477,-6.4938755,-12.700259,38.295864,66.221085,5.0758214,5.1653233,1.9114808
14,0.1996929943561554,2.2214317321777344,78.15122985839844,-0.3475896355462601,-3.5878007552895985,-90.64967959790464,7.879308,11.664501,28.10303,7.688264,-10.3632765,-9.655901,3.6054292,-6.621583,-15.5605545,8.6489105,-8.888356,5.3747735,-1.2700742,1.0545701,11.26495,-8.980099,14.544824,-43.54136,65.182465,1.0719131,7.682946,-3.0672204,-6.446743,-12.674588,38.28563,66.13559,5.031947,5.166562,1.897133
15,0.20527343451976776,2.2198989391326904,78.14958953857422,-0.35082401339706737,-3.603618487119275,-90.67146593948372,7.9164195,11.663618,28.130123,7.6786494,-10.367021,-9.671628,3.6173503,-6.6205215,-15.541735,8.664681,-8.899858,5.3614707,-1.261417,1.050184,11.264264,-8.957821,14.548906,-43.523495,65.18896,1.1063992,7.69323,-3.0750322,-6.4284663,-12.604159,38.28412,66.09974,4.9775686,5.1636357,1.8816464
16,0.2108852118253708,2.21551775932312,78.1476058959961,-0.3526340618526848,-3.6186889690277186,-90.69262708617943,7.9511857,11.661678,28.156189,7.670787,-10.372612,-9.682802,3.630098,-6.620122,-15.522132,8.67447,-8.907844,5.3564577,-1.2508962,1.0434856,11.261116,-8.932339,14.551621,-43.49803,65.19676,1.1240782,7.7040143,-3.092896,-6.418079,-12.5350895,38.313293,66.06535,4.953359,5.158449,1.8810475
17,0.21411088109016418,2.216435670852661,78.1466064453125,-0.3542678188462953,-3.6328374794800045,-90.71300860552458,7.981565,11.658647,28.181005,7.6675177,-10.381935,-9.688586,3.6437674,-6.6210423,-15.500499,8.676403,-8.911312,5.3636355,-1.2377353,1.0346498,11.256448,-8.909622,14.55276,-43.470093,65.20979,1.1007724,7.714208,-3.1273196,-6.4167066,-12.472683,38.37896,66.029854,4.9707503,5.1503196,1.9031692
18,0.21377643942832947,2.2115845680236816,78.14524841308594,-0.35394049710656006,-3.6471276264331602,-90.73250473751322,8.008172,11.656533,28.204811,7.6710362,-10.395146,-9.692528,3.6586487,-6.622212,-15.47815,8.674157,-8.912867,5.3777995,-1.2224023,1.0251299,11.251181,-8.883507,14.552134,-43.4315,65.22303,1.0588479,7.7248197,-3.1735485,-6.417889,-12.416337,38.468853,65.98915,5.009784,5.140603,1.9401847
