Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.021909773349761963,2.3310394287109375,78.1971664428711,1.1144255698939867,-3.4902226610546774,-93.27546893003075,6.1821427,2.4415805,6.6278076,7.5436645,-10.044294,-4.1957393,6.368347,-3.9777665,-10.527948,7.787963,-12.453093,3.4804547,-1.6470573,1.0144867,8.035382,2.8860066,13.872228,-33.310215,51.457253,-5.614571,4.856247,14.289945,-4.1617265,-9.104757,19.935083,64.61481,8.136226,2.3973174,-11.927103
1,0.0173136368393898,2.321453332901001,78.19422149658203,1.129511074244941,-3.491484544896599,-93.24751717739707,6.1836104,2.4215593,6.628241,7.5374207,-10.014657,-4.1978397,6.3794293,-3.999707,-10.560917,7.7853794,-12.459824,3.4935517,-1.7030767,0.9513336,8.046034,2.9352486,13.894247,-33.250305,51.438267,-5.596452,4.8684573,14.33748,-4.1903543,-9.087872,19.884596,64.702995,8.111409,2.3234344,-11.777155
2,0.013588790781795979,2.32668137550354,78.19461822509766,1.1452795397219062,-3.4924509322887096,-93.21850101410625,6.1861086,2.3997166,6.6302176,7.528077,-9.98087,-4.200151,6.390527,-4.023488,-10.595477,7.782534,-12.466516,3.5076547,-1.7669917,0.88065237,8.056454,2.990006,13.919483,-33.178074,51.416485,-5.5705934,4.882944,14.38652,-4.239041,-9.056486,19.831564,64.81805,8.080679,2.243135,-11.620697
3,0.009422557428479195,2.326591968536377,78.19546508789062,1.1582345098054034,-3.4945302750652822,-93.19144107807864,6.1884613,2.3808234,6.6290994,7.521233,-9.953314,-4.202076,6.3998156,-4.0446186,-10.626819,7.7848682,-12.475765,3.5197513,-1.8315496,0.8043336,8.062392,3.0524168,13.95881,-33.105244,51.388252,-5.5508237,4.8962717,14.430618,-4.305993,-8.996223,19.78673,64.95598,8.048058,2.1683526,-11.487142
4,0.014396768063306808,2.3199257850646973,78.20411682128906,1.165376343632486,-3.4992348898541996,-93.16915259885009,6.1914835,2.371027,6.6202645,7.5196214,-9.941484,-4.2029905,6.4129353,-4.055944,-10.650713,7.781491,-12.481416,3.5268862,-1.8700925,0.7614485,8.065532,3.0849445,13.972296,-33.068798,51.38972,-5.551732,4.9011908,14.466621,-4.3220963,-8.972586,19.754297,65.02364,8.032641,2.120432,-11.391643
5,0.010222921147942543,2.3220295906066895,78.19934844970703,1.161483481636163,-3.511984991263204,-93.15502357576813,6.199592,2.3759737,6.5993114,7.5276904,-9.957164,-4.2025213,6.4306707,-4.052704,-10.660229,7.7823486,-12.489933,3.5227346,-1.8978499,0.7428651,8.073231,3.1239338,13.991236,-33.03657,51.375114,-5.56255,4.9044967,14.483282,-4.3557806,-8.934857,19.704464,65.10743,7.9924965,2.0876665,-11.341641
6,0.01181129738688469,2.326779365539551,78.19649505615234,1.1485012766122553,-3.5294984539492305,-93.14691829428851,6.211728,2.3913498,6.5700865,7.5401373,-9.991163,-4.2011313,6.4503956,-4.0388303,-10.659356,7.787263,-12.5012245,3.5106795,-1.9072615,0.7445821,8.079448,3.1514919,14.007137,-33.029446,51.3698,-5.5936856,4.9034166,14.491752,-4.3661566,-8.900274,19.649015,65.163666,7.9491377,2.0708933,-11.328079
7,0.014533722773194313,2.3249127864837646,78.19373321533203,1.1358143722868062,-3.5438821611903357,-93.13811759877674,6.218857,2.406254,6.5389357,7.5521927,-10.023477,-4.1992,6.4680276,-4.025185,-10.660831,7.7865014,-12.506985,3.502522,-1.9037408,0.75326324,8.0801,3.1681535,14.018295,-33.038315,51.37195,-5.6307635,4.8963194,14.492957,-4.363829,-8.876223,19.629585,65.187614,7.9336,2.0775704,-11.34347
8,0.016093172132968903,2.3317456245422363,78.19340515136719,1.1324390241493347,-3.5464481041394857,-93.12207323566923,6.213502,2.4087803,6.5127964,7.555215,-10.032218,-4.1970353,6.475903,-4.023743,-10.676733,7.778387,-12.503871,3.5100865,-1.8865062,0.75292706,8.070254,3.1669037,14.024098,-33.05909,51.38699,-5.6613445,4.880948,14.487345,-4.3551064,-8.867172,19.67769,65.17188,7.97138,2.1155162,-11.380732
9,0.00765420775860548,2.328529119491577,78.1938247680664,1.145521597873625,-3.527132924389815,-93.07819672097561,6.1840405,2.3864713,6.479588,7.5454865,-10.005488,-4.1929994,6.4745426,-4.0465865,-10.73089,7.7540536,-12.492366,3.5462108,-1.892796,0.72776705,8.019564,3.1746054,14.034386,-33.093925,51.40884,-5.701089,4.8517404,14.475735,-4.332542,-8.8663845,19.886591,65.098366,8.125593,2.2014422,-11.482438
