Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2151431441307068,2.3946001529693604,79.48411560058594,0.1269421796656022,-0.5703847937490423,-83.31700454893496,2.5898871,5.67026,21.120255,9.5371895,-10.54189,-3.488862,2.519181,-3.7194343,-22.189045,7.752978,-8.319125,1.7551372,0.8920117,1.4832376,7.0614524,7.270147,7.4027686,-15.164751,62.271534,6.925517,-0.9367399,9.364007,-2.974729,-12.046344,33.35509,68.6345,2.2258468,-2.011015,-4.988846
1,-0.21456964313983917,2.4000937938690186,79.483642578125,0.12400724365310577,-0.5713268204866012,-83.33037744141859,2.588276,5.6767116,21.132038,9.544114,-10.543207,-3.486195,2.5149593,-3.713758,-22.177559,7.750341,-8.312698,1.7531508,0.87752694,1.4917151,7.0594425,7.2792244,7.401247,-15.166004,62.280693,6.9181595,-0.9231961,9.357675,-2.9821184,-12.046825,33.354057,68.61532,2.2178562,-2.0115285,-4.987013
2,-0.21412423253059387,2.4035398960113525,79.48461151123047,0.1190910809287546,-0.5717771089406706,-83.3442821417439,2.5828998,5.6865544,21.14383,9.557998,-10.547653,-3.4837031,2.5125341,-3.7052698,-22.166042,7.74265,-8.30358,1.750844,0.86237496,1.5060955,7.055383,7.3014965,7.396695,-15.173601,62.275196,6.905481,-0.9041611,9.353048,-2.9929757,-12.048623,33.349957,68.60083,2.2040608,-2.0097082,-4.9831305
3,-0.21299855411052704,2.407367467880249,79.48544311523438,0.11451632277761876,-0.5720782521523529,-83.3580913653186,2.5807216,5.693329,21.155993,9.565254,-10.549322,-3.4812722,2.5097387,-3.6984584,-22.15426,7.735404,-8.295016,1.7487184,0.8511821,1.517942,7.051436,7.315518,7.39241,-15.181479,62.279186,6.896849,-0.8896199,9.348879,-3.0012045,-12.050601,33.34581,68.58462,2.1953208,-2.0095677,-4.9817524
4,-0.21358278393745422,2.4071474075317383,79.4864501953125,0.11451954213125703,-0.5710865650286909,-83.37251659849528,2.5820448,5.6963363,21.169298,9.562229,-10.5461,-3.4795415,2.508025,-3.6927526,-22.141626,7.723247,-8.285233,1.7466499,0.8416911,1.5277728,7.0463595,7.326893,7.38901,-15.187922,62.28708,6.8941264,-0.8818975,9.3453455,-3.006333,-12.052201,33.342083,68.56645,2.1898959,-2.010995,-4.9845653
5,-0.2134379893541336,2.407989978790283,79.4866714477539,0.11587833255602807,-0.5676643587067379,-83.38812762640572,2.5865948,5.6940255,21.1847,9.548041,-10.53758,-3.4786277,2.510458,-3.687565,-22.127592,7.6961236,-8.26895,1.7450659,0.83631325,1.5345249,7.039213,7.3343053,7.3873997,-15.192632,62.300755,6.9029937,-0.88422865,9.343953,-3.0101137,-12.052918,33.34043,68.548965,2.1923022,-2.0162692,-4.9946837
6,-0.216199591755867,2.409351110458374,79.48513793945312,0.12054470842729696,-0.564340674718775,-83.40528817207638,2.599048,5.6871867,21.202568,9.518618,-10.522014,-3.4785483,2.5053632,-3.687491,-22.111267,7.6871233,-8.263811,1.7439504,0.83756125,1.5411695,7.029689,7.34146,7.385045,-15.202307,62.318882,6.918969,-0.89492327,9.345417,-3.010462,-12.053924,33.33983,68.53236,2.202007,-2.0237656,-5.0113363
7,-0.2171698957681656,2.411297559738159,79.48383331298828,0.12513246346162968,-0.5595729169215016,-83.4212275136354,2.6093285,5.6796603,21.219027,9.489864,-10.507012,-3.4787629,2.4945378,-3.6898217,-22.095366,7.6885624,-8.26466,1.7423191,0.83753437,1.54713,7.020852,7.3457084,7.3830543,-15.20969,62.337303,6.9340577,-0.9056374,9.345977,-3.0108335,-12.054571,33.339756,68.514175,2.2130644,-2.0301702,-5.026754
8,-0.21727539598941803,2.4138076305389404,79.48359680175781,0.12977915503657278,-0.5547164512233083,-83.43534302376506,2.6213963,5.671751,21.233784,9.454919,-10.488778,-3.4790287,2.48288,-3.69197,-22.080545,7.6921124,-8.266301,1.7392565,0.83670086,1.5531493,7.0127583,7.347328,7.382012,-15.215209,62.356518,6.9406962,-0.911938,9.3444195,-3.010609,-12.054634,33.33881,68.494804,2.2225747,-2.0316315,-5.0363636
9,-0.21742305159568787,2.415513515472412,79.48504638671875,0.13072981203925926,-0.5501532586662029,-83.44542535906479,2.6287503,5.66903,21.243195,9.42856,-10.475178,-3.479418,2.4727423,-3.690036,-22.069187,7.6942844,-8.266805,1.7326974,0.8310315,1.5625851,7.0079618,7.3476806,7.3812747,-15.218552,62.370846,6.9335237,-0.9090077,9.337609,-3.0124824,-12.054267,33.33635,68.47412,2.2285564,-2.0258062,-5.0357804
10,-0.21868839859962463,2.4172961711883545,79.48725128173828,0.13153276401823413,-0.5453487808811024,-83.45573863493827,2.6460915,5.66066,21.253748,9.379309,-10.4503355,-3.4794517,2.458287,-3.691208,-22.056173,7.7065697,-8.272147,1.7242225,0.83360195,1.5712445,7.0033545,7.334887,7.380113,-15.2294445,62.39777,6.9129457,-0.9032027,9.328096,-3.0102417,-12.052418,33.319855,68.449455,2.2264736,-2.0110867,-5.028715
11,-0.22251251339912415,2.418060064315796,79.49044036865234,0.13178925282322515,-0.5399139548690313,-83.4623723478973,2.6544259,5.657537,21.259888,9.345844,-10.433186,-3.4804285,2.4486365,-3.6878927,-22.047188,7.70701,-8.272135,1.7162207,0.83006454,1.5817131,7.0014315,7.3282247,7.380078,-15.233413,62.41322,6.8963966,-0.89506555,9.319765,-3.0119867,-12.050257,33.30866,68.42692,2.2271893,-1.9984163,-5.0202403
12,-0.22397609055042267,2.4204607009887695,79.4926986694336,0.13331629703570338,-0.5338056772987885,-83.46713877821306,2.6601808,5.6533284,21.265198,9.315758,-10.4180765,-3.4824336,2.438877,-3.6863186,-22.040096,7.707111,-8.274014,1.7123883,0.8256898,1.5903444,6.9995465,7.322134,7.380387,-15.234534,62.42712,6.8907046,-0.88891774,9.318036,-3.0128758,-12.048718,33.30385,68.40642,2.2333152,-1.992756,-5.016365
13,-0.22649379074573517,2.422229528427124,79.49285888671875,0.13936216774050775,-0.5270306663946684,-83.47155747863503,2.6733553,5.641089,21.27378,9.26725,-10.393921,-3.4867241,2.4303195,-3.6889317,-22.033318,7.7025437,-8.275566,1.7153721,0.827943,1.5922908,6.9983234,7.3062325,7.3809114,-15.23578,62.449795,6.901632,-0.884664,9.325599,-3.0115147,-12.047012,33.30063,68.38564,2.247723,-1.9945865,-5.0196214
