Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.4421404004096985,1.6971704959869385,78.3847427368164,-1.0511075806851644,1.153811665094171,-109.2506530324079,1.573625,5.1820693,12.265968,10.560054,-12.778142,-4.674936,-4.3881865,-3.4943004,-13.022718,12.212747,-9.432212,3.6431274,3.1670763,1.0029528,7.1830525,4.396306,15.168653,-26.843925,54.372993,-9.133663,1.6983922,6.1012626,-6.8097444,-16.171284,34.77213,60.090443,-7.8248477,3.5789628,-3.6287043
1,0.4345121681690216,1.70689058303833,78.3805160522461,-1.0299061196995551,1.209159432590101,-109.29295724503974,1.4723886,5.184464,12.296079,10.643972,-12.805048,-4.67876,-4.6150956,-3.524067,-12.960892,12.5199585,-9.55466,3.6230898,3.1581566,0.985399,7.1924944,4.3882318,15.202435,-26.73232,54.084167,-9.17347,1.7350091,6.1084204,-6.7768335,-16.229372,34.665474,59.969673,-7.8369875,3.5495002,-3.6633406
2,0.42430347204208374,1.717414379119873,78.3751220703125,-1.010050683892436,1.2635492656478002,-109.33481586861414,1.3702207,5.188438,12.325755,10.732177,-12.833832,-4.681982,-4.838071,-3.5523589,-12.900016,12.821115,-9.674111,3.6047106,3.1518407,0.97355485,7.2046976,4.373888,15.230775,-26.625845,53.80709,-9.211943,1.7713946,6.1127133,-6.732472,-16.306871,34.553947,59.83026,-7.8417764,3.5161967,-3.6975107
3,0.40929940342903137,1.735666036605835,78.37096405029297,-0.9878086638981182,1.3198211197524246,-109.37762715917893,1.2688265,5.1897426,12.3561325,10.814771,-12.860552,-4.686231,-5.0695157,-3.583265,-12.836907,13.136084,-9.800646,3.58261,3.1482687,0.9641598,7.2200637,4.358724,15.257839,-26.515947,53.51098,-9.252606,1.8067608,6.1214094,-6.6706476,-16.404972,34.44116,59.660236,-7.8576403,3.4929175,-3.7239811
4,0.39506271481513977,1.7486177682876587,78.35814666748047,-0.9590358853965897,1.380747363232899,-109.42249148107565,1.1702272,5.184029,12.388307,10.881113,-12.880768,-4.69315,-5.325119,-3.6217163,-12.768138,13.489775,-9.945157,3.5514035,3.1446052,0.9522148,7.235405,4.3462286,15.283668,-26.391542,53.172962,-9.298075,1.8395871,6.142635,-6.598592,-16.51376,34.33732,59.46887,-7.9013257,3.4925709,-3.7374446
5,0.3762017488479614,1.7647922039031982,78.3502426147461,-0.9243649206741117,1.4487879250160982,-109.46974871269748,1.0724386,5.171875,12.421653,10.930061,-12.8944025,-4.7043185,-5.604705,-3.6661615,-12.690906,13.8753195,-10.107353,3.5080833,3.14003,0.9380279,7.2518573,4.3419294,15.312231,-26.247873,52.775036,-9.355163,1.8743949,6.1808205,-6.5098343,-16.640308,34.2391,59.24986,-7.9851003,3.5248265,-3.7335246
6,0.3580990135669708,1.777243971824646,78.33879852294922,-0.8850922446623848,1.5218776799789522,-109.51874320585402,0.97566974,5.1546054,12.45602,10.96546,-12.902655,-4.7184253,-5.9026756,-3.7152393,-12.607343,14.286421,-10.282178,3.455903,3.1345825,0.9217327,7.26865,4.342578,15.343077,-26.090769,52.335186,-9.421029,1.9102997,6.231305,-6.4113865,-16.777014,34.145916,59.014347,-8.096862,3.5801218,-3.717396
7,0.3364904820919037,1.7967889308929443,78.32811737060547,-0.8391262436867686,1.5961002416142978,-109.56954830256744,0.8837165,5.12991,12.492946,10.989094,-12.9061775,-4.732745,-6.2172937,-3.7723815,-12.52224,14.730634,-10.473238,3.3986964,3.1289499,0.9014924,7.288259,4.3470287,15.377233,-25.923544,51.86423,-9.483113,1.9391725,6.285123,-6.3019333,-16.92343,34.061054,58.74805,-8.221267,3.6447031,-3.6929362
8,0.31290146708488464,1.8166584968566895,78.31877899169922,-0.7836215494613049,1.6676163470256,-109.62232222533548,0.80109125,5.0949297,12.534168,11.000958,-12.904434,-4.744477,-6.545327,-3.8408055,-12.440511,15.213049,-10.682512,3.3402762,3.1236901,0.8755856,7.3131623,4.3539186,15.415764,-25.748901,51.373116,-9.527952,1.9528956,6.333462,-6.1792645,-17.08052,33.98619,58.436104,-8.345147,3.7048264,-3.6640124
9,0.29145729541778564,1.8344898223876953,78.30751037597656,-0.7167907739961981,1.7364188396146467,-109.67819586335132,0.7325282,5.0454516,12.581482,10.99018,-12.892589,-4.753223,-6.8905373,-3.9245267,-12.366522,15.741234,-10.913675,3.281251,3.1180665,0.84220445,7.3446026,4.3576393,15.459118,-25.571968,50.868954,-9.545293,1.9499553,6.3684945,-6.0455794,-17.250463,33.923035,58.08118,-8.47718,3.7600608,-3.6247623
